-----
Destatis Water Usage Statistics
Tag;Energy Used [kWh];Percentage;Reference Value;
NoWater;0,0004912705906098435;0,8965;;
Dishwashing;2,3387554572617614E-05;0,0427;;
Laundry;3,330374427777776E-05;0,0608;;

Sum;0,0005479618894602388;1;
-----
Energieagentur.NRW Tags
Tag;Energy Used [kWh];Percentage;Reference Value;
Light;1,582840220621802E-05;0,0289;;
TV/Audio;0,00019496272699898046;0,3558;;
Office;6,186716285842291E-05;0,1129;;
Cooling;1,9875447536274856E-05;0,0363;;
Washing;5,178943549283396E-05;0,0945;;
Freezing;1,5797042936147562E-05;0,0288;;
Cooking;0,0001357664544119245;0,2478;;
Dish washing;2,3387554572617614E-05;0,0427;;
Other;1,4343282207414508E-06;0,0026;;
Drying;2,7253334226077527E-05;0,0497;;

Sum;0,0005479618894602388;1;
