-----
Destatis Water Usage Statistics
Tag;Energy Used [kWh];Percentage;Reference Value;
NoWater;0,00046250623672436397;0,9871;;
Dishwashing;2,9439084318282437E-06;0,0063;;
Laundry;3,1122004505166653E-06;0,0066;;

Sum;0,0004685623456067089;1;
-----
Energieagentur.NRW Tags
Tag;Energy Used [kWh];Percentage;Reference Value;
Light;1,5036982095907122E-05;0,0321;;
TV/Audio;0,0001850044764998151;0,3948;;
Office;5,6475493841532924E-05;0,1205;;
Cooling;1,8881675159461112E-05;0,0403;;
Washing;1,8891261225014722E-05;0,0403;;
Freezing;1,5007190789340185E-05;0,0320;;
Cooking;0,00012906807823933144;0,2755;;
Dish washing;2,9439084318282437E-06;0,0063;;
Other;1,3626118097043778E-06;0,0029;;
Drying;2,5890667514773634E-05;0,0553;;

Sum;0,0004685623456067089;1;
