Timestep;Time span;Sum [var]
0;00:00:00;2879,1999161399913
1;00:01:00;2758,8376580071326
2;00:02:00;2755,5734768430966
3;00:03:00;2753,9113710146003
4;00:04:00;2697,036796711563
5;00:05:00;2684,445313962973
6;00:06:00;2647,691225632512
7;00:07:00;2647,2774605731584
8;00:08:00;2646,925261258289
9;00:09:00;2625,6076356235776
10;00:10:00;2624,0781721918725
11;00:11:00;2604,840636952249
12;00:12:00;2586,4030117085517
13;00:13:00;2571,3243135862385
14;00:14:00;2569,768308379166
15;00:15:00;2567,3427822590397
16;00:16:00;2564,449749995329
17;00:17:00;2555,185605200583
18;00:18:00;2554,413610815935
19;00:19:00;2551,3304736469318
20;00:20:00;2549,070141115836
21;00:21:00;2540,9317682596893
22;00:22:00;2540,5225679656405
23;00:23:00;2536,0015734154645
24;00:24:00;2531,505057445549
25;00:25:00;2528,4675704365573
26;00:26:00;2526,767064415739
27;00:27:00;2523,3565823221197
28;00:28:00;2505,6639396479504
29;00:29:00;2498,751427207635
30;00:30:00;2464,0049531183117
31;00:31:00;2455,3327027127175
32;00:32:00;2455,252728368658
33;00:33:00;2449,028545569501
34;00:34:00;2434,5506093141644
35;00:35:00;2424,6174461076057
36;00:36:00;2416,766908397209
37;00:37:00;2409,004988765013
38;00:38:00;2401,9441467706815
39;00:39:00;2401,291178282886
40;00:40:00;2395,7520393626587
41;00:41:00;2393,0733135689266
42;00:42:00;2376,4698427974417
43;00:43:00;2372,516448152844
44;00:44:00;2342,5797661215206
45;00:45:00;2320,0504146230555
46;00:46:00;2294,5186915922172
47;00:47:00;2291,244561821426
48;00:48:00;2289,1332587684965
49;00:49:00;2274,1554088719654
50;00:50:00;2262,8280064626106
51;00:51:00;2260,7726874229093
52;00:52:00;2255,5943089384978
53;00:53:00;2250,263315292907
54;00:54:00;2211,533255374024
55;00:55:00;2151,906745638729
56;00:56:00;1962,4903160150407
57;00:57:00;1910,4511467041639
58;00:58:00;1873,203975498587
59;00:59:00;1804,0672086934264
60;01:00:00;1677,526274385494
61;01:01:00;1664,1385976642987
62;01:02:00;1637,0577404145984
63;01:03:00;1623,9897307693022
64;01:04:00;1623,9557103248671
65;01:05:00;1580,8512786149715
66;01:06:00;1575,3799032304453
67;01:07:00;1571,9025673960175
68;01:08:00;1568,2505558129353
69;01:09:00;1563,508812347677
70;01:10:00;1517,4571196463476
71;01:11:00;1491,6895208305505
72;01:12:00;1484,1534478927172
73;01:13:00;1465,638485198998
74;01:14:00;1460,7191365029028
75;01:15:00;1454,1562932286572
76;01:16:00;1423,0108834342532
77;01:17:00;1413,1305990794735
78;01:18:00;1408,0009405653898
79;01:19:00;1399,2763385224011
80;01:20:00;1399,1650470784327
81;01:21:00;1390,3463815214322
82;01:22:00;1374,6581264341605
83;01:23:00;1371,3789356682423
84;01:24:00;1369,825980989
85;01:25:00;1366,2087340144317
86;01:26:00;1358,6456710711454
87;01:27:00;1355,8241083394394
88;01:28:00;1354,3382627726232
89;01:29:00;1351,3519177137382
90;01:30:00;1345,1509541620073
91;01:31:00;1341,267465813409
92;01:32:00;1338,795612482101
93;01:33:00;1335,5813798714298
94;01:34:00;1324,969251395169
95;01:35:00;1321,619286193589
96;01:36:00;1320,481162394015
97;01:37:00;1316,5163797912414
98;01:38:00;1308,5064159760345
99;01:39:00;1308,1254908786511
100;01:40:00;1305,0553777091475
101;01:41:00;1303,5941694539417
102;01:42:00;1301,6729042079112
103;01:43:00;1299,6982490600262
104;01:44:00;1297,497795031477
105;01:45:00;1296,478598231874
106;01:46:00;1295,4505326096414
107;01:47:00;1292,5391231646267
108;01:48:00;1289,170586286932
109;01:49:00;1288,0046440029894
110;01:50:00;1283,8260212811683
111;01:51:00;1277,8830097905427
112;01:52:00;1276,1790810128584
113;01:53:00;1273,9279227783427
114;01:54:00;1273,2148895650507
115;01:55:00;1269,002101918693
116;01:56:00;1268,8714141387402
117;01:57:00;1266,6696109571837
118;01:58:00;1265,9333377627634
119;01:59:00;1254,4079822333024
120;02:00:00;1253,433139603406
121;02:01:00;1249,36990834159
122;02:02:00;1249,2547027424102
123;02:03:00;1248,5976233649062
124;02:04:00;1246,4275367836617
125;02:05:00;1242,579819388227
126;02:06:00;1242,3227010379453
127;02:07:00;1239,371968960017
128;02:08:00;1239,3325159679357
129;02:09:00;1239,24420540214
130;02:10:00;1238,297732067015
131;02:11:00;1235,4014338347927
132;02:12:00;1235,313249579838
133;02:13:00;1227,9312466491735
134;02:14:00;1218,5915656479028
135;02:15:00;1217,9468107163761
136;02:16:00;1213,9421943906798
137;02:17:00;1213,4808750078544
138;02:18:00;1212,349268828601
139;02:19:00;1211,9339941702667
140;02:20:00;1210,5182308290941
141;02:21:00;1210,2269990216835
142;02:22:00;1208,0536544710278
143;02:23:00;1202,4212474454525
144;02:24:00;1198,688373626579
145;02:25:00;1197,720994296319
146;02:26:00;1196,638052663053
147;02:27:00;1194,6779724411049
148;02:28:00;1189,8068142029606
149;02:29:00;1188,9878247878717
150;02:30:00;1184,497365553761
151;02:31:00;1183,721633587035
152;02:32:00;1181,5989878752462
153;02:33:00;1180,090682534922
154;02:34:00;1173,5284834385866
155;02:35:00;1172,3964065066807
156;02:36:00;1171,1475681233487
157;02:37:00;1168,2688064009722
158;02:38:00;1165,7868280713997
159;02:39:00;1163,109284316254
160;02:40:00;1158,3140904389388
161;02:41:00;1155,6111577224628
162;02:42:00;1151,4908892640378
163;02:43:00;1151,2388752217275
164;02:44:00;1149,143104343827
165;02:45:00;1147,4377533799434
166;02:46:00;1147,2648027135451
167;02:47:00;1146,2853097769557
168;02:48:00;1144,1837228046904
169;02:49:00;1139,542389864955
170;02:50:00;1131,949114476906
171;02:51:00;1128,5786681068114
172;02:52:00;1127,0439171745998
173;02:53:00;1126,5513421337594
174;02:54:00;1125,495946936959
175;02:55:00;1123,8741472359432
176;02:56:00;1122,1314233399135
177;02:57:00;1113,2174510961381
178;02:58:00;1112,4588905968226
179;02:59:00;1102,312509490512
180;03:00:00;1102,1285803248627
181;03:01:00;1098,4716452076652
182;03:02:00;1096,5766878169102
183;03:03:00;1095,9251016201902
184;03:04:00;1095,8529960461478
185;03:05:00;1095,0042413817102
186;03:06:00;1092,1940705532043
187;03:07:00;1090,5700132236207
188;03:08:00;1086,845120400581
189;03:09:00;1084,6234192211443
190;03:10:00;1079,9906294433029
191;03:11:00;1076,723055921011
192;03:12:00;1075,317120221666
193;03:13:00;1075,2905775143092
194;03:14:00;1073,4055660852007
195;03:15:00;1071,8617613963672
196;03:16:00;1070,7642603854579
197;03:17:00;1065,8567886836354
198;03:18:00;1065,2546102384533
199;03:19:00;1063,1215895225707
200;03:20:00;1062,7206680126044
201;03:21:00;1062,5913832643548
202;03:22:00;1062,221634607216
203;03:23:00;1060,9017821457744
204;03:24:00;1058,6351112623788
205;03:25:00;1056,8040072967365
206;03:26:00;1056,4470497197658
207;03:27:00;1056,4143403479839
208;03:28:00;1053,7636813496408
209;03:29:00;1053,5620901755335
210;03:30:00;1050,945087543002
211;03:31:00;1049,2383776815416
212;03:32:00;1043,5700822259923
213;03:33:00;1042,8739516353212
214;03:34:00;1041,9419822050174
215;03:35:00;1041,8314187633916
216;03:36:00;1039,5506667166521
217;03:37:00;1038,3426281918046
218;03:38:00;1035,6025245115334
219;03:39:00;1035,2911701881221
220;03:40:00;1034,7781070224414
221;03:41:00;1034,3684638807006
222;03:42:00;1025,9246026256592
223;03:43:00;1025,8774052882222
224;03:44:00;1025,735644232481
225;03:45:00;1020,4833286888482
226;03:46:00;1017,9097188878162
227;03:47:00;1017,7115066098709
228;03:48:00;1017,6859020250325
229;03:49:00;1017,264406008699
230;03:50:00;1016,2283180008383
231;03:51:00;1015,0171706345598
232;03:52:00;1014,8948360120436
233;03:53:00;1010,5856987136123
234;03:54:00;1008,108552861093
235;03:55:00;1007,4242111638159
236;03:56:00;1007,3928315459386
237;03:57:00;1005,7696598808604
238;03:58:00;998,4926775709051
239;03:59:00;997,1259874766993
240;04:00:00;986,9741143371128
241;04:01:00;985,4045499821988
242;04:02:00;984,284222601352
243;04:03:00;982,8657551491478
244;04:04:00;981,1974355304662
245;04:05:00;979,2474419040173
246;04:06:00;977,34321297785
247;04:07:00;976,278306164224
248;04:08:00;975,3815689484323
249;04:09:00;975,0066665062494
250;04:10:00;972,1600497747717
251;04:11:00;967,1848919507937
252;04:12:00;966,1478229480872
253;04:13:00;963,277846428203
254;04:14:00;959,6138234629042
255;04:15:00;959,5095251961019
