-----
CHR59 Dani (37/Male)
Actions;Times of execution in the simulation period;Sunday;Monday;Tuesday;Wednesday;Thursday;Friday;Saturday;Basic Tagging;Tagging Set For Planning;Wo bleibt die Zeit;
eat a cooked meal (interrupting) (eat breakfast (1 h));2;0;0;0;1;1;0;0;cooking;eat breakfast (1 h);Food;
go to the toilet;4;0;0;0;2;2;0;0;hygiene;go to the toilet;Hygiene;
take a shower (men);2;0;0;0;1;1;0;0;hygiene;take a shower (men);Hygiene;
Replacement Activity A;25;0;0;0;0;25;0;0;recreation;Replacement Activity A;Media Use;
Replacement Activity B;17;0;0;0;0;17;0;0;recreation;Replacement Activity B;Media Use;
Replacement Activity C;14;0;0;0;0;14;0;0;recreation;Replacement Activity C;Media Use;
Replacement Activity D;27;0;0;0;0;27;0;0;recreation;Replacement Activity D;Media Use;
go to a bar (4 h);1;0;0;0;0;1;0;0;recreation;go to a bar (4 h);Events;
use the computer (1_5 h);1;0;0;0;0;1;0;0;recreation;use the computer (1_5 h);Media Use;
use the laptop (1 h);1;0;0;0;0;1;0;0;recreation;use the laptop (1 h);Media Use;
use the laptop (1_5 h);1;0;0;0;1;0;0;0;recreation;use the laptop (1_5 h);Media Use;
use the laptop for Internet, Movie, Music, News (2 h);1;0;0;0;1;0;0;0;recreation;use the laptop for Internet, Movie, Music, News (2 h);Media Use;
watch TV (1 h);1;0;0;0;0;1;0;0;recreation;watch TV (1 h);Media Use;
watch TV with someone (watch TV (1 h));1;0;0;0;0;1;0;0;recreation;watch TV (1 h);Media Use;
watch TV with someone (watch sports on TV with SAT Reciever (2 h));1;0;0;0;1;0;0;0;recreation;watch sports on TV with SAT Reciever (2 h);Media Use;
watch a movie for 1 h 30 min;1;0;0;0;0;1;0;0;recreation;watch a movie for 1 h 30 min;Media Use;
watch a movie for 1 h 30 min with home cinema system;1;0;0;0;0;1;0;0;recreation;watch a movie for 1 h 30 min with home cinema system;Media Use;
watch a movie for 2 h;1;0;0;0;1;0;0;0;recreation;watch a movie for 2 h;Media Use;
watch sports on TV with SAT Reciever (2 h);1;0;0;0;1;0;0;0;recreation;watch sports on TV with SAT Reciever (2 h);Media Use;
watch the news;1;0;0;0;0;1;0;0;recreation;watch the news;Media Use;
go shopping (4 h);1;0;0;0;1;0;0;0;shopping;go shopping (4 h);Entertainment;
sleep bed 01 (10 h);4;0;0;0;3;1;0;0;sleeping;sleep bed 01 (10 h);Sleep;
-----
CHR59 Sonea (12/Female)
Actions;Times of execution in the simulation period;Sunday;Monday;Tuesday;Wednesday;Thursday;Friday;Saturday;Basic Tagging;Tagging Set For Planning;Wo bleibt die Zeit;
eat a cooked meal (interrupting) (eat breakfast (1 h));2;0;0;0;1;1;0;0;cooking;eat breakfast (1 h);Food;
get ready in the morning (children);2;0;0;0;1;1;0;0;hygiene;get ready in the morning (children);Hygiene;
go to the toilet;4;0;0;0;2;2;0;0;hygiene;go to the toilet;Hygiene;
take a shower with hair washing (women) (5 min hair drying);1;0;0;0;0;1;0;0;hygiene;take a shower with hair washing (women) (5 min hair drying);Hygiene;
take a shower without hair washing (women);1;0;0;0;1;0;0;0;hygiene;take a shower without hair washing (women);Hygiene;
Replacement Activity A;6;0;0;0;6;0;0;0;recreation;Replacement Activity A;Media Use;
Replacement Activity B;4;0;0;0;4;0;0;0;recreation;Replacement Activity B;Media Use;
Replacement Activity C;3;0;0;0;3;0;0;0;recreation;Replacement Activity C;Media Use;
Replacement Activity D;2;0;0;0;2;0;0;0;recreation;Replacement Activity D;Media Use;
join XBox game (play Xbox (1 h));1;0;0;0;1;0;0;0;recreation;play Xbox (1 h);Games;
play Xbox (1 h);2;0;0;0;1;1;0;0;recreation;play Xbox (1 h);Games;
use the computer (1 h);2;0;0;0;0;2;0;0;recreation;use the computer (1 h);Media Use;
use the computer (1_5 h);3;0;0;0;2;1;0;0;recreation;use the computer (1_5 h);Media Use;
use the computer with external HD (1 h);1;0;0;0;1;0;0;0;recreation;use the computer with external HD (1 h);Media Use;
use the laptop (1 h);1;0;0;0;0;1;0;0;recreation;use the laptop (1 h);Media Use;
use the laptop (1_5 h);4;0;0;0;1;3;0;0;recreation;use the laptop (1_5 h);Media Use;
use the laptop for Internet, Movie, Music, News (2 h);4;0;0;0;3;1;0;0;recreation;use the laptop for Internet, Movie, Music, News (2 h);Media Use;
watch TV (1 h);3;0;0;0;1;2;0;0;recreation;watch TV (1 h);Media Use;
watch TV with someone (watch a movie for 1 h 30 min);1;0;0;0;0;1;0;0;recreation;watch a movie for 1 h 30 min;Media Use;
watch TV with someone (watch a movie for 2 h);1;0;0;0;1;0;0;0;recreation;watch a movie for 2 h;Media Use;
sleep bed 03 (08 h) Child;2;0;0;0;1;1;0;0;sleeping;sleep bed 03 (08 h) Child;Sleep;
-----
CHR59 Simo (8/Male)
