Device;Load Type;Profile;Number of Activations
AEG NM 2701 Premium;Apparent;01 h 0 min 30% [Synthetic];5
AEG NM 2701 Premium;Electricity;01 h 0 min 30% [Synthetic];5
AEG NM 2701 Premium;Inner Device Heat Gains;01 h 0 min 30% [Synthetic];5
AEG NM 2701 Premium;Reactive;01 h 0 min 30% [Synthetic];5
AEG PN 2200 RX 4935365097;Apparent;0 h 05 min 100% [Synthetic];10
AEG PN 2200 RX 4935365097;Electricity;0 h 05 min 100% [Synthetic];10
AEG PN 2200 RX 4935365097;Inner Device Heat Gains;0 h 05 min 100% [Synthetic];10
AEG PN 2200 RX 4935365097;Reactive;0 h 05 min 100% [Synthetic];10
Bathroom Light (100W);Apparent;Bath - light [Synthetic for Light Device];20
Bathroom Light (100W);Electricity;Bath - light [Synthetic for Light Device];20
Bathroom Light (100W);Inner Device Heat Gains;Bath - light [Synthetic for Light Device];20
Bathroom Light (100W);Reactive;Bath - light [Synthetic for Light Device];20
Bathroom Mirror Light 10 W (LED);Apparent;Bath - light [Synthetic for Light Device];20
Bathroom Mirror Light 10 W (LED);Electricity;Bath - light [Synthetic for Light Device];20
Bathroom Mirror Light 10 W (LED);Inner Device Heat Gains;Bath - light [Synthetic for Light Device];20
Bathroom Mirror Light 10 W (LED);Reactive;Bath - light [Synthetic for Light Device];20
Bathroom Sink 5 L/Min;Warm Water;0 h 01 min 100% [Synthetic];58
Bathroom Sink 5 L/Min;Warm Water;0 h 01 min 50% [Synthetic];10
Bed 1;None;08 h 0 min 100% [Synthetic];5
Bed 2;None;08 h 0 min 100% [Synthetic];5
Bedroom Light (200W);Apparent;Bedroom - light [Synthetic for Light Device];294
Bedroom Light (200W);Electricity;Bedroom - light [Synthetic for Light Device];294
Bedroom Light (200W);Inner Device Heat Gains;Bedroom - light [Synthetic for Light Device];294
Bedroom Light (200W);Reactive;Bedroom - light [Synthetic for Light Device];294
Board Games;None;01 h 0 min 100% [Synthetic];2
Book;None;0 h 01 min 100% [Synthetic];469
CD/DVD Player / Philips DVDR 725 H;Apparent;01 h 30 min 100% [Synthetic];5
CD/DVD Player / Philips DVDR 725 H;Apparent;02 h 0 min 100% [Synthetic];2
CD/DVD Player / Philips DVDR 725 H;Apparent;Standby TV / Receiver 1 h 0 min 3% [Synthetic];119
CD/DVD Player / Philips DVDR 725 H;Electricity;01 h 30 min 100% [Synthetic];5
CD/DVD Player / Philips DVDR 725 H;Electricity;02 h 0 min 100% [Synthetic];2
CD/DVD Player / Philips DVDR 725 H;Electricity;Standby TV / Receiver 1 h 0 min 3% [Synthetic];119
CD/DVD Player / Philips DVDR 725 H;Inner Device Heat Gains;01 h 30 min 100% [Synthetic];5
CD/DVD Player / Philips DVDR 725 H;Inner Device Heat Gains;02 h 0 min 100% [Synthetic];2
CD/DVD Player / Philips DVDR 725 H;Inner Device Heat Gains;Standby TV / Receiver 1 h 0 min 3% [Synthetic];119
CD/DVD Player / Philips DVDR 725 H;Reactive;01 h 30 min 100% [Synthetic];5
CD/DVD Player / Philips DVDR 725 H;Reactive;02 h 0 min 100% [Synthetic];2
CD/DVD Player / Philips DVDR 725 H;Reactive;Standby TV / Receiver 1 h 0 min 3% [Synthetic];119
Cleanser;None;01 h 0 min 100% [Synthetic];1
Cloth Drying Rack;None;0 h 20 min 100% [Synthetic];1
Community College;None;03 h 0 min 100 % [Synthetic];1
Couch;None;01 h 0 min 100% [Synthetic];10
Couch;None;02 h 0 min 100% [Synthetic];9
Dishwasher NEFF SD6P1F (2011);Apparent;Profile for Dishwasher NEFF SD6P1F (2011) Apparent [Measurement by ZSW (1min)];2
Dishwasher NEFF SD6P1F (2011);Cold Water;0 h 05 min 100% [Synthetic];2
Dishwasher NEFF SD6P1F (2011);Electricity;Profile for Dishwasher NEFF SD6P1F (2011) Electricity [Measurement by ZSW (1min)];2
Dishwasher NEFF SD6P1F (2011);Inner Device Heat Gains;Profile for Dishwasher NEFF SD6P1F (2011) Electricity [Measurement by ZSW (1min)];2
Dishwasher NEFF SD6P1F (2011);Reactive;Profile for Dishwasher NEFF SD6P1F (2011) Reactive [Measurement by ZSW (1min)];2
Egg Cooker / Russell Hobbs 14048-56 Stylo;Apparent;0 h 05 min 100% [Synthetic];11
Egg Cooker / Russell Hobbs 14048-56 Stylo;Electricity;0 h 05 min 100% [Synthetic];11
Egg Cooker / Russell Hobbs 14048-56 Stylo;Inner Device Heat Gains;0 h 05 min 100% [Synthetic];11
Egg Cooker / Russell Hobbs 14048-56 Stylo;Reactive;0 h 05 min 100% [Synthetic];11
Electric Kettle / Petra WK288 1.5L;Apparent;Profile for Electric Kettle Petra WK288 1.5L Apparent [Measurement by ZSW (1min)];1
Electric Kettle / Petra WK288 1.5L;Electricity;Profile for Electric Kettle Petra WK288 1.5L Electricity [Measurement by ZSW (1min)];1
Electric Kettle / Petra WK288 1.5L;Inner Device Heat Gains;Profile for Electric Kettle Petra WK288 1.5L Electricity [Measurement by ZSW (1min)];1
Electric Kettle / Petra WK288 1.5L;Reactive;Profile for Electric Kettle Petra WK288 1.5L Reactive [Measurement by ZSW (1min)];1
Electric Razor Braun Cruzer 5;Apparent;Profile for Electric Razor Braun Cruzer 5 Apparent [Measurement by ZSW (1min)];91
Electric Razor Braun Cruzer 5;Electricity;Profile for Electric Razor Braun Cruzer 5 Electricity [Measurement by ZSW (1min)];91
Electric Razor Braun Cruzer 5;Inner Device Heat Gains;Profile for Electric Razor Braun Cruzer 5 Electricity [Measurement by ZSW (1min)];91
Electric Razor Braun Cruzer 5;Reactive;Profile for Electric Razor Braun Cruzer 5 Reactive [Measurement by ZSW (1min)];91
Electric Toothbrush Dondodent Professional Clean;Apparent;Profile for Electric Toothbrush Dondodent Professional Clean Apparent [Measurement by ZSW (1min)];87
Electric Toothbrush Dondodent Professional Clean;Electricity;Profile for Electric Toothbrush Dondodent Professional Clean Electricity [Measurement by ZSW (1min)];87
Electric Toothbrush Dondodent Professional Clean;Inner Device Heat Gains;Profile for Electric Toothbrush Dondodent Professional Clean Electricity [Measurement by ZSW (1min)];87
Electric Toothbrush Dondodent Professional Clean;Reactive;Profile for Electric Toothbrush Dondodent Professional Clean Reactive [Measurement by ZSW (1min)];87
Extractor Hood / Miele DA 429-4;Apparent;Cooking profile I 15 min [Synthetic];2
Extractor Hood / Miele DA 429-4;Electricity;Cooking profile I 15 min [Synthetic];2
Extractor Hood / Miele DA 429-4;Inner Device Heat Gains;Cooking profile I 15 min [Synthetic];2
Extractor Hood / Miele DA 429-4;Reactive;Cooking profile I 15 min [Synthetic];2
Food Slicer / DOMO Schneidemaschine DO521S;Apparent;0 h 01 min 100% [Synthetic];11
Food Slicer / DOMO Schneidemaschine DO521S;Electricity;0 h 01 min 100% [Synthetic];11
Food Slicer / DOMO Schneidemaschine DO521S;Inner Device Heat Gains;0 h 01 min 100% [Synthetic];11
Food Slicer / DOMO Schneidemaschine DO521S;Reactive;0 h 01 min 100% [Synthetic];11
Hair Dryer Braun Silencio 1250;Apparent;Profile for Hair Dryer Braun Silencio 1250 05min Apparent [Measurement by ZSW (1min)];1
Hair Dryer Braun Silencio 1250;Apparent;Profile for Hair Dryer Braun Silencio 1250 20min Apparent [Measurement by ZSW (1min)];1
Hair Dryer Braun Silencio 1250;Electricity;Profile for Hair Dryer Braun Silencio 1250 05min Electricity [Measurement by ZSW (1min)];1
Hair Dryer Braun Silencio 1250;Electricity;Profile for Hair Dryer Braun Silencio 1250 20min Electricity [Measurement by ZSW (1min)];1
Hair Dryer Braun Silencio 1250;Inner Device Heat Gains;Profile for Hair Dryer Braun Silencio 1250 05min Electricity [Measurement by ZSW (1min)];1
Hair Dryer Braun Silencio 1250;Inner Device Heat Gains;Profile for Hair Dryer Braun Silencio 1250 20min Electricity [Measurement by ZSW (1min)];1
Hair Dryer Braun Silencio 1250;Reactive;Profile for Hair Dryer Braun Silencio 1250 05min Reactive [Measurement by ZSW (1min)];1
Hair Dryer Braun Silencio 1250;Reactive;Profile for Hair Dryer Braun Silencio 1250 20min Reactive [Measurement by ZSW (1min)];1
Hand-held Circular Saw / Bosch PKS 46;Apparent;0 h 05 min 100% [Synthetic];5
Hand-held Circular Saw / Bosch PKS 46;Electricity;0 h 05 min 100% [Synthetic];5
Hand-held Circular Saw / Bosch PKS 46;Inner Device Heat Gains;0 h 05 min 100% [Synthetic];5
Hand-held Circular Saw / Bosch PKS 46;Reactive;0 h 05 min 100% [Synthetic];5
Handmixer / Phillips Robust HR 1581;Apparent;0 h 05 min 100% [Synthetic];1
Handmixer / Phillips Robust HR 1581;Electricity;0 h 05 min 100% [Synthetic];1
Handmixer / Phillips Robust HR 1581;Inner Device Heat Gains;0 h 05 min 100% [Synthetic];1
Handmixer / Phillips Robust HR 1581;Reactive;0 h 05 min 100% [Synthetic];1
Juicer / Moulinex Vitafruit;Apparent;0 h 10 min 100% [Synthetic];11
Juicer / Moulinex Vitafruit;Electricity;0 h 10 min 100% [Synthetic];11
Juicer / Moulinex Vitafruit;Inner Device Heat Gains;0 h 10 min 100% [Synthetic];11
Juicer / Moulinex Vitafruit;Reactive;0 h 10 min 100% [Synthetic];11
Kitchen Light (100W);Apparent;Kitchen - light [Synthetic for Light Device];7
Kitchen Light (100W);Electricity;Kitchen - light [Synthetic for Light Device];7
Kitchen Light (100W);Inner Device Heat Gains;Kitchen - light [Synthetic for Light Device];7
Kitchen Light (100W);Reactive;Kitchen - light [Synthetic for Light Device];7
Kitchen Sink (10L/min);Cold Water;0 h 01 min 100% [Synthetic];2
Kitchen Sink (10L/min);Warm Water;0 h 01 min 25% [unknown];35
Kitchen Stove / Bauknecht Heko 750 PT Kitchen stove left hind - full power;Apparent;0 h 10 min 100% [Synthetic];2
Kitchen Stove / Bauknecht Heko 750 PT Kitchen stove left hind - full power;Electricity;0 h 10 min 100% [Synthetic];2
Kitchen Stove / Bauknecht Heko 750 PT Kitchen stove left hind - full power;Inner Device Heat Gains;0 h 10 min 100% [Synthetic];2
Kitchen Stove / Bauknecht Heko 750 PT Kitchen stove left hind - full power;Reactive;0 h 10 min 100% [Synthetic];2
Kitchen radio / AEG KRC 4323 CD;Apparent;0 h 30 min 100% [Synthetic];2
Kitchen radio / AEG KRC 4323 CD;Apparent;01 h 0 min 100% [Synthetic];11
Kitchen radio / AEG KRC 4323 CD;Apparent;Standby TV / Receiver (Substitute) 1 h 0 min 9% [Synthetic];120
Kitchen radio / AEG KRC 4323 CD;Electricity;0 h 30 min 100% [Synthetic];2
Kitchen radio / AEG KRC 4323 CD;Electricity;01 h 0 min 100% [Synthetic];11
Kitchen radio / AEG KRC 4323 CD;Electricity;Standby TV / Receiver (Substitute) 1 h 0 min 9% [Synthetic];120
Kitchen radio / AEG KRC 4323 CD;Inner Device Heat Gains;0 h 30 min 100% [Synthetic];2
Kitchen radio / AEG KRC 4323 CD;Inner Device Heat Gains;01 h 0 min 100% [Synthetic];11
Kitchen radio / AEG KRC 4323 CD;Inner Device Heat Gains;Standby TV / Receiver (Substitute) 1 h 0 min 9% [Synthetic];120
Kitchen radio / AEG KRC 4323 CD;Reactive;0 h 30 min 100% [Synthetic];2
Kitchen radio / AEG KRC 4323 CD;Reactive;01 h 0 min 100% [Synthetic];11
Kitchen radio / AEG KRC 4323 CD;Reactive;Standby TV / Receiver (Substitute) 1 h 0 min 9% [Synthetic];120
Laptop Sony Vaio SVE151G11M;Apparent;Profile for Laptop Sony Vaio SVE151G11M 2h Apparent [Measurement by ZSW (1min)];2
Laptop Sony Vaio SVE151G11M;Apparent;Standby Generic 1h 0 min 10% [Synthetic];121
Laptop Sony Vaio SVE151G11M;Electricity;Profile for Laptop Sony Vaio SVE151G11M 2h Electricity [Measurement by ZSW (1min)];2
Laptop Sony Vaio SVE151G11M;Electricity;Standby Generic 1h 0 min 10% [Synthetic];121
Laptop Sony Vaio SVE151G11M;Inner Device Heat Gains;Profile for Laptop Sony Vaio SVE151G11M 2h Electricity [Measurement by ZSW (1min)];2
Laptop Sony Vaio SVE151G11M;Inner Device Heat Gains;Standby Generic 1h 0 min 10% [Synthetic];121
Laptop Sony Vaio SVE151G11M;Reactive;Profile for Laptop Sony Vaio SVE151G11M 2h Reactive [Measurement by ZSW (1min)];2
Laptop Sony Vaio SVE151G11M;Reactive;Standby Generic 1h 0 min 10% [Synthetic];121
Living Room Light (100W);Apparent;Living room - light [Synthetic for Light Device];18
Living Room Light (100W);Electricity;Living room - light [Synthetic for Light Device];18
Living Room Light (100W);Inner Device Heat Gains;Living room - light [Synthetic for Light Device];18
Living Room Light (100W);Reactive;Living room - light [Synthetic for Light Device];18
Microwave / Panasonic NN 5259;Apparent;0 h 10 min 100% [Synthetic];3
Microwave / Panasonic NN 5259;Apparent;Standby Generic 01 h 0 min 1% [Synthetic];119
Microwave / Panasonic NN 5259;Electricity;0 h 10 min 100% [Synthetic];3
Microwave / Panasonic NN 5259;Electricity;Standby Generic 01 h 0 min 1% [Synthetic];119
Microwave / Panasonic NN 5259;Inner Device Heat Gains;0 h 10 min 100% [Synthetic];3
Microwave / Panasonic NN 5259;Inner Device Heat Gains;Standby Generic 01 h 0 min 1% [Synthetic];119
Microwave / Panasonic NN 5259;Reactive;0 h 10 min 100% [Synthetic];3
Microwave / Panasonic NN 5259;Reactive;Standby Generic 01 h 0 min 1% [Synthetic];119
Miele DG 1450;Apparent;Backing profile I 20 min [Synthetic];2
Miele DG 1450;Apparent;Backing profile II 30 min [Synthetic];1
Miele DG 1450;Electricity;Backing profile I 20 min [Synthetic];2
Miele DG 1450;Electricity;Backing profile II 30 min [Synthetic];1
Miele DG 1450;Inner Device Heat Gains;Backing profile I 20 min [Synthetic];2
