CHS04 Margot (68/Female)
Activity;Time Used [60 seconds];Percentage
hygiene;557;0,19
cooking;261;0,09
Passive Entertainment (TV etc.);298;0,10
cleaning;368;0,13
sleep;689;0,24
school;193;0,07
Offline Entertainment;179;0,06
shopping;213;0,07
Active Entertainment (Computer, Internet etc);122;0,04
CHS04 August (71/Male)
Activity;Time Used [60 seconds];Percentage
cooking;584;0,20
hygiene;93;0,03
gardening and maintenance;352;0,12
sleep;666;0,23
Passive Entertainment (TV etc.);406;0,14
school;193;0,07
Offline Entertainment;393;0,14
Entertainment;193;0,07
