------
CHS04 Margot (68/Female);Time;Basic Tagging;Tagging Set For Planning;Wo bleibt die Zeit;
go to the toilet;405;hygiene;go to the toilet;Hygiene
eat breakfast (1 h);123;cooking;eat breakfast (1 h);Food
get ready in the morning (women);34;hygiene;get ready in the morning (women);Hygiene
watch sports on TV with SAT Reciever (2 h);128;recreation;watch sports on TV with SAT Reciever (2 h);Media Use
do laundry at 30°C (by variable);19;cleaning;do laundry at 30°C (by variable);Unpaid Work
sewing cloths;239;cleaning;sewing cloths;Unpaid Work
cook pasta and eat it;22;cooking;cook pasta and eat it;Food
clean the bath;59;cleaning;clean the bath;Unpaid Work
hang up laundry outside;33;cleaning;hang up laundry outside;Unpaid Work
take a nap;67;sleeping;take a nap;Sleep
take a shower without hair washing (women);62;hygiene;take a shower without hair washing (women);Hygiene
fry two eggs and eat them with toast;15;cooking;fry two eggs and eat them with toast;Food
go to community college;193;recreation;go to community college;Work / School
watch TV (1 h);119;recreation;watch TV (1 h);Media Use
make soup;15;cooking;make soup;Food
read a book on the couch only 9:00 to 22:00;116;recreation;read a book on the couch only 9:00 to 22:00;Hobby
sleep bed 02 (08 h);622;sleeping;sleep bed 02 (08 h);Sleep
take a shower with hair washing (women) (20 min hair drying);56;hygiene;take a shower with hair washing (women) (20 min hair drying);Hygiene
run the dishwasher (triggered);18;cleaning;run the dishwasher (triggered);Unpaid Work
go shopping for food on the market (2 h);118;shopping;go shopping for food on the market (2 h);Unpaid Work
play board games (1 h);63;recreation;play board games (1 h);Games
make frozen pizza and eat it;29;cooking;make frozen pizza and eat it;Food
go shopping for food in the supermarket (1_5 h);95;shopping;go shopping for food in the supermarket (1_5 h);Unpaid Work
bake a cake;34;cooking;bake a cake;Food
send email from the laptop (2 h);122;recreation;send email from the laptop (2 h);Media Use
heat up leftovers;23;cooking;heat up leftovers;Food
watch TV with someone (watch sports on TV with SAT Reciever (2 h));51;recreation;watch sports on TV with SAT Reciever (2 h);Media Use
------
CHS04 August (71/Male);Time;Basic Tagging;Tagging Set For Planning;Wo bleibt die Zeit;
eat a cooked meal (interrupting) (eat breakfast (1 h));424;cooking;eat breakfast (1 h);Food
go to the toilet;39;hygiene;go to the toilet;Hygiene
get ready in the morning (men);11;hygiene;get ready in the morning (men);Hygiene
take a shower (men);43;hygiene;take a shower (men);Hygiene
eat breakfast (1 h);148;cooking;eat breakfast (1 h);Food
do it yourself house fixing and building;254;recreation;do it yourself house fixing and building;Hobby
take a nap;132;sleeping;take a nap;Sleep
watch a movie for 2 h;101;recreation;watch a movie for 2 h;Media Use
relax in the garden;98;recreation;relax in the garden;Hobby
watch a movie for 1 h 30 min;119;recreation;watch a movie for 1 h 30 min;Media Use
go to community college together (go to community college);193;recreation;go to community college;Work / School
read a newspaper for 30min;62;recreation;read a newspaper for 30min;Media Use
read a book on the couch all the time;114;shopping;read a book on the couch all the time;Entertainment
watch TV (1 h);63;recreation;watch TV (1 h);Media Use
sleep bed 01 (08 h);534;sleeping;sleep bed 01 (08 h);Sleep
play board games (1 h);56;recreation;play board games (1 h);Games
invite friends for coffee;161;recreation;invite friends for coffee;Contacts
do volunteer work;193;recreation;do volunteer work;Unpaid Work
watch sports on TV with SAT Reciever (2 h);123;recreation;watch sports on TV with SAT Reciever (2 h);Media Use
eat a cooked meal (interrupting) (heat up leftovers);12;cooking;heat up leftovers;Food
