Apparent.Time;Time span;Living Room Light (100W) [VA];Kitchen Light (100W) [VA];Cellar Light (200W) [VA];Bathroom Light (100W) [VA];Bathroom Mirror Light 10 W (LED) [VA];Bedroom Light (200W) [VA];Egg Cooker / Russell Hobbs 14048-56 Stylo [VA];Juicer / Moulinex Vitafruit [VA];Kitchen radio / AEG KRC 4323 CD [VA];Single Stove Plate [VA];Nespresso Coffee Machine, Single Cup [VA];Food Slicer / DOMO Schneidemaschine DO521S [VA];Toaster Salco MT 400 [VA];Electric Kettle / Petra WK288 1.5L [VA];AEG PN 2200 RX 4935365097 [VA];Hand-held Circular Saw / Bosch PKS 46 [VA];Skil 4270 [VA];Polishing Machine / Flex L 602 VR [VA];Hedge Trimmer / Bosch AHS 550-24 ST [VA];Atika LH 2500 G [VA];Lawn Mower / Sabo 32-EL [VA];Energy Saving Lamp / EL-REF 11 E27 [VA];CD/DVD Player / Philips DVDR 725 H [VA];TV Medion MD20123_DE_A [VA];SAT Receiver / Kathrein UFS913 [VA];Miele DG 1450 [VA];Handmixer / Phillips Robust HR 1581 [VA];Extractor Hood / Miele DA 429-4 [VA];Kitchen Stove / Bauknecht Heko 750 PT Kitchen stove left hind - full power [VA];Microwave / Panasonic NN 5259 [VA];Dishwasher NEFF SD6P1F (2011) [VA];Laptop Sony Vaio SVE151G11M [VA];Steam Iron / Phillips GC 4410 [VA];Washing Machine / Bosch WAE 28143 [VA];AEG NM 2701 Premium [VA];Hair Dryer Braun Silencio 1250 [VA];Canister vacuum cleaner / Siemens VS 06 G 1831 [VA];Siemens Kl 20 LA 65 (A+) [VA];Electric Razor Braun Cruzer 5 [VA];Electric Toothbrush Dondodent Professional Clean [VA];Router O2 Box 6431 [VA];
0;00:00:00;0;0;0;0;0;0;0;0;0,8323078135258627;0;0;0;0;0;0;0;0;0;0;0;0;0;0,7094192489047149;0,5700000000000001;0,8780543960216874;0;0;0;0;7,467718877625233;0;3,8000000000000003;0;0;0;0;0;0;2,92629081967213;4,01463278688525;11,3268114754098;
1;00:01:00;0;0;0;0;0;0;0;0;0,8871548310425073;0;0;0;0;0;0;0;0;0;0;0;0;0;0,7409560462492358;0,5700000000000001;0,908816666551206;0;0;0;0;8,00534506362955;0;3,8000000000000003;0;0;0;0;0;0;2,92629081967213;4,01463278688525;11,3268114754098;
2;00:02:00;0;0;0;0;0;0;0;0;0,933562887236913;0;0;0;0;0;0;0;0;0;0;0;0;0;0,758142583545472;0,5700000000000001;0,9159332119279625;0;0;0;0;8,028585504038626;0;3,8000000000000003;0;0;0;0;0;0;2,92629081967213;4,01463278688525;11,3268114754098;
3;00:03:00;0;0;0;0;0;0;0;0;0,9556695597504172;0;0;0;0;0;0;0;0;0;0;0;0;0;0,761130166721595;0,5700000000000001;0,939071960718682;0;0;0;0;8,234341776327303;0;3,8000000000000003;0;0;0;0;0;0;2,92629081967213;4,01463278688525;11,3268114754098;
4;00:04:00;0;0;0;0;0;0;0;0;0,9666411465680593;0;0;0;0;0;0;0;0;0;0;0;0;0;0,7760494831971756;0,5700000000000001;0,9635472554033164;0;0;0;0;8,308420730042837;0;3,8000000000000003;0;0;0;0;0;0;2,92629081967213;4,01463278688525;11,3268114754098;
5;00:05:00;0;0;0;0;0;0;0;0;0,9882341905528794;0;0;0;0;0;0;0;0;0;0;0;0;0;0,7838815603885263;0,5700000000000001;0,9681309063916812;0;0;0;0;8,439313483216246;0;3,8000000000000003;0;0;0;0;0;0;2,92629081967213;4,01463278688525;11,3268114754098;
6;00:06:00;0;0;0;0;0;0;0;0;0,9902651649496517;0;0;0;0;0;0;0;0;0;0;0;0;0;0,7897061449346418;0,5700000000000001;0,979788729693228;0;0;0;0;8,448316010063275;0;3,8000000000000003;0;0;0;0;0;0;2,92629081967213;4,01463278688525;11,3268114754098;
7;00:07:00;0;0;0;0;0;0;0;0;0,9999104723695548;0;0;0;0;0;0;0;0;0;0;0;0;0;0,793587379522643;0,5700000000000001;0,9862803709400348;0;0;0;0;8,490590092955593;0;3,8000000000000003;0;0;0;0;0;0;2,92629081967213;4,01463278688525;11,3268114754098;
8;00:08:00;0;0;0;0;0;0;0;0;1,0025733098542646;0;0;0;0;0;0;0;0;0;0;0;0;0;0,7941337468461119;0,5700000000000001;0,986671388323067;0;0;0;0;8,636301711906478;0;3,8000000000000003;0;0;0;0;0;0;2,92629081967213;4,01463278688525;11,3268114754098;
9;00:09:00;0;0;0;0;0;0;0;0;1,0049511741843564;0;0;0;0;0;0;0;0;0;0;0;0;0;0,7972983113575497;0,5700000000000001;0,9899067950299272;0;0;0;0;8,662998329329326;0;3,8000000000000003;0;0;0;0;0;0;2,92629081967213;4,01463278688525;11,3268114754098;
10;00:10:00;0;0;0;0;0;0;0;0;1,007468536410327;0;0;0;0;0;0;0;0;0;0;0;0;0;0,8079404838794623;0,5700000000000001;1,0034561934111703;0;0;0;0;8,680022668167446;0;3,8000000000000003;0;0;0;0;0;0;2,92629081967213;4,01463278688525;11,3268114754098;
11;00:11:00;0;0;0;0;0;0;0;0;1,007783013098697;0;0;0;0;0;0;0;0;0;0;0;0;0;0,8107485137733478;0,5700000000000001;1,0045338108987458;0;0;0;0;8,692963991688222;0;3,8000000000000003;0;0;0;0;0;0;2,92629081967213;4,01463278688525;11,3268114754098;
12;00:12:00;0;0;0;0;0;0;0;0;1,013889887737975;0;0;0;0;0;0;0;0;0;0;0;0;0;0,8109760408415643;0,5700000000000001;1,0068090955800073;0;0;0;0;8,765197416034988;0;3,8000000000000003;0;0;0;0;0;0;2,92629081967213;4,01463278688525;11,3268114754098;
13;00:13:00;0;0;0;0;0;0;0;0;1,0173706003078604;0;0;0;0;0;0;0;0;0;0;0;0;0;0,8120501153309071;0,5700000000000001;1,0104988185132218;0;0;0;0;8,824490357736789;0;3,8000000000000003;0;0;0;0;0;0;2,92629081967213;4,01463278688525;11,3268114754098;
14;00:14:00;0;0;0;0;0;0;0;0;1,0177895348497712;0;0;0;0;0;0;0;0;0;0;0;0;0;0,8162826064748745;0,5700000000000001;1,0135225746983583;0;0;0;0;8,830748283608687;0;3,8000000000000003;0;0;0;0;0;0;2,92629081967213;4,01463278688525;11,3268114754098;
15;00:15:00;0;0;0;0;0;0;0;0;1,0178057213772516;0;0;0;0;0;0;0;0;0;0;0;0;0;0,8174293901855365;0,5700000000000001;1,018135787552047;0;0;0;0;8,833943413210772;0;3,8000000000000003;0;0;0;0;0;0;2,92629081967213;4,01463278688525;11,3268114754098;
16;00:16:00;0;0;0;0;0;0;0;0;1,0184494472237753;0;0;0;0;0;0;0;0;0;0;0;0;0;0,8221527803335474;0,5700000000000001;1,0212025134085154;0;0;0;0;8,894645817411494;0;3,8000000000000003;0;0;0;0;0;0;2,92629081967213;4,01463278688525;11,3268114754098;
17;00:17:00;0;0;0;0;0;0;0;0;1,0232493464935764;0;0;0;0;0;0;0;0;0;0;0;0;0;0,8260147819541681;0,5700000000000001;1,0268862280477395;0;0;0;0;8,927706145640906;0;3,8000000000000003;0;0;0;0;0;0;2,92629081967213;4,01463278688525;11,3268114754098;
18;00:18:00;0;0;0;0;0;0;0;0;1,0282014797372938;0;0;0;0;0;0;0;0;0;0;0;0;0;0,8263716599291279;0,5700000000000001;1,0360581035125187;0;0;0;0;8,956576892328009;0;3,8000000000000003;0;0;0;0;0;0;2,92629081967213;4,01463278688525;11,3268114754098;
19;00:19:00;0;0;0;0;0;0;0;0;1,0307919486479242;0;0;0;0;0;0;0;0;0;0;0;0;0;0,8279569789921045;0,5700000000000001;1,0399608709447206;0;0;0;0;8,97866941865381;0;3,8000000000000003;0;0;0;0;0;0;2,92629081967213;4,01463278688525;11,3268114754098;
20;00:20:00;0;0;0;0;0;0;0;0;1,0331381586980692;0;0;0;0;0;0;0;0;0;0;0;0;0;0,8306245047675744;0,5700000000000001;1,039968815405258;0;0;0;0;9,015719718721286;0;3,8000000000000003;0;0;0;0;0;0;2,92629081967213;4,01463278688525;11,3268114754098;
21;00:21:00;0;0;0;0;0;0;0;0;1,033582347047528;0;0;0;0;0;0;0;0;0;0;0;0;0;0,8363894358369476;0,5700000000000001;1,0430370733812546;0;0;0;0;9,033424296634253;0;3,8000000000000003;0;0;0;0;0;0;2,92629081967213;4,01463278688525;11,3268114754098;
22;00:22:00;0;0;0;0;0;0;0;0;1,037148075772963;0;0;0;0;0;0;0;0;0;0;0;0;0;0,8368270510522461;0,5700000000000001;1,0471930049057467;0;0;0;0;9,036618059719235;0;3,8000000000000003;0;0;0;0;0;0;2,92629081967213;4,01463278688525;11,3268114754098;
23;00:23:00;0;0;0;0;0;0;0;0;1,042558665153103;0;0;0;0;0;0;0;0;0;0;0;0;0;0,836896275690937;0,5700000000000001;1,0478029370853668;0;0;0;0;9,061681274002472;0;3,8000000000000003;0;0;0;0;0;0;2,92629081967213;4,01463278688525;11,3268114754098;
24;00:24:00;0;0;0;0;0;0;0;0;1,0430862646763448;0;0;0;0;0;0;0;0;0;0;0;0;0;0,8386653633367148;0,5700000000000001;1,0506645397374448;0;0;0;0;9,072528206738202;0;3,8000000000000003;0;0;0;0;0;0;2,92629081967213;4,01463278688525;11,3268114754098;
25;00:25:00;0;0;0;0;0;0;0;0;1,0445286249089671;0;0;0;0;0;0;0;0;0;0;0;0;0;0,8391692257494184;0,5700000000000001;1,0508617551012651;0;0;0;0;9,090186837764767;0;3,8000000000000003;0;0;0;0;0;0;2,92629081967213;4,01463278688525;11,3268114754098;
26;00:26:00;0;0;0;0;0;0;0;0;1,046534428344647;0;0;0;0;0;0;0;0;0;0;0;0;0;0,845056103763042;0,5700000000000001;1,0508672640292684;0;0;0;0;9,09094483092926;0;3,8000000000000003;0;0;0;0;0;0;2,92629081967213;4,01463278688525;11,3268114754098;
27;00:27:00;0;0;0;0;0;0;0;0;1,0493248479729198;0;0;0;0;0;0;0;0;0;0;0;0;0;0,845224656124882;0,5700000000000001;1,0516269726132044;0;0;0;0;9,099736833447805;0;3,8000000000000003;0;0;0;0;0;0;2,92629081967213;4,01463278688525;11,3268114754098;
28;00:28:00;0;0;0;0;0;0;0;0;1,049452935350826;0;0;0;0;0;0;0;0;0;0;0;0;0;0,8453583064961055;0,5700000000000001;1,05375117017038;0;0;0;0;9,102799307531075;0;3,8000000000000003;0;0;0;0;0;0;2,92629081967213;4,01463278688525;11,3268114754098;
29;00:29:00;0;0;0;0;0;0;0;0;1,0495468146466365;0;0;0;0;0;0;0;0;0;0;0;0;0;0,8469776158229191;0,5700000000000001;1,0555598267625974;0;0;0;0;9,124899818434235;0;3,8000000000000003;0;0;0;0;0;0;2,92629081967213;4,01463278688525;11,3268114754098;
30;00:30:00;0;0;0;0;0;0;0;0;1,0496053808460186;0;0;0;0;0;0;0;0;0;0;0;0;0;0,8471539728872547;0,5700000000000001;1,0568193995082633;0;0;0;0;9,132832327997786;0;3,8000000000000003;0;0;0;0;0;0;2,92629081967213;4,01463278688525;11,3268114754098;
31;00:31:00;0;0;0;0;0;0;0;0;1,0519117226089945;0;0;0;0;0;0;0;0;0;0;0;0;0;0,8510496159946134;0,5700000000000001;1,0573758651065224;0;0;0;0;9,138480058249172;0;3,8000000000000003;0;0;0;0;0;0;2,92629081967213;4,01463278688525;11,3268114754098;
32;00:32:00;0;0;0;0;0;0;0;0;1,0519877962777595;0;0;0;0;0;0;0;0;0;0;0;0;0;0,8514701316771759;0,5700000000000001;1,0602145618468262;0;0;0;0;9,154044286793251;0;3,8000000000000003;0;0;0;0;0;0;2,92629081967213;4,01463278688525;11,3268114754098;
33;00:33:00;0;0;0;0;0;0;0;0;1,05740734761003;0;0;0;0;0;0;0;0;0;0;0;0;0;0,8518881634312614;0,5700000000000001;1,0603212927663446;0;0;0;0;9,194424429682671;0;3,8000000000000003;0;0;0;0;0;0;2,92629081967213;4,01463278688525;11,3268114754098;
34;00:34:00;0;0;0;0;0;0;0;0;1,0574281106097592;0;0;0;0;0;0;0;0;0;0;0;0;0;0,8521099345818768;0,5700000000000001;1,062994301562735;0;0;0;0;9,194525344561251;0;3,8000000000000003;0;0;0;0;0;0;2,92629081967213;4,01463278688525;11,3268114754098;
35;00:35:00;0;0;0;0;0;0;0;0;1,0586165187405019;0;0;0;0;0;0;0;0;0;0;0;0;0;0,852131213621761;0,5700000000000001;1,0636953231464878;0;0;0;0;9,219161149093818;0;3,8000000000000003;0;0;0;0;0;0;2,92629081967213;4,01463278688525;11,3268114754098;
36;00:36:00;0;0;0;0;0;0;0;0;1,0604246133360764;0;0;0;0;0;0;0;0;0;0;0;0;0;0,8550815351834182;0,5700000000000001;1,064103957295854;0;0;0;0;9,230941094490335;0;3,8000000000000003;0;0;0;0;0;0;2,92629081967213;4,01463278688525;11,3268114754098;
37;00:37:00;0;0;0;0;0;0;0;0;1,0608132309935991;0;0;0;0;0;0;0;0;0;0;0;0;0;0,8554963157682272;0,5700000000000001;1,0646042911237736;0;0;0;0;9,240310380751856;0;3,8000000000000003;0;0;0;0;0;0;2,92629081967213;4,01463278688525;11,3268114754098;
38;00:38:00;0;0;0;0;0;0;0;0;1,0640392330319293;0;0;0;0;0;0;0;0;0;0;0;0;0;0,8562843253973174;0,5700000000000001;1,0665479203850805;0;0;0;0;9,252281964805661;0;3,8000000000000003;0;0;0;0;0;0;2,92629081967213;4,01463278688525;11,3268114754098;
39;00:39:00;0;0;0;0;0;0;0;0;1,0661687163063194;0;0;0;0;0;0;0;0;0;0;0;0;0;0,8579342907931089;0,5700000000000001;1,0670235001233388;0;0;0;0;9,265608091960257;0;3,8000000000000003;0;0;0;0;0;0;2,92629081967213;4,01463278688525;11,3268114754098;
40;00:40:00;0;0;0;0;0;0;0;0;1,066335500945104;0;0;0;0;0;0;0;0;0;0;0;0;0;0,8591686682484873;0,5700000000000001;1,0678969626200037;0;0;0;0;9,267828664410336;0;3,8000000000000003;0;0;0;0;0;0;2,92629081967213;4,01463278688525;11,3268114754098;
41;00:41:00;0;0;0;0;0;0;0;0;1,0681639514425452;0;0;0;0;0;0;0;0;0;0;0;0;0;0,8609176682316563;0,5700000000000001;1,0682436111601705;0;0;0;0;9,280420528806385;0;3,8000000000000003;0;0;0;0;0;0;2,92629081967213;4,01463278688525;11,3268114754098;
42;00:42:00;0;0;0;0;0;0;0;0;1,0686478722932502;0;0;0;0;0;0;0;0;0;0;0;0;0;0,8623556277159729;0,5700000000000001;1,0683658397128717;0;0;0;0;9,283210336989365;0;3,8000000000000003;0;0;0;0;0;0;2,92629081967213;4,01463278688525;11,3268114754098;
43;00:43:00;0;0;0;0;0;0;0;0;1,070631342362714;0;0;0;0;0;0;0;0;0;0;0;0;0;0,8625490345913442;0,5700000000000001;1,0687747120754303;0;0;0;0;9,292475023715546;0;3,8000000000000003;0;0;0;0;0;0;2,92629081967213;4,01463278688525;11,3268114754098;
44;00:44:00;0;0;0;0;0;0;0;0;1,071164087473045;0;0;0;0;0;0;0;0;0;0;0;0;0;0,8628022241718972;0,5700000000000001;1,0690514688633728;0;0;0;0;9,302634305854529;0;3,8000000000000003;0;0;0;0;0;0;2,92629081967213;4,01463278688525;11,3268114754098;
45;00:45:00;0;0;0;0;0;0;0;0;1,0712754806408298;0;0;0;0;0;0;0;0;0;0;0;0;0;0,863259230116892;0,5700000000000001;1,0702294530590204;0;0;0;0;9,320532898989182;0;3,8000000000000003;0;0;0;0;0;0;2,92629081967213;4,01463278688525;11,3268114754098;
46;00:46:00;0;0;0;0;0;0;0;0;1,0714248949439864;0;0;0;0;0;0;0;0;0;0;0;0;0;0,8642686802704488;0,5700000000000001;1,071118305697281;0;0;0;0;9,322420088595212;0;3,8000000000000003;0;0;0;0;0;0;2,92629081967213;4,01463278688525;11,3268114754098;
47;00:47:00;0;0;0;0;0;0;0;0;1,0718494935190233;0;0;0;0;0;0;0;0;0;0;0;0;0;0,8642898005846776;0,5700000000000001;1,0744079436084502;0;0;0;0;9,341185750069613;0;3,8000000000000003;0;0;0;0;0;0;2,92629081967213;4,01463278688525;11,3268114754098;
48;00:48:00;0;0;0;0;0;0;0;0;1,073179855505501;0;0;0;0;0;0;0;0;0;0;0;0;0;0,8659772255780076;0,5700000000000001;1,0759156812483992;0;0;0;0;9,354342631910157;0;3,8000000000000003;0;0;0;0;0;0;2,92629081967213;4,01463278688525;11,3268114754098;
49;00:49:00;0;0;0;0;0;0;0;0;1,078369607176772;0;0;0;0;0;0;0;0;0;0;0;0;0;0,8666149127236036;0,5700000000000001;1,0766877897513785;0;0;0;0;9,358087535502428;0;3,8000000000000003;0;0;0;0;0;0;2,92629081967213;4,01463278688525;11,3268114754098;
50;00:50:00;0;0;0;0;0;0;0;0;1,079043643697186;0;0;0;0;0;0;0;0;0;0;0;0;0;0,8673336119493675;0,5700000000000001;1,07790674234157;0;0;0;0;9,372749250938226;0;3,8000000000000003;0;0;0;0;0;0;2,92629081967213;4,01463278688525;11,3268114754098;
51;00:51:00;0;0;0;0;0;0;0;0;1,0793969174832239;0;0;0;0;0;0;0;0;0;0;0;0;0;0,8673824277174133;0,5700000000000001;1,077915081504767;0;0;0;0;9,375870036327516;0;3,8000000000000003;0;0;0;0;0;0;2,92629081967213;4,01463278688525;11,3268114754098;
52;00:52:00;0;0;0;0;0;0;0;0;1,0796459764223385;0;0;0;0;0;0;0;0;0;0;0;0;0;0,8675016574820308;0,5700000000000001;1,0781270767679099;0;0;0;0;9,382048552855906;0;3,8000000000000003;0;0;0;0;0;0;2,92629081967213;4,01463278688525;11,3268114754098;
53;00:53:00;0;0;0;0;0;0;0;0;1,0801861051537087;0;0;0;0;0;0;0;0;0;0;0;0;0;0,8680883486393622;0,5700000000000001;1,0794180896657197;0;0;0;0;9,38479916436958;0;3,8000000000000003;0;0;0;0;0;0;2,92629081967213;4,01463278688525;11,3268114754098;
54;00:54:00;0;0;0;0;0;0;0;0;1,0808624169335843;0;0;0;0;0;0;0;0;0;0;0;0;0;0,8699051541980666;0,5700000000000001;1,079632241125254;0;0;0;0;9,385326186849731;0;3,8000000000000003;0;0;0;0;0;0;2,92629081967213;4,01463278688525;11,3268114754098;
55;00:55:00;0;0;0;0;0;0;0;0;1,0823786782601952;0;0;0;0;0;0;0;0;0;0;0;0;0;0,8703305090819423;0,5700000000000001;1,0796754439453997;0;0;0;0;9,39038857421304;0;3,8000000000000003;0;0;0;0;0;0;2,92629081967213;4,01463278688525;11,3268114754098;
56;00:56:00;0;0;0;0;0;0;0;0;1,082609240716361;0;0;0;0;0;0;0;0;0;0;0;0;0;0,8707806828225425;0,5700000000000001;1,0801698351442899;0;0;0;0;9,398277105221828;0;3,8000000000000003;0;0;0;0;0;0;2,92629081967213;4,01463278688525;11,3268114754098;
57;00:57:00;0;0;0;0;0;0;0;0;1,0873062305696874;0;0;0;0;0;0;0;0;0;0;0;0;0;0,871022585779248;0,5700000000000001;1,0801756811176626;0;0;0;0;9,3999116539291;0;3,8000000000000003;0;0;0;0;0;0;2,92629081967213;4,01463278688525;11,3268114754098;
58;00:58:00;0;0;0;0;0;0;0;0;1,0877836798881317;0;0;0;0;0;0;0;0;0;0;0;0;0;0,8712476991972733;0,5700000000000001;1,0829061706550822;0;0;0;0;9,400354649032815;0;3,8000000000000003;0;0;0;0;0;0;2,92629081967213;4,01463278688525;11,3268114754098;
59;00:59:00;0;0;0;0;0;0;0;0;1,0883778166798788;0;0;0;0;0;0;0;0;0;0;0;0;0;0,8719410042719128;0,5700000000000001;1,0831138237168139;0;0;0;0;9,402268425134388;0;3,8000000000000003;0;0;0;0;0;0;2,92629081967213;4,01463278688525;11,3268114754098;
60;01:00:00;0;0;0;0;0;0;0;0;1,0886548307588482;0;0;0;0;0;0;0;0;0;0;0;0;0;0,8723490294082006;0,5700000000000001;1,0841769158794528;0;0;0;0;9,405741545284366;0;3,8000000000000003;0;0;0;0;0;0;2,92629081967213;4,01463278688525;11,3268114754098;
61;01:01:00;0;0;0;0;0;0;0;0;1,0901055490188762;0;0;0;0;0;0;0;0;0;0;0;0;0;0,8743238210814346;0,5700000000000001;1,084299637068184;0;0;0;0;9,420191263763801;0;3,8000000000000003;0;0;0;0;0;0;2,92629081967213;4,01463278688525;11,3268114754098;
62;01:02:00;0;0;0;0;0;0;0;0;1,0912459215311234;0;0;0;0;0;0;0;0;0;0;0;0;0;0,8748207718733437;0,5700000000000001;1,0861093339218386;0;0;0;0;9,426637574843797;0;3,8000000000000003;0;0;0;0;0;0;2,92629081967213;4,01463278688525;11,3268114754098;
63;01:03:00;0;0;0;0;0;0;0;0;1,0913614248510726;0;0;0;0;0;0;0;0;0;0;0;0;0;0,875751922712958;0,5700000000000001;1,0862413014253576;0;0;0;0;9,427286628085337;0;3,8000000000000003;0;0;0;0;0;0;2,92629081967213;4,01463278688525;11,3268114754098;
64;01:04:00;0;0;0;0;0;0;0;0;1,092688716419092;0;0;0;0;0;0;0;0;0;0;0;0;0;0,875966138565975;0,5700000000000001;1,0866557099742957;0;0;0;0;9,429784416657222;0;3,8000000000000003;0;0;0;0;0;0;2,92629081967213;4,01463278688525;11,3268114754098;
65;01:05:00;0;0;0;0;0;0;0;0;1,0928690256949336;0;0;0;0;0;0;0;0;0;0;0;0;0;0,8768668139912842;0,5700000000000001;1,0882101972143814;0;0;0;0;9,443171888973819;0;3,8000000000000003;0;0;0;0;0;0;2,92629081967213;4,01463278688525;11,3268114754098;
66;01:06:00;0;0;0;0;0;0;0;0;1,094781693684734;0;0;0;0;0;0;0;0;0;0;0;0;0;0,8775363701091972;0,5700000000000001;1,0897750206644847;0;0;0;0;9,4440878115478;0;3,8000000000000003;0;0;0;0;0;0;2,92629081967213;4,01463278688525;11,3268114754098;
67;01:07:00;0;0;0;0;0;0;0;0;1,0952582229040286;0;0;0;0;0;0;0;0;0;0;0;0;0;0,8778421902452993;0,5700000000000001;1,090877644320992;0;0;0;0;9,451670193933948;0;3,8000000000000003;0;0;0;0;0;0;2,92629081967213;4,01463278688525;11,3268114754098;
68;01:08:00;0;0;0;0;0;0;0;0;1,09552017822872;0;0;0;0;0;0;0;0;0;0;0;0;0;0,878620350080766;0,5700000000000001;1,0913853797148658;0;0;0;0;9,45169770082387;0;3,8000000000000003;0;0;0;0;0;0;2,92629081967213;4,01463278688525;11,3268114754098;
