Inner Device Heat Gains.Time;Time span;Living Room Light (100W) [Watt];Kitchen Light (100W) [Watt];Cellar Light (200W) [Watt];Bathroom Light (100W) [Watt];Bathroom Mirror Light 10 W (LED) [Watt];Bedroom Light (200W) [Watt];Egg Cooker / Russell Hobbs 14048-56 Stylo [Watt];Juicer / Moulinex Vitafruit [Watt];Kitchen radio / AEG KRC 4323 CD [Watt];Single Stove Plate [Watt];Nespresso Coffee Machine, Single Cup [Watt];Food Slicer / DOMO Schneidemaschine DO521S [Watt];Toaster Salco MT 400 [Watt];Electric Kettle / Petra WK288 1.5L [Watt];AEG PN 2200 RX 4935365097 [Watt];Hand-held Circular Saw / Bosch PKS 46 [Watt];Skil 4270 [Watt];Polishing Machine / Flex L 602 VR [Watt];Hedge Trimmer / Bosch AHS 550-24 ST [Watt];Atika LH 2500 G [Watt];Lawn Mower / Sabo 32-EL [Watt];Energy Saving Lamp / EL-REF 11 E27 [Watt];CD/DVD Player / Philips DVDR 725 H [Watt];TV Medion MD20123_DE_A [Watt];SAT Receiver / Kathrein UFS913 [Watt];Miele DG 1450 [Watt];Handmixer / Phillips Robust HR 1581 [Watt];Extractor Hood / Miele DA 429-4 [Watt];Kitchen Stove / Bauknecht Heko 750 PT Kitchen stove left hind - full power [Watt];Microwave / Panasonic NN 5259 [Watt];Dishwasher NEFF SD6P1F (2011) [Watt];Laptop Sony Vaio SVE151G11M [Watt];Steam Iron / Phillips GC 4410 [Watt];Washing Machine / Bosch WAE 28143 [Watt];AEG NM 2701 Premium [Watt];Hair Dryer Braun Silencio 1250 [Watt];Canister vacuum cleaner / Siemens VS 06 G 1831 [Watt];Siemens Kl 20 LA 65 (A+) [Watt];Electric Razor Braun Cruzer 5 [Watt];Electric Toothbrush Dondodent Professional Clean [Watt];Router O2 Box 6431 [Watt];
0;00:00:00;0;0;0;0;0;0;0;0;0,7906924228495695;0;0;0;0;0;0;0;0;0;0;0;0;0;0,6739482864594792;0,18473968366537588;0,834151676220603;0;0;0;0;7,094332933743971;0;1,658686812981571;0;0;0;0;0;0;0,926795163934426;0,16089737704918;6,11708049180328;
1;00:01:00;0;0;0;0;0;0;0;0;0,8427970894903818;0;0;0;0;0;0;0;0;0;0;0;0;0;0,7039082439367741;0,18856730945906802;0,8633758332236455;0;0;0;0;7,605077810448073;0;1,785885096933662;0;0;0;0;0;0;0,926795163934426;0,16089737704918;6,11708049180328;
2;00:02:00;0;0;0;0;0;0;0;0;0,8868847428750672;0;0;0;0;0;0;0;0;0;0;0;0;0;0,7202354543681985;0,18958494998941694;0,8701365513315643;0;0;0;0;7,627156228836695;0;1,8203744471164052;0;0;0;0;0;0;0,926795163934426;0,16089737704918;6,11708049180328;
3;00:03:00;0;0;0;0;0;0;0;0;0,9078860817628963;0;0;0;0;0;0;0;0;0;0;0;0;0;0,7230736583855153;0,1914419983051412;0,8921183626827479;0;0;0;0;7,822624687510937;0;1,8238805587442373;0;0;0;0;0;0;0,926795163934426;0,16089737704918;6,11708049180328;
4;00:04:00;0;0;0;0;0;0;0;0;0,9183090892396563;0;0;0;0;0;0;0;0;0;0;0;0;0;0,7372470090373169;0,19418510383954582;0,9153698926331506;0;0;0;0;7,892999693540694;0;1,8318606440824916;0;0;0;0;0;0;0,926795163934426;0,16089737704918;6,11708049180328;
5;00:05:00;0;0;0;0;0;0;0;0;0,9388224810252354;0;0;0;0;0;0;0;0;0;0;0;0;0;0,7446874823691001;0,19450357955778805;0,9197243610720971;0;0;0;0;8,017347809055433;0;1,8656278876047248;0;0;0;0;0;0;0,926795163934426;0,16089737704918;6,11708049180328;
6;00:06:00;0;0;0;0;0;0;0;0;0,940751906702169;0;0;0;0;0;0;0;0;0;0;0;0;0;0,7502208376879097;0,1976176485121996;0,9307992932085666;0;0;0;0;8,02590020956011;0;1,8899977138047561;0;0;0;0;0;0;0,926795163934426;0,16089737704918;6,11708049180328;
7;00:07:00;0;0;0;0;0;0;0;0;0,949914948751077;0;0;0;0;0;0;0;0;0;0;0;0;0;0,7539080105465109;0,19922154824286606;0,936966352393033;0;0;0;0;8,066060588307813;0;1,9002010573287687;0;0;0;0;0;0;0,926795163934426;0,16089737704918;6,11708049180328;
8;00:08:00;0;0;0;0;0;0;0;0;0,9524446443615514;0;0;0;0;0;0;0;0;0;0;0;0;0;0,7544270595038064;0,2000210929159408;0,9373378189069136;0;0;0;0;8,204486626311155;0;1,9175360697876527;0;0;0;0;0;0;0,926795163934426;0,16089737704918;6,11708049180328;
9;00:09:00;0;0;0;0;0;0;0;0;0,9547036154751386;0;0;0;0;0;0;0;0;0;0;0;0;0;0,7574333957896723;0,20072962197337488;0,9404114552784307;0;0;0;0;8,229848412862859;0;1,9207104073541015;0;0;0;0;0;0;0,926795163934426;0,16089737704918;6,11708049180328;
