Reactive.Time;Time span;Living Room Light (100W) [var];Kitchen Light (100W) [var];Cellar Light (200W) [var];Bathroom Light (100W) [var];Bathroom Mirror Light 10 W (LED) [var];Bedroom Light (200W) [var];Egg Cooker / Russell Hobbs 14048-56 Stylo [var];Juicer / Moulinex Vitafruit [var];Kitchen radio / AEG KRC 4323 CD [var];Single Stove Plate [var];Nespresso Coffee Machine, Single Cup [var];Food Slicer / DOMO Schneidemaschine DO521S [var];Toaster Salco MT 400 [var];Electric Kettle / Petra WK288 1.5L [var];AEG PN 2200 RX 4935365097 [var];Hand-held Circular Saw / Bosch PKS 46 [var];Skil 4270 [var];Polishing Machine / Flex L 602 VR [var];Hedge Trimmer / Bosch AHS 550-24 ST [var];Atika LH 2500 G [var];Lawn Mower / Sabo 32-EL [var];Energy Saving Lamp / EL-REF 11 E27 [var];CD/DVD Player / Philips DVDR 725 H [var];TV Medion MD20123_DE_A [var];SAT Receiver / Kathrein UFS913 [var];Miele DG 1450 [var];Handmixer / Phillips Robust HR 1581 [var];Extractor Hood / Miele DA 429-4 [var];Kitchen Stove / Bauknecht Heko 750 PT Kitchen stove left hind - full power [var];Microwave / Panasonic NN 5259 [var];Dishwasher NEFF SD6P1F (2011) [var];Laptop Sony Vaio SVE151G11M [var];Steam Iron / Phillips GC 4410 [var];Washing Machine / Bosch WAE 28143 [var];AEG NM 2701 Premium [var];Hair Dryer Braun Silencio 1250 [var];Canister vacuum cleaner / Siemens VS 06 G 1831 [var];Siemens Kl 20 LA 65 (A+) [var];Electric Razor Braun Cruzer 5 [var];Electric Toothbrush Dondodent Professional Clean [var];Router O2 Box 6431 [var];
0;00:00:00;0;0;0;0;0;0;0;0;0,25988803147601824;-25,7309901639344;-21,6467368852459;0;-39,9916053442623;-44,9918409836066;0;0;0;0;0;0;0;0;0,22151608947176227;-49,973193442623;0,2741723972820179;0;0;0;0;2,3317944721685766;-171,672098360656;-25,7462983606557;0;0;0;-17,0260885245902;0;0;-0,227673278688525;-4,17003360655738;-9,95073016393443;
1;00:01:00;0;0;0;0;0;0;0;0;0,2770140072064966;-25,7309901639344;-21,6467368852459;0;-39,9916053442623;-44,8028016393443;0;0;0;0;0;0;0;0;0,23136345128638375;-49,973193442623;0,28377791317616957;0;0;0;0;2,4996681949427533;-171,672098360656;-25,7462983606557;0;0;0;-16,9780360655738;0;0;-0,227673278688525;-4,17003360655738;-9,95073016393443;
2;00:02:00;0;0;0;0;0;0;0;0;0,29150491810867785;-25,7309901639344;-21,6467368852459;0;-39,9916053442623;-44,7583;0;0;0;0;0;0;0;0;0,23672994583710347;-49,973193442623;0,2860000537578374;0;0;0;0;2,5069250201345823;-160,234491803279;-25,7264508196721;0;0;0;-16,9780360655738;0;0;-0,227673278688525;-4,17003360655738;-9,95073016393443;
3;00:03:00;0;0;0;0;0;0;0;0;0,298407724388582;-25,7309901639344;-21,6467368852459;0;-39,9916053442623;-44,7583;0;0;0;0;0;0;0;0;0,2376628183848503;-49,973193442623;0,2932251257520117;0;0;0;0;2,5711723955646173;-160,234491803279;-25,7264508196721;0;0;0;-16,9507918032787;0;0;-0,227673278688525;-4,17003360655738;-9,95073016393443;
4;00:04:00;0;0;0;0;0;0;0;0;0,30183360127435344;-25,7309901639344;-21,6467368852459;0;-39,9916053442623;0;0;0;0;0;0;0;0;0;0,24232137346122395;-49,973193442623;0,30086753406779937;0;0;0;0;2,5943035414484648;-160,193459016393;-25,5008737704918;0;0;0;-16,9507918032787;0;0;-0,227673278688525;-4,17003360655738;-9,95073016393443;
5;00:05:00;0;0;0;0;0;0;0;0;0,30857602709758;-25,7309901639344;-21,6467368852459;0;-39,9916053442623;0;0;0;0;0;0;0;0;0;0,24476693878038833;-49,973193442623;0,3022987786301841;0;0;0;0;2,6351747905271052;-160,193459016393;-25,5008737704918;0;0;0;-16,9319475409836;0;0;-0,227673278688525;-4,17003360655738;-9,95073016393443;
6;00:06:00;0;0;0;0;0;0;0;0;0,30921019864971205;-25,7309901639344;-21,6467368852459;0;-38,8099229508197;0;0;0;0;0;0;0;0;0;0,24658566472198798;-49,973193442623;0,30593893278937623;0;0;0;0;2,637985828634116;-159,999114754098;-25,4735131147541;0;0;0;-16,882993442623;0;0;-0,227673278688525;-4,17003360655738;-9,95073016393443;
7;00:07:00;0;0;0;0;0;0;0;0;0,31222194492627364;-25,7309901639344;-21,6467368852459;0;-38,8099229508197;0;0;0;0;0;0;0;0;0;0,2477975798336571;-49,973193442623;0,30796594711900765;0;0;0;0;2,651185906786449;-159,999114754098;-25,4735131147541;0;0;0;-16,882993442623;0;0;-0,227673278688525;-4,17003360655738;-9,95073016393443;
8;00:08:00;0;0;0;0;0;0;0;0;0,31305341566437733;-25,7309901639344;-21,6467368852459;0;-38,8099229508197;0;0;0;0;0;0;0;0;0;0,24796818297572978;-49,973193442623;0,3080880422577264;0;0;0;0;2,6966843452210325;-159,786;-25,4651639344262;0;0;0;-16,882993442623;0;0;-0,227673278688525;-4,17003360655738;-9,95073016393443;
9;00:09:00;0;0;0;0;0;0;0;0;0,31379590356347165;-25,7309901639344;-21,6467368852459;0;-38,8099229508197;0;0;0;0;0;0;0;0;0;0,24895631792771633;-49,973193442623;0,30909829767814373;0;0;0;0;2,7050203613395167;-159,786;-25,4651639344262;0;0;0;-16,8791885245902;0;0;-0,227673278688525;-4,17003360655738;-9,95073016393443;
10;00:10:00;0;0;0;0;0;0;0;0;0,3145819496665931;-25,4035836065574;-21,6467368852459;0;-38,8099229508197;0;0;0;0;0;0;0;0;0;0,2522793352326141;-49,8912426229508;0,31332909596666203;0;0;0;0;2,7103362094379224;-159,733409836066;-25,4498442622951;0;0;0;-16,872962295082;0;0;-0,227673278688525;-4,17003360655738;-9,95073016393443;
11;00:11:00;0;0;0;0;0;0;0;0;0,3146801449810638;-25,4035836065574;-21,6467368852459;0;-38,8099229508197;0;0;0;0;0;0;0;0;0;0,253156142285952;-49,8912426229508;0,3136655819193095;0;0;0;0;2,7143771364121165;-159,733409836066;-25,4498442622951;0;0;0;-16,8694655737705;0;0;-0,227673278688525;-4,17003360655738;-9,95073016393443;
12;00:12:00;0;0;0;0;0;0;0;0;0,3165870159760018;-25,4035836065574;-21,6467368852459;0;-38,8099229508197;0;0;0;0;0;0;0;0;0;0,25322718759023166;-49,8912426229508;0,3143760393333227;0;0;0;0;2,7369320159352672;-159,079557377049;-24,8063557377049;0;0;0;-16,8638721311475;0;0;-0,227673278688525;-4,17003360655738;-9,95073016393443;
13;00:13:00;0;0;0;0;0;0;0;0;0,31767386812759857;-25,4035836065574;-21,6467368852459;0;-38,8099229508197;0;0;0;0;0;0;0;0;0;0,2535625672420355;-49,8912426229508;0,3155281549499512;0;0;0;0;2,7554462310476118;-159,079557377049;-24,7943016393443;0;0;0;-16,8544836065574;0;0;-0,227673278688525;-4,17003360655738;-9,95073016393443;
14;00:14:00;0;0;0;0;0;0;0;0;0,3178046803963832;-25,4035836065574;-21,6467368852459;0;-38,8099229508197;0;0;0;0;0;0;0;0;0;0,25488416217815124;-49,8912426229508;0,3164723225161422;0;0;0;0;2,7574002677748184;-158,966639344262;-24,6015606557377;0;0;0;-16,8493885245902;0;0;-0,227673278688525;-4,17003360655738;-9,95073016393443;
15;00:15:00;0;0;0;0;0;0;0;0;0,317809734637969;-25,4035836065574;-21,6467368852459;0;-38,8099229508197;0;0;0;0;0;0;0;0;0;0,25524224527703526;-49,8912426229508;0,3179127977680158;0;0;0;0;2,758397946673301;-158,966639344262;-24,6015606557377;0;0;0;-16,8474393442623;0;0;-0,227673278688525;-4,17003360655738;-9,95073016393443;
