Device name;Usage sum in this simulation [None];Usage sum in this simulation linear extrapolated to 1 year [None];Comparison Value from the device entry [None];Percentage of the comparison value [1 = 100%];Device Category;
Board Games;0;0;0;0;Other;
Community College;11580;2113350;0;0;Other;
Dancing Shoes;0;0;0;0;Other;
Doctors Office;0;0;0;0;External locations / Doctors Office;
Walking Shoes;0;0;0;0;External locations;
Grandchild;0;0;0;0;Other;
Couch;0;0;0;0;Furniture;
Newspaper;0;0;0;0;Other;
Book;0;0;0;0;Other;
Sunbed;0;0;0;0;Furniture / Garden furniture;
Sunbed 2;0;0;0;0;Furniture / Garden furniture;
Book;0;0;0;0;Other;
Day Trip Bus;0;0;0;0;Other;
Snow Shovel;0;0;0;0;Other;
Couch;0;0;0;0;Furniture;
Magazine;0;0;0;0;Other;
Bed 1;0;0;0;0;Furniture;
Volunteering Place;32340;5902050;0;0;Other;
Cleanser;0;0;0;0;Cleaning devices;
Cloth Drying Rack;1320;240900;0;0;Furniture;
Public Market;7080;1292100;0;0;Other;
Supermarket;11280;2058600;0;0;Other;
Bed 2;120360;21965700;0;0;Furniture;
Window;0;0;0;0;Furniture;
Sums;183960;33572700;0
