-----
Destatis Water Usage Statistics
Tag;Energy Used [kWh];Percentage;Reference Value;
NoWater;0,00017893019735875962;0,8335;;
Dishwashing;2,091182501375229E-05;0,0974;;
Laundry;1,4837079306143006E-05;0,0691;;

Sum;0,0002146791016786549;1;
-----
Energieagentur.NRW Tags
Tag;Energy Used [kWh];Percentage;Reference Value;
Light;1,5704678362573075E-05;0,0732;;
TV/Audio;2,1022679038648183E-05;0,0979;;
Cooling;1,4325292833333322E-05;0,0667;;
Washing;2,625691335021404E-05;0,1223;;
Cooking;8,98816607115317E-05;0,4187;;
Office;1,3415551054845161E-05;0,0625;;
Other;1,3160501313757136E-05;0,0613;;
Dish washing;2,091182501375229E-05;0,0974;;

Sum;0,0002146791016786549;1;
