-----
Destatis Water Usage Statistics
Tag;Energy Used [kWh];Percentage;Reference Value;
NoWater;0,00015209180854363315;0,9719;;
Dishwashing;2,5314752672342054E-06;0,0162;;
Laundry;1,8691494473717136E-06;0,0119;;

Sum;0,0001564924332582391;1;
-----
Energieagentur.NRW Tags
Tag;Energy Used [kWh];Percentage;Reference Value;
Light;1,4919444444444439E-05;0,0953;;
TV/Audio;1,4734579688309854E-05;0,0942;;
Cooling;7,494143502222219E-06;0,0479;;
Washing;8,752499917042904E-06;0,0559;;
Cooking;8,755316786421582E-05;0,5595;;
Office;8,00464632670032E-06;0,0512;;
Other;1,2502476248069278E-05;0,0799;;
Dish washing;2,5314752672342054E-06;0,0162;;

Sum;0,0001564924332582391;1;
