Timestep;Time span;Sum [VA]
0;00:00:00;3385,8733154806478
1;00:01:00;3273,9721321337142
2;00:02:00;3099,678476181749
3;00:03:00;3028,115473220949
4;00:04:00;2990,9302878261706
5;00:05:00;2948,9481266492153
6;00:06:00;2900,1961914585504
7;00:07:00;2852,102666241341
8;00:08:00;2809,3937889208937
9;00:09:00;2807,338180528311
10;00:10:00;2776,4043499588515
11;00:11:00;2775,924505438932
12;00:12:00;2773,9462922778744
13;00:13:00;2772,239832064098
14;00:14:00;2760,647569612642
15;00:15:00;2746,916382829873
16;00:16:00;2746,212395810101
17;00:17:00;2728,3954932784577
18;00:18:00;2704,789832303521
19;00:19:00;2690,6789349568667
20;00:20:00;2671,8439589689283
21;00:21:00;2671,5780205003216
22;00:22:00;2656,5663760556645
23;00:23:00;2643,4197688069276
24;00:24:00;2614,281772196517
25;00:25:00;2596,536074659636
26;00:26:00;2586,920550124332
27;00:27:00;2578,117697860692
28;00:28:00;2574,413321052552
29;00:29:00;2573,0851326215097
30;00:30:00;2570,8871115681823
31;00:31:00;2556,606713599119
32;00:32:00;2542,9789898260174
33;00:33:00;2536,6525748276895
34;00:34:00;2535,2659642079575
35;00:35:00;2533,164476941745
36;00:36:00;2530,24038771376
37;00:37:00;2525,5633920842834
38;00:38:00;2504,1284639990145
39;00:39:00;2503,0431866087897
40;00:40:00;2486,6733623124383
41;00:41:00;2457,1451891254874
42;00:42:00;2456,6846465099798
43;00:43:00;2448,1124072281505
44;00:44:00;2447,1375621340003
45;00:45:00;2443,4499348904424
46;00:46:00;2443,0335077048326
47;00:47:00;2437,2832068953026
48;00:48:00;2423,3503187389797
49;00:49:00;2415,751104486991
50;00:50:00;2412,2931834523306
51;00:51:00;2412,138853744454
52;00:52:00;2406,9313161459636
53;00:53:00;2389,9658039109954
54;00:54:00;2387,5672088809865
55;00:55:00;2379,7386192744543
56;00:56:00;2362,8986803958674
57;00:57:00;2352,424249943444
58;00:58:00;2338,68390294144
59;00:59:00;2325,4186085827973
60;01:00:00;2320,4110869807178
61;01:01:00;2313,4211503668544
62;01:02:00;2310,6900763137214
63;01:03:00;2308,6010652209197
64;01:04:00;2308,1078719780403
65;01:05:00;2305,809128103115
66;01:06:00;2299,4015756803587
67;01:07:00;2272,8978111240726
68;01:08:00;2271,7068006275745
69;01:09:00;2269,510947522418
70;01:10:00;2264,9474302433146
71;01:11:00;2253,5998669974992
72;01:12:00;2253,310237101002
73;01:13:00;2252,10847326696
74;01:14:00;2248,52217543505
75;01:15:00;2244,1976473465083
76;01:16:00;2240,68215988433
77;01:17:00;2237,4188322974815
78;01:18:00;2233,316219258708
79;01:19:00;2223,860518620014
80;01:20:00;2218,5761168257627
81;01:21:00;2210,505891978685
82;01:22:00;2200,9714551310676
83;01:23:00;2194,685663386778
84;01:24:00;2191,776833453712
85;01:25:00;2185,9605671535646
