Timestep;Time span;Sum [Watt]
0;00:00:00;3204,746362896853
1;00:01:00;3044,0681714570796
2;00:02:00;3033,060165635707
3;00:03:00;2890,0023332172645
4;00:04:00;2865,5622140690184
5;00:05:00;2830,4751127058344
6;00:06:00;2788,1994880209604
7;00:07:00;2755,3188665250013
8;00:08:00;2729,710046592824
9;00:09:00;2726,091823432081
10;00:10:00;2723,882377183381
11;00:11:00;2711,1725862923836
12;00:12:00;2698,7449548680233
13;00:13:00;2698,1046842295464
14;00:14:00;2697,2078170399614
15;00:15:00;2658,3949885179977
16;00:16:00;2626,951825755773
17;00:17:00;2626,926784695811
18;00:18:00;2621,90937571283
19;00:19:00;2580,969590971002
20;00:20:00;2570,6718184092865
21;00:21:00;2526,735441689679
22;00:22:00;2512,704993439817
23;00:23:00;2500,113680124783
24;00:24:00;2481,428308436948
25;00:25:00;2472,3760685470065
26;00:26:00;2466,315606205247
27;00:27:00;2453,1689887804446
28;00:28:00;2449,06078257543
29;00:29:00;2434,444616848633
30;00:30:00;2431,126484384644
31;00:31:00;2427,6560445190253
32;00:32:00;2417,904091348938
33;00:33:00;2404,3449104811675
34;00:34:00;2398,339822591438
35;00:35:00;2397,2439363324597
36;00:36:00;2397,2211563318456
37;00:37:00;2392,0071587292286
38;00:38:00;2391,703408349105
39;00:39:00;2390,1521301227735
40;00:40:00;2388,187656417823
41;00:41:00;2379,822494943304
42;00:42:00;2366,4280611811164
43;00:43:00;2362,912743307426
44;00:44:00;2323,1353534804275
45;00:45:00;2322,8745925719863
46;00:46:00;2313,4312073271885
47;00:47:00;2310,9420668508496
48;00:48:00;2283,435328283464
49;00:49:00;2279,5405202442375
50;00:50:00;2259,154049830264
51;00:51:00;2256,835852542879
52;00:52:00;2249,6761788978956
53;00:53:00;2249,0178922244017
54;00:54:00;2248,695298008302
55;00:55:00;2235,990276972402
56;00:56:00;2232,817757371974
57;00:57:00;2224,276832105442
58;00:58:00;2223,5210072509417
59;00:59:00;2210,7265476565326
60;01:00:00;2210,7136530714306
61;01:01:00;2204,633873880281
62;01:02:00;2197,7338569374188
63;01:03:00;2196,899024073091
64;01:04:00;2195,8464510964677
65;01:05:00;2192,694437972523
66;01:06:00;2185,8206151091845
67;01:07:00;2185,6851060077356
68;01:08:00;2183,386451522458
69;01:09:00;2181,5415589880026
70;01:10:00;2181,3000084197597
71;01:11:00;2179,1148295959842
72;01:12:00;2176,474996648386
73;01:13:00;2175,068358626282
74;01:14:00;2154,2953912198045
75;01:15:00;2152,101275891728
76;01:16:00;2150,016430312721
77;01:17:00;2149,9798747331565
78;01:18:00;2144,7836625348577
79;01:19:00;2142,1848589487795
80;01:20:00;2134,3951488919747
81;01:21:00;2130,4950382993784
82;01:22:00;2127,0322074519063
83;01:23:00;2125,8269961184537
84;01:24:00;2122,0316699999203
85;01:25:00;2121,3230902226915
86;01:26:00;2118,857516772622
87;01:27:00;2117,705678425162
88;01:28:00;2117,2610151592185
89;01:29:00;2116,968779548642
90;01:30:00;2114,0298594218425
91;01:31:00;2112,58225959219
92;01:32:00;2111,024424239228
93;01:33:00;2109,4794080406086
94;01:34:00;2103,4849233589657
95;01:35:00;2099,437018012013
