Timestep;Time span;Sum [var]
0;00:00:00;1038,8304055373558
1;00:01:00;1036,5681825820955
2;00:02:00;927,0009033365513
3;00:03:00;915,5718216230113
4;00:04:00;880,7269953665302
5;00:05:00;872,0994979533662
6;00:06:00;847,3058650654003
7;00:07:00;833,7066411074376
8;00:08:00;818,035269823391
9;00:09:00;815,8633084165758
10;00:10:00;810,688493289248
11;00:11:00;806,9347104351622
12;00:12:00;797,7298554844712
13;00:13:00;796,8443448775155
14;00:14:00;794,0099968033619
15;00:15:00;787,8708452234374
16;00:16:00;784,5167997138518
17;00:17:00;784,4099070055667
18;00:18:00;779,4198129256547
19;00:19:00;775,7218727491739
20;00:20:00;775,6035398760372
21;00:21:00;773,8655811153965
22;00:22:00;773,1191469809479
23;00:23:00;771,2585832829833
24;00:24:00;771,0988576053783
25;00:25:00;768,8451813364703
26;00:26:00;763,2378738740769
27;00:27:00;748,9139994060105
28;00:28:00;748,8288720627617
29;00:29:00;746,8452106916133
30;00:30:00;736,0255594093755
31;00:31:00;734,7127023598375
32;00:32:00;727,043035114473
33;00:33:00;726,7849337410066
34;00:34:00;724,5697725936047
35;00:35:00;719,2246673713092
36;00:36:00;716,1402570703018
37;00:37:00;710,7462311550538
38;00:38:00;707,7001299370755
39;00:39:00;704,7971576440124
40;00:40:00;703,2446109647661
41;00:41:00;702,5882175936412
42;00:42:00;702,3551173019115
43;00:43:00;701,5909116180692
44;00:44:00;690,3941349588468
45;00:45:00;681,4976275850306
46;00:46:00;680,3053241178945
47;00:47:00;672,7287023277628
48;00:48:00;671,7520988121796
49;00:49:00;665,7582823272006
50;00:50:00;657,8571479392782
51;00:51:00;651,703727538156
52;00:52:00;649,3580908042483
53;00:53:00;642,6393278956035
54;00:54:00;637,4837128243454
55;00:55:00;636,3467800157571
56;00:56:00;627,2166826818801
57;00:57:00;626,1035333955326
58;00:58:00;618,1238640519196
59;00:59:00;617,3578949162138
60;01:00:00;616,9672685792797
61;01:01:00;609,3292145834771
62;01:02:00;606,6344743597268
63;01:03:00;605,4155226365366
64;01:04:00;603,0099030007516
65;01:05:00;593,0902251805006
66;01:06:00;592,9408671124761
67;01:07:00;590,5359863769329
68;01:08:00;589,8182082082835
69;01:09:00;578,6970912290668
70;01:10:00;574,7545403423566
71;01:11:00;573,2499939755234
72;01:12:00;570,7207215345934
73;01:13:00;568,148086209318
74;01:14:00;566,6002451133188
75;01:15:00;565,2486919636722
76;01:16:00;561,4165419761282
77;01:17:00;560,0836601002211
78;01:18:00;559,467469364518
79;01:19:00;556,7978787991258
80;01:20:00;555,5359774455992
81;01:21:00;553,7223893527342
82;01:22:00;552,9627482887611
83;01:23:00;548,916717644346
84;01:24:00;531,69646013041
85;01:25:00;527,0355256268457
86;01:26:00;525,7639553679079
87;01:27:00;525,2485023742629
88;01:28:00;518,4325264736312
89;01:29:00;513,8554299035616
90;01:30:00;509,2205977024556
91;01:31:00;507,1637242059451
92;01:32:00;507,00235805290356
93;01:33:00;505,628268598597
94;01:34:00;499,4936312227062
95;01:35:00;494,1404464448439
96;01:36:00;492,1377652652492
97;01:37:00;486,2311377513945
98;01:38:00;482,3001781287195
99;01:39:00;477,6676998145334
100;01:40:00;477,4251530929583
101;01:41:00;477,0637267743588
102;01:42:00;475,18185663619636
103;01:43:00;473,8320954095099
104;01:44:00;473,5943386766078
105;01:45:00;473,3835554498721
106;01:46:00;468,733150360459
107;01:47:00;468,25341855375854
108;01:48:00;466,6627218724094
109;01:49:00;464,6594472913314
110;01:50:00;461,26601355014054
111;01:51:00;459,1529387238375
112;01:52:00;457,4435634837771
113;01:53:00;455,3652923475359
114;01:54:00;455,2460791329026
