Device;Load Type;Profile;Number of Activations
Bathroom Light (100W);Apparent;Bath - light [Synthetic for Light Device];15
Bathroom Light (100W);Electricity;Bath - light [Synthetic for Light Device];15
Bathroom Light (100W);Inner Device Heat Gains;Bath - light [Synthetic for Light Device];15
Bathroom Light (100W);Reactive;Bath - light [Synthetic for Light Device];15
Bathroom Mirror Light 10 W (LED);Apparent;Bath - light [Synthetic for Light Device];15
Bathroom Mirror Light 10 W (LED);Electricity;Bath - light [Synthetic for Light Device];15
Bathroom Mirror Light 10 W (LED);Inner Device Heat Gains;Bath - light [Synthetic for Light Device];15
Bathroom Mirror Light 10 W (LED);Reactive;Bath - light [Synthetic for Light Device];15
Bathroom Sink 5 L/Min;Cold Water;0 h 01 min 100% [Synthetic];1
Bathroom Sink 5 L/Min;Warm Water;0 h 01 min 100% [Synthetic];55
Bathroom Sink 5 L/Min;Warm Water;0 h 01 min 50% [Synthetic];2
Bed 6 (shift worker woman);None;03 h 0 min 100 % [Synthetic];3
Bed 6 (shift worker woman);None;08 h 0 min 100% [Synthetic];4
Bed 7 (shift worker2);None;08 h 0 min 100% [Synthetic];4
Bedroom Light (200W);Apparent;Bedroom - light [Synthetic for Light Device];430
Bedroom Light (200W);Electricity;Bedroom - light [Synthetic for Light Device];430
Bedroom Light (200W);Inner Device Heat Gains;Bedroom - light [Synthetic for Light Device];430
Bedroom Light (200W);Reactive;Bedroom - light [Synthetic for Light Device];430
Board Games;None;01 h 0 min 100% [Synthetic];1
Book;None;0 h 01 min 100% [Synthetic];556
CD/DVD Player / Philips DVDR 725 H;Apparent;01 h 30 min 100% [Synthetic];4
CD/DVD Player / Philips DVDR 725 H;Apparent;02 h 0 min 100% [Synthetic];1
CD/DVD Player / Philips DVDR 725 H;Apparent;Standby TV / Receiver 1 h 0 min 3% [Synthetic];120
CD/DVD Player / Philips DVDR 725 H;Electricity;01 h 30 min 100% [Synthetic];4
CD/DVD Player / Philips DVDR 725 H;Electricity;02 h 0 min 100% [Synthetic];1
CD/DVD Player / Philips DVDR 725 H;Electricity;Standby TV / Receiver 1 h 0 min 3% [Synthetic];120
CD/DVD Player / Philips DVDR 725 H;Inner Device Heat Gains;01 h 30 min 100% [Synthetic];4
CD/DVD Player / Philips DVDR 725 H;Inner Device Heat Gains;02 h 0 min 100% [Synthetic];1
CD/DVD Player / Philips DVDR 725 H;Inner Device Heat Gains;Standby TV / Receiver 1 h 0 min 3% [Synthetic];120
CD/DVD Player / Philips DVDR 725 H;Reactive;01 h 30 min 100% [Synthetic];4
CD/DVD Player / Philips DVDR 725 H;Reactive;02 h 0 min 100% [Synthetic];1
CD/DVD Player / Philips DVDR 725 H;Reactive;Standby TV / Receiver 1 h 0 min 3% [Synthetic];120
Christopeit Treadmill TM 2 Pro;Apparent;0 h 30 min 100% [Synthetic];3
Christopeit Treadmill TM 2 Pro;Electricity;0 h 30 min 100% [Synthetic];3
Christopeit Treadmill TM 2 Pro;Inner Device Heat Gains;0 h 30 min 100% [Synthetic];3
Christopeit Treadmill TM 2 Pro;Reactive;0 h 30 min 100% [Synthetic];3
Couch;None;01 h 0 min 100% [Synthetic];5
Egg Cooker / Russell Hobbs 14048-56 Stylo;Apparent;0 h 05 min 100% [Synthetic];6
Egg Cooker / Russell Hobbs 14048-56 Stylo;Electricity;0 h 05 min 100% [Synthetic];6
Egg Cooker / Russell Hobbs 14048-56 Stylo;Inner Device Heat Gains;0 h 05 min 100% [Synthetic];6
Egg Cooker / Russell Hobbs 14048-56 Stylo;Reactive;0 h 05 min 100% [Synthetic];6
Electric Razor Braun Cruzer 5;Apparent;Profile for Electric Razor Braun Cruzer 5 Apparent [Measurement by ZSW (1min)];91
Electric Razor Braun Cruzer 5;Electricity;Profile for Electric Razor Braun Cruzer 5 Electricity [Measurement by ZSW (1min)];91
