CHS12 Regina (29/Female)
Activity;Time Used [60 seconds];Percentage
work;1367;0,47
hygiene;148;0,05
Passive Entertainment (TV etc.);94;0,03
gardening and maintenance;92;0,03
Offline Entertainment;133;0,05
Active Entertainment (Computer, Internet etc);118;0,04
sleep;737;0,26
cooking;173;0,06
cleaning;18;0,01
CHS12 Falk (31/Male)
Activity;Time Used [60 seconds];Percentage
hygiene;509;0,18
cooking;289;0,10
Offline Entertainment;33;0,01
sports;269;0,09
work;1080;0,38
sleep;582;0,20
gardening and maintenance;27;0,01
shopping;91;0,03
