------
CHS12 Regina (29/Female);Time;Basic Tagging;Tagging Set For Planning;Wo bleibt die Zeit;
work as shift worker (woman);1367;work;work as shift worker (woman);Work / School
go to the toilet;25;hygiene;go to the toilet;Hygiene
take a shower with hair washing (women) (5 min hair drying);56;hygiene;take a shower with hair washing (women) (5 min hair drying);Hygiene
watch a movie for 1 h 30 min;94;recreation;watch a movie for 1 h 30 min;Media Use
relax in the garden;92;recreation;relax in the garden;Hobby
read a newspaper for 30min;62;recreation;read a newspaper for 30min;Media Use
use the laptop for Internet, Movie, Music, News (2 h);118;recreation;use the laptop for Internet, Movie, Music, News (2 h);Media Use
sleep bed 06 (08 h) (shift worker woman);737;sleeping;sleep bed 06 (08 h) (shift worker woman);Sleep
play board games (1 h);71;recreation;play board games (1 h);Games
cook together at all times;134;cooking;cook together at all times;Food
take a shower without hair washing (women);67;hygiene;take a shower without hair washing (women);Hygiene
do laundry at 30°C (by variable);18;cleaning;do laundry at 30°C (by variable);Unpaid Work
bake a cake;39;cooking;bake a cake;Food
------
CHS12 Falk (31/Male);Time;Basic Tagging;Tagging Set For Planning;Wo bleibt die Zeit;
go to the toilet;446;hygiene;go to the toilet;Hygiene
eat breakfast (1 h);154;cooking;eat breakfast (1 h);Food
get ready in the morning (men);20;hygiene;get ready in the morning (men);Hygiene
read a newspaper for 30min;33;recreation;read a newspaper for 30min;Media Use
go for walk (1 h);234;recreation;go for walk (1 h);Sport
take a shower (men);43;hygiene;take a shower (men);Hygiene
cook together at all times;135;cooking;cook together at all times;Food
work as shift worker (man);1080;work;work as shift worker (man);Work / School
sleep bed 07 (08 h) (shift worker man);582;sleeping;sleep bed 07 (08 h) (shift worker man);Sleep
exercise for 30 min on the treadmill;35;recreation;exercise for 30 min on the treadmill;Sport
water the garden outside;27;recreation;water the garden outside;Hobby
go shopping for food in the supermarket (1_5 h);91;shopping;go shopping for food in the supermarket (1_5 h);Unpaid Work
