Apparent.Time;Time span;Living Room Light (100W) [VA];Kitchen Light (100W) [VA];Bathroom Light (100W) [VA];Bathroom Mirror Light 10 W (LED) [VA];Bedroom Light (200W) [VA];Egg Cooker / Russell Hobbs 14048-56 Stylo [VA];Juicer / Moulinex Vitafruit [VA];Kitchen radio / AEG KRC 4323 CD [VA];Single Stove Plate [VA];Nespresso Coffee Machine, Single Cup [VA];Food Slicer / DOMO Schneidemaschine DO521S [VA];Toaster Salco MT 400 [VA];PC / Acer 8400 [VA];PC Monitor / Fujitsu Siemens Scaleoview D19-1 [VA];Kitchen Stove / Bauknecht Heko 750 PT Kitchen-stove right hind [VA];Christopeit Treadmill TM 2 Pro [VA];Laptop Sony Vaio SVE151G11M [VA];Lawn Mower / Sabo 32-EL [VA];Hifi System / Sharp XL-HF300PH [VA];Electric Kettle / Petra WK288 1.5L [VA];Energy Saving Lamp / EL-REF 11 E27 [VA];CD/DVD Player / Philips DVDR 725 H [VA];TV Medion MD20123_DE_A [VA];SAT Receiver / Kathrein UFS913 [VA];Canister vacuum cleaner / Siemens VS 06 G 1831 [VA];Microsoft Xbox 360 [VA];Miele DG 1450 [VA];Handmixer / Phillips Robust HR 1581 [VA];Dishwasher NEFF SD6P1F (2011) [VA];Dryer / Miele T 8626 WP [VA];Hedge Trimmer / Bosch AHS 550-24 ST [VA];Atika LH 2500 G [VA];Steam Iron / Phillips GC 4410 [VA];Washing Machine / Bosch WAE 28143 [VA];Hair Dryer Braun Silencio 1250 [VA];Siemens Kl 20 LA 65 (A+) [VA];Router O2 Box 6431 [VA];Electric Razor Braun Cruzer 5 [VA];Electric Toothbrush Dondodent Professional Clean [VA];
0;00:00:00;0;0;0;0;0;0;0;0,8723413290921177;0;0;0;0;1,1228859324506058;0,88875255645235;0;0;3,8000000000000003;0;2,0378260426228323;0;0;0,7113210918977176;0,5700000000000001;0,916359189003734;0;2,352427481502692;0;0;0;0;0;0;0;0;0;0;11,3268114754098;2,92629081967213;4,01463278688525;
1;00:01:00;0;0;0;0;0;0;0;0,9267648433095222;0;0;0;0;1,1357573442067037;0,9010487256583213;0;0;3,8000000000000003;0;2,052487561450233;0;0;0,7572309042831622;0,5700000000000001;0,9191629861279822;0;2,4592530034263813;0;0;0;0;0;0;0;0;0;0;11,3268114754098;2,92629081967213;4,01463278688525;
2;00:02:00;0;0;0;0;0;0;0;0,9320835604664851;0;0;0;0;1,148943943030426;0,9025756078864285;0;0;3,8000000000000003;0;2,0987288245575786;0;0;0,7575211317786119;0,5700000000000001;0,9658259562413035;0;2,4962715282416386;0;0;0;0;0;0;0;0;0;0;11,3268114754098;2,92629081967213;4,01463278688525;
3;00:03:00;0;0;0;0;0;0;0;0,9378965324339259;0;0;0;0;1,1624529904507142;0,9030914596097638;0;0;3,8000000000000003;0;2,1137992260708556;0;0;0,7704127490700912;0,5700000000000001;0,9801079805717867;0;2,5275651628592577;0;0;0;0;0;0;0;0;0;0;11,3268114754098;2,92629081967213;4,01463278688525;
4;00:04:00;0;0;0;0;0;0;0;0,9389281902104619;0;0;0;0;1,164847697278801;0,9149626250257772;0;0;3,8000000000000003;0;2,128169373187016;0;0;0,7778121897163653;0,5700000000000001;0,9866424485367468;0;2,553218543249751;0;0;0;0;0;0;0;0;0;0;11,3268114754098;2,92629081967213;4,01463278688525;
5;00:05:00;0;0;0;0;0;0;0;0,9471477400399416;0;0;0;0;1,1715571724826255;0,9296392639961113;0;0;3,8000000000000003;0;2,1299811774751944;0;0;0,7864231316156605;0,5700000000000001;0,9894906024372659;0;2,5833457903662542;0;0;0;0;0;0;0;0;0;0;11,3268114754098;2,92629081967213;4,01463278688525;
6;00:06:00;0;0;0;0;0;0;0;0,9701615658159785;0;0;0;0;1,1730165971068989;0,9333965033768657;0;0;3,8000000000000003;0;2,1806500187424493;0;0;0,7913744562716454;0,5700000000000001;0,9906629761434645;0;2,5929401315844185;0;0;0;0;0;0;0;0;0;0;11,3268114754098;2,92629081967213;4,01463278688525;
7;00:07:00;0;0;0;0;0;0;0;0,9866954657757578;0;0;0;0;1,1747045335437722;0,9359924297445247;0;0;3,8000000000000003;0;2,1937475067192644;0;0;0,7976377686163029;0,5700000000000001;0,9963876233570601;0;2,597358872381058;0;0;0;0;0;0;0;0;0;0;11,3268114754098;2,92629081967213;4,01463278688525;
8;00:08:00;0;0;0;0;0;0;0;1,0006896973908106;0;0;0;0;1,1795288777359905;0,9366962385098365;0;0;3,8000000000000003;0;2,194118998251486;0;0;0,8018354203549382;0,5700000000000001;0,9965760459906925;0;2,6189448984618777;0;0;0;0;0;0;0;0;0;0;11,3268114754098;2,92629081967213;4,01463278688525;
9;00:09:00;0;0;0;0;0;0;0;1,0068485862870875;0;0;0;0;1,182222986505889;0,9399371705728088;0;0;3,8000000000000003;0;2,2027883769167853;0;0;0,8077802075769572;0,5700000000000001;1,0047089459316025;0;2,637796723110634;0;0;0;0;0;0;0;0;0;0;11,3268114754098;2,92629081967213;4,01463278688525;
10;00:10:00;0;0;0;0;0;0;0;1,0128669815289697;0;0;0;0;1,186344968750364;0,9445305568212409;0;0;3,8000000000000003;0;2,215714903762734;0;0;0,8117966985229281;0,5700000000000001;1,0070231871534097;0;2,65865670788412;0;0;0;0;0;0;0;0;0;0;11,3268114754098;2,92629081967213;4,01463278688525;
11;00:11:00;0;0;0;0;0;0;0;1,015678015889524;0;0;0;0;1,1967495366142276;0,9475018323722281;0;0;3,8000000000000003;0;2,222895993140606;0;0;0,8124090888924191;0,5700000000000001;1,0075502141014567;0;2,6604359898533083;0;0;0;0;0;0;0;0;0;0;11,3268114754098;2,92629081967213;4,01463278688525;
12;00:12:00;0;0;0;0;0;0;0;1,0185100865386127;0;0;0;0;1,1969105887519662;0,9480799946877432;0;0;3,8000000000000003;0;2,2274255843011446;0;0;0,8128644029736274;0,5700000000000001;1,0125577271872397;0;2,664054504705512;0;0;0;0;0;0;0;0;0;0;11,3268114754098;2,92629081967213;4,01463278688525;
13;00:13:00;0;0;0;0;0;0;0;1,023893926952919;0;0;0;0;1,2016292407013105;0,950398987558647;0;0;3,8000000000000003;0;2,2344746229657764;0;0;0,8174576547476982;0,5700000000000001;1,0129182238266772;0;2,670263970346242;0;0;0;0;0;0;0;0;0;0;11,3268114754098;2,92629081967213;4,01463278688525;
14;00:14:00;0;0;0;0;0;0;0;1,0249974354306286;0;0;0;0;1,2058565245912838;0,9552591751206081;0;0;3,8000000000000003;0;2,2374539806763534;0;0;0,8192108285926853;0,5700000000000001;1,0137779092677708;0;2,6910667497503966;0;0;0;0;0;0;0;0;0;0;11,3268114754098;2,92629081967213;4,01463278688525;
15;00:15:00;0;0;0;0;0;0;0;1,025179320167342;0;0;0;0;1,2217712487739594;0,9553162697828369;0;0;3,8000000000000003;0;2,255058412475887;0;0;0,8216372819988119;0,5700000000000001;1,014530140965972;0;2,6934319716962327;0;0;0;0;0;0;0;0;0;0;11,3268114754098;2,92629081967213;4,01463278688525;
16;00:16:00;0;0;0;0;0;0;0;1,0266975148508783;0;0;0;0;1,2322667641356462;0,9559088774712444;0;0;3,8000000000000003;0;2,270689759535135;0;0;0,8224811375087505;0,5700000000000001;1,0148283851498245;0;2,6980319989147374;0;0;0;0;0;0;0;0;0;0;11,3268114754098;2,92629081967213;4,01463278688525;
17;00:17:00;0;0;0;0;0;0;0;1,0283797050184122;0;0;0;0;1,2359944440886395;0,9576565529613982;0;0;3,8000000000000003;0;2,274764115928953;0;0;0,8230634151181159;0,5700000000000001;1,0150261934700555;0;2,703095884252238;0;0;0;0;0;0;0;0;0;0;11,3268114754098;2,92629081967213;4,01463278688525;
18;00:18:00;0;0;0;0;0;0;0;1,0284241954442954;0;0;0;0;1,2383356244440975;0,9583399833679881;0;0;3,8000000000000003;0;2,276869447877481;0;0;0,8236973711384645;0,5700000000000001;1,0165997775469637;0;2,7057077602709514;0;0;0;0;0;0;0;0;0;0;11,3268114754098;2,92629081967213;4,01463278688525;
19;00:19:00;0;0;0;0;0;0;0;1,0292198956434133;0;0;0;0;1,2400741080916513;0,9585218842096492;0;0;3,8000000000000003;0;2,2868631680679115;0;0;0,8252650415968679;0,5700000000000001;1,0166949577435633;0;2,708896042606717;0;0;0;0;0;0;0;0;0;0;11,3268114754098;2,92629081967213;4,01463278688525;
20;00:20:00;0;0;0;0;0;0;0;1,0293347300648648;0;0;0;0;1,2404755912403875;0,9586393433572725;0;0;3,8000000000000003;0;2,28839998515199;0;0;0,8263812463693309;0,5700000000000001;1,0181652801907741;0;2,717077516145008;0;0;0;0;0;0;0;0;0;0;11,3268114754098;2,92629081967213;4,01463278688525;
21;00:21:00;0;0;0;0;0;0;0;1,032392415344674;0;0;0;0;1,242072568078649;0,9624015012028984;0;0;3,8000000000000003;0;2,290260056056575;0;0;0,8268798647855634;0,5700000000000001;1,0217385889368766;0;2,728058670357751;0;0;0;0;0;0;0;0;0;0;11,3268114754098;2,92629081967213;4,01463278688525;
22;00:22:00;0;0;0;0;0;0;0;1,0347026505422465;0;0;0;0;1,2448097803636102;0,9628588860869006;0;0;3,8000000000000003;0;2,2927533138164806;0;0;0,8271239344617914;0,5700000000000001;1,0251450036862233;0;2,7293641322876008;0;0;0;0;0;0;0;0;0;0;11,3268114754098;2,92629081967213;4,01463278688525;
23;00:23:00;0;0;0;0;0;0;0;1,0379228298551422;0;0;0;0;1,2454718322252012;0,964574491032803;0;0;3,8000000000000003;0;2,2947961096507736;0;0;0,8316550455995294;0,5700000000000001;1,038041511299285;0;2,730708285394726;0;0;0;0;0;0;0;0;0;0;11,3268114754098;2,92629081967213;4,01463278688525;
24;00:24:00;0;0;0;0;0;0;0;1,0405337559173042;0;0;0;0;1,2456589561350493;0,9665875802723439;0;0;3,8000000000000003;0;2,301425671961536;0;0;0,8329425155767224;0,5700000000000001;1,038760641221695;0;2,73272240053234;0;0;0;0;0;0;0;0;0;0;11,3268114754098;2,92629081967213;4,01463278688525;
25;00:25:00;0;0;0;0;0;0;0;1,0425665699594775;0;0;0;0;1,2473765523425584;0,9668107462208322;0;0;3,8000000000000003;0;2,306319875610072;0;0;0,8356708264414197;0,5700000000000001;1,0432845008286458;0;2,7421528750910995;0;0;0;0;0;0;0;0;0;0;11,3268114754098;2,92629081967213;4,01463278688525;
26;00:26:00;0;0;0;0;0;0;0;1,044454524033459;0;0;0;0;1,2477367648707371;0,9693330074846469;0;0;3,8000000000000003;0;2,306383477356316;0;0;0,8384914314549571;0,5700000000000001;1,0497654019904519;0;2,7431690330609455;0;0;0;0;0;0;0;0;0;0;11,3268114754098;2,92629081967213;4,01463278688525;
27;00:27:00;0;0;0;0;0;0;0;1,047366842326137;0;0;0;0;1,2508548800534023;0,9699144059884754;0;0;3,8000000000000003;0;2,309299062967427;0;0;0,8385906105848248;0,5700000000000001;1,0509336280954849;0;2,743571645888129;0;0;0;0;0;0;0;0;0;0;11,3268114754098;2,92629081967213;4,01463278688525;
28;00:28:00;0;0;0;0;0;0;0;1,0474051731691187;0;0;0;0;1,2511167324037016;0,970918200496182;0;0;3,8000000000000003;0;2,3146429614527686;0;0;0,8389793001405216;0,5700000000000001;1,0529688438987324;0;2,747525805185976;0;0;0;0;0;0;0;0;0;0;11,3268114754098;2,92629081967213;4,01463278688525;
29;00:29:00;0;0;0;0;0;0;0;1,0494606849394887;0;0;0;0;1,253465810116479;0,9714775913847138;0;0;3,8000000000000003;0;2,3204651109092813;0;0;0,8390502950092229;0,5700000000000001;1,0541869332477165;0;2,7621216221667297;0;0;0;0;0;0;0;0;0;0;11,3268114754098;2,92629081967213;4,01463278688525;
30;00:30:00;0;0;0;0;0;0;0;1,05061722446908;0;0;0;0;1,2547567663997852;0,9724907949834892;0;0;3,8000000000000003;0;2,322000825555061;0;0;0,8409084004359985;0,5700000000000001;1,0545502179317912;0;2,766548366367441;0;0;0;0;0;0;0;0;0;0;11,3268114754098;2,92629081967213;4,01463278688525;
31;00:31:00;0;0;0;0;0;0;0;1,0513794522738908;0;0;0;0;1,2551986892378026;0,9727526641756122;0;0;3,8000000000000003;0;2,32374359358031;0;0;0,8419006205301942;0,5700000000000001;1,0546281147687517;0;2,766570684163543;0;0;0;0;0;0;0;0;0;0;11,3268114754098;2,92629081967213;4,01463278688525;
32;00:32:00;0;0;0;0;0;0;0;1,0540263414854345;0;0;0;0;1,2553330422414126;0,9737390486649533;0;0;3,8000000000000003;0;2,326304205044923;0;0;0,8432294961825764;0,5700000000000001;1,0599545819736673;0;2,7674852085575026;0;0;0;0;0;0;0;0;0;0;11,3268114754098;2,92629081967213;4,01463278688525;
33;00:33:00;0;0;0;0;0;0;0;1,054282766998032;0;0;0;0;1,261298219427219;0,9738029885255985;0;0;3,8000000000000003;0;2,3268444029718824;0;0;0,8456957852073503;0,5700000000000001;1,0602028177063703;0;2,772185356507812;0;0;0;0;0;0;0;0;0;0;11,3268114754098;2,92629081967213;4,01463278688525;
34;00:34:00;0;0;0;0;0;0;0;1,0546746545426475;0;0;0;0;1,264096224002569;0,9740531344994043;0;0;3,8000000000000003;0;2,327142447034992;0;0;0,8457430177028524;0,5700000000000001;1,0629107435583898;0;2,781210919822471;0;0;0;0;0;0;0;0;0;0;11,3268114754098;2,92629081967213;4,01463278688525;
35;00:35:00;0;0;0;0;0;0;0;1,0547055662176896;0;0;0;0;1,2658276354988791;0,9741905869864855;0;0;3,8000000000000003;0;2,3284038493849954;0;0;0,8470087739721617;0,5700000000000001;1,0630436129664806;0;2,7883237915953427;0;0;0;0;0;0;0;0;0;0;11,3268114754098;2,92629081967213;4,01463278688525;
36;00:36:00;0;0;0;0;0;0;0;1,0555489368439093;0;0;0;0;1,2660795862382583;0,9754537361745979;0;0;3,8000000000000003;0;2,33024861383616;0;0;0,8472112236630046;0,5700000000000001;1,0632786134860202;0;2,788462901072745;0;0;0;0;0;0;0;0;0;0;11,3268114754098;2,92629081967213;4,01463278688525;
37;00:37:00;0;0;0;0;0;0;0;1,05616359786625;0;0;0;0;1,2672334882114429;0,976650756401991;0;0;3,8000000000000003;0;2,3397273141139814;0;0;0,847856300774034;0,5700000000000001;1,0642736109375743;0;2,789295793274692;0;0;0;0;0;0;0;0;0;0;11,3268114754098;2,92629081967213;4,01463278688525;
38;00:38:00;0;0;0;0;0;0;0;1,056619464119178;0;0;0;0;1,2699951263094291;0,9773595050702325;0;0;3,8000000000000003;0;2,3414002022765477;0;0;0,8481616337662803;0,5700000000000001;1,066067210053151;0;2,7936103149906266;0;0;0;0;0;0;0;0;0;0;11,3268114754098;2,92629081967213;4,01463278688525;
39;00:39:00;0;0;0;0;0;0;0;1,0569643898429972;0;0;0;0;1,271852191899792;0,9803602543037611;0;0;3,8000000000000003;0;2,34261208518888;0;0;0,8498316205401123;0,5700000000000001;1,066732195099169;0;2,803037259956333;0;0;0;0;0;0;0;0;0;0;11,3268114754098;2,92629081967213;4,01463278688525;
40;00:40:00;0;0;0;0;0;0;0;1,0575726043812963;0;0;0;0;1,2729089733953287;0,980619202116847;0;0;3,8000000000000003;0;2,345940738921756;0;0;0,8503616136400064;0,5700000000000001;1,0680330108411198;0;2,8061379478800275;0;0;0;0;0;0;0;0;0;0;11,3268114754098;2,92629081967213;4,01463278688525;
41;00:41:00;0;0;0;0;0;0;0;1,0579851888655516;0;0;0;0;1,273788234084911;0,9817325477292488;0;0;3,8000000000000003;0;2,34754396539335;0;0;0,8511449392751691;0,5700000000000001;1,0687168084119603;0;2,8088512239355565;0;0;0;0;0;0;0;0;0;0;11,3268114754098;2,92629081967213;4,01463278688525;
42;00:42:00;0;0;0;0;0;0;0;1,059090091928651;0;0;0;0;1,2747978919414056;0,9826906264666467;0;0;3,8000000000000003;0;2,347564559037845;0;0;0,8514543451523224;0,5700000000000001;1,0695246611652807;0;2,8122464808674246;0;0;0;0;0;0;0;0;0;0;11,3268114754098;2,92629081967213;4,01463278688525;
43;00:43:00;0;0;0;0;0;0;0;1,0638812491278435;0;0;0;0;1,2757885310385444;0,9859986796651824;0;0;3,8000000000000003;0;2,350070620689347;0;0;0,8516869229395699;0,5700000000000001;1,0703294563743266;0;2,817889686523515;0;0;0;0;0;0;0;0;0;0;11,3268114754098;2,92629081967213;4,01463278688525;
44;00:44:00;0;0;0;0;0;0;0;1,0648850251826856;0;0;0;0;1,2783347646206407;0,9875445574374104;0;0;3,8000000000000003;0;2,351095022289708;0;0;0,8541498382857491;0,5700000000000001;1,070910519707447;0;2,8220472834778882;0;0;0;0;0;0;0;0;0;0;11,3268114754098;2,92629081967213;4,01463278688525;
45;00:45:00;0;0;0;0;0;0;0;1,0658841726841581;0;0;0;0;1,279313634863117;0,9880112014815194;0;0;3,8000000000000003;0;2,3541081498206173;0;0;0,854281184997425;0,5700000000000001;1,0717171532746341;0;2,8246417956718872;0;0;0;0;0;0;0;0;0;0;11,3268114754098;2,92629081967213;4,01463278688525;
46;00:46:00;0;0;0;0;0;0;0;1,0691591499019353;0;0;0;0;1,280941214246884;0,9900394226246187;0;0;3,8000000000000003;0;2,3547469748838004;0;0;0,8555045902780993;0,5700000000000001;1,0718609848093024;0;2,826253646613151;0;0;0;0;0;0;0;0;0;0;11,3268114754098;2,92629081967213;4,01463278688525;
47;00:47:00;0;0;0;0;0;0;0;1,0700738868517599;0;0;0;0;1,2812642847754736;0,9908467075481132;0;0;3,8000000000000003;0;2,358183073991338;0;0;0,8560366465792876;0,5700000000000001;1,072546741552913;0;2,8266447622663793;0;0;0;0;0;0;0;0;0;0;11,3268114754098;2,92629081967213;4,01463278688525;
48;00:48:00;0;0;0;0;0;0;0;1,0716582017936886;0;0;0;0;1,2813555406378139;0,9922821320732452;0;0;3,8000000000000003;0;2,359748178753509;0;0;0,8560927315580064;0,5700000000000001;1,0727016948642196;0;2,8266886945733707;0;0;0;0;0;0;0;0;0;0;11,3268114754098;2,92629081967213;4,01463278688525;
49;00:49:00;0;0;0;0;0;0;0;1,0727791015943036;0;0;0;0;1,2827015009479241;0,9930539916707132;0;0;3,8000000000000003;0;2,370218875306577;0;0;0,8561994852900288;0,5700000000000001;1,0734942318178446;0;2,8292679227842656;0;0;0;0;0;0;0;0;0;0;11,3268114754098;2,92629081967213;4,01463278688525;
50;00:50:00;0;0;0;0;0;0;0;1,0748626904980547;0;0;0;0;1,2829377903796446;0,9935830042115811;0;0;3,8000000000000003;0;2,3733173048411813;0;0;0,856875173085929;0,5700000000000001;1,0736807913885194;0;2,829293598560495;0;0;0;0;0;0;0;0;0;0;11,3268114754098;2,92629081967213;4,01463278688525;
51;00:51:00;0;0;0;0;0;0;0;1,0748936264473135;0;0;0;0;1,2842540664293303;0,9936207729096036;0;0;3,8000000000000003;0;2,3764026821938264;0;0;0,8573066807045656;0,5700000000000001;1,0742990900405949;0;2,8309941355046178;0;0;0;0;0;0;0;0;0;0;11,3268114754098;2,92629081967213;4,01463278688525;
