Inner Device Heat Gains.Time;Time span;Living Room Light (100W) [Watt];Kitchen Light (100W) [Watt];Bathroom Light (100W) [Watt];Bathroom Mirror Light 10 W (LED) [Watt];Bedroom Light (200W) [Watt];Egg Cooker / Russell Hobbs 14048-56 Stylo [Watt];Juicer / Moulinex Vitafruit [Watt];Kitchen radio / AEG KRC 4323 CD [Watt];Single Stove Plate [Watt];Nespresso Coffee Machine, Single Cup [Watt];Food Slicer / DOMO Schneidemaschine DO521S [Watt];Toaster Salco MT 400 [Watt];PC / Acer 8400 [Watt];PC Monitor / Fujitsu Siemens Scaleoview D19-1 [Watt];Kitchen Stove / Bauknecht Heko 750 PT Kitchen-stove right hind [Watt];Christopeit Treadmill TM 2 Pro [Watt];Laptop Sony Vaio SVE151G11M [Watt];Lawn Mower / Sabo 32-EL [Watt];Hifi System / Sharp XL-HF300PH [Watt];Electric Kettle / Petra WK288 1.5L [Watt];Energy Saving Lamp / EL-REF 11 E27 [Watt];CD/DVD Player / Philips DVDR 725 H [Watt];TV Medion MD20123_DE_A [Watt];SAT Receiver / Kathrein UFS913 [Watt];Canister vacuum cleaner / Siemens VS 06 G 1831 [Watt];Microsoft Xbox 360 [Watt];Miele DG 1450 [Watt];Handmixer / Phillips Robust HR 1581 [Watt];Dishwasher NEFF SD6P1F (2011) [Watt];Dryer / Miele T 8626 WP [Watt];Hedge Trimmer / Bosch AHS 550-24 ST [Watt];Atika LH 2500 G [Watt];Steam Iron / Phillips GC 4410 [Watt];Washing Machine / Bosch WAE 28143 [Watt];Hair Dryer Braun Silencio 1250 [Watt];Siemens Kl 20 LA 65 (A+) [Watt];Router O2 Box 6431 [Watt];Electric Razor Braun Cruzer 5 [Watt];Electric Toothbrush Dondodent Professional Clean [Watt];
0;00:00:00;0;0;0;0;0;0;0;0,8287242626375118;0;0;0;0;1,0667416358280755;0,8443149286297322;0;0;1,7192099409671617;0;1,9359347404916907;0;0;0,6757550373028318;0,17510434032180178;0,8705412295535473;0;2,2348061074275574;0;0;0;0;0;0;0;0;0;0;6,11708049180328;0,926795163934426;0,16089737704918;
1;00:01:00;0;0;0;0;0;0;0;0,880426601144046;0;0;0;0;1,0789694769963685;0,8559962893754051;0;0;1,7199412484228278;0;1,9498631833777216;0;0;0,7193693590690041;0,18482160528385672;0,873204836821583;0;2,336290353255062;0;0;0;0;0;0;0;0;0;0;6,11708049180328;0,926795163934426;0,16089737704918;
2;00:02:00;0;0;0;0;0;0;0;0,8854793824431607;0;0;0;0;1,0914967458789047;0,8574468274921069;0;0;1,730293465592094;0;1,9937923833296995;0;0;0,7196450751896813;0,1879703497699128;0,9175346584292383;0;2,3714579518295564;0;0;0;0;0;0;0;0;0;0;6,11708049180328;0,926795163934426;0,16089737704918;
3;00:03:00;0;0;0;0;0;0;0;0,8910017058122295;0;0;0;0;1,1043303409281784;0,8579368866292755;0;0;1,802387293248258;0;2,0081092647673127;0;0;0,7318921116165866;0,1901499229428398;0,9311025815431974;0;2,4011869047162944;0;0;0;0;0;0;0;0;0;0;6,11708049180328;0,926795163934426;0,16089737704918;
4;00:04:00;0;0;0;0;0;0;0;0,8919817806999388;0;0;0;0;1,106605312414861;0,8692144937744881;0;0;1,8320148807151024;0;2,021760904527665;0;0;0,7389215802305471;0,19550969709315563;0,9373103261099093;0;2,425557616087264;0;0;0;0;0;0;0;0;0;0;6,11708049180328;0,926795163934426;0,16089737704918;
5;00:05:00;0;0;0;0;0;0;0;0,8997903530379445;0;0;0;0;1,112979313858494;0,8831573007963056;0;0;1,8376059970166634;0;2,023482118601435;0;0;0,7471019750348775;0,19558479836737835;0,9400160723154026;0;2,4541785008479415;0;0;0;0;0;0;0;0;0;0;6,11708049180328;0,926795163934426;0,16089737704918;
6;00:06:00;0;0;0;0;0;0;0;0,9216534875251795;0;0;0;0;1,114365767251554;0,8867266782080222;0;0;1,8466626854360013;0;2,0716175178053264;0;0;0,7518057334580632;0,19572680270969958;0,9411298273362912;0;2,4632931250051975;0;0;0;0;0;0;0;0;0;0;6,11708049180328;0,926795163934426;0,16089737704918;
7;00:07:00;0;0;0;0;0;0;0;0,93736069248697;0;0;0;0;1,1159693068665835;0,8891928082572982;0;0;1,9648355033354923;0;2,084060131383301;0;0;0,7577558801854878;0,1960828437615513;0,946568242189207;0;2,467490928762005;0;0;0;0;0;0;0;0;0;0;6,11708049180328;0,926795163934426;0,16089737704918;
8;00:08:00;0;0;0;0;0;0;0;0,95065521252127;0;0;0;0;1,120552433849191;0,8898614265843445;0;0;1,9720165290253386;0;2,0844130483389116;0;0;0,7617436493371913;0,19656206268173226;0,9467472436911578;0;2,4879976535387835;0;0;0;0;0;0;0;0;0;0;6,11708049180328;0,926795163934426;0,16089737704918;
9;00:09:00;0;0;0;0;0;0;0;0,9565061569727331;0;0;0;0;1,1231118371805946;0,8929403120441681;0;0;1,985948412843726;0;2,0926489580709458;0;0;0,7673911971981094;0,19898471919212402;0,9544734986350222;0;2,505906886955102;0;0;0;0;0;0;0;0;0;0;6,11708049180328;0,926795163934426;0,16089737704918;
10;00:10:00;0;0;0;0;0;0;0;0,9622236324525211;0;0;0;0;1,1270277203128456;0,8973040289801787;0;0;1,9895050831762422;0;2,1049291585745973;0;0;0,7712068635967817;0,19924559049046048;0,9566720277957391;0;2,525723872489914;0;0;0;0;0;0;0;0;0;0;6,11708049180328;0,926795163934426;0,16089737704918;
11;00:11:00;0;0;0;0;0;0;0;0,9648941150950479;0;0;0;0;1,1369120597835163;0,9001267407536164;0;0;1,9901841330910846;0;2,1117511934835758;0;0;0,7717886344477982;0,1994495148667114;0,9571727033963839;0;2,5274141903606426;0;0;0;0;0;0;0;0;0;0;6,11708049180328;0,926795163934426;0,16089737704918;
12;00:12:00;0;0;0;0;0;0;0;0,967584582211682;0;0;0;0;1,1370650593143679;0,9006759949533558;0;0;2,0033894321855965;0;2,116054305086087;0;0;0,7722211828249461;0,1995440910394594;0,9619298408278776;0;2,5308517794702365;0;0;0;0;0;0;0;0;0;0;6,11708049180328;0,926795163934426;0,16089737704918;
13;00:13:00;0;0;0;0;0;0;0;0,9726992306052731;0;0;0;0;1,141547778666245;0,9028790381807145;0;0;2,0089070517024057;0;2,1227508918174873;0;0;0,7765847720103134;0,20167645110823296;0,9622723126353433;0;2,5367507718289293;0;0;0;0;0;0;0;0;0;0;6,11708049180328;0,926795163934426;0,16089737704918;
14;00:14:00;0;0;0;0;0;0;0;0,9737475636590971;0;0;0;0;1,1455636983617195;0,9074962163645774;0;0;2,011979809662695;0;2,1255812816425355;0;0;0,7782502871630512;0,2029224758594553;0,9630890138043823;0;2,5565134122628765;0;0;0;0;0;0;0;0;0;0;6,11708049180328;0,926795163934426;0,16089737704918;
15;00:15:00;0;0;0;0;0;0;0;0,9739203541589749;0;0;0;0;1,1606826863352613;0,9075504562936948;0;0;2,0181011872367414;0;2,1423054918520923;0;0;0,7805554178988714;0,20293071913670138;0,9638036339176732;0;2,5587603731114212;0;0;0;0;0;0;0;0;0;0;6,11708049180328;0,926795163934426;0,16089737704918;
16;00:16:00;0;0;0;0;0;0;0;0,9753626391083343;0;0;0;0;1,170653425928864;0,9081134335976819;0;0;2,032719614119504;0;2,1571552715583784;0;0;0,7813570806333131;0,20341514679643513;0,9640869658923332;0;2,5631303989690006;0;0;0;0;0;0;0;0;0;0;6,11708049180328;0,926795163934426;0,16089737704918;
17;00:17:00;0;0;0;0;0;0;0;0,9769607197674915;0;0;0;0;1,1741947218842075;0,909773725313328;0;0;2,0442046500108346;0;2,1610259101325053;0;0;0,7819102443622101;0,20381142769258767;0,9642748837965527;0;2,567941090039626;0;0;0;0;0;0;0;0;0;0;6,11708049180328;0,926795163934426;0,16089737704918;
18;00:18:00;0;0;0;0;0;0;0;0,9770029856720807;0;0;0;0;1,1764188432218925;0,9104229841995884;0;0;2,047470833913786;0;2,163025975483607;0;0;0,7825125025815414;0,20387260456196038;0,9657697886696154;0;2,5704223722574033;0;0;0;0;0;0;0;0;0;0;6,11708049180328;0,926795163934426;0,16089737704918;
19;00:19:00;0;0;0;0;0;0;0;0,9777589008612425;0;0;0;0;1,1780704026870688;0,9105957899991666;0;0;2,049409684481055;0;2,172520009664516;0;0;0,7840017895170246;0,20445657671134504;0,965860209856385;0;2,573451240476381;0;0;0;0;0;0;0;0;0;0;6,11708049180328;0,926795163934426;0,16089737704918;
20;00:20:00;0;0;0;0;0;0;0;0,9778679935616215;0;0;0;0;1,178451811678368;0,9107073761894088;0;0;2,0558528965884912;0;2,1739799858943902;0;0;0,7850621840508644;0,20545764523129112;0,9672570161812353;0;2,5812236403377575;0;0;0;0;0;0;0;0;0;0;6,11708049180328;0,926795163934426;0,16089737704918;
21;00:21:00;0;0;0;0;0;0;0;0,9807727945774403;0;0;0;0;1,1799689396747166;0,9142814261427533;0;0;2,0605944796969013;0;2,175747053253746;0;0;0,7855358715462852;0,20588229711102488;0,9706516594900327;0;2,591655736839863;0;0;0;0;0;0;0;0;0;0;6,11708049180328;0,926795163934426;0,16089737704918;
22;00:22:00;0;0;0;0;0;0;0;0,982967518015134;0;0;0;0;1,1825692913454298;0,9147159417825554;0;0;2,06547457600221;0;2,1781156481256563;0;0;0,785767737738702;0,20638651919639636;0,9738877535019121;0;2,5928959256732207;0;0;0;0;0;0;0;0;0;0;6,11708049180328;0,926795163934426;0,16089737704918;
