Reactive.Time;Time span;Living Room Light (100W) [var];Kitchen Light (100W) [var];Bathroom Light (100W) [var];Bathroom Mirror Light 10 W (LED) [var];Bedroom Light (200W) [var];Egg Cooker / Russell Hobbs 14048-56 Stylo [var];Juicer / Moulinex Vitafruit [var];Kitchen radio / AEG KRC 4323 CD [var];Single Stove Plate [var];Nespresso Coffee Machine, Single Cup [var];Food Slicer / DOMO Schneidemaschine DO521S [var];Toaster Salco MT 400 [var];PC / Acer 8400 [var];PC Monitor / Fujitsu Siemens Scaleoview D19-1 [var];Kitchen Stove / Bauknecht Heko 750 PT Kitchen-stove right hind [var];Christopeit Treadmill TM 2 Pro [var];Laptop Sony Vaio SVE151G11M [var];Lawn Mower / Sabo 32-EL [var];Hifi System / Sharp XL-HF300PH [var];Electric Kettle / Petra WK288 1.5L [var];Energy Saving Lamp / EL-REF 11 E27 [var];CD/DVD Player / Philips DVDR 725 H [var];TV Medion MD20123_DE_A [var];SAT Receiver / Kathrein UFS913 [var];Canister vacuum cleaner / Siemens VS 06 G 1831 [var];Microsoft Xbox 360 [var];Miele DG 1450 [var];Handmixer / Phillips Robust HR 1581 [var];Dishwasher NEFF SD6P1F (2011) [var];Dryer / Miele T 8626 WP [var];Hedge Trimmer / Bosch AHS 550-24 ST [var];Atika LH 2500 G [var];Steam Iron / Phillips GC 4410 [var];Washing Machine / Bosch WAE 28143 [var];Hair Dryer Braun Silencio 1250 [var];Siemens Kl 20 LA 65 (A+) [var];Router O2 Box 6431 [var];Electric Razor Braun Cruzer 5 [var];Electric Toothbrush Dondodent Professional Clean [var];
0;00:00:00;0;0;0;0;0;0;0;0,27238849270502397;-25,7309901639344;-21,6467368852459;0;-39,9916053442623;0,350621020029188;0,27751289680581953;0;0;-25,7462983606557;0;0,6363109778631865;0;0;0,22210993975599078;-49,973193442623;0,2861330650571152;0;0,7345452456680852;0;0;0;0;0;0;0;0;-16,9780360655738;0;-9,95073016393443;-0,227673278688525;-4,17003360655738;
1;00:01:00;0;0;0;0;0;0;0;0,2893822295726989;-25,7309901639344;-21,6467368852459;0;-39,9916053442623;0,35464011706185766;0,2813523744097825;0;0;-25,7462983606557;0;0,6408890356497164;0;0;0,23644527407868815;-49,8912426229508;0,28700855042855744;0;0,7679015041976505;0;0;0;0;0;0;0;0;-16,9780360655738;0;-9,95073016393443;-0,227673278688525;-4,17003360655738;
2;00:02:00;0;0;0;0;0;0;0;0,29104299847266285;-25,7309901639344;-21,6467368852459;0;-39,9916053442623;0,3587576312248491;0,2818291432326985;0;0;-25,7462983606557;0;0,6553278654271556;0;0;0,23653589758509633;-49,8641131147541;0,3015790581764083;0;0,7794605348663975;0;0;0;0;0;0;0;0;-16,9507918032787;0;-9,95073016393443;-0,227673278688525;-4,17003360655738;
3;00:03:00;0;0;0;0;0;0;0;0,2928580983877336;-25,7309901639344;-21,6467368852459;0;-39,9916053442623;0,3629758299298475;0,28199021788168344;0;0;-25,7462983606557;0;0,6600335967914294;0;0;0,24056130379416665;-49,8641131147541;0,30603861884425554;0;0,7892319691438796;0;0;0;0;0;0;0;0;-16,9507918032787;0;-9,95073016393443;-0,227673278688525;-4,17003360655738;
4;00:04:00;0;0;0;0;0;0;0;0,29318023342520855;-25,7309901639344;-21,6467368852459;0;-39,9916053442623;0,3637235768972552;0,28569698809476646;0;0;-25,7462983606557;0;0,6645206737902851;0;0;0,24287177839542914;-49,8641131147541;0,3080790058123442;0;0,7972422346034189;0;0;0;0;0;0;0;0;-16,882993442623;0;-9,95073016393443;-0,227673278688525;-4,17003360655738;
5;00:05:00;0;0;0;0;0;0;0;0,2957467870368504;-25,7309901639344;-21,6467368852459;0;-38,8099229508197;0,36581860985816456;0,29027976714441406;0;0;-25,7462983606557;0;0,6650864094979433;0;0;0,2455605441417003;-49,8641131147541;0,3089683415827379;0;0,8066494645004098;0;0;0;0;0;0;0;0;-16,882993442623;0;-9,95073016393443;-0,227673278688525;-4,17003360655738;
6;00:06:00;0;0;0;0;0;0;0;0,3029328518321924;-25,4035836065574;-21,6467368852459;0;-38,8099229508197;0,3662743150510346;0,2914529647650298;0;0;-25,7462983606557;0;0,6809077501127019;0;0;0,24710659477000263;-49,8641131147541;0,30933441515516713;0;0,809645296585579;0;0;0;0;0;0;0;0;-16,882993442623;0;-9,95073016393443;-0,227673278688525;-4,17003360655738;
7;00:07:00;0;0;0;0;0;0;0;0,3080955604399195;-25,4035836065574;-21,6467368852459;0;-38,8099229508197;0,3668013730345195;0,2922635425135308;0;0;-25,7462983606557;0;0,6849974394226648;0;0;0,24906231342278914;-49,8641131147541;0,3111219356746892;0;0,8110250479571017;0;0;0;0;0;0;0;0;-16,882993442623;0;-9,95073016393443;-0,227673278688525;-4,17003360655738;
8;00:08:00;0;0;0;0;0;0;0;0,31246525786117585;-25,4035836065574;-21,6467368852459;0;-38,8099229508197;0,3683077740257189;0,29248330673006223;0;0;-25,7462983606557;0;0,6851134376164221;0;0;0,2503730297580767;-49,8641131147541;0,31118077062318356;0;0,8177652824405065;0;0;0;0;0;0;0;0;0;0;-9,95073016393443;-0,227673278688525;-4,17003360655738;
9;00:09:00;0;0;0;0;0;0;0;0,31438837030265626;-25,4035836065574;-21,6467368852459;0;-38,8099229508197;0,36914900921949306;0,2934952874423725;0;0;-25,7462983606557;0;0,6878204502370296;0;0;0,25222928897319735;-49,8641131147541;0,3137202678157914;0;0,8236517628003885;0;0;0;0;0;0;0;0;0;0;-9,95073016393443;-0,227673278688525;-4,17003360655738;
10;00:10:00;0;0;0;0;0;0;0;0,3162676136146125;-25,4035836065574;-21,6467368852459;0;-38,8099229508197;0,37043609776280206;0,294929571838739;0;0;-25,7264508196721;0;0,6918567569509894;0;0;0,25348343786910604;-49,8641131147541;0,31444288940569126;0;0,8301652909582407;0;0;0;0;0;0;0;0;0;0;-9,95073016393443;-0,227673278688525;-4,17003360655738;
11;00:11:00;0;0;0;0;0;0;0;0,31714535881236705;-25,4035836065574;0;0;-38,7271737704918;0,3736849230370035;0,29585735233216925;0;0;-25,7264508196721;0;0,6940990513905458;0;0;0,2536746567006915;-49,8106475409836;0,3146074535174741;0;0,830720871575049;0;0;0;0;0;0;0;0;0;0;-9,95073016393443;-0,227673278688525;-4,17003360655738;
12;00:12:00;0;0;0;0;0;0;0;0,31802967258911113;-25,4035836065574;0;0;-38,7271737704918;0,3737352115508943;0,29603788345732635;0;0;-25,7264508196721;0;0,6955134157771022;0;0;0,25381682847698095;-49,8022803278688;0,3161710489773575;0;0,8318507524755083;0;0;0;0;0;0;0;0;0;0;-9,95073016393443;-0,227673278688525;-4,17003360655738;
13;00:13:00;0;0;0;0;0;0;0;0,3197107762196631;-25,4035836065574;0;0;-38,7271737704918;0,375208610149834;0,296761988749181;0;0;-25,7264508196721;0;0,6977144773946651;0;0;0,25525107088374155;-49,8022803278688;0,3162836140169433;0;0,8337896575003824;0;0;0;0;0;0;0;0;0;0;-9,95073016393443;-0,227673278688525;-4,17003360655738;
14;00:14:00;0;0;0;0;0;0;0;0,3200553466313887;-25,4035836065574;0;0;-38,7271737704918;0,37652857912141124;0,29827958182899544;0;0;-25,7264508196721;0;0,6986447815416184;0;0;0,255798499241381;-49,8022803278688;0,3165520507098874;0;0,8402853232873859;0;0;0;0;0;0;0;0;0;0;-9,95073016393443;-0,227673278688525;-4,17003360655738;
15;00:15:00;0;0;0;0;0;0;0;0,32011214012222444;-25,0629573770492;0;0;-38,7271737704918;0,3814979501547048;0,2982974096315623;0;0;-25,7264508196721;0;0,7041417636091697;0;0;0,25655615907460433;-49,8022803278688;0,31678693498236726;0;0,8410238636032618;0;0;0;0;0;0;0;0;0;0;-9,95073016393443;-0,227673278688525;-4,17003360655738;
16;00:16:00;0;0;0;0;0;0;0;0,32058619626021756;-25,0629573770492;0;0;-38,7271737704918;0,3847751737759995;0,29848245132295936;0;0;-25,7264508196721;0;0,7090226501640337;0;0;0,2568196528731296;-49,8022803278688;0,31688006169892696;0;0,8424602216418687;0;0;0;0;0;0;0;0;0;0;-9,95073016393443;-0,227673278688525;-4,17003360655738;
17;00:17:00;0;0;0;0;0;0;0;0,3211114599716763;-25,0629573770492;0;0;-38,7271737704918;0,3859391414682552;0,29902816281985234;0;0;-25,7264508196721;0;0,7102948675402413;0;0;0,2570014689983795;-49,8022803278688;0,3169418273271224;0;0,8440414193317091;0;0;0;0;0;0;0;0;0;0;-9,95073016393443;-0,227673278688525;-4,17003360655738;
18;00:18:00;0;0;0;0;0;0;0;0,32112535210270576;-25,0629573770492;0;0;-38,7271737704918;0,38667017479994137;0,2992415638959123;0;0;-25,7264508196721;0;0,7109522572304674;0;0;0,25719942170228705;-49,8022803278688;0,3174331787976526;0;0,8448569773571556;0;0;0;0;0;0;0;0;0;0;-9,95073016393443;-0,227673278688525;-4,17003360655738;
19;00:19:00;0;0;0;0;0;0;0;0,3213738094102465;-25,0629573770492;0;0;-38,7271737704918;0,3872130161449025;0,29929836241551633;0;0;-25,5008737704918;0;0,714072795359757;0;0;0,2576889266460309;-49,8022803278688;0,3174628988045151;0;0,8458525181974149;0;0;0;0;0;0;0;0;0;0;-9,95073016393443;-0,227673278688525;-4,17003360655738;
20;00:20:00;0;0;0;0;0;0;0;0,3214096664468521;-25,0629573770492;0;0;-38,7271737704918;0,3873383792179149;0,2993350390226064;0;0;-25,5008737704918;0;0,7145526663404557;0;0;0,25803746147452256;-49,8022803278688;0,31792200684150673;0;0,8484071824909437;0;0;0;0;0;0;0;0;0;0;-9,95073016393443;-0,227673278688525;-4,17003360655738;
21;00:21:00;0;0;0;0;0;0;0;0,32236442836945917;-24,8219327868852;0;0;-38,7271737704918;0,3878370350758365;0,300509772433386;0;0;-25,5008737704918;0;0,7151334732942564;0;0;0,2581931550250894;-49,8014147540984;0,31903777213986023;0;0,8518360467948779;0;0;0;0;0;0;0;0;0;0;-9,95073016393443;-0,227673278688525;-4,17003360655738;
22;00:22:00;0;0;0;0;0;0;0;0,32308579907869267;-24,8219327868852;0;0;-38,7271737704918;0,38869172933787527;0,3006525908176406;0;0;-25,5008737704918;0;0,7159119927802614;0;0;0,2582693657570651;-49,8014147540984;0,3201014248044295;0;0,8522436771518229;0;0;0;0;0;0;0;0;0;0;-9,95073016393443;-0,227673278688525;-4,17003360655738;
23;00:23:00;0;0;0;0;0;0;0;0,3240912997468685;-24,8219327868852;0;0;0;0,38889845496539877;0,30118828829030075;0;0;-25,5008737704918;0;0,7165498555750762;0;0;0,25968420475634985;-49,8014147540984;0,32412835801592443;0;0,8526633888249997;0;0;0;0;0;0;0;0;0;0;-9,95073016393443;-0,227673278688525;-4,17003360655738;
24;00:24:00;0;0;0;0;0;0;0;0,32490656114847694;-24,8219327868852;0;0;0;0,3889568843875215;0,3018168752038773;0;0;-25,5008737704918;0;0,7186199357431247;0;0;0,26008621712787827;-49,8014147540984;0,32435290626222646;0;0,8532922960751469;0;0;0;0;0;0;0;0;0;0;-9,95073016393443;-0,227673278688525;-4,17003360655738;
25;00:25:00;0;0;0;0;0;0;0;0,32554130712970136;-24,8219327868852;0;0;0;0,389493203631419;0,30188655874895826;0;0;-25,5008737704918;0;0,7201481503425677;0;0;0,2609381319223304;-49,8014147540984;0,3257654809717485;0;0,8562369608123168;0;0;0;0;0;0;0;0;0;0;-9,95073016393443;-0,227673278688525;-4,17003360655738;
