Device name;Usage sum in this simulation [kWh];Usage sum in this simulation linear extrapolated to 1 year [kWh];Comparison Value from the device entry [kWh];Percentage of the comparison value [1 = 100%];Device Category;
Living Room Light (100W);2,6899999999999995;490,9249999999999;0;0;(no category);
Kitchen Light (100W);0,11499999999999998;20,987499999999997;0;0;(no category);
Bathroom Light (100W);0,21166666666666664;38,62916666666666;0;0;(no category);
Bathroom Mirror Light 10 W (LED);0,021166666666666663;3,862916666666666;0;0;(no category);
Bedroom Light (200W);2,153333333333333;392,98333333333323;0;0;(no category);
Egg Cooker / Russell Hobbs 14048-56 Stylo;0,21762368329645576;39,71632220160318;0;0;Kitchen equipment / Egg cooker;
Juicer / Moulinex Vitafruit;0,2259575631049451;41,23725526665248;0;0;Kitchen equipment / Juicer;
Kitchen radio / AEG KRC 4323 CD;0,0976197442443077;17,815603324586153;0;0;Education and Entertainment equipment / Hifi devices / Kitchen radio;
Single Stove Plate;4,262374422655547;777,8833321346374;0;0;Kitchen equipment / Kitchen stove / Kitchen stove front left;
Nespresso Coffee Machine, Single Cup;0,09533270784508201;17,398219181727466;0;0;Kitchen equipment / Coffee equipment / Coffee machine;
Food Slicer / DOMO Schneidemaschine DO521S;0,027419253894968812;5,004013835831808;0;0;Kitchen equipment / Food slicer;
Toaster Salco MT 400;0,31828308725819676;58,08666342462091;0;0;Kitchen equipment / Toaster;
PC / Acer 8400;0,2380841854067359;43,4503638367293;0;0;Computers and Components / Computer / PC;
PC Monitor / Fujitsu Siemens Scaleoview D19-1;0,18423033248867396;33,622035679183;0;0;Computers and Components / Monitor / TFT display;
Kitchen Stove / Bauknecht Heko 750 PT Kitchen-stove right hind;1,9278755486339703;351,83728762569956;0;0;Kitchen equipment / Kitchen stove / Kitchen stove hind right;
Christopeit Treadmill TM 2 Pro;1,4348863096212172;261,8667515058721;0;0;Health equipment / Electronic hometrainer / Treadmill;
Laptop Sony Vaio SVE151G11M;0,3397957854697416;62,01273084822784;0;0;Computers and Components / Computer / Laptop;
Lawn Mower / Sabo 32-EL;0;0;0;0;Tools / Garden devices / Lawn mower;
Hifi System / Sharp XL-HF300PH;0;0;0;0;Education and Entertainment equipment / Hifi devices / Compact System;
Electric Kettle / Petra WK288 1.5L;0;0;0;0;Kitchen equipment / Electric kettle;
Energy Saving Lamp / EL-REF 11 E27;0;0;0;0;Light;
CD/DVD Player / Philips DVDR 725 H;0,2786353258212111;50,850946962371026;0;0;Education and Entertainment equipment / Hifi devices / CD/DVD Player;
TV Medion MD20123_DE_A;0,32470005635969884;59,25776028564504;0;0;Education and Entertainment equipment / Entertainment device / Television set;
SAT Receiver / Kathrein UFS913;0,0765464888748554;13,969734219661111;0;0;Education and Entertainment equipment / Entertainment device / SAT-Receiver;
Canister vacuum cleaner / Siemens VS 06 G 1831;0;0;0;0;Appliances / Vacuum cleaner / Canister vacuum cleaner;
Microsoft Xbox 360;0,12627390983013098;23,044988543998905;0;0;Education and Entertainment equipment / Video game console / Xbox360;
Miele DG 1450;0,7929831333181967;144,7194218305709;0;0;Kitchen equipment / Baking oven / Normal sized Baking oven;
Handmixer / Phillips Robust HR 1581;0,03624429056098595;6,614583027379936;0;0;Kitchen equipment / Handmixer;
Dishwasher NEFF SD6P1F (2011);0;0;0;0;Kitchen equipment / Dishwashers;
Dryer / Miele T 8626 WP;0;0;0;0;Appliances / Dryer;
Hedge Trimmer / Bosch AHS 550-24 ST;0;0;0;0;Tools / Garden devices / Hedge trimmer;
Atika LH 2500 G;0;0;0;0;Tools / Garden devices / Garden Shredder;
Nespresso Coffee Machine, Single Cup;0;0;0;0;Kitchen equipment / Coffee equipment / Coffee machine;
Electric Kettle / Petra WK288 1.5L;0;0;0;0;Kitchen equipment / Electric kettle;
Steam Iron / Phillips GC 4410;0;0;0;0;Appliances / Steam iron;
Washing Machine / Bosch WAE 28143;0,10628051750612472;19,39619444486776;0;0;Appliances / Washing machine;
Hair Dryer Braun Silencio 1250;0,14156248117667355;25,835152814742923;0;0;Bath devices / Hair dryer;
Siemens Kl 20 LA 65 (A+);1,1279769913333277;205,8558009183323;0;0;(no category);
Kitchen radio / AEG KRC 4323 CD;0,153114211117214;27,943343528891553;0;0;Education and Entertainment equipment / Hifi devices / Kitchen radio;
PC / Acer 8400;0,1825921887021265;33,323074438138086;0;0;Computers and Components / Computer / PC;
Router O2 Box 6431;0,7692260671666545;140,38375725791445;0;0;(no category);
PC Monitor / Fujitsu Siemens Scaleoview D19-1;0,14158160853089857;25,83864355688899;0;0;Computers and Components / Monitor / TFT display;
Laptop Sony Vaio SVE151G11M;0,28591229229355225;52,17899334357328;0;0;Computers and Components / Computer / Laptop;
Electric Razor Braun Cruzer 5;0,11415580615464202;20,833434623222168;0;0;(no category);
Electric Toothbrush Dondodent Professional Clean;0,026593272381420945;4,853272209609322;0;0;(no category);
Hifi System / Sharp XL-HF300PH;0,3595393998490718;65,6159404724556;0;0;Education and Entertainment equipment / Hifi devices / Compact System;
CD/DVD Player / Philips DVDR 725 H;0,12105147451625076;22,091894099215764;0;0;Education and Entertainment equipment / Hifi devices / CD/DVD Player;
SAT Receiver / Kathrein UFS913;0,15487556829771362;28,264791214332735;0;0;Education and Entertainment equipment / Entertainment device / SAT-Receiver;
TV Medion MD20123_DE_A;0,030318527291461308;5,533131230691689;0;0;Education and Entertainment equipment / Entertainment device / Television set;
Microsoft Xbox 360;0,42345231101307274;77,28004675988578;0;0;Education and Entertainment equipment / Video game console / Xbox360;
Sums;20,334265212681792;3711,003401314427;0
