Timestep;Time span;Sum [Watt]
0;00:00:00;4640,034159460575
1;00:01:00;4596,173155791829
2;00:02:00;4583,174418702955
3;00:03:00;4463,877738684049
4;00:04:00;4395,976822055483
5;00:05:00;4269,297989834751
6;00:06:00;4126,296384273058
7;00:07:00;4122,524665687448
8;00:08:00;4076,1789235597653
9;00:09:00;3838,7241327503107
10;00:10:00;2891,6707038927575
11;00:11:00;2883,9686892931904
12;00:12:00;2869,1752002535095
13;00:13:00;2862,9933186086996
14;00:14:00;2853,0628738853343
15;00:15:00;2808,043127475284
16;00:16:00;2802,5272917529037
17;00:17:00;2801,5013597586103
18;00:18:00;2771,3395677231642
19;00:19:00;2762,923779809607
20;00:20:00;2758,192148345292
21;00:21:00;2748,77476819657
22;00:22:00;2748,221237095173
23;00:23:00;2744,374417030987
24;00:24:00;2743,462014617769
25;00:25:00;2734,1952257482344
26;00:26:00;2730,9104986744946
27;00:27:00;2703,535925536919
28;00:28:00;2700,8887421495674
29;00:29:00;2687,757116259087
30;00:30:00;2681,2763192848834
31;00:31:00;2679,6648988617017
32;00:32:00;2664,3407085363665
33;00:33:00;2644,4797250480988
34;00:34:00;2615,166176948984
35;00:35:00;2593,6009180858405
36;00:36:00;2591,815820984173
37;00:37:00;2583,197774343885
38;00:38:00;2577,2996053825436
39;00:39:00;2566,7790680594676
40;00:40:00;2558,4123517510698
41;00:41:00;2554,2118721064044
42;00:42:00;2543,5073575210913
43;00:43:00;2526,7703147400234
44;00:44:00;2512,0974364928416
45;00:45:00;2494,048980480516
46;00:46:00;2489,531031498083
47;00:47:00;2470,8223013055263
48;00:48:00;2439,867426347682
49;00:49:00;2425,1210306402604
50;00:50:00;2357,4117502893173
51;00:51:00;2356,5753647470865
52;00:52:00;2354,211254194159
53;00:53:00;2350,1083385890206
54;00:54:00;2346,7439623882915
55;00:55:00;2346,6696039617914
56;00:56:00;2344,0289616300743
57;00:57:00;2320,0653503142116
58;00:58:00;2312,2129535705667
59;00:59:00;2294,6454347803688
60;01:00:00;2286,3219763591396
61;01:01:00;2261,5452712781002
62;01:02:00;2252,5417461719812
63;01:03:00;2248,6115971026757
64;01:04:00;2240,7893237288463
65;01:05:00;2231,3043111397897
66;01:06:00;2227,6894106890704
67;01:07:00;2218,4907544011635
68;01:08:00;2204,7116355536377
69;01:09:00;2199,2412907369408
70;01:10:00;2180,35158495474
71;01:11:00;2171,573839915297
72;01:12:00;2170,801926985312
73;01:13:00;2162,1211109028377
74;01:14:00;2148,307854734765
75;01:15:00;2142,023768856569
76;01:16:00;2139,9594194612937
77;01:17:00;2138,7853152746625
78;01:18:00;2122,5931717641347
79;01:19:00;2109,758539182708
80;01:20:00;2101,54427497314
81;01:21:00;2091,3434011547834
82;01:22:00;2081,65739393208
83;01:23:00;2073,325051765387
84;01:24:00;2066,7981899477604
85;01:25:00;2045,90722100105
86;01:26:00;2026,7173540723275
87;01:27:00;2015,251528875493
88;01:28:00;2011,693387400945
89;01:29:00;1984,9280160849496
90;01:30:00;1984,0341489657449
91;01:31:00;1978,5160120271046
92;01:32:00;1963,0657897040908
93;01:33:00;1961,8251122284116
94;01:34:00;1956,5206118292099
95;01:35:00;1937,5661769936246
96;01:36:00;1932,5734430627083
97;01:37:00;1893,4879584696105
98;01:38:00;1878,50836029856
99;01:39:00;1856,6862782337914
100;01:40:00;1852,6134290215812
101;01:41:00;1834,087825789959
102;01:42:00;1831,0782490673514
103;01:43:00;1808,441474203299
104;01:44:00;1754,6466421121418
105;01:45:00;1725,0588180420148
106;01:46:00;1714,3179222911306
107;01:47:00;1697,2652196064557
108;01:48:00;1696,916235723723
109;01:49:00;1679,1120708810188
110;01:50:00;1670,08963080503
111;01:51:00;1668,056779630153
112;01:52:00;1665,3305363069635
113;01:53:00;1647,6073823032339
114;01:54:00;1645,296093779999
115;01:55:00;1645,1376992339656
116;01:56:00;1643,6390571104143
117;01:57:00;1641,5274665395616
118;01:58:00;1640,237381078123
119;01:59:00;1639,695080047535
120;02:00:00;1638,7268041594984
121;02:01:00;1615,4027207253316
122;02:02:00;1613,5362815136596
123;02:03:00;1612,8974000784397
124;02:04:00;1593,7081710025534
125;02:05:00;1592,1766859259744
126;02:06:00;1591,623497003193
127;02:07:00;1591,5023229687247
128;02:08:00;1591,2439600491825
129;02:09:00;1591,2171600894942
130;02:10:00;1590,0803599343
131;02:11:00;1589,837919774853
132;02:12:00;1589,6402554551187
133;02:13:00;1589,5793016924563
134;02:14:00;1586,8658091279744
135;02:15:00;1569,5468818208085
136;02:16:00;1568,967778551377
137;02:17:00;1566,2270586962588
138;02:18:00;1557,660511629634
139;02:19:00;1556,0192190704006
140;02:20:00;1555,6540602696607
141;02:21:00;1555,6200701967584
142;02:22:00;1554,151260330636
143;02:23:00;1554,0611266660271
144;02:24:00;1554,0228549692729
145;02:25:00;1543,732845879241
146;02:26:00;1541,8716454722792
147;02:27:00;1541,303316053063
148;02:28:00;1541,222820098735
149;02:29:00;1540,9188763547604
150;02:30:00;1539,9843557318795
151;02:31:00;1539,8752055456812
152;02:32:00;1537,916914755334
153;02:33:00;1536,8009844029193
154;02:34:00;1533,489337106329
155;02:35:00;1529,9278063143545
156;02:36:00;1523,9342710395008
157;02:37:00;1515,4501357788884
158;02:38:00;1514,1913868663719
159;02:39:00;1511,4394954643374
160;02:40:00;1510,7707618154716
161;02:41:00;1507,787775890578
162;02:42:00;1506,545412566299
163;02:43:00;1502,5864818815282
164;02:44:00;1502,5384384827341
165;02:45:00;1501,7353934030305
166;02:46:00;1499,2549233492434
167;02:47:00;1497,283982379208
168;02:48:00;1494,8978627544634
169;02:49:00;1492,7139783666291
170;02:50:00;1492,508457337661
171;02:51:00;1485,228728879718
172;02:52:00;1479,8661302690084
173;02:53:00;1479,4986767986816
