Name:CHR52 Student Flatsharing HH1 HH1
Location:(Germany) Chemnitz
Temperatureprofile:Berlin, Germany 1996 from Deutscher Wetterdienst DWD (www.dwd.de)
Persons:
CHR52 Chris (22/Male)
	Desires:
		Spare Time / Boardgames
		Food / Breakfast
		Food Baking / Cake Baking
		Food / Sunday Feast
		Food / Soup
		Food / Frozen Pizza
		Food / Leftovers
		Food / Fry Eggs with Toast
		Food / Cooking Pasta
		Laundry / Dry Laundry
		Exercise / Treadmill Exercise
		Special / Food Stocking
		Spare Time / Internet
		Spare Time / Ride a Horse
		Hygiene / Get ready in the morning (men)
		Spare Time / Affiliation
		Spare Time / Computer Usage
		Laundry / Laundry at 30°C
		Laundry / Laundry at 60°C
		Spare Time / Watch a Movie in the Home Cinema
		Spare Time / Music Listening
		Sleep / Napping
		Spare Time / Picture Painting
		Spare Time / Puzzle Gaming
		Spare Time / Read a Book
		Other / Replacement Activity
		School / Philosophy Studies
		Hygiene / Showering (men)
		Spare Time / Singing Lesson
		Sleep / Sleep Bed 01 (08h)
		School / Study
		Hygiene / Toilet
		Special / Un-Hungry
		Cleaning / Vacuuming
		Exercise / Wii
	Sickness Desires:
		Food / Breakfast
		Food / Sunday Feast
		Food / Soup
		Food / Frozen Pizza
		Food / Leftovers
		Food / Fry Eggs with Toast
		Food / Cooking Pasta
		Spare Time / Internet
		Hygiene / Get ready in the morning (men)
		Spare Time / Affiliation
		Spare Time / Computer Usage
		Spare Time / Music Listening
		Sleep / Napping
		Spare Time / Read a Book
		Other / Replacement Activity
		Hygiene / Showering (men)
		Spare Time / Watch TV
		Spare Time / Tea Drinking
		Spare Time / Magazine reading
		Spare Time / Read Newspaper
		Sleep / Weekend Napping
		Sleep / Sleep Bed 01 (08h)
		Hygiene / Toilet
		Special / Un-Hungry
		Exercise / Wii
CHR52 Iris (22/Female)
	Desires:
		Spare Time / Boardgames
		Food / Breakfast
		Food Baking / Cake Baking
		Spare Time / Cinema Visit
		Food / Sunday Feast
		Food / Soup
		Food / Frozen Pizza
		Food / Leftovers
		Food / Fry Eggs with Toast
		Food / Cooking Pasta
		Cleaning / Dishwashing by Hand
		Special / Food Stocking
		Spare Time / Internet
		Spare Time / Invite Friends for Coffee
		Hygiene / Get ready in the morning (women)
		Spare Time / Affiliation
		Spare Time / Computer Usage
		Spare Time / Watch a Movie in the Home Cinema
		Spare Time / Music Listening
		Sleep / Napping
		Spare Time / Picture Painting
		Spare Time / Puzzle Gaming
		Spare Time / Read a Book
		Other / Replacement Activity
		School / Sports Study
		Hygiene / Showering (women)
		Hygiene / Hairwashing (women)
		Sleep / Sleep Bed 02 (08h)
		School / Study
		Hygiene / Toilet
		Special / Un-Hungry
		Cleaning / Vacuuming
		Exercise / Wii
		Work / Employment (Part time job)
	Sickness Desires:
		Food / Breakfast
		Food / Sunday Feast
		Food / Soup
		Food / Frozen Pizza
		Food / Leftovers
		Food / Fry Eggs with Toast
		Food / Cooking Pasta
		Spare Time / Internet
		Hygiene / Get ready in the morning (women)
		Spare Time / Affiliation
		Spare Time / Computer Usage
		Spare Time / Music Listening
		Sleep / Napping
		Spare Time / Read a Book
		Other / Replacement Activity
		Hygiene / Showering (women)
		Hygiene / Hairwashing (women)
		Spare Time / Magazine reading
		Spare Time / Read Newspaper
		Spare Time / Tea Drinking
		Spare Time / Watch TV
		Sleep / Weekend Napping
		Sleep / Sleep Bed 02 (08h)
		Hygiene / Toilet
		Special / Un-Hungry
		Exercise / Wii
CHR52 Maddy (23/Female)
	Desires:
		Spare Time / Bar Visit
		Spare Time / Boardgames
		Food / Breakfast
		Food Baking / Cake Baking
		Cleaning / Bathroom
		Food / Sunday Feast
		Food / Soup
		Food / Frozen Pizza
		Food / Leftovers
		Food / Fry Eggs with Toast
		Food / Cooking Pasta
		Special / Food Stocking
		Spare Time / Internet
		Hygiene / Get ready in the morning (women)
		Spare Time / Affiliation
		Spare Time / Computer Usage
