Reactive.Time;Calender;Bathroom Light (20W);Bathroom Mirror Light 10 W (LED);Kitchen Light (20W);Living Room Light (Energy Saving Lamp, 20W);Bedroom Light (20W);Egg Cooker / Russell Hobbs 14048-56 Stylo;Juicer / Moulinex Vitafruit;Kitchen radio / AEG KRC 4323 CD;Single Stove Plate;Nespresso Coffee Machine, Single Cup;Food Slicer / DOMO Schneidemaschine DO521S;Toaster Salco MT 400;Electric Kettle / Petra WK288 1.5L;PC / Acer 8400;PC Monitor / Fujitsu Siemens Scaleoview D19-1;Epson Stylus Color 860;TASKalfa 180;Canon CanoScan LIDE 110;External Harddrive Iomega 3.5";Miele DA 61;Kitchen Stove / Bauknecht Heko 750 PT Kitchen-stove right hind;Christopeit Treadmill TM 2 Pro;Hedge Trimmer / Bosch AHS 550-24 ST;Atika LH 2500 G;Lawn Mower / Sabo 32-EL;Hair Dryer Braun Silencio 1250;Laptop Sony Vaio SVE151G11M;Energy Saving Lamp / EL-REF 11 E27;CD/DVD Player / Philips DVDR 725 H;TV Medion MD20123_DE_A;SAT Receiver / Kathrein UFS913;Blender Vitamix Moulinex;AFK BM-2N;Miele DG 1450;Handmixer / Phillips Robust HR 1581;Clatronic MS 3249 Milk Foamer;Dishwasher NEFF SD6P1F (2011);Dryer / Miele T 8626 WP;Steam Iron / Phillips GC 4410;Washing Machine / Bosch WAE 28143;Sony PlayStation 3;Canister vacuum cleaner / Siemens VS 06 G 1831;Siemens Kl 20 LA 65 (A+);Router O2 Box 6431;Phone Siemens Gigaset C320;Electric Toothbrush Dondodent Professional Clean;Electric Razor Braun Cruzer 5;
0;00:00:00;0;0;0;1;1;0;0;5;0;0;0;0;0;5;5;5;5;0;0;0;0;0;0;0;0;0;5;0;5;5;5;0;0;0;0;0;0;0;0;0;5;0;2;0;5;0;4;
1;00:01:00;0;0;0;1;1;0;0;5;0;0;0;0;0;5;5;5;5;0;0;0;0;0;0;0;0;0;5;0;5;5;5;0;0;0;0;0;0;0;0;0;5;0;1;0;5;0;5;
2;00:02:00;0;0;0;1;1;0;0;5;0;0;0;0;0;5;5;5;5;0;0;0;0;0;0;0;0;0;5;0;5;5;5;0;0;0;0;0;0;0;0;0;5;0;1;0;5;0;5;
3;00:03:00;0;0;0;1;1;0;0;5;0;0;0;0;0;5;5;5;5;0;0;0;0;0;0;0;0;0;5;0;5;5;5;0;0;0;0;0;0;0;0;0;5;0;1;0;5;0;5;
4;00:04:00;0;0;0;1;1;0;0;5;0;0;0;0;0;5;5;5;5;0;0;0;0;0;0;0;0;0;5;0;5;5;5;0;0;0;0;0;0;0;0;0;5;0;1;0;5;0;5;
5;00:05:00;0;0;0;1;1;0;0;5;0;0;0;0;0;5;5;5;5;0;0;0;0;0;0;0;0;0;5;0;5;5;5;0;0;0;0;0;0;0;0;0;5;0;1;0;5;0;5;
6;00:06:00;0;0;0;1;1;0;0;5;0;0;0;0;0;5;5;5;5;0;0;0;0;0;0;0;0;0;5;0;5;5;5;0;0;0;0;0;0;0;0;0;5;0;2;0;5;0;5;
7;00:07:00;0;0;0;1;1;0;0;5;0;0;0;0;0;5;5;5;5;0;0;0;0;0;0;0;0;0;5;0;5;5;5;0;0;0;0;0;0;0;0;0;5;0;0;0;5;0;5;
8;00:08:00;0;0;0;1;1;0;0;5;0;0;0;0;0;5;5;5;5;0;0;0;0;0;0;0;0;0;5;0;5;5;5;0;0;0;0;0;0;0;0;0;5;0;0;0;5;0;5;
9;00:09:00;0;0;0;1;1;0;0;5;0;0;0;0;0;5;5;5;5;0;0;0;0;0;0;0;0;0;5;0;5;5;5;0;0;0;0;0;0;0;0;0;5;0;0;0;5;0;5;
10;00:10:00;0;0;0;1;1;0;0;5;0;0;0;0;0;5;5;5;5;0;0;0;0;0;0;0;0;0;5;0;5;5;5;0;0;0;0;0;0;0;0;0;5;0;0;0;5;0;5;
11;00:11:00;0;0;0;1;1;0;0;5;0;0;0;0;0;5;5;5;5;0;0;0;0;0;0;0;0;0;5;0;5;5;5;0;0;0;0;0;0;0;0;0;5;0;0;0;5;0;5;
12;00:12:00;0;0;0;1;1;0;0;5;0;0;0;0;0;5;5;5;5;0;0;0;0;0;0;0;0;0;5;0;5;5;5;0;0;0;0;0;0;0;0;0;5;0;1;0;5;0;5;
13;00:13:00;0;0;0;1;1;0;0;5;0;0;0;0;0;5;5;5;5;0;0;0;0;0;0;0;0;0;5;0;5;5;5;0;0;0;0;0;0;0;0;0;5;0;0;0;5;0;5;
14;00:14:00;0;0;0;1;1;0;0;5;0;0;0;0;0;5;5;5;5;0;0;0;0;0;0;0;0;0;5;0;5;5;5;0;0;0;0;0;0;0;0;0;5;0;0;0;5;0;5;
