None.Time;Calender;Calender for Excel;Sunday;Monday;Tuesday;Wednesday;Thursday;Friday;Saturday;
0;00:00:00;'00:00:00;1;;;0;1;1;1;
1;00:01:00;'00:01:00;1;;;0;1;1;1;
2;00:02:00;'00:02:00;1;;;0;1;1;1;
3;00:03:00;'00:03:00;1;;;0;1;1;1;
4;00:04:00;'00:04:00;1;;;0;1;1;1;
5;00:05:00;'00:05:00;1;;;0;1;1;1;
6;00:06:00;'00:06:00;1;;;0;1;1;1;
7;00:07:00;'00:07:00;1;;;0;1;1;1;
8;00:08:00;'00:08:00;1;;;0;1;1;1;
9;00:09:00;'00:09:00;1;;;0;1;1;1;
10;00:10:00;'00:10:00;1;;;0;1;1;1;
11;00:11:00;'00:11:00;1;;;0;1;1;1;
12;00:12:00;'00:12:00;1;;;0;1;1;1;
13;00:13:00;'00:13:00;1;;;0;1;1;1;
14;00:14:00;'00:14:00;1;;;0;1;1;1;
15;00:15:00;'00:15:00;1;;;0;1;1;1;
16;00:16:00;'00:16:00;1;;;0;1;1;1;
17;00:17:00;'00:17:00;1;;;0;1;1;1;
18;00:18:00;'00:18:00;1;;;0;1;1;1;
19;00:19:00;'00:19:00;1;;;0;1;1;1;
20;00:20:00;'00:20:00;1;;;0;1;1;1;
21;00:21:00;'00:21:00;1;;;0;1;1;1;
22;00:22:00;'00:22:00;1;;;0;1;1;1;
23;00:23:00;'00:23:00;1;;;0;1;1;1;
24;00:24:00;'00:24:00;1;;;0;1;1;1;
25;00:25:00;'00:25:00;1;;;0;1;1;1;
26;00:26:00;'00:26:00;1;;;0;1;1;1;
27;00:27:00;'00:27:00;1;;;0;1;1;1;
28;00:28:00;'00:28:00;1;;;0;1;1;1;
29;00:29:00;'00:29:00;1;;;0;1;1;1;
30;00:30:00;'00:30:00;1;;;0;1;1;1;
31;00:31:00;'00:31:00;1;;;0;1;1;1;
32;00:32:00;'00:32:00;1;;;0;1;1;1;
33;00:33:00;'00:33:00;1;;;0;1;1;1;
34;00:34:00;'00:34:00;1;;;0;1;1;1;
35;00:35:00;'00:35:00;1;;;0;1;1;1;
36;00:36:00;'00:36:00;1;;;0;1;1;1;
37;00:37:00;'00:37:00;1;;;0;1;1;1;
38;00:38:00;'00:38:00;1;;;0;1;1;1;
39;00:39:00;'00:39:00;1;;;0;1;1;1;
40;00:40:00;'00:40:00;1;;;0;1;1;1;
41;00:41:00;'00:41:00;1;;;0;1;1;1;
42;00:42:00;'00:42:00;1;;;0;1;1;1;
43;00:43:00;'00:43:00;1;;;0;1;1;1;
44;00:44:00;'00:44:00;1;;;0;1;1;1;
45;00:45:00;'00:45:00;1;;;0;1;1;1;
46;00:46:00;'00:46:00;1;;;0;1;1;1;
47;00:47:00;'00:47:00;1;;;0;1;1;1;
48;00:48:00;'00:48:00;1;;;0;1;1;1;
49;00:49:00;'00:49:00;1;;;0;1;1;1;
50;00:50:00;'00:50:00;1;;;0;1;1;1;
51;00:51:00;'00:51:00;1;;;0;1;1;1;
52;00:52:00;'00:52:00;1;;;0,5;1;1;1;
53;00:53:00;'00:53:00;1;;;0,5;1;1;1;
54;00:54:00;'00:54:00;1;;;0,5;1;1;1;
55;00:55:00;'00:55:00;1;;;0,5;1;1;1;
56;00:56:00;'00:56:00;1;;;0,5;1;1;1;
57;00:57:00;'00:57:00;1;;;0,5;1;1;1;
58;00:58:00;'00:58:00;1;;;0,5;1;1;1;
59;00:59:00;'00:59:00;1;;;0,5;1;1;1;
60;01:00:00;'01:00:00;1;;;0,5;1;1;1;
61;01:01:00;'01:01:00;1;;;0,5;1;1;1;
62;01:02:00;'01:02:00;1;;;0,5;1;1;1;
63;01:03:00;'01:03:00;1;;;0,5;1;1;1;
64;01:04:00;'01:04:00;1;;;0,5;1;1;1;
65;01:05:00;'01:05:00;1;;;0,5;1;1;1;
66;01:06:00;'01:06:00;1;;;0,5;1;1;1;
67;01:07:00;'01:07:00;1;;;0,5;1;1;1;
