Device name;Usage sum in this simulation [kWh];Usage sum in this simulation linear extrapolated to 1 year [kWh];Comparison Value from the device entry [kWh];Percentage of the comparison value [1 = 100%];Device Category;
Bathroom Light (20W);0,08133333333333333;14,843333333333332;0;0;(no category);
Bathroom Mirror Light 10 W (LED);0,04066666666666666;7,421666666666666;0;0;(no category);
Kitchen Light (20W);0,13966666666666663;25,48916666666666;0;0;(no category);
Cellar Light (20W);0;0;0;0;(no category);
Living Room Light (Energy Saving Lamp, 20W);0,5893333333333333;107,55333333333331;0;0;(no category);
Bedroom Light (20W);0,15433333333333332;28,16583333333333;0;0;(no category);
Children Room Light Device (20W);0,2193333333333333;40,02833333333333;0;0;(no category);
Children Room Light Device (20W);0;0;0;0;(no category);
AFK BM-2N;0;0;0;0;Kitchen equipment / Breadmaker;
Eye Glass Cleaner Grundig UC 5020;0,01751910689659431;3,1972370086284614;0;0;Bath devices / Cleaning device for glasses;
Clatronic MS 3249 Milk Foamer;0,5671823321398047;103,51077561551436;0;0;Kitchen equipment / Coffee equipment / Cappucino creamer;
Nespresso Coffee Machine, Single Cup;0,19066541569016401;34,79643836345493;0;0;Kitchen equipment / Coffee equipment / Coffee machine;
AEG PN 2200 RX 4935365097;0;0;0;0;Tools / Power drill / Hammer drill;
Hand-held Circular Saw / Bosch PKS 46;0;0;0;0;Tools / Saw / Hand-held circular saw;
Skil 4270;0;0;0;0;Tools / Saw / Jig saw;
Polishing Machine / Flex L 602 VR;0;0;0;0;Tools / Other Tools / Polishing maschine;
Dishwasher NEFF SD6P1F (2011);0,39711046299983294;72,47265949746951;0;0;Kitchen equipment / Dishwashers;
Christopeit Treadmill TM 2 Pro;0,4281105497915728;78,13017533696204;0;0;Health equipment / Electronic hometrainer / Treadmill;
Lawn Mower / Sabo 32-EL;0;0;0;0;Tools / Garden devices / Lawn mower;
Digitalpiano / Kawai CN-23;0,18827477865305817;34,36014710418311;0;0;Education and Entertainment equipment / Music instrument / Digital piano;
Lamp Ikea V1017 Jansjo;0,0002832798681693988;0,05169857594091528;0;0;Light / Desk Light;
AEG PN 2200 RX 4935365097;0;0;0;0;Tools / Power drill / Hammer drill;
AEG SB 2E 650 R;0;0;1;0;Tools / Power drill / Impact drill;
Skil 4270;0;0;0;0;Tools / Saw / Jig saw;
Hand-held Circular Saw / Bosch PKS 46;0;0;0;0;Tools / Saw / Hand-held circular saw;
Cordless Screwdriver / Bosch PSR 18 LI-2;0;0;0;0;Tools / Other Tools / Cordless screwdriver;
Electric Kettle / Petra WK288 1.5L;0,6176275191900541;112,71702225218488;0;0;Kitchen equipment / Electric kettle;
