Device name;Usage sum in this simulation [kWh];Usage sum in this simulation linear extrapolated to 1 year [kWh];Comparison Value from the device entry [kWh];Percentage of the comparison value [1 = 100%];Device Category;
Bathroom Light (60W);0,3168421052631582;57,82368421052637;0;0;(no category);
Bathroom Mirror Light 100W (Conventional);0,5251219639411844;95,83475841926615;0;0;(no category);
Children Room Light Device (20W);0,20596491228069982;37,58859649122772;0;0;(no category);
Living Room Light (60W);1,367368421052607;249,54473684210075;0;0;(no category);
Bedroom Light (200W);2,171929824561437;396,37719298246225;0;0;(no category);
Kitchen Light (20W);0,06175438596491241;11,270175438596514;0;0;(no category);
Electric Kettle / Petra WK288 1.5L;0;0;0;0;Kitchen equipment / Electric kettle;
CD/DVD Player / Philips DVDR 725 H;0,2696930534646446;49,21898225729764;33;1,4914843108272011;Education and Entertainment equipment / Hifi devices / CD/DVD Player;
Phillips 32-9615;1,280503756077623;233,69193548416618;139;1,681236945929253;Education and Entertainment equipment / Entertainment device / Television set;
SAT Receiver / Kathrein UFS913;0,15390684978149718;28,088000085123237;31;0,9060645188749431;Education and Entertainment equipment / Entertainment device / SAT-Receiver;
Egg Cooker / Russell Hobbs 14048-56 Stylo;0,1116448723848098;20,375189210227788;9;2,263909912247532;Kitchen equipment / Egg cooker;
Moulinex electronic 833;0,14199473412459954;25,914038977739416;0;0;Kitchen equipment / Juicer;
Kitchen radio / AEG KRC 4323 CD;0,050306150923762734;9,180872543586698;4;2,2952181358966746;Education and Entertainment equipment / Hifi devices / Kitchen radio;
Single Stove Plate;2,228696655487158;406,73713962640636;0;0;Kitchen equipment / Kitchen stove / Kitchen stove front left;
Coffee Machine / Braun KF 580E;0,6298871395441752;114,95440296681197;17;6,762023703930116;Kitchen equipment / Coffee equipment / Coffee machine;
Food Slicer / DOMO Schneidemaschine DO521S;0,01128673633617368;2,0598293813516966;1;2,0598293813516966;Kitchen equipment / Food slicer;
Toaster / Tefal Vario;0,1042351122688524;19,022907989065562;0;0;Kitchen equipment / Toaster;
Extractor Hood / Miele DA 429-4;0;0;16;0;Kitchen equipment / Extractor hood / Cabinet mounted;
Kitchen Stove / Bauknecht Heko 750 PT Kitchen stove left hind - full power;0;0;0;0;Kitchen equipment / Kitchen stove / Kitchen stove hind left;
Microwave / Panasonic NN-CD757W;0;0;46;0;Kitchen equipment / Microwave;
Miele H 5241 B;0,8549986770994267;156,03725857064538;104;1,5003582554869748;Kitchen equipment / Baking oven / Normal sized Baking oven;
Miele DA 61;0,15837934563921588;28,9042305791569;16;1,8065144111973062;Kitchen equipment / Extractor hood / Wall mounted;
Kitchen Stove / Bauknecht Heko 750 PT Kitchen-stove right hind;0,612258035026018;111,73709139224829;0;0;Kitchen equipment / Kitchen stove / Kitchen stove hind right;
Laptop Sony Vaio SVE151G11M;0,5345072246163947;97,54756849249202;0;0;Computers and Components / Computer / Laptop;
Washing Machine / Bosch WFS 8000;1,0630397087366437;194,00474684443748;184;1,0543736241545516;Appliances / Washing machine;
Hair Dryer / Braun Satin Pro 2200 Ion Care;0,7992744498544075;145,86758709842937;54;2,701251612933877;Bath devices / Hair dryer;
LED Lamp Globe E 14 Ambient 3W matt;0;0;13;0;Light;
Vacuum Cleaner FiF;0;0;0;0;Appliances / Vacuum cleaner / Canister vacuum cleaner;
CD/DVD Player / Philips DVDR 725 H;0,1280758324424499;23,373839420747107;0;0;Education and Entertainment equipment / Hifi devices / CD/DVD Player;
SAT Receiver / Kathrein UFS913;0,15684693674569025;28,62456595608847;0;0;Education and Entertainment equipment / Entertainment device / SAT-Receiver;
Phillips 32-9615;0,37770978599462873;68,93203594401974;0;0;Education and Entertainment equipment / Entertainment device / Television set;
Yamaha RX-V667;1,5170433252680176;276,8604068614132;0;0;(no category);
Liebherr CBP 4056-20A;3,106504729293306;566,9371130960283;0;0;(no category);
Kitchen radio / AEG KRC 4323 CD;0,1658065279368302;30,259691348471513;0;0;Education and Entertainment equipment / Hifi devices / Kitchen radio;
Microwave / Panasonic NN-CD757W;3,0259493997630234;552,2357654567518;0;0;Kitchen equipment / Microwave;
Electric Tooth Brush / Phillips HX9332;0,2531598133501752;46,20166593640697;0;0;(no category);
Phone Siemens Gigaset C320;0,5290587917530126;96,5532294949248;0;0;(no category);
Laptop Sony Vaio SVE151G11M;0,3877266666666231;70,76011666665872;0;0;Computers and Components / Computer / Laptop;
Router / AVM FRITZ! Box Fon WLAN 7390;1,0127815328799088;184,83262975058335;0;0;(no category);
Sums;24,314257456523062;4437,3519858154605;667
