Device name;Usage sum in this simulation [kWh];Usage sum in this simulation linear extrapolated to 1 year [kWh];Comparison Value from the device entry [kWh];Percentage of the comparison value [1 = 100%];Device Category;Energieagentur.NRW Tags;
Bathroom Light (20W);0,08133333333333333;14,843333333333332;0;0;(no category);Light;
Bathroom Mirror Light 10 W (LED);0,04066666666666666;7,421666666666666;0;0;(no category);Light;
Kitchen Light (20W);0,13966666666666663;25,48916666666666;0;0;(no category);Light;
Cellar Light (20W);0;0;0;0;(no category);Light;
Living Room Light (Energy Saving Lamp, 20W);0,5893333333333333;107,55333333333331;0;0;(no category);Light;
Bedroom Light (20W);0,15433333333333332;28,16583333333333;0;0;(no category);Light;
Children Room Light Device (20W);0,2193333333333333;40,02833333333333;0;0;(no category);Light;
Children Room Light Device (20W);0;0;0;0;(no category);Light;
AFK BM-2N;0;0;8;0;Kitchen equipment / Breadmaker;Cooking;
Eye Glass Cleaner Grundig UC 5020;0,01751910689659431;3,1972370086284614;1;3,1972370086284614;Bath devices / Cleaning device for glasses;Other;
Clatronic MS 3249 Milk Foamer;0,5671823321398047;103,51077561551436;4;25,87769390387859;Kitchen equipment / Coffee equipment / Cappucino creamer;Cooking;
Nespresso Coffee Machine, Single Cup;0,19066541569016401;34,79643836345493;0;0;Kitchen equipment / Coffee equipment / Coffee machine;Cooking;
AEG PN 2200 RX 4935365097;0;0;2;0;Tools / Power drill / Hammer drill;Other;
Hand-held Circular Saw / Bosch PKS 46;0;0;2;0;Tools / Saw / Hand-held circular saw;Other;
Skil 4270;0;0;1;0;Tools / Saw / Jig saw;Other;
Polishing Machine / Flex L 602 VR;0;0;3;0;Tools / Other Tools / Polishing maschine;Other;
Dishwasher NEFF SD6P1F (2011);3,0038612934934408;548,2046860625529;0;0;Kitchen equipment / Dishwashers;Dish washing;
Christopeit Treadmill TM 2 Pro;0,4281105497915728;78,13017533696204;200;0,3906508766848102;Health equipment / Electronic hometrainer / Treadmill;Other;
Lawn Mower / Sabo 32-EL;0;0;127;0;Tools / Garden devices / Lawn mower;Other;
Digitalpiano / Kawai CN-23;0,18827477865305817;34,36014710418311;14;2,454296221727365;Education and Entertainment equipment / Music instrument / Digital piano;Other;
Lamp Ikea V1017 Jansjo;0,0002832798681693988;0,05169857594091528;0;0;Light / Desk Light;Office;
AEG PN 2200 RX 4935365097;0;0;2;0;Tools / Power drill / Hammer drill;Other;
AEG SB 2E 650 R;0;0;1;0;Tools / Power drill / Impact drill;Other;
Skil 4270;0;0;1;0;Tools / Saw / Jig saw;Other;
Hand-held Circular Saw / Bosch PKS 46;0;0;2;0;Tools / Saw / Hand-held circular saw;Other;
Cordless Screwdriver / Bosch PSR 18 LI-2;0;0;0;0;Tools / Other Tools / Cordless screwdriver;Other;
Electric Kettle / Petra WK288 1.5L;0,6176275191900541;112,71702225218488;0;0;Kitchen equipment / Electric kettle;Cooking;
Energy Saving Lamp / EL-REF 11 E27;0;0;48;0;Light;Light;
CD/DVD Player / Philips DVDR 725 H;0,7305649325546905;133,32810019123102;33;4,0402454603403335;Education and Entertainment equipment / Hifi devices / CD/DVD Player;TV/Audio;
TV Medion MD20123_DE_A;0,9476622920613915;172,94836830120394;0;0;Education and Entertainment equipment / Entertainment device / Television set;TV/Audio;
SAT Receiver / Kathrein UFS913;0,36568097848335684;66,73677857321262;31;2,1527993088133104;Education and Entertainment equipment / Entertainment device / SAT-Receiver;TV/Audio;
Egg Cooker / Russell Hobbs 14048-56 Stylo;0,28984531090599225;52,89676924034359;9;5,8774188044826206;Kitchen equipment / Egg cooker;Cooking;
Juicer / Moulinex Vitafruit;0,29101534443721405;53,110300359791566;0;0;Kitchen equipment / Juicer;Cooking;
Kitchen radio / AEG KRC 4323 CD;0,16506812381800792;30,124932596786447;4;7,531233149196612;Education and Entertainment equipment / Hifi devices / Kitchen radio;TV/Audio;
Single Stove Plate;7,861786058552162;1434,7759556857695;0;0;Kitchen equipment / Kitchen stove / Kitchen stove front left;Cooking;
Food Slicer / DOMO Schneidemaschine DO521S;0,03389950143487936;6,186659011865483;1;6,186659011865483;Kitchen equipment / Food slicer;Cooking;
Toaster Salco MT 400;0,6245941747644808;113,98843689451773;0;0;Kitchen equipment / Toaster;Cooking;
PC / Acer 8400;0,8772747220986364;160,10263678300115;61;2,6246333898852647;Computers and Components / Computer / PC;Office;
PC Monitor / Fujitsu Siemens Scaleoview D19-1;0,9155849199983522;167,09424789969927;72;2,3207534430513785;Computers and Components / Monitor / TFT display;Office;
Epson Stylus Color 860;0,03502797397714588;6,392605250829123;30;0,2130868416943041;Computers and Components / Printer / Ink jet printer;Office;
TASKalfa 180;1,8585540434312633;339,18611292620557;29;11,69607285952433;Computers and Components / Computer component / Photocopier;Office;
Canon CanoScan LIDE 110;0,0037789659476638636;0,6896612854486551;4;0,17241532136216378;Computers and Components / Computer component / Scanner;Office;
TFT Monitor Samsung S27C750P;0,09109099642028688;16,624106846702357;100;0,16624106846702358;Computers and Components / Monitor / Second TFT display Monitor;Office;
Active Speaker Trust Tytan 2.1;0,0053326829419283175;0,9732146369019179;0;0;Education and Entertainment equipment / Hifi devices / Active speaker;TV/Audio;
PC Monitor / Fujitsu Siemens Scaleoview D19-1;0,7115097091596151;129,85052192162976;72;1,8034794711337467;Computers and Components / Monitor / TFT display;Office;
Gaming Computer;9,160627795255797;1671,814572634183;300;5,572715242113943;Computers and Components / Computer / Workstation or Gaming Rig;Office;
Cell Phone Samsung Charging;0,00021399999999999834;0,039054999999999694;0;0;Education and Entertainment equipment / Smartphones;Other;
SAT Receiver / Kathrein UFS913;0,015791250684393764;2,8819032499018618;31;0,09296462096457618;Education and Entertainment equipment / Entertainment device / SAT-Receiver;TV/Audio;
TV Medion MD20123_DE_A;0,02765831039652351;5,04764164736554;0;0;Education and Entertainment equipment / Entertainment device / Television set;TV/Audio;
Miele DG 1450;6,208488311365835;1133,049116824265;62;18,27498575523008;Kitchen equipment / Baking oven / Normal sized Baking oven;Cooking;
Handmixer / Phillips Robust HR 1581;0,030398950912857336;5,5478085415964635;1;5,5478085415964635;Kitchen equipment / Handmixer;Cooking;
Westinghouse Fanaway;0;0;14;0;Devices for enviromental improvement / Fan / Ceiling fan;Other;
Kitchen Stove / Bauknecht Heko 750 PT Kitchen stove front right- full power;2,1597963018294615;394,1628250838767;0;0;Kitchen equipment / Kitchen stove / Kitchen stove front right;Cooking;
Kitchen Stove / Bauknecht Heko 750 PT Kitchen stove left hind - full power;0,6454574325860477;117,7959814469537;0;0;Kitchen equipment / Kitchen stove / Kitchen stove hind left;Cooking;
Kitchen Stove / Bauknecht Heko 750 PT Kitchen-stove right hind;1,6030277244683966;292,5525597154824;0;0;Kitchen equipment / Kitchen stove / Kitchen stove hind right;Cooking;
Microwave / Panasonic NN 5259;0,6371128193110093;116,27308952425919;46;2,527675859223026;Kitchen equipment / Microwave;Cooking;
Kitchen Machine Bosch UM4VE2B;0,0009855928166666666;0,17987068904166664;0;0;Kitchen equipment / Kitchen Machines;Cooking;
Extractor Hood / Miele DA 429-4;0,548648237524344;100,12830334819277;16;6,258018959262048;Kitchen equipment / Extractor hood / Cabinet mounted;Cooking;
Miele DA 61;0,15413971674297472;28,130498305592887;16;1,7581561440995555;Kitchen equipment / Extractor hood / Wall mounted;Cooking;
Deep Fryer / DeLonghi F 28311.W Rotofritteuse;0;0;100;0;Kitchen equipment / Deep Fryer;Cooking;
Ricecooker / Tristar RK-6112;0;0;20;0;Kitchen equipment / Rice Cooker;Cooking;
Steam Cooker / Phillips HD9140;0;0;30;0;Kitchen equipment / Steam cooker;Cooking;
Immersion Blender Noah Hit Top;0,009039501806510414;1,6497090796881506;0;0;Kitchen equipment / Electric whisks / Immersion blender;Cooking;
Fondue / Unold 48746 Asia;2,7734450515857882;506,15372191440633;7;72,3076745592009;Kitchen equipment / Fondue;Cooking;
Bauknecht GTE 260;0;0;282;0;Appliances / Freezer;Freezing;
Dryer / Miele T 8626 WP;3,7338308978809867;681,4241388632801;349;1,9525046958833239;Appliances / Dryer;Drying;
Electronic Hometrainer / Kettler Satura E;0,5987696481360214;109,2754607848239;42;2,60179668535295;Health equipment / Electronic hometrainer / Crosstrainer;Other;
Hair Dryer Braun Silencio 1250;0,6463542870157432;117,95965738037313;0;0;Bath devices / Hair dryer;Washing;
Laptop Sony Vaio SVE151G11M;0,8573655112965302;156,46920581161675;0;0;Computers and Components / Computer / Laptop;Office;
Nespresso Coffee Machine, Single Cup;0;0;0;0;Kitchen equipment / Coffee equipment / Coffee machine;Cooking;
Electric Kettle / Petra WK288 1.5L;0;0;0;0;Kitchen equipment / Electric kettle;Cooking;
Steam Iron / Phillips GC 4410;1,8690965540153102;341,1101211077941;31;11,00355229379981;Appliances / Steam iron;Other;
Washing Machine / Bosch WAE 28143;1,395323739510632;254,64658246069033;184;1,383948817721143;Appliances / Washing machine;Washing;
Phone Siemens Gigaset C320;5,3499999999999884E-05;0,009763749999999979;0;0;Education and Entertainment equipment / Communication devices / Phone;Office;
Canister vacuum cleaner / Siemens VS 06 G 1831;0;0;48;0;Appliances / Vacuum cleaner / Canister vacuum cleaner;Other;
External Harddrive Iomega 3.5";0,07917710837109475;14,449822277724792;0;0;Computers and Components / Computer component / External Harddrives;Office;
Cell Phone Samsung Charging;0,00014999999999999972;0,027374999999999948;0;0;Education and Entertainment equipment / Smartphones;Other;
Nintendo Wii;0,015510019968880191;2,8305786443206347;20;0,14152893221603174;Education and Entertainment equipment / Video game console / Nintendo Wii;TV/Audio;
Siemens Kl 20 LA 65 (A+);1,117402125383328;203,92588788245735;0;0;(no category);Cooling;
Electric Razor Braun Cruzer 5;0,11415113129589897;20,83258146150156;0;0;(no category);Washing;
Electric Toothbrush Dondodent Professional Clean;0,026578669120765282;4,850607114539664;0;0;(no category);Washing;
Cell Phone Samsung Charging;0,07823620217021808;14,2781068960648;0;0;Education and Entertainment equipment / Smartphones;Other;
Samsung CLP-315W;1,6795119588104162;306,51093248290096;0;0;(no category);Office;
PC / Acer 8400;0,1014001204887796;18,505521989202276;0;0;Computers and Components / Computer / PC;Office;
Fax / Phillips Faxjet 525 Primo (IPF525);0,5997736026271367;109,45868247945245;0;0;(no category);Office;
PC Monitor / Fujitsu Siemens Scaleoview D19-1;0,07858247016941176;14,341300805917648;0;0;Computers and Components / Monitor / TFT display;Office;
Cordless Screwdriver / Bosch PSR 18 LI-2;0,719940808770735;131,38919760065912;0;0;Tools / Other Tools / Cordless screwdriver;Other;
CD/DVD Player / Philips DVDR 725 H;0,10753314485996436;19,624798936943495;0;0;Education and Entertainment equipment / Hifi devices / CD/DVD Player;TV/Audio;
SAT Receiver / Kathrein UFS913;0,12958840860757928;23,64988457088322;0;0;Education and Entertainment equipment / Entertainment device / SAT-Receiver;TV/Audio;
TV Medion MD20123_DE_A;0,023834431509317276;4,349783750450403;0;0;Education and Entertainment equipment / Entertainment device / Television set;TV/Audio;
Microsoft Xbox 360;0,4280671225734354;78,12224986965195;0;0;(no category);TV/Audio;
Yamaha RX-V667;1,4396667779241756;262,73918697116204;0;0;(no category);TV/Audio;
Kitchen radio / AEG KRC 4323 CD;0,14708808130818815;26,84357483874434;0;0;Education and Entertainment equipment / Hifi devices / Kitchen radio;TV/Audio;
Router O2 Box 6431;0,7692449053906989;140,38719523380254;0;0;(no category);Office;
Epson Stylus Color 860;0,027710691047526985;5,057201116173674;0;0;Computers and Components / Printer / Ink jet printer;Office;
TASKalfa 180;0,29417621942258043;53,68716004462093;0;0;Computers and Components / Computer component / Photocopier;Office;
TFT Monitor Samsung S27C750P;0,2669168671186654;48,712328249156435;0;0;Computers and Components / Monitor / Second TFT display Monitor;Office;
Active Speaker Trust Tytan 2.1;0,0473635377313116;8,643845635964366;0;0;Education and Entertainment equipment / Hifi devices / Active speaker;TV/Audio;
PC / Acer 8400;0,1919328066114197;35,02773720658409;0;0;Computers and Components / Computer / PC;Office;
Router O2 Box 6431;0,7692425024289502;140,38675669328342;0;0;(no category);Office;
PC Monitor / Fujitsu Siemens Scaleoview D19-1;0,12055950055853151;22,002108851932;0;0;Computers and Components / Monitor / TFT display;Office;
Gaming Computer;0,38939631261587015;71,0648270523963;0;0;Computers and Components / Computer / Workstation or Gaming Rig;Office;
SAT Receiver / Kathrein UFS913;0,16082311995300277;29,350219391423007;0;0;Education and Entertainment equipment / Entertainment device / SAT-Receiver;TV/Audio;
TV Medion MD20123_DE_A;0,03328037061122177;6,073667636547973;0;0;Education and Entertainment equipment / Entertainment device / Television set;TV/Audio;
