Apparent.Time;Calender;Living Room Light (200W);Kitchen Light (300W);Bathroom Light (60W);Bathroom Mirror Light 100W (Conventional);Bedroom Light (60W);Bedroom Light (20W);Egg Cooker / Russell Hobbs 14048-56 Stylo;Juicer / Moulinex Vitafruit;Kitchen radio / AEG KRC 4323 CD;Kitchen Stove / Bauknecht Heko 750 PT Kitchen stove front left;Coffee Machine / Braun Impression KF 600;Food Slicer / DOMO Schneidemaschine DO521S;Toaster / Bosch TAT8SL1;Miele H 5241 B;Handmixer / Phillips Robust HR 1581;Extractor Hood / Miele DA 429-4;Kitchen Stove / Bauknecht Heko 750 PT Kitchen stove left hind- semi aktiv;Microwave / Panasonic NN-CD757W;Electronic hometrainer / Kettler Track Perfomance;Laptop Lenovo Thinkpad x220;Washing Machine Samsung P1405J;CD/DVD Player / Philips DVDR 725 H;Home Cinema System / Samsung HT-D5550;TV Medion MD20123_DE_A;SAT Receiver / Kathrein UFS913;Hifi System / Sharp XL-HF300PH;Electric Kettle / Phillips Essential HD 4685/90 Schwarz;Energy Saving Lamp / EL-REF 11 E27;Vacuum Cleaner FiF;Nintendo Wii;Coffee Machine / Braun KF 580E;Electric Kettle / Petra WK288 1.5L;Hair Dryer / Braun Satin Pro 2200 Ion Care;Heater / Honeywell BH-888E;Liebherr CBNPes 3956;Electric Razor Braun Cruzer 5;Electric Tooth Brush / Phillips HX9332;Phone Siemens Gigaset C320;Router O2 Box 6431;Yamaha RX-V667;
0;00:00:00;42,10526315789474;0;0;0;12,631578947368421;0;0;0;1,4501678319151818;0;0;0;0;0;0;0;0;25,881602242554163;0;22,120000000000005;0;1,1344443658623087;2,0718199212363495;0,5700000000000001;1,4049542100600991;3,1413360486760653;0;0;0;2,1029355783997685;0;0;0;0;29,629786957186845;2,9526456721311503;2,154493269573634;4,401131868852458;11,73044327868854;12,087364659315162;
1;00:01:00;42,10526315789474;0;0;0;12,631578947368421;0;0;0;1,4933399432059127;0;0;0;0;0;0;0;0;27,11374761565604;0;22,120000000000005;0;1,091610700141876;2,244265181176073;0,5700000000000001;1,4332612244443197;3,034456237346095;0;0;0;2,0884763226300462;0;0;0;0;28,992685065116007;2,952841737704918;2,1247631825717344;4,390486557377048;11,738856721311482;12,862039848845734;
2;00:02:00;42,10526315789474;0;0;0;12,631578947368421;0;0;0;1,4914168119126394;0;0;0;0;0;0;0;0;25,062782129710687;0;22,120000000000005;0;1,140438859076395;2,0065579982712927;0,5700000000000001;1,4123829320535095;2,9188235263597653;0;0;0;1,9908890420021845;0;0;0;0;31,358177814396754;2,9495188196721314;1,9561432278988726;4,3822671803278705;11,76315540983606;12,55163164251176;
3;00:03:00;42,10526315789474;0;0;0;12,631578947368421;0;0;0;1,303705919265753;0;0;0;0;0;0;0;0;26,399769624898045;0;22,120000000000005;0;1,1091816083852781;2,0901476979472635;0,5700000000000001;1,319271635567072;3,324510939335134;0;0;0;2,136132355222986;0;0;0;0;28,19001074277737;2,950393475409838;1,915800848569455;4,402190622950818;11,73458491803276;12,047689556795635;
4;00:04:00;42,10526315789474;0;0;0;12,631578947368421;0;0;0;1,3781710470410413;0;0;0;0;0;0;0;0;26,300613705029956;0;22,120000000000005;0;1,1054619904497127;2,0759090325208844;0,5700000000000001;1,4805758897490138;2,915143231891313;0;0;0;2,1256531913923817;0;0;0;0;29,007210724047923;2,9454921311475397;2,254374116535248;4,388928360655735;11,73906459016392;11,318447066698747;
5;00:05:00;42,10526315789474;0;0;0;12,631578947368421;0;0;0;1,4890828269519076;0;0;0;0;0;0;0;0;25,27075649333513;0;22,120000000000005;0;1,1396454784377255;2,2088926878034654;0,5700000000000001;1,4317570984179149;3,243966337609063;0;0;0;2,0340508853223005;0;0;0;0;29,92766074259422;2,945945704918034;2,051098836440031;4,394914360655738;11,73413836065576;12,321369983573886;
6;00:06:00;42,10526315789474;0;0;0;12,631578947368421;0;0;0;1,4360044595939958;0;0;0;0;0;0;0;0;25,51539079203181;0;22,120000000000005;0;1,1209274297301701;2,145025123195002;0,5700000000000001;1,317419470626041;2,9809041176216757;0;0;0;1,9741399579803371;0;0;0;0;27,561636187009924;2,944003180327866;2,3226858042509324;4,4044749508196706;11,73887868852458;11,50697598727169;
7;00:07:00;42,10526315789474;0;0;0;12,631578947368421;0;0;0;1,521084734379065;0;0;0;0;0;0;0;0;25,431432739610585;0;22,120000000000005;0;1,1517678189651677;2,2495344359404372;0,5700000000000001;1,354567850347172;2,9410620941061367;0;0;0;2,3359513165518395;0;0;0;0;30,728416815743998;2,9485802295081998;2,2128621261917223;4,378471245901638;11,752573770491798;12,37430726967272;
8;00:08:00;42,10526315789474;0;0;0;12,631578947368421;0;0;0;1,34950229057291;0;0;0;0;0;0;0;0;24,05599895183202;0;22,120000000000005;0;1,0706850262471819;2,255633580368566;0,5700000000000001;1,402635813177611;2,9767494586618324;0;0;0;1,905677913861479;0;0;0;0;29,860776775406386;2,9497190819672143;2,1767640399495987;4,365284327868854;11,72547409836066;11,904958228368084;
9;00:09:00;42,10526315789474;0;0;0;12,631578947368421;0;0;0;1,340150440787378;0;0;0;0;0;0;0;0;22,691324894551055;0;22,120000000000005;0;1,1034359085448442;2,149665145300035;0,5700000000000001;1,4568905954306506;2,9986409844331074;0;0;0;2,3276966458319897;0;0;0;0;31,83585051832075;2,950543442622952;2,127909916971189;4,4150788196721305;11,727699672131141;13,316129735741438;
10;00:10:00;42,10526315789474;0;0;0;12,631578947368421;0;0;0;1,3027766086498773;0;0;0;0;0;0;0;0;25,988763218705152;0;22,120000000000005;0;1,1084104123433687;2,1448521797142384;0,5700000000000001;1,4120702954630928;3,1874857204094225;0;0;0;2,122751209417191;0;0;0;0;25,551857111266493;2,965460475409838;2,0462632175563944;4,41826131147541;11,74369409836064;12,849946013661802;
11;00:11:00;42,10526315789474;0;0;0;12,631578947368421;0;0;0;1,3843475520030357;0;0;0;0;0;0;0;0;22,80477035221296;0;22,120000000000005;0;1,087641982913584;2,3968711638569298;0,5700000000000001;1,4365959732541025;3,2765986683747714;0;0;0;1,951199664567362;0;0;0;0;32,75369018755583;2,9501358688524597;2,305283871897453;4,463067213114752;11,74596032786886;13,30381976161885;
12;00:12:00;42,10526315789474;0;0;0;12,631578947368421;0;0;0;1,441490487688761;0;0;0;0;0;0;0;0;26,603753919786033;0;22,120000000000005;0;1,2436752525561297;2,180484260643309;0,5700000000000001;1,4333349893960277;3,2591045448554006;0;0;0;2,0235317368989314;0;0;0;0;30,78316929673931;2,95524206557377;1,9180738714027061;4,424191803278689;11,730034426229519;12,441950331092913;
13;00:13:00;42,10526315789474;0;0;0;12,631578947368421;0;0;0;1,3545273452543949;0;0;0;0;0;0;0;0;25,848908915818072;0;22,120000000000005;0;1,0736372704253008;2,2208627847979265;0,5700000000000001;1,450096150771779;3,1010250267088275;0;0;0;2,05898205301837;0;0;0;0;15,797815429934596;2,95900606557377;2,0751612282492533;4,4390691147541;11,748016393442622;13,268572951754408;
14;00:14:00;42,10526315789474;0;0;0;12,631578947368421;0;0;0;1,476259862645824;0;0;0;0;0;0;0;0;27,000739681827884;0;22,120000000000005;0;1,0515213220499469;2,1806682434609708;0,5700000000000001;1,4534406815954366;3,0493118149551477;0;0;0;2,003391723288562;0;0;0;0;14,41342672927926;2,958199672131146;2,2433550892049987;4,417255081967212;11,74572229508196;11,951243643784364;
15;00:15:00;42,10526315789474;0;0;0;12,631578947368421;0;0;0;1,3206668346505184;0;0;0;0;0;0;0;0;25,02364945262581;0;22,120000000000005;0;1,2430776781396686;2,187998416500654;0,5700000000000001;1,4243310422006934;2,9265547492139747;0;0;0;2,014189319254147;0;0;0;0;13,96624667729788;2,961189180327868;1,9918707842922765;4,414344721311475;11,75558229508194;13,239344458191804;
16;00:16:00;42,10526315789474;0;0;0;12,631578947368421;0;0;0;1,471866419311456;0;0;0;0;0;0;0;0;23,570951637876313;0;22,120000000000005;0;1,207175959886696;2,2251717530715673;0,5700000000000001;1,352305416454006;3,3236708537545425;0;0;0;1,8617555585362517;0;0;0;0;14,547130542388555;2,96396662295082;2,0637741490592085;4,401795147540982;11,73468852459018;12,144979214597651;
17;00:17:00;42,10526315789474;0;0;0;12,631578947368421;0;0;0;1,4574887093624682;0;0;0;0;0;0;0;0;24,960818772994863;0;22,120000000000005;0;1,11025516470029;2,2522225527804216;0,5700000000000001;1,3324346106587721;2,9848601588416117;0;0;0;2,0590044025896477;0;0;0;0;16,19032855417209;2,960351967213114;2,1004077632090086;4,406663081967213;11,73603606557376;12,58105655444516;
18;00:18:00;42,10526315789474;0;0;0;12,631578947368421;0;0;0;1,3597219576700625;0;0;0;0;0;0;0;0;27,45977211317136;0;22,120000000000005;0;1,2675151227478767;2,2559309416219846;0,5700000000000001;1,4245701666018913;2,9048920727031096;0;0;0;2,1620104632943398;0;0;0;0;14,806997670607633;2,957023409836066;2,091099999333731;4,407367213114754;11,7563593442623;13,051107420960765;
19;00:19:00;42,10526315789474;0;0;0;12,631578947368421;0;0;0;1,2870022153825633;0;0;0;0;0;0;0;0;27,650257039869036;0;22,120000000000005;0;1,1601079643968617;2,213456773794451;0,5700000000000001;1,351455597514854;3,2293184461567193;0;0;0;2,127545157118548;0;0;0;0;16,51792427369947;2,9523170819672155;2,1397235117874582;4,4036067213114745;11,76802393442624;12,376938019281102;
20;00:20:00;42,10526315789474;0;0;0;12,631578947368421;0;0;0;1,2228283543955667;0;0;0;0;0;0;0;0;25,7041354181347;0;22,120000000000005;0;1,1612950885507218;2,1465282232728327;0,5700000000000001;1,4324941196629712;3,1527832123350095;0;0;0;2,1063812567993248;0;0;0;0;16,912620743302032;2,9488386229508197;2,030548022189791;4,380433377049181;11,69201508196722;12,230226965315493;
21;00:21:00;42,10526315789474;0;0;0;12,631578947368421;0;0;0;1,4348603763236873;0;0;0;0;0;0;0;0;23,48059225047703;0;22,120000000000005;0;1,1129315851094002;2,379355620346225;0,5700000000000001;1,3587269606162657;3,2337339478465226;0;0;0;2,149036804483507;0;0;0;0;11,657020262402787;2,9537063606557377;2,1048677073874007;4,376135245901642;11,72037868852458;12,739961982706753;
22;00:22:00;42,10526315789474;0;0;0;12,631578947368421;0;0;0;1,3732248664042879;0;0;0;0;0;0;0;0;22,67963096793597;0;22,120000000000005;0;1,1189874541108766;2,3504002308187575;0,5700000000000001;1,3945693467705165;3,1789180093664697;0;0;0;2,018867663784671;0;0;0;0;17,38720677270809;2,9539036393442637;2,027106126473786;4,386848491803278;11,75741311475412;13,533602108585239;
23;00:23:00;42,10526315789474;0;0;0;12,631578947368421;0;0;0;1,4613583995221076;0;0;0;0;0;0;0;0;26,190331918611708;0;22,120000000000005;0;1,0935197894182427;2,0934449230495416;0,5700000000000001;1,3539398223399297;3,1025524326948664;0;0;0;2,0917431519145455;0;0;0;0;16,19004797323453;2,955873770491804;2,057100494449763;4,413479114754096;11,78245901639344;12,198505758134546;
24;00:24:00;42,10526315789474;0;0;0;12,631578947368421;0;0;0;1,458805992373681;0;0;0;0;0;0;0;0;26,32731484875486;0;22,120000000000005;0;1,1262691709205623;2,2705175801396136;0,5700000000000001;1,3614001337142148;3,211633315554728;0;0;0;1,9570811569586515;0;0;0;0;14,62845129157265;2,95129793442623;2,0502719454136877;4,406010655737708;11,6914586885246;12,766474440881698;
25;00:25:00;42,10526315789474;0;0;0;12,631578947368421;0;0;0;1,4432083140642682;0;0;0;0;0;0;0;0;27,32673812716977;0;22,120000000000005;0;1,0692909001882651;2,2347590286980283;0,5700000000000001;1,3170553182213098;3,291487134572157;0;0;0;2,028039668270644;0;0;0;0;13,861593793566811;2,94916806557377;2,2207818034033115;4,402387049180326;11,67456590163936;13,102946314217922;
26;00:26:00;42,10526315789474;0;0;0;12,631578947368421;0;0;0;1,4105829277157649;0;0;0;0;0;0;0;0;24,953626485809277;0;22,120000000000005;0;1,1504986994718183;2,281425734827214;0,5700000000000001;1,4589714711949653;2,936544040155161;0;0;0;1,9886469055038554;0;0;0;0;17,16804353397414;2,951041573770492;2,085199023943351;4,396272754098358;11,732325901639339;12,667098391872152;
27;00:27:00;42,10526315789474;0;0;0;12,631578947368421;0;0;0;1,4901637158108825;0;0;0;0;0;0;0;0;24,846610761704802;0;22,120000000000005;0;1,0566762676708275;2,171591257424946;0,5700000000000001;1,3615438341576842;3,268336492140201;0;0;0;2,0833400019834576;0;0;0;0;15,08415290205949;2,950450491803278;2,0230285831709183;4,40472619672131;11,74122032786886;13,051482052715105;
28;00:28:00;42,10526315789474;0;0;0;12,631578947368421;0;0;0;1,486699367851011;0;0;0;0;0;0;0;0;23,769559372094328;0;22,120000000000005;0;1,1816667839562307;2,1567470101300197;0,5700000000000001;1,5074304034739452;2,9593677267701395;0;0;0;2,0328429505921393;0;0;0;0;13,095418226493313;2,9493102295081957;1,9268817948650754;4,38252557377049;11,747836721311499;13,274948415162493;
29;00:29:00;42,10526315789474;0;0;0;12,631578947368421;0;0;0;1,4930913937843886;0;0;0;0;0;0;0;0;26,780454475323143;0;22,120000000000005;0;1,0740921085998016;2,3181398366598684;0,5700000000000001;1,441605398153278;3,1469653292767132;0;0;0;2,0630919256422;0;0;0;0;13,288827295205163;2,9511360655737704;2,123532777810462;4,399586918032783;11,6921036065574;13,066916204211216;
30;00:30:00;42,10526315789474;0;0;0;12,631578947368421;0;0;0;1,4213414255283254;0;0;0;0;0;0;0;0;24,18191890257237;0;22,120000000000005;0;1,1751133389515542;2,2783109771316017;0,5700000000000001;1,4035708172692747;3,4206242350887686;0;0;0;2,0447315917627895;0;0;0;0;15,805477158603399;2,9491415737704925;1,8872497365224123;4,39321383934426;11,67963081967212;12,16765806400867;
