Device name;Usage sum in this simulation [kWh];Usage sum in this simulation linear extrapolated to 1 year [kWh];Comparison Value from the device entry [kWh];Percentage of the comparison value [1 = 100%];Device Category;
Bathroom Light (20W);0,10280701754386004;18,762280701754456;0;0;(no category);
Bathroom Mirror Light 10 W (LED);0,05140350877193002;9,381140350877228;0;0;(no category);
Kitchen Light (20W);0,033333333333333284;6,083333333333324;0;0;(no category);
Living Room Light (Energy Saving Lamp, 20W);0,4810526315789354;87,7921052631557;0;0;(no category);
Bedroom Light (20W);0,17999999999999902;32,849999999999824;0;0;(no category);
Egg Cooker / Russell Hobbs 14048-56 Stylo;0,2877958417810502;52,52274112504166;9;5,835860125004629;Kitchen equipment / Egg cooker;
Juicer / Moulinex Vitafruit;0,2998567592093753;54,723858555711;0;0;Kitchen equipment / Juicer;
Kitchen radio / AEG KRC 4323 CD;0,1291253807880546;23,565381993819965;4;5,891345498454991;Education and Entertainment equipment / Hifi devices / Kitchen radio;
Single Stove Plate;4,6467896261508175;848,0391067725242;0;0;Kitchen equipment / Kitchen stove / Kitchen stove front left;
Nespresso Coffee Machine, Single Cup;0,12250783510382521;22,3576799064481;0;0;Kitchen equipment / Coffee equipment / Coffee machine;
Food Slicer / DOMO Schneidemaschine DO521S;0,03613157403785976;6,5940122619094055;1;6,5940122619094055;Kitchen equipment / Food slicer;
Toaster Salco MT 400;0,4024393052663931;73,44517321111674;0;0;Kitchen equipment / Toaster;
Electric Kettle / Petra WK288 1.5L;0;0;0;0;Kitchen equipment / Electric kettle;
PC / Acer 8400;0,5674381146948202;103,55745593180468;61;1,697663211996798;Computers and Components / Computer / PC;
PC Monitor / Fujitsu Siemens Scaleoview D19-1;0,5960459483271614;108,77838556970696;72;1,5108109106903744;Computers and Components / Monitor / TFT display;
Epson Stylus Color 860;0,009516131652008278;1,7366940264915107;30;0,05788980088305036;Computers and Components / Printer / Ink jet printer;
TASKalfa 180;0,5071883057734994;92,56186580366364;29;3,1917884759884014;Computers and Components / Computer component / Photocopier;
Canon CanoScan LIDE 110;0,0009265356071809261;0,16909274831051901;4;0,042273187077629754;Computers and Components / Computer component / Scanner;
External Harddrive Iomega 3.5";0,05530873138217445;10,093843477246837;0;0;Computers and Components / Computer component / External Harddrives;
Miele DA 61;0,3604443406461077;65,78109216791465;16;4,111318260494666;Kitchen equipment / Extractor hood / Wall mounted;
Kitchen Stove / Bauknecht Heko 750 PT Kitchen-stove right hind;1,396498706020467;254,8610138487352;0;0;Kitchen equipment / Kitchen stove / Kitchen stove hind right;
