Reactive.Time;Calender;Bathroom Light (20W);Bathroom Mirror Light 10 W (LED);Kitchen Light (20W);Living Room Light (Energy Saving Lamp, 20W);Bedroom Light (20W);Egg Cooker / Russell Hobbs 14048-56 Stylo;Juicer / Moulinex Vitafruit;Kitchen radio / AEG KRC 4323 CD;Single Stove Plate;Nespresso Coffee Machine, Single Cup;Food Slicer / DOMO Schneidemaschine DO521S;Toaster Salco MT 400;Electric Kettle / Petra WK288 1.5L;PC / Acer 8400;PC Monitor / Fujitsu Siemens Scaleoview D19-1;Epson Stylus Color 860;TASKalfa 180;Canon CanoScan LIDE 110;External Harddrive Iomega 3.5";Miele DA 61;Kitchen Stove / Bauknecht Heko 750 PT Kitchen-stove right hind;Christopeit Treadmill TM 2 Pro;Hedge Trimmer / Bosch AHS 550-24 ST;Atika LH 2500 G;Lawn Mower / Sabo 32-EL;Hair Dryer Braun Silencio 1250;Laptop Sony Vaio SVE151G11M;Energy Saving Lamp / EL-REF 11 E27;CD/DVD Player / Philips DVDR 725 H;TV Medion MD20123_DE_A;SAT Receiver / Kathrein UFS913;Blender Vitamix Moulinex;AFK BM-2N;Miele DG 1450;Handmixer / Phillips Robust HR 1581;Clatronic MS 3249 Milk Foamer;Dishwasher NEFF SD6P1F (2011);Dryer / Miele T 8626 WP;Steam Iron / Phillips GC 4410;Washing Machine / Bosch WAE 28143;Sony PlayStation 3;Canister vacuum cleaner / Siemens VS 06 G 1831;Siemens Kl 20 LA 65 (A+);Router O2 Box 6431;Phone Siemens Gigaset C320;Electric Toothbrush Dondodent Professional Clean;Electric Razor Braun Cruzer 5;
0;00:00:00;0;0;0;1,3147364207154537;1,3147364207154537;0;0;0,4392400490882625;0;0;0;0;0;1,1256461669026572;0,9339973214863677;0,07939909483900899;0,8227798354388487;0;0;0;0;0;0;0;0;0;0,1;0;0,3498177866641124;0,01;0,4680613567610883;0;0;0;0;0;0;0;0;0;1,4296075812444127;0;16,098004999999997;-9,79800131147541;3,4508527540983613;-4,039059901639344;1,8288818032786889;
1;00:01:00;0;0;0;1,3147364207154537;1,3147364207154537;0;0;0,4151211619008432;0;0;0;0;0;1,310025899228695;1,0122355851042646;0,08000133992747362;0,8413206870274854;0;0;0;0;0;0;0;0;0;0,1;0;0,35499082716908126;0,01;0,43557222574902293;0;0;0;0;0;0;0;0;0;1,362165754721295;0;15,109248;-9,843488918032786;3,4358736065573803;-4,078038852459016;2,1629718688524577;
2;00:02:00;0;0;0;1,3147364207154537;1,3147364207154537;0;0;0,45637231099476433;0;0;0;0;0;1,2235266828031104;0,9237938771628273;0,07574755115777969;0,8779637634811699;0;0;0;0;0;0;0;0;0;0,1;0;0,374957027223326;0,01;0,4592575388598858;0;0;0;0;0;0;0;0;0;1,4603846451921525;0;15,122183999999999;-9,84122855737705;3,41321737704918;-4,072373934426229;2,357020295081968;
3;00:03:00;0;0;0;1,3147364207154537;1,3147364207154537;0;0;0,4394118458124071;0;0;0;0;0;1,2237265995566031;0,9870428884250467;0,0762907281631606;0,8362384143605995;0;0;0;0;0;0;0;0;0;0,1;0;0,3671319272185631;0,01;0,4601445841844048;0;0;0;0;0;0;0;0;0;1,5823939428069653;0;15,186600000000002;-9,73877354098361;3,429417081967214;-4,081444163934426;2,3937359672131118;
4;00:04:00;0;0;0;1,3147364207154537;1,3147364207154537;0;0;0,41467409084089457;0;0;0;0;0;1,099418276505414;0,9319771894659356;0,07296740117071465;0,8433255352793718;0;0;0;0;0;0;0;0;0;0,1;0;0,35219394205012133;0,01;0,4537099482841853;0;0;0;0;0;0;0;0;0;1,5996393708118688;0;15,456112;-9,771264196721312;3,42346533114754;-4,09062619672131;2,337314098360654;
5;00:05:00;0;0;0;1,3147364207154537;1,3147364207154537;0;0;0,3932184929199214;0;0;0;0;0;1,2390813673009076;0,9257293738830615;0,0805311929018359;0,8433097258911044;0;0;0;0;0;0;0;0;0;0,1;0;0,36103957540079185;0,01;0,47010878341334905;0;0;0;0;0;0;0;0;0;1,545353517071255;0;15,167339000000002;-9,779935639344263;3,4249741311475423;-4,101383016393442;2,3037718688524578;
6;00:06:00;0;0;0;1,3147364207154537;1,3147364207154537;0;0;0,3996731683196019;0;0;0;0;0;1,1375866510116714;0,8401176075626797;0,07926931377282513;0,8682487771870342;0;0;0;0;0;0;0;0;0;0,1;0;0,36953029413807476;0,01;0,4277559724478409;0;0;0;0;0;0;0;0;0;1,446395992000045;0;5,015077;-9,816236229508197;3,421482163934428;-4,109806262295082;2,206141639344264;
7;00:07:00;0;0;0;1,3147364207154537;1,3147364207154537;0;0;0,43820114058132803;0;0;0;0;0;1,1938023332737675;0,9672887183374226;0,07929547178427268;0,8596951284137772;0;0;0;0;0;0;0;0;0;0,1;0;0,3531112424595537;0,01;0,43929795311364883;0;0;0;0;0;0;0;0;0;1,529857458252646;0;0;-9,819154786885246;3,416711114754098;-4,114558590163934;2,298813245901642;
8;00:08:00;0;0;0;1,3147364207154537;1,3147364207154537;0;0;0,44496244657373135;0;0;0;0;0;1,2165265163621064;0,8207507830568594;0,07097320423293482;0,8811446808243865;0;0;0;0;0;0;0;0;0;0,1;0;0,32669116427205325;0,01;0,4240326945659104;0;0;0;0;0;0;0;0;0;1,5580127829371901;0;0;-9,798913114754097;3,432665737704918;-4,117765737704918;2,554927475409836;
9;00:09:00;0;0;0;1,3147364207154537;1,3147364207154537;0;0;0,3985788425626545;0;0;0;0;0;1,1125126626445256;0,996259742933536;0,07780563779250285;0,8827708443743705;0;0;0;0;0;0;0;0;0;0,1;0;0,3368635079360735;0,01;0,4442396697608137;0;0;0;0;0;0;0;0;0;1,5532821664092606;0;0;-9,809793770491805;3,419571836065574;-4,128063278688524;2,297328098360658;
10;00:10:00;0;0;0;1,3147364207154537;1,3147364207154537;0;0;0,4493912871919409;0;0;0;0;0;1,1723151945176906;0,9116847489352233;0,0722726902749684;0,8602811195391891;0;0;0;0;0;0;0;0;0;0,1;0;0,35962163890411275;0,01;0,4630491933046684;0;0;0;0;0;0;0;0;0;1,5330929356827983;0;0;-9,804346360655737;3,410967737704918;-4,107234524590162;2,134655901639346;
11;00:11:00;0;0;0;1,3147364207154537;1,3147364207154537;0;0;0,4451176354263904;0;0;0;0;0;1,1922286064120597;0,9446242154134961;0,07734758514532473;0,845027669563223;0;0;0;0;0;0;0;0;0;0,1;0;0,3514879450139944;0,01;0,4505803681715285;0;0;0;0;0;0;0;0;0;1,4334319608501154;0;0;-9,80647793442623;3,4204136721311458;-4,1086748196721325;2,447578196721314;
12;00:12:00;0;0;0;1,3147364207154537;1,3147364207154537;0;0;0,47572320566878645;0;0;0;0;0;1,2939043047254428;0,9953132714433215;0,0775410839979814;0,8537813947360334;0;0;0;0;0;0;0;0;0;0,1;0;0,36646135563975185;0,01;0,48064165109532403;0;0;0;0;0;0;0;0;0;1,569112963506093;0;0,016848;-9,81668380327869;3,4266528852459017;-4,119459180327868;2,524817573770492;
13;00:13:00;0;0;0;1,3147364207154537;1,3147364207154537;0;0;0,42320297492957615;0;0;0;0;0;1,1693933126757747;0,8467694017409025;0,08620406737007986;0,7868295196224551;0;0;0;0;0;0;0;0;0;0,1;0;0,3780820543137632;0,01;0,48020787473045656;0;0;0;0;0;0;0;0;0;1,4028441960667204;0;0;-9,83830318032787;3,4022210163934425;-4,12445806557377;2,7031046131147543;
14;00:14:00;0;0;0;1,3147364207154537;1,3147364207154537;0;0;0,46535136725623294;0;0;0;0;0;1,257072952600676;0,9350683538112481;0,08078764760921278;0,8944424753970136;0;0;0;0;0;0;0;0;0;0,1;0;0,36822990357536983;0,01;0,45445267441532594;0;0;0;0;0;0;0;0;0;1,4990370574760443;0;0;-9,813532327868852;3,403042524590164;-4,122487967213114;2,754541475409836;
15;00:15:00;0;0;0;1,3147364207154537;1,3147364207154537;0;0;0,4159992013626373;0;0;0;0;0;1,3312872600229126;0,8989595921380783;0,08134746335661112;0,7530081256739691;0;0;0;0;0;0;0;0;0;0,1;0;0,34700767413077493;0,01;0,44441459481924195;0;0;0;0;0;0;0;0;0;1,4785619965822634;0;0;-9,818206360655738;3,4380348196721315;-4,121240852459015;2,649515377049178;
16;00:16:00;0;0;0;1,3147364207154537;1,3147364207154537;0;0;0,42508409469036046;0;0;0;0;0;1,3207935752197129;0,9412275919234852;0,07559375464742334;0,8977755697487515;0;0;0;0;0;0;0;0;0;0,1;0;0,3533615971495859;0,01;0,42505606459278444;0;0;0;0;0;0;0;0;0;1,2762014239251158;0;0,6683250000000001;-9,790044032786886;3,4353238688524597;-4,122103442622953;2,7796453114754103;
17;00:17:00;0;0;0;1,3147364207154537;1,3147364207154537;0;0;0,39870668445904467;0;0;0;0;0;1,253506665452336;0,9896911022978611;0,0785556190476914;0,8751454842767392;0;0;0;0;0;0;0;0;0;0,1;0;0,3555534165754766;0,01;0,48237032930076856;0;0;0;0;0;0;0;0;0;1,4944598233780835;0;0;-9,794774885245904;3,4337354754098355;-4,132087770491804;2,689680393442624;
18;00:18:00;0;0;0;1,3147364207154537;1,3147364207154537;0;0;0,41758198627538984;0;0;0;0;0;1,3106049053585798;0,8670470559245714;0,08275410775677976;0,8383883535992599;0;0;0;0;0;0;0;0;0;0,1;0;0,3339735183916328;0,01;0,4290888663969995;0;0;0;0;0;0;0;0;0;1,495720765272479;0;0,1325712;-9,797056295081967;3,4276962295081943;-4,13948075409836;2,72572426229508;
19;00:19:00;0;0;0;1,3147364207154537;1,3147364207154537;0;0;0,45031657853561224;0;0;0;0;0;1,1426424274246945;0,8463342336461699;0,0777211162318309;0,7970690018060683;0;0;0;0;0;0;0;0;0;0,1;0;0,3567248223626153;0,01;0,4443399870783741;0;0;0;0;0;0;0;0;0;1,4832220202998783;0;16,697118;-9,800320754098362;3,418923278688522;-4,138374491803278;2,7259696065573777;
20;00:20:00;0;0;0;1,3147364207154537;1,3147364207154537;0;0;0,45418510041758264;0;0;0;0;0;1,3722875428770727;0,9583581942640966;0,47692116856557953;0,8362805543437173;0;0;0;0;0;0;0;0;0;0,1;0;0,3495074059312587;0,01;0,4613979360548225;0;0;0;0;0;0;0;0;0;1,5123893327266908;0;15,42968;-9,820190459016393;3,4141870819672144;-4,07568255737705;2,723842885245904;
21;00:21:00;0;0;0;1,3147364207154537;1,3147364207154537;0;0;0,49457050053770246;0;0;0;0;0;1,2617564190146335;0,9266230901600927;0,5917990071395626;0,8792611350890167;0;0;0;0;0;0;0;0;0;0,1;0;0,3412478682506008;0,01;0,43558061022095595;0;0;0;0;0;0;0;0;0;1,4977119144398872;0;15,122183999999999;-9,821364983606557;3,416756852459018;-4,124705147540981;2,7455675081967224;
22;00:22:00;0;0;0;1,3147364207154537;1,3147364207154537;0;0;0,42517252239278547;0;0;0;0;0;1,229254901641668;0,9247943908552104;0,5521307101187711;0,8345697572836407;0;0;0;0;0;0;0;0;0;0,1;0;0,38582596328620083;0,01;0,43490311348400396;0;0;0;0;0;0;0;0;0;1,5490592921738113;0;15,186600000000002;-9,797731704918032;3,4128388852459017;-4,123689573770492;2,729527803278688;
