Apparent.Time;Time span;Bathroom Light (20W) [VA];Bathroom Mirror Light 10 W (LED) [VA];Kitchen Light (20W) [VA];Living Room Light (Energy Saving Lamp, 20W) [VA];Bedroom Light (20W) [VA];Egg Cooker / Russell Hobbs 14048-56 Stylo [VA];Juicer / Moulinex Vitafruit [VA];Kitchen radio / AEG KRC 4323 CD [VA];Single Stove Plate [VA];Nespresso Coffee Machine, Single Cup [VA];Food Slicer / DOMO Schneidemaschine DO521S [VA];Toaster Salco MT 400 [VA];Electric Kettle / Petra WK288 1.5L [VA];PC / Acer 8400 [VA];PC Monitor / Fujitsu Siemens Scaleoview D19-1 [VA];Epson Stylus Color 860 [VA];TASKalfa 180 [VA];Canon CanoScan LIDE 110 [VA];External Harddrive Iomega 3.5" [VA];Miele DA 61 [VA];Kitchen Stove / Bauknecht Heko 750 PT Kitchen-stove right hind [VA];Christopeit Treadmill TM 2 Pro [VA];Hedge Trimmer / Bosch AHS 550-24 ST [VA];Atika LH 2500 G [VA];Lawn Mower / Sabo 32-EL [VA];Hair Dryer Braun Silencio 1250 [VA];Laptop Sony Vaio SVE151G11M [VA];Energy Saving Lamp / EL-REF 11 E27 [VA];CD/DVD Player / Philips DVDR 725 H [VA];TV Medion MD20123_DE_A [VA];SAT Receiver / Kathrein UFS913 [VA];Blender Vitamix Moulinex [VA];AFK BM-2N [VA];Miele DG 1450 [VA];Handmixer / Phillips Robust HR 1581 [VA];Clatronic MS 3249 Milk Foamer [VA];Dishwasher NEFF SD6P1F (2011) [VA];Dryer / Miele T 8626 WP [VA];Steam Iron / Phillips GC 4410 [VA];Washing Machine / Bosch WAE 28143 [VA];Sony PlayStation 3 [VA];Canister vacuum cleaner / Siemens VS 06 G 1831 [VA];Siemens Kl 20 LA 65 (A+) [VA];Router O2 Box 6431 [VA];Phone Siemens Gigaset C320 [VA];Electric Toothbrush Dondodent Professional Clean [VA];Electric Razor Braun Cruzer 5 [VA];
0;00:00:00;0;0;0;0;0;0;0;0,8787214614410256;0;0;0;0;0;1,0931084397205009;0,8599007776094819;0,16462410685184578;1,78042714408945;0;0;0;0;0;0;0;0;0;3,8000000000000003;0;0,6916720479182876;0,5700000000000001;0,8841282332632935;0;0;0;0;0;0;0;0;0;3,214242538748724;0;0;11,3268114754098;4,31627770491803;4,01463278688525;2,92629081967213;
1;00:01:00;0;0;0;0;0;0;0;0,9200748882659795;0;0;0;0;0;1,0983875314507787;0,8718660845922658;0,16485007762361792;1,7948277374787212;0;0;0;0;0;0;0;0;0;3,8000000000000003;0;0,7208582189477051;0,5700000000000001;0,8972231524749135;0;0;0;0;0;0;0;0;0;3,2306635016830776;0;0;11,3268114754098;4,31627770491803;4,01463278688525;2,92629081967213;
2;00:02:00;0;0;0;0;0;0;0;0,9220747975789308;0;0;0;0;0;1,1025102315301525;0,8782877091313427;0,16553982287437877;1,8574033674728336;0;0;0;0;0;0;0;0;0;3,8000000000000003;0;0,7410381029869476;0,5700000000000001;0,9060553417490244;0;0;0;0;0;0;0;0;0;3,3231395526138976;0;0;11,3268114754098;4,31627770491803;4,01463278688525;2,92629081967213;
3;00:03:00;0;0;0;0;0;0;0;0,9512098601647095;0;0;0;0;0;1,1063738521944941;0,8833854463951595;0,1711932255964585;1,8666322165353584;0;0;0;0;0;0;0;0;0;3,8000000000000003;0;0,7453747121189209;0,5700000000000001;0,9441988966621959;0;0;0;0;0;0;0;0;0;3,33045876946619;0;0;11,3268114754098;4,31627770491803;4,01463278688525;2,92629081967213;
4;00:04:00;0;0;0;0;0;0;0;0,9722700628101993;0;0;0;0;0;1,12088852913769;0,9050425416229172;0,1725782787959958;1,8689732248557231;0;0;0;0;0;0;0;0;0;3,8000000000000003;0;0,7473076292147132;0,5700000000000001;0,9469285416583825;0;0;0;0;0;0;0;0;0;3,3337505654082618;0;0;11,3268114754098;4,31627770491803;4,01463278688525;2,92629081967213;
5;00:05:00;0;0;0;0;0;0;0;0,9900042700932052;0;0;0;0;0;1,1358052677532624;0,9118177224189069;0,17304080732147792;1,872552579085151;0;0;0;0;0;0;0;0;0;3,8000000000000003;0;0,7525374387651008;0,5700000000000001;0,9534132838739833;0;0;0;0;0;0;0;0;0;3,363446395800836;0;0;11,3268114754098;4,31627770491803;4,01463278688525;2,92629081967213;
6;00:06:00;0;0;0;0;0;0;0;1,002431041544842;0;0;0;0;0;1,1488730324102356;0,9163441671371194;0,17353758186428137;1,8830699212827096;0;0;0;0;0;0;0;0;0;3,8000000000000003;0;0,7734272365506585;0,5700000000000001;0,9578111187157028;0;0;0;0;0;0;0;0;0;3,3896224631217255;0;0;11,3268114754098;4,31627770491803;4,01463278688525;2,92629081967213;
7;00:07:00;0;0;0;0;0;0;0;1,0027123321195834;0;0;0;0;0;1,163546421301088;0,917634456463522;0,17450141670613892;1,8956156797551778;0;0;0;0;0;0;0;0;0;3,8000000000000003;0;0,7769862189604114;0,5700000000000001;0,977508308147118;0;0;0;0;0;0;0;0;0;3,404558612504157;0;0;11,3268114754098;4,31627770491803;4,01463278688525;2,92629081967213;
8;00:08:00;0;0;0;0;0;0;0;1,0056918570606066;0;0;0;0;0;1,1724050880718693;0,9184187041634201;0,1783420259222559;1,899964588233733;0;0;0;0;0;0;0;0;0;3,8000000000000003;0;0,7817448365718095;0,5700000000000001;0,9795027488646747;0;0;0;0;0;0;0;0;0;3,413911292748141;0;0;11,3268114754098;4,31627770491803;4,01463278688525;2,92629081967213;
9;00:09:00;0;0;0;0;0;0;0;1,0072828077919527;0;0;0;0;0;1,184563696592006;0,9268367053449513;0,17969128218809932;1,9033484739349333;0;0;0;0;0;0;0;0;0;3,8000000000000003;0;0,7908461529574212;0,5700000000000001;0,9854799425233511;0;0;0;0;0;0;0;0;0;3,4176296518224367;0;0;11,3268114754098;4,31627770491803;4,01463278688525;2,92629081967213;
