Timestep;Time span;Sum [VA]
0;00:00:00;5374,071173237954
1;00:01:00;5256,07167329723
2;00:02:00;5132,3036796267015
3;00:03:00;5122,448154558053
4;00:04:00;5119,1706259219845
5;00:05:00;5062,163015362403
6;00:06:00;5039,687792182469
7;00:07:00;5015,968191133532
8;00:08:00;4979,4412006293305
9;00:09:00;4939,948571258738
10;00:10:00;4918,16966684659
11;00:11:00;4897,670746943288
12;00:12:00;4890,337384662664
13;00:13:00;4875,724980381549
14;00:14:00;4859,325826947862
15;00:15:00;4858,953963869006
16;00:16:00;4853,66873670993
17;00:17:00;4842,436998285068
18;00:18:00;4841,887062960447
19;00:19:00;4791,823475511384
20;00:20:00;4777,92864760401
21;00:21:00;4764,795126287095
22;00:22:00;4751,414224924793
23;00:23:00;4747,17540542556
24;00:24:00;4733,302027804421
25;00:25:00;4732,374025768693
26;00:26:00;4726,331254350228
27;00:27:00;4706,710341731881
28;00:28:00;4704,097580234642
29;00:29:00;4703,307874406831
30;00:30:00;4677,681320610477
31;00:31:00;4677,130516799478
32;00:32:00;4669,087799066675
33;00:33:00;4666,553668201105
34;00:34:00;4642,806263715555
35;00:35:00;4619,6717428548845
36;00:36:00;4617,1649166179495
37;00:37:00;4615,533467061332
38;00:38:00;4613,891574275699
39;00:39:00;4591,212592433174
40;00:40:00;4564,548250947268
41;00:41:00;4560,0345120775155
42;00:42:00;4547,757726676557
43;00:43:00;4537,141907318973
44;00:44:00;4536,9699865832645
45;00:45:00;4533,7813867853965
46;00:46:00;4532,650883053415
47;00:47:00;4532,611925474135
48;00:48:00;4526,5725702619875
49;00:49:00;4522,469540386614
50;00:50:00;4509,9933345192485
51;00:51:00;4492,831742622498
52;00:52:00;4490,947973893687
53;00:53:00;4489,541587398608
54;00:54:00;4452,410602203279
55;00:55:00;4440,1990979076445
56;00:56:00;4434,664221295967
57;00:57:00;4433,063102650294
58;00:58:00;4432,640105360079
59;00:59:00;4420,85831192816
60;01:00:00;4394,441000883233
61;01:01:00;4394,2848697347745
62;01:02:00;4388,961362475727
63;01:03:00;4375,473878312075
64;01:04:00;4375,292642564025
65;01:05:00;4369,777632220641
66;01:06:00;4362,960861704844
67;01:07:00;4361,76841444728
68;01:08:00;4360,738851858057
69;01:09:00;4359,552386967353
70;01:10:00;4359,008170928541
71;01:11:00;4358,281588934226
72;01:12:00;4355,846085463952
73;01:13:00;4350,087930026997
74;01:14:00;4348,354706503029
75;01:15:00;4346,439931335997
76;01:16:00;4339,921568970034
77;01:17:00;4331,7440559174365
78;01:18:00;4315,8038514000245
79;01:19:00;4313,472063237997
80;01:20:00;4305,627036073632
81;01:21:00;4300,482106153111
82;01:22:00;4284,991084271522
83;01:23:00;4278,68802244458
84;01:24:00;4266,92533976871
85;01:25:00;4255,2864105291055
86;01:26:00;4241,807682373573
87;01:27:00;4228,210676020893
88;01:28:00;4224,729271589217
89;01:29:00;4216,487365453858
90;01:30:00;4215,62181839647
91;01:31:00;4204,562941742834
92;01:32:00;4203,319066431646
93;01:33:00;4202,685795569512
94;01:34:00;4198,898664641945
95;01:35:00;4197,446960765308
96;01:36:00;4192,744114242964
97;01:37:00;4189,576698912365
98;01:38:00;4184,35765179967
99;01:39:00;4180,999320119789
100;01:40:00;4180,390875440111
101;01:41:00;4178,110868176608
102;01:42:00;4158,546994924688
103;01:43:00;4156,5986052927565
104;01:44:00;4142,087349050067
105;01:45:00;4135,563384437824
106;01:46:00;4135,201733056796
107;01:47:00;4128,5704336092795
108;01:48:00;4104,049355037423
