Timestep;Time span;Sum [VA]
0;00:00:00;6104,149759126736
1;00:01:00;5978,304108208335
2;00:02:00;5944,9045335701885
3;00:03:00;5872,979019853886
4;00:04:00;5715,790567126715
5;00:05:00;5595,419878238121
6;00:06:00;5559,470402735232
7;00:07:00;5523,47459426511
8;00:08:00;5511,750242234478
9;00:09:00;5506,653876826564
10;00:10:00;5493,0135006222645
11;00:11:00;5490,0530282934515
12;00:12:00;5432,43740907065
13;00:13:00;5418,921010683096
14;00:14:00;5418,1573635250625
15;00:15:00;5380,704279742614
16;00:16:00;5375,835322228672
17;00:17:00;5361,307024932707
18;00:18:00;5351,817329076707
19;00:19:00;5344,745870120965
20;00:20:00;5340,334679740894
21;00:21:00;5325,137090244803
22;00:22:00;5318,508560415939
23;00:23:00;5306,819075193266
24;00:24:00;5287,254493441353
25;00:25:00;5279,07634012899
26;00:26:00;5264,130702642663
27;00:27:00;5219,810674756637
28;00:28:00;5201,81701541674
29;00:29:00;5184,686695878133
30;00:30:00;5177,896447201458
31;00:31:00;5175,51770217945
32;00:32:00;5175,001273055229
33;00:33:00;5172,497437486407
34;00:34:00;5169,348158037126
35;00:35:00;5138,265926653917
36;00:36:00;5126,310052471114
37;00:37:00;5080,086951776177
38;00:38:00;5067,73949242516
39;00:39:00;5066,633892654573
40;00:40:00;5064,155520331954
41;00:41:00;5061,582348105571
42;00:42:00;5051,919526682706
43;00:43:00;5049,064066655888
44;00:44:00;5040,3439885047765
45;00:45:00;5035,716937155779
46;00:46:00;5015,441924996624
47;00:47:00;4999,670964058104
48;00:48:00;4995,547808927955
49;00:49:00;4989,110846427187
50;00:50:00;4987,578754980948
51;00:51:00;4982,8714835911505
52;00:52:00;4974,828081557317
53;00:53:00;4958,259535437337
54;00:54:00;4945,057058041164
55;00:55:00;4936,73700865171
56;00:56:00;4934,57150191786
57;00:57:00;4921,722585365728
58;00:58:00;4911,50126988916
59;00:59:00;4908,683643491929
60;01:00:00;4907,14633071924
61;01:01:00;4906,254786926257
62;01:02:00;4897,955162519328
63;01:03:00;4897,0281437663925
64;01:04:00;4896,321113538173
65;01:05:00;4887,949429902251
66;01:06:00;4866,817197846196
67;01:07:00;4848,20343849707
68;01:08:00;4847,689970513038
69;01:09:00;4830,259003411141
70;01:10:00;4828,450263801699
71;01:11:00;4825,681403898141
72;01:12:00;4819,8043006215685
73;01:13:00;4803,912909205645
74;01:14:00;4773,206816894363
75;01:15:00;4771,851209165749
76;01:16:00;4767,772867734149
77;01:17:00;4764,2785176052175
78;01:18:00;4757,369984226247
79;01:19:00;4755,834999479432
80;01:20:00;4747,066213995393
81;01:21:00;4744,999705614645
82;01:22:00;4742,920796494778
83;01:23:00;4734,132614449737
84;01:24:00;4707,675061982952
85;01:25:00;4703,966785444318
86;01:26:00;4686,367935786971
87;01:27:00;4677,606608181421
88;01:28:00;4677,252146365611
89;01:29:00;4667,534060972238
90;01:30:00;4654,110399238816
91;01:31:00;4637,054022453588
92;01:32:00;4624,933740326865
93;01:33:00;4611,3151649553965
94;01:34:00;4599,020204841478
95;01:35:00;4590,831530703637
96;01:36:00;4587,555430239058
97;01:37:00;4585,653074621643
98;01:38:00;4571,6031241935
99;01:39:00;4553,417729488676
100;01:40:00;4549,33358837486
101;01:41:00;4545,134694352518
