Timestep;Time span;Sum [VA]
0;00:00:00;6305,72312945539
1;00:01:00;5066,946845276349
2;00:02:00;4955,76604289204
3;00:03:00;4827,660253576236
4;00:04:00;4648,8831336593485
5;00:05:00;4518,52368044941
6;00:06:00;4475,517051735946
7;00:07:00;4464,939281402763
8;00:08:00;4425,757587410926
9;00:09:00;4413,661674328444
10;00:10:00;4410,073634442315
11;00:11:00;4384,5837370782965
12;00:12:00;4369,0954824914625
13;00:13:00;4340,312018194626
14;00:14:00;4255,391874374965
15;00:15:00;4197,603331487824
16;00:16:00;4196,8037186702295
17;00:17:00;4187,370577815168
18;00:18:00;4129,751794676845
19;00:19:00;4098,681454297761
20;00:20:00;4042,066073602985
21;00:21:00;3991,5148078558614
22;00:22:00;3958,2309114125474
23;00:23:00;3937,549951650259
24;00:24:00;3926,1565509503307
25;00:25:00;3861,7978800784967
26;00:26:00;3784,191314923252
27;00:27:00;3712,872954696779
28;00:28:00;3591,5036586289466
29;00:29:00;3566,6071233814528
30;00:30:00;3559,3322616526825
31;00:31:00;3555,7812971420426
32;00:32:00;3504,0203844756616
33;00:33:00;3497,5260124694914
34;00:34:00;3479,3149717573538
35;00:35:00;3443,891429605534
36;00:36:00;3425,9388203839094
37;00:37:00;3373,082505374532
38;00:38:00;3365,793838168873
39;00:39:00;3364,3838709527495
40;00:40:00;3358,328819484144
41;00:41:00;3351,894963180111
42;00:42:00;3347,8445818310947
43;00:43:00;3336,2204313586426
44;00:44:00;3314,407692366199
45;00:45:00;3301,5786485547274
46;00:46:00;3273,7491680596872
47;00:47:00;3267,448633170458
48;00:48:00;3266,1112647228683
49;00:49:00;3247,0315567214443
50;00:50:00;3235,184142726098
51;00:51:00;3215,744685129732
52;00:52:00;3153,9845912394044
53;00:53:00;3141,873529515623
54;00:54:00;3107,9506291742246
55;00:55:00;3100,109063222747
56;00:56:00;3093,2374046190953
57;00:57:00;3067,7726148196375
58;00:58:00;2861,923368676235
59;00:59:00;2674,0092416188545
60;01:00:00;2640,7327787861605
61;01:01:00;2537,944661176378
62;01:02:00;2514,043022281989
63;01:03:00;2499,400769265092
64;01:04:00;2424,060693557004
65;01:05:00;2369,8985552017593
66;01:06:00;2367,9965600988594
67;01:07:00;2343,1252446911853
68;01:08:00;2332,7438163245592
69;01:09:00;2319,8237196714267
70;01:10:00;2302,4478053923235
71;01:11:00;2297,3462282317832
72;01:12:00;2295,596791431028
73;01:13:00;2293,2377519077227
74;01:14:00;2287,293715304973
75;01:15:00;2284,618253028285
76;01:16:00;2283,6348699234304
77;01:17:00;2282,233702124109
78;01:18:00;2281,2699518000536
79;01:19:00;2277,0623989620217
80;01:20:00;2271,8339795040856
81;01:21:00;2270,0631406694292
82;01:22:00;2268,2372732456806
83;01:23:00;2267,8127212052377
84;01:24:00;2258,7127655490312
85;01:25:00;2252,5457855055574
86;01:26:00;2251,4187354579044
87;01:27:00;2250,060799936081
88;01:28:00;2249,367401511216
89;01:29:00;2248,940181182595
90;01:30:00;2248,8134662574003
91;01:31:00;2245,9409846441104
92;01:32:00;2244,2859363838775
93;01:33:00;2222,772743967247
94;01:34:00;2218,354944900822
95;01:35:00;2216,4940047775335
96;01:36:00;2216,3016273175817
97;01:37:00;2215,143587481172
98;01:38:00;2211,4858511758575
99;01:39:00;2209,022777856432
100;01:40:00;2207,8385038805895
101;01:41:00;2206,0116504007465
102;01:42:00;2205,606778678093
103;01:43:00;2204,4319362772726
104;01:44:00;2203,6610013803656
105;01:45:00;2202,250331312226
106;01:46:00;2196,085462329469
107;01:47:00;2192,914090457675
108;01:48:00;2192,8098540893075
109;01:49:00;2192,059613814892
110;01:50:00;2190,167188377861
111;01:51:00;2189,3875089925696
112;01:52:00;2188,7482559954096
113;01:53:00;2188,3326453396394
114;01:54:00;2185,9477107002863
115;01:55:00;2179,604384237446
116;01:56:00;2172,5817164095524
117;01:57:00;2165,5261720070503
118;01:58:00;2165,205403545757
119;01:59:00;2156,470752173088
120;02:00:00;2153,3054341427483
121;02:01:00;2148,1810353944206
122;02:02:00;2146,3560809113237
123;02:03:00;2145,0308231667723
124;02:04:00;2144,83731298798
125;02:05:00;2144,1800679877956
126;02:06:00;2139,459550358231
127;02:07:00;2139,403998589201
128;02:08:00;2137,6687945560748
129;02:09:00;2134,3458896665356
130;02:10:00;2133,5425764405245
131;02:11:00;2133,3300919743792
132;02:12:00;2133,1715499444235
133;02:13:00;2132,7671756723485
134;02:14:00;2132,3961258512572
135;02:15:00;2130,978697248764
136;02:16:00;2129,5728853832757
137;02:17:00;2129,4625736128983
138;02:18:00;2128,8053894528375
139;02:19:00;2121,241994914469
140;02:20:00;2120,7228851289997
141;02:21:00;2114,299750594537
142;02:22:00;2109,035996841337
