Inner Device Heat Gains.Time;Calender;Bathroom Light (60W);Bathroom Mirror Light 100W (Conventional);Children Room Light Device (20W);Living Room Light (60W);Bedroom Light (200W);Kitchen Light (20W);Electric Kettle / Petra WK288 1.5L;CD/DVD Player / Philips DVDR 725 H;Phillips 32-9615;SAT Receiver / Kathrein UFS913;Egg Cooker / Russell Hobbs 14048-56 Stylo;Moulinex electronic 833;Kitchen radio / AEG KRC 4323 CD;Single Stove Plate;Coffee Machine / Braun KF 580E;Food Slicer / DOMO Schneidemaschine DO521S;Toaster / Tefal Vario;Extractor Hood / Miele DA 429-4;Kitchen Stove / Bauknecht Heko 750 PT Kitchen stove left hind - full power;Microwave / Panasonic NN-CD757W;Miele H 5241 B;Miele DA 61;Kitchen Stove / Bauknecht Heko 750 PT Kitchen-stove right hind;Laptop Sony Vaio SVE151G11M;Washing Machine / Bosch WFS 8000;Hair Dryer / Braun Satin Pro 2200 Ion Care;LED Lamp Globe E 14 Ambient 3W matt;Vacuum Cleaner FiF;Yamaha RX-V667;Liebherr CBP 4056-20A;Electric Tooth Brush / Phillips HX9332;Phone Siemens Gigaset C320;Router / AVM FRITZ! Box Fon WLAN 7390;
0;00:00:00;0;0;0;12;40;0;0;1,1302092472037055;3,0005397198918082;1,2742188601826732;0;0;1,366356651932075;0;0;0;0;0;0;24,639540633417717;0;0;0;2,8832448871040652;0;0;0;0;12,496465812310811;23,98183716890093;1,8867266084006051;2,792075409836066;8,464710690846099;
1;00:01:00;0;0;0;12;40;0;0;1,098828508352022;3,296275422860817;1,3282000198797475;0;0;1,4190571377196748;0;0;0;0;0;0;23,767549505491033;0;0;0;2,9508968075380535;0;0;0;0;12,246094532017208;23,87114987238601;2,063027157222792;2,780288459016394;7,545875171848297;
2;00:02:00;0;0;0;12;40;0;0;1,0366874858420014;3,308439096121134;1,3640246771845956;0;0;1,2808653522489788;0;0;0;0;0;0;22,25814095046688;0;0;0;2,7877950496217414;0;0;0;0;12,214952039206182;22,627632444532665;1,951056094874977;2,796632370491802;8,042542660268817;
3;00:03:00;0;0;0;12;40;0;0;1,007608620190862;3,4990092574149587;1,4038448873424492;0;0;1,328455894614842;0;0;0;0;0;0;24,140437573369574;0;0;0;2,738148947348413;0;0;0;0;11,969406712335525;24,269820683005786;2,005531507138776;2,7718849508196697;7,780249051207983;
4;00:04:00;0;0;0;12;40;0;0;1,1059715552808207;3,2551178996740346;1,3650513379473774;0;0;1,3938721492759352;0;0;0;0;0;0;24,26152914165345;0;0;0;2,6950315391556066;0;0;0;0;12,70958821129405;25,13138153192464;1,8726776358256916;2,757336327868854;8,359600956792574;
5;00:05:00;0;0;0;12;40;0;0;1,1608865299570674;3,246801709727113;1,3095157365832462;0;0;1,361024665440444;0;0;0;0;0;0;24,34604102011989;0;0;0;2,7936189823244115;0;0;0;0;11,87688716246514;23,481081643991722;1,982497056906039;2,765120360655738;8,317007552637712;
6;00:06:00;0;0;0;12;40;0;0;1,0739392648479853;3,4548147372734013;1,3490259616896236;0;0;1,3465306840664768;0;0;0;0;0;0;24,260784499054118;0;0;0;2,684768440464456;0;0;0;0;12,264932020025267;21,54997469650123;2,015546611760489;2,784937245901638;7,552322227589229;
7;00:07:00;0;0;0;12;40;0;0;1,1064912895874623;3,373133714150577;1,2706583988927738;0;0;1,417291958994892;0;0;0;0;0;0;24,901466802129924;0;0;0;2,685992388501807;0;0;0;0;11,915619537053702;24,469326583658123;2,091766387379571;2,7756154426229522;8,22997239874532;
8;00:08:00;0;0;0;12;40;0;0;1,0367737759317304;3,2342528210734995;1,482324764647696;0;0;1,2411243135803647;0;0;0;0;0;0;24,92186516811185;0;0;0;2,7638193486823868;0;0;0;0;12,44996815824784;24,971982943965724;1,9575065287893398;2,781473409836066;8,190322607185722;
9;00:09:00;0;0;0;12;40;0;0;1,1070554126792207;3,2297265866154037;1,2814151080735987;0;0;1,3912492010026423;0;0;0;0;0;0;23,213869542295605;0;0;0;2,9719991525943525;0;0;0;0;11,930424310119763;21,93863590309772;2,1578967118432617;2,779405737704916;7,850528756419605;
10;00:10:00;0;0;0;12;40;0;0;0,9698965364416574;3,2664939484349653;1,357632032757343;0;0;1,294415708202696;0;0;0;0;0;0;23,088930562628445;0;0;0;2,6164474254672094;0;0;0;0;11,569920609493833;22,14009479421218;1,9657101902858343;2,7613311147541;8,261399251652781;
11;00:11:00;0;0;0;12;40;0;0;1,0459106318471363;3,3069448357349858;1,3100645689649315;0;0;1,4305865501783344;0;0;0;0;0;0;24,871496002430963;0;0;0;2,797846955580859;0;0;0;0;11,782024633059084;22,287829438107934;2,047241189487007;2,774449540983606;7,7864151250347735;
12;00:12:00;0;0;0;12;40;0;0;1,025891443735413;3,248743096811709;1,236483733966312;0;0;1,4919540487502465;0;0;0;0;0;0;24,255467521503174;0;0;0;2,582431935328535;0;0;0;0;12,034672905155356;23,993966426907722;1,9363513288132819;2,7842104262295058;8,148103420778494;
13;00:13:00;0;0;0;12;40;0;0;1,0793396476247838;3,638096038668799;1,2850045078586496;0;0;1,3188637235162108;0;0;0;0;0;0;25,18192997339485;0;0;0;3,0136502725242797;0;0;0;0;12,970537322893444;27,81147076911758;2,0424348525011973;2,7716088196721316;8,965633842501484;
