Apparent.Time;Time span;Bathroom Light (60W) [VA];Bathroom Mirror Light 100W (Conventional) [VA];Children Room Light Device (20W) [VA];Living Room Light (60W) [VA];Bedroom Light (200W) [VA];Kitchen Light (20W) [VA];Electric Kettle / Petra WK288 1.5L [VA];CD/DVD Player / Philips DVDR 725 H [VA];Phillips 32-9615 [VA];SAT Receiver / Kathrein UFS913 [VA];Egg Cooker / Russell Hobbs 14048-56 Stylo [VA];Moulinex electronic 833 [VA];Kitchen radio / AEG KRC 4323 CD [VA];Single Stove Plate [VA];Coffee Machine / Braun KF 580E [VA];Food Slicer / DOMO Schneidemaschine DO521S [VA];Toaster / Tefal Vario [VA];Extractor Hood / Miele DA 429-4 [VA];Kitchen Stove / Bauknecht Heko 750 PT Kitchen stove left hind - full power [VA];Microwave / Panasonic NN-CD757W [VA];Miele H 5241 B [VA];Miele DA 61 [VA];Kitchen Stove / Bauknecht Heko 750 PT Kitchen-stove right hind [VA];Laptop Sony Vaio SVE151G11M [VA];Washing Machine / Bosch WFS 8000 [VA];Hair Dryer / Braun Satin Pro 2200 Ion Care [VA];LED Lamp Globe E 14 Ambient 3W matt [VA];Vacuum Cleaner FiF [VA];Yamaha RX-V667 [VA];Liebherr CBP 4056-20A [VA];Electric Tooth Brush / Phillips HX9332 [VA];Phone Siemens Gigaset C320 [VA];Router / AVM FRITZ! Box Fon WLAN 7390 [VA];
0;00:00:00;0;-189,42614710552104;0;0;0;0;0;0,7085821623633639;2,3120220344817697;0,8662039690459479;0;0;0,8693651554426475;0;0;0;0;0;0;15,767932747369736;0;0;0;3,8000000000000003;0;0;0;0;8,110900831352193;0;1,4197448002407562;4,31627770491803;5,525311696055875;
1;00:01:00;0;-173,03114145238987;0;0;0;0;0;0,7456007987502739;2,3255184332552656;0,8662616163476325;0;0;0,9108829078595069;0;0;0;0;0;0;15,868606815535705;0;0;0;3,8000000000000003;0;0;0;0;8,301454510023227;0;1,447620453299675;4,31627770491803;5,542862806235308;
2;00:02:00;0;-158,346208022818;0;0;0;0;0;0,7463989427136185;2,3522911067351013;0,9147935509870311;0;0;0,9211288036034929;0;0;0;0;0;0;16,650580560195962;0;0;0;3,8000000000000003;0;0;0;0;8,332859050537056;0;1,4649071205055462;4,31627770491803;5,656823022152527;
3;00:03:00;0;-141,2170310539008;0;0;0;0;0;0,7615016601800337;2,3962632465305695;0,9428986237435922;0;0;0,9291465857186144;0;0;0;0;0;0;16,834416083077507;0;0;0;3,8000000000000003;0;0;0;0;8,390387324887257;0;1,4726736478852511;4,31627770491803;5,664705737542252;
4;00:04:00;0;-134,8745832842162;0;0;0;0;0;0,7718233791164799;2,3995580986183898;0,9447105187020206;0;0;0,9470542060356496;0;0;0;0;0;0;17,206426783778017;0;0;0;3,8000000000000003;0;0;0;0;8,428519841735131;0;1,491553616869786;4,31627770491803;5,744941365069781;
5;00:05:00;0;-134,6204222907531;0;0;0;0;0;0,7802888267269878;2,4079740586272056;0,9452750865469227;0;0;0,9491967382104071;0;0;0;0;0;0;17,388183488732906;0;0;0;3,8000000000000003;0;0;0;0;8,689016138948853;0;1,5046692496221399;4,31627770491803;5,8840164667483394;
6;00:06:00;0;-115,35381873168606;0;0;0;0;0;0,7805021409999873;2,4141917390578556;0,9574033492397434;0;0;0,9514730392959442;0;0;0;0;0;0;17,41303860523774;0;0;0;3,8000000000000003;0;0;0;0;8,702712674216684;0;1,511652374847542;4,31627770491803;5,89991150957268;
7;00:07:00;0;-112,40509386159047;0;0;0;0;0;0,7805607560228924;2,4215622761799604;0,9613171841339232;0;0;0,970562607957958;0;0;0;0;0;0;17,479711270106378;0;0;0;3,8000000000000003;0;0;0;0;8,762029354880584;0;1,5117227740162305;4,31627770491803;5,909046076833724;
8;00:08:00;0;-111,1843320368622;0;0;0;0;0;0,7846473151009139;2,422536466929211;0,977061630636954;0;0;0,9730913929479659;0;0;0;0;0;0;17,58703375431042;0;0;0;3,8000000000000003;0;0;0;0;8,85505347466076;0;1,5138053133669236;4,31627770491803;5,918261479176982;
9;00:09:00;0;-109,72104545587119;0;0;0;0;0;0,7902693622090475;2,4312169234860064;0,9840565084374434;0;0;0,9796594941871493;0;0;0;0;0;0;17,747813135983986;0;0;0;3,8000000000000003;0;0;0;0;8,932962326165224;0;1,516129890596094;4,31627770491803;5,935138515597355;
10;00:10:00;0;-105,66433354257016;0;0;0;0;0;0,7939446393924103;2,4340806663217123;0,9877059033591249;0;0;0,9911412255903052;0;0;0;0;0;0;17,76408156051273;0;0;0;3,8000000000000003;0;0;0;0;8,945584003078281;0;1,5168269653205084;4,31627770491803;5,938101913139982;
11;00:11:00;0;-101,18518212251428;0;0;0;0;0;0,8044966638133094;2,4344653283769944;0,9885757145250346;0;0;0,9961440218895032;0;0;0;0;0;0;17,7747735098717;0;0;0;3,8000000000000003;0;0;0;0;8,965725270677666;0;1,522680201136333;4,31627770491803;5,946181615903519;
12;00:12:00;0;-100,90574399338401;0;0;0;0;0;0,8061183510421185;2,439642689729989;0,9905112301850576;0;0;1,000817607687179;0;0;0;0;0;0;17,80003200992594;0;0;0;3,8000000000000003;0;0;0;0;8,982878957692265;0;1,5233548275087274;4,31627770491803;5,950807496468258;
13;00:13:00;0;-100,18759756672884;0;0;0;0;0;0,8072427642949773;2,4501149597725123;0,9930091770121704;0;0;1,0051644796646408;0;0;0;0;0;0;17,81042018566346;0;0;0;3,8000000000000003;0;0;0;0;8,995391792621236;0;1,523910882928221;4,31627770491803;5,960202546332713;
14;00:14:00;0;-94,94645456113574;0;0;0;0;0;0,8107844117006608;2,4616863337466532;0,9951191462723422;0;0;1,0063484383719619;0;0;0;0;0;0;17,918056906534176;0;0;0;3,8000000000000003;0;0;0;0;9,044284035009685;0;1,5241170496675658;4,31627770491803;6,010490541879984;
15;00:15:00;0;-94,11675369402114;0;0;0;0;0;0,8136771987237292;2,470784920666023;0,9982566889080146;0;0;1,0189164319573474;0;0;0;0;0;0;17,92659178665243;0;0;0;3,8000000000000003;0;0;0;0;9,04486454404847;0;1,5245917665227013;4,31627770491803;6,013781566208497;
16;00:16:00;0;-93,48934175004834;0;0;0;0;0;0,8141762510247997;2,473932814094546;1,0056288895949157;0;0;1,020599740709966;0;0;0;0;0;0;17,951211352600335;0;0;0;3,8000000000000003;0;0;0;0;9,071809431451635;0;1,525729182870996;4,31627770491803;6,0192158213492775;
17;00:17:00;0;-84,75735243282055;0;0;0;0;0;0,8142635716978499;2,475765804475729;1,0160301267493697;0;0;1,0215020702872735;0;0;0;0;0;0;17,95436862399895;0;0;0;3,8000000000000003;0;0;0;0;9,114147321252345;0;1,5314556529050805;4,31627770491803;6,037993519281735;
18;00:18:00;0;-74,28937490776943;0;0;0;0;0;0,8160867742304214;2,4779139167795337;1,0198229779954506;0;0;1,0282810080231073;0;0;0;0;0;0;17,955370633991937;0;0;0;3,8000000000000003;0;0;0;0;9,145734553911092;0;1,5360222691113221;4,31627770491803;6,094281576155772;
19;00:19:00;0;-72,57374095778343;0;0;0;0;0;0,8164760904099375;2,4809229189877176;1,0216394182312996;0;0;1,0311630715904017;0;0;0;0;0;0;18,041968086311428;0;0;0;3,8000000000000003;0;0;0;0;9,170294210727855;0;1,540072167998845;4,31627770491803;6,099531061037132;
20;00:20:00;0;-68,3506752514165;0;0;0;0;0;0,8169236419880754;2,493031038004756;1,022490274453018;0;0;1,0335054745794754;0;0;0;0;0;0;18,05030873511747;0;0;0;3,8000000000000003;0;0;0;0;9,222590679493898;0;1,5420217707127244;4,31627770491803;6,126108721132503;
21;00:21:00;0;-67,83632211185501;0;0;0;0;0;0,821115601742924;2,5005254372220365;1,0251550316466334;0;0;1,0336979848562753;0;0;0;0;0;0;18,111662743517137;0;0;0;3,8000000000000003;0;0;0;0;9,225326762281327;0;1,5434842854228028;4,31627770491803;6,146211302081812;
22;00:22:00;0;-63,59997137848487;0;0;0;0;0;0,8245363860916439;2,5063212295687043;1,0319797154144654;0;0;1,0345595626657982;0;0;0;0;0;0;18,23870961920487;0;0;0;3,8000000000000003;0;0;0;0;9,241214450518637;0;1,5506788412815526;4,31627770491803;6,153765702446271;
23;00:23:00;0;-62,70460337129623;0;0;0;0;0;0,8251047142298676;2,5107465334531884;1,0349766127609914;0;0;1,0354642394985036;0;0;0;0;0;0;18,263007338697022;0;0;0;3,8000000000000003;0;0;0;0;9,24556755462139;0;1,551463792572295;4,31627770491803;6,174797082980262;
24;00:24:00;0;-62,48279651090943;0;0;0;0;0;0,8251705394201478;2,518440431849672;1,0375724716194699;0;0;1,0359029395566692;0;0;0;0;0;0;18,279990843536023;0;0;0;3,8000000000000003;0;0;0;0;9,285074388730058;0;1,5521775034452603;4,31627770491803;6,176885067990771;
25;00:25:00;0;-61,32917617921195;0;0;0;0;0;0,8298659047793414;2,521708356640464;1,0409697130802231;0;0;1,0367127601786925;0;0;0;0;0;0;18,28322838361037;0;0;0;3,8000000000000003;0;0;0;0;9,286770010141781;0;1,5526862824527832;4,31627770491803;6,186929246436304;
