Device name;Usage sum in this simulation [kWh];Usage sum in this simulation linear extrapolated to 1 year [kWh];Comparison Value from the device entry [kWh];Percentage of the comparison value [1 = 100%];Device Category;Energieagentur.NRW Tags;
Kitchen Light (100W);0,8766666666666665;159,99166666666665;0;0;(no category);Light;
Living Room Light (Energy Saving Lamp, 20W);0,5109999999999999;93,25749999999998;0;0;(no category);Light;
Bathroom Light (100W);0,5616666666666665;102,50416666666665;0;0;(no category);Light;
Bathroom Mirror Light 10 W (LED);0,056166666666666656;10,250416666666665;0;0;(no category);Light;
Bedroom Light (60W);0,3549999999999999;64,78749999999998;0;0;(no category);Light;
Children Room Light (200W);0;0;0;0;(no category);Light;
Children Room Light Device (20W);0,2776666666666666;50,67416666666666;0;0;(no category);Light;
Children Room Light Device (20W);0,11233333333333331;20,50083333333333;0;0;(no category);Light;
Egg Cooker / Russell Hobbs 14048-56 Stylo;0,2693301308747996;49,15274888465093;9;5,461416542738992;Kitchen equipment / Egg cooker;Cooking;
Juicer / Moulinex Vitafruit;0,2859955447137928;52,194186910267184;0;0;Kitchen equipment / Juicer;Cooking;
Kitchen radio / AEG KRC 4323 CD;0,15997965197041625;29,196286484600964;4;7,299071621150241;Education and Entertainment equipment / Hifi devices / Kitchen radio;TV/Audio;
Kitchen Stove / Bauknecht Heko 750 PT Kitchen stove front left;8,670103382180471;1582,293867247936;160;9,8893366702996;Kitchen equipment / Kitchen stove / Kitchen stove front left;Cooking;
Coffee Machine / Braun Impression KF 600;1,5440782834113462;281,7942867225707;17;16,576134513092395;Kitchen equipment / Coffee equipment / Coffee machine;Cooking;
Food Slicer / DOMO Schneidemaschine DO521S;0,033902554984306166;6,187216284635875;1;6,187216284635875;Kitchen equipment / Food slicer;Cooking;
Toaster Salco MT 400;0,40195704244945357;73,35716024702528;0;0;Kitchen equipment / Toaster;Cooking;
PC / Acer 8400;0,38662453891973486;70,55897835285161;61;1,1567045631615018;Computers and Components / Computer / PC;Office;
PC Monitor / Fujitsu Siemens Scaleoview D19-1;0,5842337790559066;106,62266467770294;72;1,4808703427458743;Computers and Components / Monitor / TFT display;Office;
Epson Stylus Color 860;0,019655257566079713;3,5870845058095475;30;0,11956948352698492;Computers and Components / Printer / Ink jet printer;Office;
TASKalfa 180;1,0319965558351503;188,3393714399149;29;6,494461084134997;Computers and Components / Computer component / Photocopier;Office;
Canon CanoScan LIDE 110;0,000476519138686516;0,08696474281028917;4;0,02174118570257229;Computers and Components / Computer component / Scanner;Office;
External Harddrive Iomega 3.5";0,1008634098718832;18,407572301618686;0;0;Computers and Components / Computer component / External Harddrives;Office;
Laptop / ACER BT.00603.043 Replacement laptop battery;3,1890776473508966;582,0066706415387;17;34,235686508325806;Computers and Components / Computer / Laptop;Office;
Electric Kettle / Phillips Essential HD 4685/90 Schwarz;0,7650141755216929;139,61508703270897;30;4,653836234423633;Kitchen equipment / Electric kettle;Cooking;
Fancy Ceiling Lights with at least 3 Bulbs;0,5020220463984286;91,61902346771322;0;0;Light;Light;
CD/DVD Player / Phillips HDR3810/31;0,7326307176824758;133,70510597705183;33;4,05166987809248;Education and Entertainment equipment / Hifi devices / CD/DVD Player;TV/Audio;
Panasonic TX-P58V10E;21,075420610743382;3846,264261460667;200;19,231321307303336;Education and Entertainment equipment / Entertainment device / Television set;TV/Audio;
SAT Receiver / Kathrein UFS913;0,5347875588411991;97,59872948851884;31;3,148346112532866;Education and Entertainment equipment / Entertainment device / SAT-Receiver;TV/Audio;
Miele H 5241 B;6,726785211817121;1227,6383011566245;104;11,804214434198313;Kitchen equipment / Baking oven / Normal sized Baking oven;Cooking;
Handmixer / Phillips Robust HR 1581;0;0;1;0;Kitchen equipment / Handmixer;Cooking;
Kitchen Stove / Bauknecht Heko 750 PT Kitchen stove front right- full power;1,9201156855202104;350,4211126074384;0;0;Kitchen equipment / Kitchen stove / Kitchen stove front right;Cooking;
Microwave / Panasonic NN-V 359 W Inverter;0,2885179174197035;52,65451992909589;46;1,1446634767194759;Kitchen equipment / Microwave;Cooking;
Extractor Hood / Miele DA 429-4;0,503498989440763;91,88856557293924;16;5,743035348308703;Kitchen equipment / Extractor hood / Cabinet mounted;Cooking;
Miele DA 61;0,13069339354677498;23,851544322286433;16;1,490721520142902;Kitchen equipment / Extractor hood / Wall mounted;Cooking;
Deep Fryer / DeLonghi F 28311.W Rotofritteuse;0;0;100;0;Kitchen equipment / Deep Fryer;Cooking;
Ricecooker / Tristar RK-6112;0;0;20;0;Kitchen equipment / Rice Cooker;Cooking;
Steam Cooker / Phillips HD9140;0;0;30;0;Kitchen equipment / Steam cooker;Cooking;
Kitchen Stove / Bauknecht Heko 750 PT Kitchen-stove right hind;1,4197862184650678;259,11098486987487;0;0;Kitchen equipment / Kitchen stove / Kitchen stove hind right;Cooking;
Braun Multiquick 3 MR 300 Soup;0,030762089357574275;5,6140813077573055;2;2,8070406538786528;Kitchen equipment / Electric whisks / Immersion blender;Cooking;
Kitchen Stove / Bauknecht Heko 750 PT Kitchen stove left hind- semi aktiv;0,3925611121088524;71,64240295986556;0;0;Kitchen equipment / Kitchen stove / Kitchen stove hind left;Cooking;
Fondue / Unold 48746 Asia;2,574063842156652;469,76665119358904;7;67,10952159908415;Kitchen equipment / Fondue;Cooking;
Dishwashers / Bosch SGI 4662 Silence Comfort;4,325949335579667;789,4857537432891;242;3,2623378253854924;Kitchen equipment / Dishwashers;Dish washing;
Dryer / Miele T 8626 WP;1,5534400508864183;283,50280928677137;349;0,8123289664377403;Appliances / Dryer;Drying;
Washing Machine Samsung P1405J;1,9994142938333308;364,89310862458285;0;0;Appliances / Washing machine;Washing;
Home Cinema System / Samsung HT-D5550;0,6022133112645558;109,90392930578143;440;0,2497816575131396;Education and Entertainment equipment / Hifi devices / Home cinema system;TV/Audio;
Hifi System / Sharp XL-HF300PH;0;0;0;0;Education and Entertainment equipment / Hifi devices / Compact System;TV/Audio;
AEG NM 2701 Premium;0,08175670858226268;14,920599316262939;1;14,920599316262939;Appliances / Sewing machine;Other;
Hair Dryer Babyliss 2000;2,441801149049999;445,6287097016248;0;0;Bath devices / Hair dryer;Washing;
Canister Vacuum Cleaner / Siemens Z6.0 VSZ61260;0;0;48;0;Appliances / Vacuum cleaner / Canister vacuum cleaner;Other;
SAT Receiver / Kathrein UFS913;0,12703385369552822;23,1836782994339;31;0,7478605903043194;Education and Entertainment equipment / Entertainment device / SAT-Receiver;TV/Audio;
TV Medion MD20123_DE_A;0,22469245686175057;41,006373377269476;0;0;Education and Entertainment equipment / Entertainment device / Television set;TV/Audio;
Microsoft Xbox 360;1,0427463879885626;190,30121580791266;63;3,020654219173217;Education and Entertainment equipment / Video game console / Xbox360;TV/Audio;
SAT Receiver / Kathrein UFS913;0,33769626593469987;61,629568533082725;31;1,9880505978413783;Education and Entertainment equipment / Entertainment device / SAT-Receiver;TV/Audio;
TV / Phillips Goya 9770 VT;1,899482291665314;346,6555182289198;139;2,4939245915749626;Education and Entertainment equipment / Entertainment device / Television set;TV/Audio;
Liebherr CBP 4056-20A;2,9140224811229345;531,8091028049355;0;0;(no category);Cooling;
Kitchen radio / AEG KRC 4323 CD;0,14758285495149825;26,933871028648433;0;0;Education and Entertainment equipment / Hifi devices / Kitchen radio;TV/Audio;
PC / Acer 8400;0,1406366164844876;25,666182508418988;0;0;Computers and Components / Computer / PC;Office;
Epson Stylus Color 860;0,028222592043425;5,1506230479250625;0;0;Computers and Components / Printer / Ink jet printer;Office;
TASKalfa 180;0,29913611749100694;54,59234144210877;0;0;Computers and Components / Computer component / Photocopier;Office;
Router O2 Box 6431;0,7692107048114638;140,38095362809216;0;0;(no category);Office;
PC Monitor / Fujitsu Siemens Scaleoview D19-1;0,10906345068028907;19,904079749152753;0;0;Computers and Components / Monitor / TFT display;Office;
Electric Razor Braun Cruzer 5;0,11414908646775676;20,83220828036561;0;0;(no category);Washing;
Electric Tooth Brush / Phillips HX9332;0,23993763946484087;43,78861920233346;0;0;(no category);Washing;
Phone Siemens Gigaset C320;0,3334079630270573;60,84695325243795;0;0;(no category);Office;
Laptop / ACER BT.00603.043 Replacement laptop battery;0,5202460853613532;94,94491057844695;0;0;Computers and Components / Computer / Laptop;Office;
