Device name;Usage sum in this simulation [kWh];Usage sum in this simulation linear extrapolated to 1 year [kWh];Comparison Value from the device entry [kWh];Percentage of the comparison value [1 = 100%];Device Category;Energieagentur.NRW Tags;
Bathroom Light (20W);0,09766666666666665;17,824166666666663;0;0;(no category);Light;
Bathroom Mirror Light 10 W (LED);0,048833333333333326;8,912083333333332;0;0;(no category);Light;
Kitchen Light (20W);0,03166666666666666;5,779166666666666;0;0;(no category);Light;
Living Room Light (Energy Saving Lamp, 20W);0,4569999999999999;83,40249999999999;0;0;(no category);Light;
Bedroom Light (20W);0,17099999999999999;31,207499999999996;0;0;(no category);Light;
Egg Cooker / Russell Hobbs 14048-56 Stylo;0,2734060496919978;49,89660406878959;9;5,544067118754399;Kitchen equipment / Egg cooker;Cooking;
Juicer / Moulinex Vitafruit;0,2848639212489064;51,98766562792542;0;0;Kitchen equipment / Juicer;Cooking;
Kitchen radio / AEG KRC 4323 CD;0,12266911174865192;22,387112894128975;4;5,596778223532244;Education and Entertainment equipment / Hifi devices / Kitchen radio;TV/Audio;
Single Stove Plate;4,6453589683379795;847,7780117216812;0;0;Kitchen equipment / Kitchen stove / Kitchen stove front left;Cooking;
Nespresso Coffee Machine, Single Cup;0,1213325372573771;22,14318804947132;0;0;Kitchen equipment / Coffee equipment / Coffee machine;Cooking;
Food Slicer / DOMO Schneidemaschine DO521S;0,034324995335966765;6,264311648813934;1;6,264311648813934;Kitchen equipment / Food slicer;Cooking;
Toaster Salco MT 400;0,4019570424494536;73,35716024702529;0;0;Kitchen equipment / Toaster;Cooking;
Electric Kettle / Petra WK288 1.5L;0;0;0;0;Kitchen equipment / Electric kettle;Cooking;
PC / Acer 8400;0,5390662089600793;98,37958313521447;61;1,6127800513969586;Computers and Components / Computer / PC;Office;
PC Monitor / Fujitsu Siemens Scaleoview D19-1;0,5662436509108029;103,33946629122153;72;1,4352703651558545;Computers and Components / Monitor / TFT display;Office;
Epson Stylus Color 860;0,009040325069407867;1,6498593251669356;30;0,05499531083889785;Computers and Components / Printer / Ink jet printer;Office;
TASKalfa 180;0,4818288904848244;87,93377251348045;29;3,032199052188981;Computers and Components / Computer component / Photocopier;Office;
Canon CanoScan LIDE 110;0,0008802088268218798;0,16063811089499305;4;0,04015952772374826;Computers and Components / Computer component / Scanner;Office;
External Harddrive Iomega 3.5";0,029607796693274655;5,403422896522624;0;0;Computers and Components / Computer component / External Harddrives;Office;
Miele DA 61;0,34242212361380225;62,49203755951891;16;3,905752347469932;Kitchen equipment / Extractor hood / Wall mounted;Cooking;
Kitchen Stove / Bauknecht Heko 750 PT Kitchen-stove right hind;1,3266737707194445;242,11796315629863;0;0;Kitchen equipment / Kitchen stove / Kitchen stove hind right;Cooking;
Christopeit Treadmill TM 2 Pro;0,5408158331501219;98,69888954989726;200;0,4934944477494863;Health equipment / Electronic hometrainer / Treadmill;Other;
Hedge Trimmer / Bosch AHS 550-24 ST;0;0;1;0;Tools / Garden devices / Hedge trimmer;Other;
Atika LH 2500 G;0;0;30;0;Tools / Garden devices / Garden Shredder;Other;
Lawn Mower / Sabo 32-EL;0;0;127;0;Tools / Garden devices / Lawn mower;Other;
Hair Dryer Braun Silencio 1250;0,49835224082248414;90,94928395010335;0;0;Bath devices / Hair dryer;Washing;
Laptop Sony Vaio SVE151G11M;0,3899274601262262;71,16176147303628;0;0;Computers and Components / Computer / Laptop;Office;
Energy Saving Lamp / EL-REF 11 E27;0;0;48;0;Light;Light;
CD/DVD Player / Philips DVDR 725 H;0;0;33;0;Education and Entertainment equipment / Hifi devices / CD/DVD Player;TV/Audio;
TV Medion MD20123_DE_A;0,033510581812442736;6,1156811807708;0;0;Education and Entertainment equipment / Entertainment device / Television set;TV/Audio;
SAT Receiver / Kathrein UFS913;0;0;31;0;Education and Entertainment equipment / Entertainment device / SAT-Receiver;TV/Audio;
Blender Vitamix Moulinex;0,07921870118666667;14,457412966566666;0;0;Kitchen equipment / Electric whisks / Blender;Cooking;
AFK BM-2N;0;0;8;0;Kitchen equipment / Breadmaker;Cooking;
Miele DG 1450;0;0;62;0;Kitchen equipment / Baking oven / Normal sized Baking oven;Cooking;
Handmixer / Phillips Robust HR 1581;0;0;1;0;Kitchen equipment / Handmixer;Cooking;
Clatronic MS 3249 Milk Foamer;0,08987629666049322;16,402424140540013;4;4,100606035135003;Kitchen equipment / Coffee equipment / Cappucino creamer;Cooking;
Dishwasher NEFF SD6P1F (2011);0,9227168788770488;168,3958303950614;0;0;Kitchen equipment / Dishwashers;Dish washing;
Dryer / Miele T 8626 WP;1,6347839078795439;298,34806318801674;349;0,8548655105673832;Appliances / Dryer;Drying;
Steam Iron / Phillips GC 4410;0;0;31;0;Appliances / Steam iron;Other;
Washing Machine / Bosch WAE 28143;0,7637331548469266;139,3813007595641;184;0,7575070693454571;Appliances / Washing machine;Washing;
Sony PlayStation 3;0,19253300158228107;35,137272788766296;57;0,6164433822590578;Education and Entertainment equipment / Video game console / Playstation 3;TV/Audio;
Canister vacuum cleaner / Siemens VS 06 G 1831;0;0;48;0;Appliances / Vacuum cleaner / Canister vacuum cleaner;Other;
Siemens Kl 20 LA 65 (A+);1,1219095888166613;204,74849995904069;0;0;(no category);Cooling;
Kitchen radio / AEG KRC 4323 CD;0,15133961550657785;27,619479829950457;0;0;Education and Entertainment equipment / Hifi devices / Kitchen radio;TV/Audio;
PC / Acer 8400;0,1432599495162762;26,144940786720408;0;0;Computers and Components / Computer / PC;Office;
Router O2 Box 6431;0,7692394185163823;140,38619387923978;0;0;(no category);Office;
PC Monitor / Fujitsu Siemens Scaleoview D19-1;0,1110439722541357;20,265524936379766;0;0;Computers and Components / Monitor / TFT display;Office;
Epson Stylus Color 860;0,02853944363808238;5,208448463950035;0;0;Computers and Components / Printer / Ink jet printer;Office;
TASKalfa 180;0,3028649695641899;55,27285694546465;0;0;Computers and Components / Computer component / Photocopier;Office;
Phone Siemens Gigaset C320;0,3333741089786968;60,84077488861217;0;0;(no category);Office;
Laptop Sony Vaio SVE151G11M;0,2788728573640946;50,89429646894727;0;0;Computers and Components / Computer / Laptop;Office;
Electric Toothbrush Dondodent Professional Clean;0,02657616544371608;4,850150193478185;0;0;(no category);Washing;
CD/DVD Player / Philips DVDR 725 H;0,12935664357152787;23,607587451803838;0;0;Education and Entertainment equipment / Hifi devices / CD/DVD Player;TV/Audio;
SAT Receiver / Kathrein UFS913;0,16186249347260365;29,539905058750165;0;0;Education and Entertainment equipment / Entertainment device / SAT-Receiver;TV/Audio;
TV Medion MD20123_DE_A;0,03319744662235899;6,058534008580516;0;0;Education and Entertainment equipment / Entertainment device / Television set;TV/Audio;
Electric Razor Braun Cruzer 5;0,11413936156529787;20,830433485666862;0;0;(no category);Washing;
Sony PlayStation 3;0,5442444820744176;99,3246179785812;0;0;Education and Entertainment equipment / Video game console / Playstation 3;TV/Audio;
Sums;19,38113084186471;3537,0563786403104;1440
