Reactive.Time;Time span;Living Room Light (200W) [var];Kitchen Light (300W) [var];Bathroom Light (60W) [var];Bathroom Mirror Light 100W (Conventional) [var];Bedroom Light (60W) [var];Bedroom Light (20W) [var];Egg Cooker / Russell Hobbs 14048-56 Stylo [var];Juicer / Moulinex Vitafruit [var];Kitchen radio / AEG KRC 4323 CD [var];Kitchen Stove / Bauknecht Heko 750 PT Kitchen stove front left [var];Coffee Machine / Braun Impression KF 600 [var];Food Slicer / DOMO Schneidemaschine DO521S [var];Toaster / Bosch TAT8SL1 [var];Miele H 5241 B [var];Handmixer / Phillips Robust HR 1581 [var];Extractor Hood / Miele DA 429-4 [var];Kitchen Stove / Bauknecht Heko 750 PT Kitchen stove left hind- semi aktiv [var];Microwave / Panasonic NN-CD757W [var];Electronic hometrainer / Kettler Track Perfomance [var];Laptop Lenovo Thinkpad x220 [var];Washing Machine Samsung P1405J [var];CD/DVD Player / Philips DVDR 725 H [var];Home Cinema System / Samsung HT-D5550 [var];TV Medion MD20123_DE_A [var];SAT Receiver / Kathrein UFS913 [var];Hifi System / Sharp XL-HF300PH [var];Electric Kettle / Phillips Essential HD 4685/90 Schwarz [var];Energy Saving Lamp / EL-REF 11 E27 [var];Vacuum Cleaner FiF [var];Nintendo Wii [var];Coffee Machine / Braun KF 580E [var];Electric Kettle / Petra WK288 1.5L [var];Hair Dryer / Braun Satin Pro 2200 Ion Care [var];Heater / Honeywell BH-888E [var];Liebherr CBNPes 3956 [var];Electric Razor Braun Cruzer 5 [var];Electric Tooth Brush / Phillips HX9332 [var];Phone Siemens Gigaset C320 [var];Router O2 Box 6431 [var];Yamaha RX-V667 [var];
0;00:00:00;0;0;0;-49,78219604055247;0;0;0;0;0,264894884277987;0;0;0;0;0;0;0;0;5,13410855498479;0;0;0;0,2146929785209686;0,42348364024213003;-49,973193442623;0,2782072335318153;0,6343723137407458;0;0;0;0,3984993294184195;0;0;0;0;0;-0,227673278688525;0,43841984701075987;3,33918672131147;-9,95073016393443;2,4755623053749267;
1;00:01:00;0;0;0;-48,40744668804506;0;0;0;0;0,27636665097352187;0;0;0;0;0;0;0;0;5,366844237728937;0;0;0;0,21535531565858002;0,4448930217764781;-49,973193442623;0,2893168073435862;0,6433351757790122;0;0;0;0,4063006439366688;0;0;0;0;0;-0,227673278688525;0,44264353822009783;3,33918672131147;-9,95073016393443;2,4929737814926463;
2;00:02:00;0;0;0;-38,65220235150402;0;0;0;0;0,2844709248936416;0;0;0;0;0;0;0;0;5,373991321834075;0;0;0;0,22964094690712092;0,46733857550160873;-49,973193442623;0,30233417536842777;0,6504731263825221;0;0;0;0,4234919509739342;0;0;0;0;0;-0,227673278688525;0,44522454053085514;3,33918672131147;-9,95073016393443;2,5131881078316693;
3;00:03:00;0;0;0;-34,839784550977384;0;0;0;0;0,2913865785926933;0;0;0;0;0;0;0;0;5,39009314822808;0;0;0;0,24125427639250668;0,4675045075173034;-49,973193442623;0,30353786591288695;0,6800930652951996;0;0;0;0,43770216808521617;0;0;0;0;0;-0,227673278688525;0,4462759537225637;3,33918672131147;-9,95073016393443;2,5669288542558135;
4;00:04:00;0;0;0;-30,196810502408077;0;0;0;0;0,29374630243863564;0;0;0;0;0;0;0;0;5,441205177813738;0;0;0;0,242509148752446;0,4694172049663405;-49,973193442623;0,3065707031116665;0,6817658447044002;0;0;0;0,44356635979163606;0;0;0;0;0;-0,227673278688525;0,45796024884905717;3,33918672131147;-9,95073016393443;2,611848321376521;
5;00:05:00;0;0;0;-29,57737936639824;0;0;0;0;0,29450891697528586;0;0;0;0;0;0;0;0;5,444178293949838;0;0;0;0,24395508982846253;0,47088847820226487;-49,8912426229508;0,30832066778708667;0,6837126263155158;0;0;0;0,44692750429689976;0;0;0;0;0;-0,227673278688525;0,45820579132237294;3,33918672131147;-9,95073016393443;2,6284424939120243;
6;00:06:00;0;0;0;-25,930508709549013;0;0;0;0;0,2984740450204293;0;0;0;0;0;0;0;0;5,447894177736945;0;1,4000000000000001;0;0,24482756161685873;0,4715050926241318;-49,8912426229508;0,30992151013615266;0,6841461012878223;0;0;0;0,450196086340716;0;0;0;0;0;-0,227673278688525;0,46034881242871684;3,33918672131147;-9,95073016393443;2,6579072193466886;
7;00:07:00;0;0;0;-25,501013309964293;0;0;0;0;0,3008480515846507;0;0;0;0;0;0;0;0;5,471487343280012;0;1,4000000000000001;0;0,24504102643440348;0,4766721548881712;-49,8912426229508;0,3134760503578643;0,6876355421421921;0;0;0;0,4513804094570611;0;0;0;0;0;-0,227673278688525;0,46090017766244246;3,33918672131147;-9,95073016393443;2,682468363919747;
8;00:08:00;0;0;0;-24,31357240533451;0;0;0;0;0,3045283103656342;0;0;0;0;0;0;0;0;5,536646970079063;0;1,4000000000000001;0;0,2467211460928376;0,47688085938129776;-49,8912426229508;0,3162166543487556;0,6950755464608204;0;0;0;0,4552679853653448;0;0;0;0;0;-0,227673278688525;0,46200426080864493;3,33918672131147;-9,95073016393443;2,7030199578903207;
9;00:09:00;0;0;0;-23,370596899921853;0;0;0;0;0,3055712659497828;0;0;0;0;0;0;0;0;5,558622839028081;0;1,4000000000000001;0;0,24755534412922148;0,4799062318169881;-49,8912426229508;0,31670348425683087;0,6991472660192043;0;0;0;0,45601608786785136;0;0;0;0;0;-0,227673278688525;0,4623815643781839;3,33918672131147;-9,95073016393443;2,7399495661695874;
10;00:10:00;0;0;0;-22,541754734295637;0;0;0;0;0,3055746204397049;0;0;0;0;0;0;0;0;5,6702561850405555;0;1,4000000000000001;0;0,2501253086909286;0,4854752727404457;-49,8641131147541;0,3176913388367415;0,7009028621167048;0;0;0;0,45687637867818565;0;0;0;0;0;-0,227673278688525;0,4633898503109414;3,33918672131147;-9,95073016393443;2,743082164703321;
11;00:11:00;0;0;0;-20,821500765648103;0;0;0;0;0,306418800690899;0;0;0;0;0;0;0;0;5,677254633166928;0;1,4000000000000001;0;0,25037598066367395;0,4881098441309032;-49,8641131147541;0,3187082594327802;0,7026439642518898;0;0;0;0,4572529960696804;0;0;0;0;0;-0,227673278688525;0,4676048242095667;3,33918672131147;-9,95073016393443;2,7730663249818575;
12;00:12:00;0;0;0;-20,706413911098903;0;0;0;0;0,3133773636720774;0;0;0;0;0;0;0;0;5,678127464178741;0;1,4000000000000001;0;0,2503854517695695;0,48845099350569404;-49,8641131147541;0,3193820265446107;0,7093073468893465;0;0;0;0,4580299333137363;0;0;0;0;0;-0,227673278688525;0,4682632298930117;3,33918672131147;-9,95073016393443;2,7754905882547556;
13;00:13:00;0;0;0;-20,657943507887797;0;0;0;0;0,3170028808922123;0;0;0;0;0;0;0;0;5,723029726474292;0;1,4000000000000001;0;0,2507032534133878;0,48845789813964235;-49,8641131147541;0,32078709223427554;0,7095917680799554;0;0;0;0,4603924937422924;0;0;0;0;0;-0,227673278688525;0,4691606412569296;3,33918672131147;-9,95073016393443;2,790804242414648;
