Reactive.Time;Time span;Kitchen Light (100W) [var];Living Room Light (Energy Saving Lamp, 20W) [var];Bathroom Light (100W) [var];Bathroom Mirror Light 10 W (LED) [var];Bedroom Light (60W) [var];Children Room Light (200W) [var];Children Room Light Device (20W) [var];Egg Cooker / Russell Hobbs 14048-56 Stylo [var];Juicer / Moulinex Vitafruit [var];Kitchen radio / AEG KRC 4323 CD [var];Kitchen Stove / Bauknecht Heko 750 PT Kitchen stove front left [var];Coffee Machine / Braun Impression KF 600 [var];Food Slicer / DOMO Schneidemaschine DO521S [var];Toaster Salco MT 400 [var];PC / Acer 8400 [var];PC Monitor / Fujitsu Siemens Scaleoview D19-1 [var];Epson Stylus Color 860 [var];TASKalfa 180 [var];Canon CanoScan LIDE 110 [var];External Harddrive Iomega 3.5" [var];Laptop / ACER BT.00603.043 Replacement laptop battery [var];Electric Kettle / Phillips Essential HD 4685/90 Schwarz [var];Fancy Ceiling Lights with at least 3 Bulbs [var];CD/DVD Player / Phillips HDR3810/31 [var];Panasonic TX-P58V10E [var];SAT Receiver / Kathrein UFS913 [var];Miele H 5241 B [var];Handmixer / Phillips Robust HR 1581 [var];Kitchen Stove / Bauknecht Heko 750 PT Kitchen stove front right- full power [var];Microwave / Panasonic NN-V 359 W Inverter [var];Extractor Hood / Miele DA 429-4 [var];Miele DA 61 [var];Deep Fryer / DeLonghi F 28311.W Rotofritteuse [var];Ricecooker / Tristar RK-6112 [var];Steam Cooker / Phillips HD9140 [var];Kitchen Stove / Bauknecht Heko 750 PT Kitchen-stove right hind [var];Braun Multiquick 3 MR 300 Soup [var];Kitchen Stove / Bauknecht Heko 750 PT Kitchen stove left hind- semi aktiv [var];Fondue / Unold 48746 Asia [var];Dishwashers / Bosch SGI 4662 Silence Comfort [var];Dryer / Miele T 8626 WP [var];Washing Machine Samsung P1405J [var];Home Cinema System / Samsung HT-D5550 [var];Hifi System / Sharp XL-HF300PH [var];AEG NM 2701 Premium [var];Hair Dryer Babyliss 2000 [var];Canister Vacuum Cleaner / Siemens Z6.0 VSZ61260 [var];TV Medion MD20123_DE_A [var];Microsoft Xbox 360 [var];TV / Phillips Goya 9770 VT [var];Liebherr CBP 4056-20A [var];Router O2 Box 6431 [var];Electric Razor Braun Cruzer 5 [var];Electric Tooth Brush / Phillips HX9332 [var];Phone Siemens Gigaset C320 [var];Yamaha RX-V667 [var];Liebherr GP 2756-20A [var];
0;00:00:00;0;0;0;0;0;0;0;0;0;0,2633185027120348;0;0;0;-39,9916053442623;0,324093004369552;0,22909348142943778;0,0517808551421246;0,4873891266193513;0;0;1,4455515653038853;0;0;0,15299226911440295;2,4041666949456;1,0448801524619962;0;0;0;4,025904572862546;0;0;0;0;0;0;0;0;0;0;0;0;0,38625323075320844;0,6156947546761393;0;0;0;-49,8641131147541;0,7337030802282497;0,5336283397087471;0;-9,95073016393443;-0,227673278688525;0,4057828355162883;3,33918672131147;2,6124216404344254;0;
1;00:01:00;0;0;0;0;0;0;0;0;0;0,28503378422293396;0;0;0;-39,9916053442623;0,33086883331807276;0,2559092820977062;0,053261887269974974;0,5612429201896052;0;0;1,4972748585809543;0;0;0,15714192246726513;2,4124803377823802;1,0584554939559931;0;0;0;4,731223806115947;0;0;0;0;0;0;0;0;0;0;0;0;0,4018484630859613;0,6478631703064379;0;0;0;-49,8641131147541;0,7711863195564852;0,5396377591567599;0;-9,95073016393443;-0,227673278688525;0,4306769383349036;3,33918672131147;2,6478440762246267;0;
2;00:02:00;0;0;0;0;0;0;0;0;0;0,28705840712535813;0;0;0;-39,9916053442623;0,3394100788979025;0,2704823891064288;0,05365465984565828;0,5679527374627236;0;0;1,504484797331437;0;0;0,1715514285695612;2,4207106593322094;1,085926790342942;0;0;0;4,767027172015982;0;0;0;0;0;0;0;0;0;0;0;0;0,41425777209394044;0,6551059324094338;0;0;0;-49,8641131147541;0,7731551177425441;0,5422257939331439;0;-9,95073016393443;-0,227673278688525;0,4390237996526986;3,33918672131147;2,6787587670476394;0;
3;00:03:00;0;0;0;0;0;0;0;0;0;0,2922440871748649;0;0;0;-39,9916053442623;0,34039895447671475;0,27230960680335387;0,05397033391561525;0,5804607478166668;0;0;1,5385637234545433;0;0;0,1789955187365978;2,4638674219902668;1,089738829922033;0;0;0;4,871321850248301;0;0;0;0;0;0;0;0;0;0;0;0;0,44858972284883736;0,6593183055819319;0;0;0;-49,8641131147541;0,7751480665793881;0,5438403123029872;0;-9,95073016393443;-0,227673278688525;0,4429212602330471;3,33918672131147;2,700730740503064;0;
4;00:04:00;0;0;0;0;0;0;0;0;0;0,29342793930689554;0;0;0;-39,9916053442623;0,3421165185419789;0,27426269443159523;0,0540644305493381;0,5829150943207395;0;0;1,5559976589454954;0;0;0,17933323832460785;2,4816453432333563;1,090908437385651;0;0;0;4,913309683443178;0;0;0;0;0;0;0;0;0;0;0;0;0,45230163541782437;0,6707612269476622;0;0;0;-49,8641131147541;0,7893973063298118;0,5505436885194445;0;-9,95073016393443;-0,227673278688525;0,44802646022920556;3,33918672131147;2,7084436265880667;0;
5;00:05:00;0;0;0;0;0;0;0;0;0;0,296880595700089;0;0;0;-38,8099229508197;0,34430286938686977;0,27550139436750987;0,05414470525784436;0,5857777131759743;0;0;1,5719466474302628;0;0;0,1793752394638042;2,491643548081402;1,1010764329733875;0;0;0;4,923233079394667;0;0;0;0;0;0;0;0;0;0;0;0;0,4560206867212035;0,67242267114354;0;0;0;-49,8641131147541;0,7894157748469475;0,567178390194993;0;-9,95073016393443;-0,227673278688525;0,4510541033243513;3,33918672131147;2,811937304529579;0;
6;00:06:00;0;0;0;0;0;0;0;0;0;0,2974659617323816;0;0;0;-38,8099229508197;0,34634597141334433;0,2778244111877879;0,054176557177451234;0,5874240462843339;0;0;1,5956194937558308;0;0;0,1813453857379122;2,508222317824396;1,1013578804522088;0;0;0;4,94963836189581;0;0;0;0;0;0;0;0;0;0;0;0;0,45926643277977064;0,6743572251242376;0;0;0;-49,8641131147541;0,789697430399293;0,5679976684075294;0;-9,95073016393443;-0,227673278688525;0,4512657722043102;3,33918672131147;2,8170524831764436;0;
7;00:07:00;0;0;0;0;0;0;0;0;0;0,2979343330846532;0;0;0;-38,8099229508197;0,34729468422734844;0,28522766920648407;0,0542142344666645;0,589452876529407;0;0;1,6031102431965312;0;0;0,18146698895716076;2,514416376395756;1,104518711351091;0;0;0;4,9843519559432;0;0;0;0;0;0;0;0;0;0;0;0;0,47231006231721784;0,6755211128886892;0;0;0;-49,8641131147541;0,7962793900086668;0,5688215312170554;0;-9,95073016393443;-0,227673278688525;0,4598154330477192;3,33918672131147;2,822563891566913;0;
8;00:08:00;0;0;0;0;0;0;0;0;0;0,30332271581740144;0;0;0;-38,8099229508197;0,34821578835554645;0,2879438508798657;0,054715580353239875;0,5905998918108604;0;0;1,619877499961578;0;0;0,18196859545695623;2,530621013185109;1,1119671074567032;0;0;0;5,026333034921134;0;0;0;0;0;0;0;0;0;0;0;0;0,476212585833447;0,6767788286019972;0;0;0;-49,8022803278688;0,7982793184331684;0,5704950214424475;0;-9,95073016393443;-0,227673278688525;0,46024890869454793;3,33918672131147;2,823979755173267;0;
9;00:09:00;0;0;0;0;0;0;0;0;0;0,30396449407239895;0;0;0;-38,8099229508197;0,3531146363774115;0,29019246898603246;0,05565492844765367;0,592681915535454;0;0;1,6228780248915777;0;0;0,18221558640687915;2,5436622787974055;1,1148251244674152;0;0;0;5,0373039252529015;0;0;0;0;0;0;0;0;0;0;0;0;0,4814865675362282;0,6782481670276116;0;0;0;-49,8022803278688;0,8000643372553072;0,5717198853636671;0;-9,95073016393443;-0,227673278688525;0,461843917033114;3,33918672131147;2,8267481874370897;0;
