Apparent.Time;Time span;Kitchen Light (100W) [VA];Living Room Light (Energy Saving Lamp, 20W) [VA];Bathroom Light (100W) [VA];Bathroom Mirror Light 10 W (LED) [VA];Bedroom Light (60W) [VA];Children Room Light (200W) [VA];Children Room Light Device (20W) [VA];Egg Cooker / Russell Hobbs 14048-56 Stylo [VA];Juicer / Moulinex Vitafruit [VA];Kitchen radio / AEG KRC 4323 CD [VA];Kitchen Stove / Bauknecht Heko 750 PT Kitchen stove front left [VA];Coffee Machine / Braun Impression KF 600 [VA];Food Slicer / DOMO Schneidemaschine DO521S [VA];Toaster Salco MT 400 [VA];PC / Acer 8400 [VA];PC Monitor / Fujitsu Siemens Scaleoview D19-1 [VA];Epson Stylus Color 860 [VA];TASKalfa 180 [VA];Canon CanoScan LIDE 110 [VA];External Harddrive Iomega 3.5" [VA];Laptop / ACER BT.00603.043 Replacement laptop battery [VA];Electric Kettle / Phillips Essential HD 4685/90 Schwarz [VA];Fancy Ceiling Lights with at least 3 Bulbs [VA];CD/DVD Player / Phillips HDR3810/31 [VA];Panasonic TX-P58V10E [VA];SAT Receiver / Kathrein UFS913 [VA];Miele H 5241 B [VA];Handmixer / Phillips Robust HR 1581 [VA];Kitchen Stove / Bauknecht Heko 750 PT Kitchen stove front right- full power [VA];Microwave / Panasonic NN-V 359 W Inverter [VA];Extractor Hood / Miele DA 429-4 [VA];Miele DA 61 [VA];Deep Fryer / DeLonghi F 28311.W Rotofritteuse [VA];Ricecooker / Tristar RK-6112 [VA];Steam Cooker / Phillips HD9140 [VA];Kitchen Stove / Bauknecht Heko 750 PT Kitchen-stove right hind [VA];Braun Multiquick 3 MR 300 Soup [VA];Kitchen Stove / Bauknecht Heko 750 PT Kitchen stove left hind- semi aktiv [VA];Fondue / Unold 48746 Asia [VA];Dishwashers / Bosch SGI 4662 Silence Comfort [VA];Dryer / Miele T 8626 WP [VA];Washing Machine Samsung P1405J [VA];Home Cinema System / Samsung HT-D5550 [VA];Hifi System / Sharp XL-HF300PH [VA];AEG NM 2701 Premium [VA];Hair Dryer Babyliss 2000 [VA];Canister Vacuum Cleaner / Siemens Z6.0 VSZ61260 [VA];TV Medion MD20123_DE_A [VA];Microsoft Xbox 360 [VA];TV / Phillips Goya 9770 VT [VA];Liebherr CBP 4056-20A [VA];Router O2 Box 6431 [VA];Electric Razor Braun Cruzer 5 [VA];Electric Tooth Brush / Phillips HX9332 [VA];Phone Siemens Gigaset C320 [VA];Yamaha RX-V667 [VA];Liebherr GP 2756-20A [VA];
0;00:00:00;0;0;0;0;0;0;0;0;0;0,8432941140399582;0;0;0;0;1,037928289016807;0,733686324601517;0,16583145472714136;1,5608944206046107;0;0;4,629470067643295;0;0;0,48996739199480815;7,699495486026339;3,3462945952263445;0;0;0;12,893213332958734;0;0;0;0;0;0;0;0;0;0;0;0;1,2370003348352303;1,9718012874753228;0;0;0;0,5700000000000001;2,349730393561106;1,708978417112711;0;11,3268114754098;2,92629081967213;1,2995451259403323;4,31627770491803;8,366445084864425;0;
1;00:01:00;0;0;0;0;0;0;0;0;0;0,9128386727939187;0;0;0;0;1,0596283086173206;0,8195656176778178;0,17057455353431536;1,797415852922746;0;0;4,795117176866818;0;0;0,5032569186013064;7,726120451603309;3,3897704826404915;0;0;0;15,152042666240465;0;0;0;0;0;0;0;0;0;0;0;0;1,2869450500673327;2,0748226675896113;0;0;0;0,5700000000000001;2,4697728318063974;1,728223961945724;0;11,3268114754098;2,92629081967213;1,3792700604399102;4,31627770491803;8,47988766979171;0;
2;00:02:00;0;0;0;0;0;0;0;0;0;0,9193226553442524;0;0;0;0;1,0869821863352005;0,8662369120880323;0,1718324324825041;1,8189044659690248;0;0;4,818207460490068;0;0;0,5494042707893825;7,752478575503236;3,4777490421019808;0;0;0;15,266705203872077;0;0;0;0;0;0;0;0;0;0;0;0;1,3266866448962233;2,0980180700696547;0;0;0;0,5700000000000001;2,476078032181366;1,7365123065602388;0;11,3268114754098;2,92629081967213;1,4060014102976224;4,31627770491803;8,578893917130591;0;
3;00:03:00;0;0;0;0;0;0;0;0;0;0,9359301227952802;0;0;0;0;1,0901491227507636;0,8720886920162041;0,17284339860303105;1,8589621580840616;0;0;4,839979419066253;0;0;0,573244439093506;7,890690830076017;3,489957339302616;0;0;0;15,600715489412813;0;0;0;0;0;0;0;0;0;0;0;0;1,4366368827143996;2,1115084608546586;0;0;0;0,5700000000000001;2,4824605765388026;1,7416829034771872;0;11,3268114754098;2,92629081967213;1,4184832736428086;4,31627770491803;8,649260548028021;0;
4;00:04:00;0;0;0;0;0;0;0;0;0;0,939721483920886;0;0;0;0;1,0956497300070176;0,8783435783388011;0,17314474900777732;1,8668223575739642;0;0;4,927347370965128;0;0;0,5743260073761433;7,94762574421898;3,493703080979132;0;0;0;15,735184173648248;0;0;0;0;0;0;0;0;0;0;0;0;1,4485245168495553;2,148155138303282;0;0;0;0,5700000000000001;2,5280946656260306;1,7631508886332314;0;11,3268114754098;2,92629081967213;1,4348329986466204;4,31627770491803;8,673961552214031;0;
5;00:05:00;0;0;0;0;0;0;0;0;0;0,9507788338001938;0;0;0;0;1,102651656494269;0,8823105930159308;0,1734018338251843;1,8759900750206917;0;0;4,983180649039591;0;0;0,5744605186736877;7,979645625892633;3,526266728206382;0;0;0;15,76696447511202;0;0;0;0;0;0;0;0;0;0;0;0;1,4604350132318853;2,153476018138004;0;0;0;0,5700000000000001;2,5281538122170795;1,8164245700013113;0;11,3268114754098;2,92629081967213;1,4445292166307484;4,31627770491803;9,005406583799482;0;
6;00:06:00;0;0;0;0;0;0;0;0;0;0,9526535054412183;0;0;0;0;1,109194819604965;0,8897502009097165;0,17350384160682025;1,8812625606444877;0;0;4,985962384897281;0;0;0,5807700363856654;8,032740181718738;3,5271680815099176;0;0;0;15,851529057864218;0;0;0;0;0;0;0;0;0;0;0;0;1,4708297197134552;2,159671549285312;0;0;0;0,5700000000000001;2,5290558318892002;1,819048360153835;0;11,3268114754098;2,92629081967213;1,4452070995700648;4,31627770491803;9,021788266061595;0;
7;00:07:00;0;0;0;0;0;0;0;0;0;0,9541534942399074;0;0;0;0;1,112233132232919;0,9134596016832469;0,17362450550206224;1,8877600174750375;0;0;5,034258290662079;0;0;0,5811594783655659;8,052577044990588;3,5372908418364792;0;0;0;15,962701532399175;0;0;0;0;0;0;0;0;0;0;0;0;1,5126027660484336;2,163398973264471;0;0;0;0,5700000000000001;2,550134972702574;1,821686832767396;0;11,3268114754098;2,92629081967213;1,4725879277003593;4,31627770491803;9,039438899070229;0;
8;00:08:00;0;0;0;0;0;0;0;0;0;0,971410129819711;0;0;0;0;1,1151830263031308;0,9221583448184032;0,17523009732676403;1,8914334062631444;0;0;5,110072074210573;0;0;0,5827659048205436;8,104473416433809;3,561144800180493;0;0;0;16,097148585828815;0;0;0;0;0;0;0;0;0;0;0;0;1,525100843765128;2,167426887168144;0;0;0;0,5700000000000001;2,556539869629729;1,8270462907714542;0;11,3268114754098;2,92629081967213;1,4739761608012822;4,31627770491803;9,043973291576735;0;
9;00:09:00;0;0;0;0;0;0;0;0;0;0,973465465162211;0;0;0;0;1,13087189609339;0,9293596861374667;0,1782384188495402;1,8981012185670962;0;0;5,13406167178169;0;0;0,583556908916898;8,146238892149386;3,57029777992987;0;0;0;16,132283554117297;0;0;0;0;0;0;0;0;0;0;0;0;1,5419911028304911;2,1721325361563144;0;0;0;0,5700000000000001;2,5622565049996573;1,8309689947388013;0;11,3268114754098;2,92629081967213;1,4790842756124485;4,31627770491803;9,052839370523543;0;
