Device name;Usage sum in this simulation [kWh];Usage sum in this simulation linear extrapolated to 1 year [kWh];Comparison Value from the device entry [kWh];Percentage of the comparison value [1 = 100%];Device Category;
Bathroom Light (20W);0,0321014809391358;5,858520271392283;0;0;(no category);
Bathroom Mirror Light 10 W (LED);0,0160507404695679;2,9292601356961416;0;0;(no category);
Kitchen Light (20W);0,010408329997330674;1,899520224512848;0;0;(no category);
Living Room Light (Energy Saving Lamp, 20W);0,15020863606673748;27,41307608217959;0;0;(no category);
Bedroom Light (20W);0,05620498198558518;10,257409212369295;0;0;(no category);
Egg Cooker / Russell Hobbs 14048-56 Stylo;0,08986422279350215;16,400220659814142;9;1,8222467399793492;Kitchen equipment / Egg cooker;
Juicer / Moulinex Vitafruit;0,09363024305343906;17,087519357252628;0;0;Kitchen equipment / Juicer;
Kitchen radio / AEG KRC 4323 CD;0,04031938722819164;7,3582881691449735;4;1,8395720422862434;Education and Entertainment equipment / Hifi devices / Kitchen radio;
Single Stove Plate;-0,09071109687868861;-16,55477518036067;0;0;Kitchen equipment / Kitchen stove / Kitchen stove front left;
Nespresso Coffee Machine, Single Cup;-0,005050905273224043;-0,9217902123633878;0;0;Kitchen equipment / Coffee equipment / Coffee machine;
Food Slicer / DOMO Schneidemaschine DO521S;0,011282080377270885;2,0589796688519364;1;2,0589796688519364;Kitchen equipment / Food slicer;
Toaster Salco MT 400;-0,018834536510928968;-3,4373029132445367;0;0;Kitchen equipment / Toaster;
Electric Kettle / Petra WK288 1.5L;0;0;0;0;Kitchen equipment / Electric kettle;
PC / Acer 8400;0,17718249452420584;32,33580525066757;61;0,5300951680437307;Computers and Components / Computer / PC;
PC Monitor / Fujitsu Siemens Scaleoview D19-1;0,18611528771282992;33,96604000759146;72;0,4717505556609925;Computers and Components / Monitor / TFT display;
Epson Stylus Color 860;0,002971411155964366;0,5422825359634968;30;0,018076084532116562;Computers and Components / Printer / Ink jet printer;
TASKalfa 180;0,15836949771832906;28,902433333595052;29;0,9966356321929328;Computers and Components / Computer component / Photocopier;
Canon CanoScan LIDE 110;0,0002893106506144868;0,05279919373714384;4;0,01319979843428596;Computers and Components / Computer component / Scanner;
External Harddrive Iomega 3.5";0,009474494941847898;1,7290953268872413;0;0;Computers and Components / Computer component / External Harddrives;
Miele DA 61;0,11254870929344866;20,540139446054383;16;1,283758715378399;Kitchen equipment / Extractor hood / Wall mounted;
Kitchen Stove / Bauknecht Heko 750 PT Kitchen-stove right hind;0,4360565811931884;79,58032606775689;0;0;Kitchen equipment / Kitchen stove / Kitchen stove hind right;
Christopeit Treadmill TM 2 Pro;0,17775756818550914;32,44075619385542;200;0,1622037809692771;Health equipment / Electronic hometrainer / Treadmill;
Hedge Trimmer / Bosch AHS 550-24 ST;0;0;1;0;Tools / Garden devices / Hedge trimmer;
Atika LH 2500 G;0;0;30;0;Tools / Garden devices / Garden Shredder;
Lawn Mower / Sabo 32-EL;0;0;127;0;Tools / Garden devices / Lawn mower;
Hair Dryer Braun Silencio 1250;-0,007999818835519132;-1,4599669374822415;0;0;Bath devices / Hair dryer;
Laptop Sony Vaio SVE151G11M;-0,46925643762896113;-85,6392998672854;0;0;Computers and Components / Computer / Laptop;
Energy Saving Lamp / EL-REF 11 E27;0;0;48;0;Light;
CD/DVD Player / Philips DVDR 725 H;0;0;33;0;Education and Entertainment equipment / Hifi devices / CD/DVD Player;
TV Medion MD20123_DE_A;-0,05973955086229506;-10,902468032368848;0;0;Education and Entertainment equipment / Entertainment device / Television set;
SAT Receiver / Kathrein UFS913;0;0;31;0;Education and Entertainment equipment / Entertainment device / SAT-Receiver;
Blender Vitamix Moulinex;0,02407137155555555;4,3930253088888875;0;0;Kitchen equipment / Electric whisks / Blender;
