Apparent.Time;Time span;Living Room Light (200W) [VA];Kitchen Light (300W) [VA];Bathroom Light (60W) [VA];Bathroom Mirror Light 100W (Conventional) [VA];Bedroom Light (60W) [VA];Bedroom Light (20W) [VA];Egg Cooker / Russell Hobbs 14048-56 Stylo [VA];Juicer / Moulinex Vitafruit [VA];Kitchen radio / AEG KRC 4323 CD [VA];Kitchen Stove / Bauknecht Heko 750 PT Kitchen stove front left [VA];Coffee Machine / Braun Impression KF 600 [VA];Food Slicer / DOMO Schneidemaschine DO521S [VA];Toaster / Bosch TAT8SL1 [VA];Miele H 5241 B [VA];Handmixer / Phillips Robust HR 1581 [VA];Extractor Hood / Miele DA 429-4 [VA];Kitchen Stove / Bauknecht Heko 750 PT Kitchen stove left hind- semi aktiv [VA];Microwave / Panasonic NN-CD757W [VA];Electronic hometrainer / Kettler Track Perfomance [VA];Laptop Lenovo Thinkpad x220 [VA];Washing Machine Samsung P1405J [VA];CD/DVD Player / Philips DVDR 725 H [VA];Home Cinema System / Samsung HT-D5550 [VA];TV Medion MD20123_DE_A [VA];SAT Receiver / Kathrein UFS913 [VA];Hifi System / Sharp XL-HF300PH [VA];Electric Kettle / Phillips Essential HD 4685/90 Schwarz [VA];Energy Saving Lamp / EL-REF 11 E27 [VA];Vacuum Cleaner FiF [VA];Nintendo Wii [VA];Coffee Machine / Braun KF 580E [VA];Electric Kettle / Petra WK288 1.5L [VA];Hair Dryer / Braun Satin Pro 2200 Ion Care [VA];Heater / Honeywell BH-888E [VA];Liebherr CBNPes 3956 [VA];Electric Razor Braun Cruzer 5 [VA];Electric Tooth Brush / Phillips HX9332 [VA];Phone Siemens Gigaset C320 [VA];Router O2 Box 6431 [VA];Yamaha RX-V667 [VA];
0;00:00:00;0;0;0;-159,43062288673156;0;0;0;0;0,8483425754369245;0;0;0;0;0;0;0;0;16,442306486892363;0;0;0;0,6875678057095578;1,3562330695725986;0,5700000000000001;0,8909762136134055;2,031617348487341;0;0;0;1,2762192382467341;0;0;0;0;0;2,92629081967213;1,4040672138668353;4,31627770491803;11,3268114754098;7,928144431783039;
1;00:01:00;0;0;0;-155,02790137149657;0;0;0;0;0,8850816318736979;0;0;0;0;0;0;0;0;17,187657190940097;0;0;0;0,6896889821704029;1,4247979643566762;0,5700000000000001;0,9265553244942099;2,060321479507287;0;0;0;1,3012034400679358;0;0;0;0;0;2,92629081967213;1,4175938513787165;4,31627770491803;11,3268114754098;7,983905782298075;
2;00:02:00;0;0;0;-123,78611606093962;0;0;0;0;0,9110360802888878;0;0;0;0;0;0;0;0;17,210546178597006;0;0;0;0,7354396173257852;1,4966812659394373;0,5700000000000001;0,9682442666785948;2,0831812165491255;0;0;0;1,3562596852154098;0;0;0;0;0;2,92629081967213;1,4258596740784812;4,31627770491803;11,3268114754098;8,0486434374397;
3;00:03:00;0;0;0;-111,5766075823;0;0;0;0;0,933183897472577;0;0;0;0;0;0;0;0;17,26211329326425;0;0;0;0,7726320375262853;1,497212673686044;0,5700000000000001;0,9720991615713325;2,1780409392272557;0;0;0;1,4017688018393906;0;0;0;0;0;2,92629081967213;1,4292268911439732;4,31627770491803;11,3268114754098;8,220751567619812;
4;00:04:00;0;0;0;-96,70719033105333;0;0;0;0;0,9407410619313888;0;0;0;0;0;0;0;0;17,425802791959896;0;0;0;0,7766508454114476;1,5033382079120843;0,5700000000000001;0,9818120139999718;2,1833981207976247;0;0;0;1,420549245669553;0;0;0;0;0;2,92629081967213;1,4666465832863569;4,31627770491803;11,3268114754098;8,364608994418756;
5;00:05:00;0;0;0;-94,72342304668047;0;0;0;0;0,9431833830877633;0;0;0;0;0;0;0;0;17,43532438391833;0;0;0;0,7812815629117169;1,5080500532523125;0,5700000000000001;0,9874163862539547;2,1896328117026176;0;0;0;1,4313135229555527;0;0;0;0;0;2,92629081967213;1,4674329485450126;4,31627770491803;11,3268114754098;8,417752878659421;
6;00:06:00;0;0;0;-83,04408973773624;0;0;0;0;0,9558819557571551;0;0;0;0;0;0;0;0;17,447224736130007;0;7,9;0;0,7840757088461751;1,5100247998319754;0,5700000000000001;0,9925431848517335;2,1910210426433405;0;0;0;1,4417813631202878;0;0;0;0;0;2,92629081967213;1,4742961088114963;4,31627770491803;11,3268114754098;8,512115520383952;
7;00:07:00;0;0;0;-81,66860362967066;0;0;0;0;0,9634848615221537;0;0;0;0;0;0;0;0;17,52278333694659;0;7,9;0;0,7847593433888906;1,5265726426507067;0,5700000000000001;1,0039268241183057;2,202196197079786;0;0;0;1,4455742326028682;0;0;0;0;0;2,92629081967213;1,4760618907504721;4,31627770491803;11,3268114754098;8,590774135100427;
8;00:08:00;0;0;0;-77,86574923345047;0;0;0;0;0,9752711224046308;0;0;0;0;0;0;0;0;17,731461151785798;0;7,9;0;0,7901400325704244;1,5272410319542102;0,5700000000000001;1,0127037812657513;2,226023280196663;0;0;0;1,4580244396622803;0;0;0;0;0;2,92629081967213;1,4795977866674466;4,31627770491803;11,3268114754098;8,65659191110562;
9;00:09:00;0;0;0;-74,84581069814752;0;0;0;0;0,978611253448439;0;0;0;0;0;0;0;0;17,801840258247175;0;7,9;0;0,7928116043999041;1,536929978008208;0,5700000000000001;1,0142628847536952;2,239063218910584;0;0;0;1,4604202851139472;0;0;0;0;0;2,92629081967213;1,4808061251477334;4,31627770491803;11,3268114754098;8,774861310995702;
10;00:10:00;0;0;0;-72,19139138259679;0;0;0;0;0,9786219964140028;0;0;0;0;0;0;0;0;18,159353090248413;0;7,9;0;0,8010420780121171;1,554765182838973;0,5700000000000001;1,017426551355875;2,244685626148988;0;0;0;1,4631754206978336;0;0;0;0;0;2,92629081967213;1,4840352244461352;4,31627770491803;11,3268114754098;8,784893655392088;
11;00:11:00;0;0;0;-66,68216954108871;0;0;0;0;0,9813255369160513;0;0;0;0;0;0;0;0;18,18176606180795;0;7,9;0;0,8018448708162451;1,5632025638954061;0,5700000000000001;1,0206833037080758;2,250261615558853;0;0;0;1,4643815616496523;0;0;0;0;0;2,92629081967213;1,4975339442206055;4,31627770491803;11,3268114754098;8,880919819968044;
12;00:12:00;0;0;0;-66,31359663016475;0;0;0;0;1,003610773782302;0;0;0;0;0;0;0;0;18,18456135817806;0;7,9;0;0,801875202630276;1,5642951162865464;0,5700000000000001;1,0228410853823158;2,271601518755509;0;0;0;1,4668697521799139;0;0;0;0;0;2,92629081967213;1,499642529951502;4,31627770491803;11,3268114754098;8,888683676012578;
13;00:13:00;0;0;0;-66,15836710655711;0;0;0;0;1,0152217213632766;0;0;0;0;0;0;0;0;18,328363685439225;0;7,9;0;0,8028929824402928;1,5643172288122833;0,5700000000000001;1,027340896879534;2,272512395558614;0;0;0;1,4744360009734667;0;0;0;0;0;2,92629081967213;1,5025165464496593;4,31627770491803;11,3268114754098;8,93772661938524;
14;00:14:00;0;0;0;-61,351115401069606;0;0;0;0;1,0154716538971535;0;0;0;0;0;0;0;0;18,354649578062777;0;7,9;0;0,80352946596899;1,5659443763197471;0,5700000000000001;1,0280476634973703;2,276551644046263;0;0;0;1,4849086067905086;0;0;0;0;0;2,92629081967213;1,5052080733500541;4,31627770491803;11,3268114754098;8,987645083788783;
15;00:15:00;0;0;0;-58,81654524484964;0;0;0;0;1,0206130651410323;0;0;0;0;0;0;0;0;18,375893657920766;0;7,9;0;0,8044769856180465;1,5777186000866659;0,5700000000000001;1,0317873332432672;2,283196800408775;0;0;0;1,4868736601647425;0;0;0;0;0;2,92629081967213;1,5098679741528909;4,31627770491803;11,3268114754098;8,989014728937702;
16;00:16:00;0;0;0;-56,87336992123738;0;0;0;0;1,0263239199406717;0;0;0;0;0;0;0;0;18,388513129530462;0;7,9;0;0,8053926956655862;1,5841291160253121;0,5700000000000001;1,032850635838254;2,286349830368001;0;0;0;1,4888854686372475;0;0;0;0;0;2,92629081967213;1,5178691307507604;4,31627770491803;11,3268114754098;8,996003009415835;
17;00:17:00;0;0;0;-56,456109153914525;0;0;0;0;1,0325022556381942;0;0;0;0;0;0;0;0;18,399653609460763;0;7,9;0;0,8086577681175118;1,5876059513474832;0,5700000000000001;1,0333409950904962;2,2867703995937037;0;0;0;1,489487498170261;0;0;0;0;0;2,92629081967213;1,5180468953492845;4,31627770491803;11,3268114754098;9,014807428730824;
18;00:18:00;0;0;0;-51,45232180536514;0;0;0;0;1,033082404284032;0;0;0;0;0;0;0;0;18,41312243718496;0;7,9;0;0,8089925319521571;1,5956447742894089;0,5700000000000001;1,0333537896985678;2,287014060089951;0;0;0;1,4928711842339482;0;0;0;0;0;2,92629081967213;1,5186787464460083;4,31627770491803;11,3268114754098;9,0417840789001;
19;00:19:00;0;0;0;-50,82056905591271;0;0;0;0;1,033357217498049;0;0;0;0;0;0;0;0;18,442763467232577;0;7,9;0;0,8105309078119208;1,5963659786288034;0,5700000000000001;1,036243663881024;2,28753911584792;0;0;0;1,4962703752983921;0;0;0;0;0;2,92629081967213;1,5200294572915798;4,31627770491803;11,3268114754098;9,067292308870284;
20;00:20:00;0;0;0;-49,167427680097;0;0;0;0;1,0382404441471655;0;0;0;0;0;0;0;0;18,447111898943252;0;7,9;0;0,8109666212432772;1,599605253099764;0,5700000000000001;1,0382273497633103;2,2891479031339292;0;0;0;1,497220844678197;0;0;0;0;0;2,92629081967213;1,5299085553044782;4,31627770491803;11,3268114754098;9,0911245582541;
21;00:21:00;0;0;0;-48,70189585857603;0;0;0;0;1,038337064151701;0;0;0;0;0;0;0;0;18,458521996913845;0;7,9;0;0,8128920146403463;1,6014811943095986;0,5700000000000001;1,0402700974850954;2,2908934146766446;0;0;0;1,499461408074332;0;0;0;0;0;2,92629081967213;1,529965996323036;4,31627770491803;11,3268114754098;9,099747557440265;
22;00:22:00;0;0;0;-46,18077238745888;0;0;0;0;1,038580109311495;0;0;0;0;0;0;0;0;18,45936729894661;0;7,9;0;0,8165117907771426;1,6023089066219198;0,5700000000000001;1,0410757453988082;2,2979146806639856;0;0;0;1,5026310459537362;0;0;0;0;0;2,92629081967213;1,5341018764328467;4,31627770491803;11,3268114754098;9,135796978353083;
23;00:23:00;0;0;0;-46,052350332673825;0;0;0;0;1,0396822987390726;0;0;0;0;0;0;0;0;18,463826756537138;0;7,9;0;0,820608757972209;1,615331683873655;0,5700000000000001;1,0473197259341425;2,2991706186430108;0;0;0;1,5027445433733397;0;0;0;0;0;2,92629081967213;1,5349201568874788;4,31627770491803;11,3268114754098;9,161463416570133;
24;00:24:00;0;0;0;-43,45979027301207;0;0;0;0;1,0408091282439293;0;0;0;0;0;0;0;0;18,473066934611808;0;7,9;0;0,8213238164098186;1,6174618347387286;0,5700000000000001;1,0483143516245208;2,3034235798559632;0;0;0;1,5115510531865515;0;0;0;0;0;2,92629081967213;1,5362570119883419;4,31627770491803;11,3268114754098;9,207983882592304;
25;00:25:00;0;0;0;-37,81174080664877;0;0;0;0;1,0422321294720795;0;0;0;0;0;0;0;0;18,52383401873249;0;7,9;0;0,823311662897997;1,6175372648202422;0,5700000000000001;1,0504018923609526;2,315379507006028;0;0;0;1,5154952246981632;0;0;0;0;0;2,92629081967213;1,5377915067093197;4,31627770491803;11,3268114754098;9,209393850598799;
26;00:26:00;0;0;0;-35,73834211870417;0;0;0;0;1,0427114219979545;0;0;0;0;0;0;0;0;18,58507290852972;0;7,9;0;0,8289296951271621;1,619395580401008;0,5700000000000001;1,0523155264678206;2,31557196206023;0;0;0;1,5166622535525716;0;0;0;0;0;2,92629081967213;1,539635234840706;4,31627770491803;11,3268114754098;9,221994625145774;
27;00:27:00;0;0;0;-31,720073322317454;0;0;0;0;1,0427478724438797;0;0;0;0;0;0;0;0;18,58789942454562;0;7,9;0;0,829302788965827;1,620683706636686;0,5700000000000001;1,0528896473073555;2,329958354092578;0;0;0;1,5207034450498211;0;0;0;0;0;2,92629081967213;1,5420156239497176;4,31627770491803;11,3268114754098;9,240533620554066;
28;00:28:00;0;0;0;-29,38606665949362;0;0;0;0;1,043820207195243;0;0;0;0;0;0;0;0;18,58936857638277;0;7,9;0;0,8300571209382694;1,621487090319291;0,5700000000000001;1,0542199400627408;2,3317233225432967;0;0;0;1,5215049878694316;0;0;0;0;0;2,92629081967213;1,5425108829976528;4,31627770491803;11,3268114754098;9,241658346529418;
29;00:29:00;0;0;0;-25,627480940604347;0;0;0;0;1,0449909171848906;0;0;0;0;0;0;0;0;18,591544506330653;0;7,9;0;0,8310137396681507;1,6294924178176786;0,5700000000000001;1,055631648676831;2,337005470925881;0;0;0;1,5228738845135483;0;0;0;0;0;2,92629081967213;1,5432109288841986;4,31627770491803;11,3268114754098;9,263456068027773;
