Apparent.Time;Calender;Calender for Excel;Sunday;Monday;Tuesday;Wednesday;Thursday;Friday;Saturday;
0;00:00:00;'00:00:00;42,28112967457118;;;53,88818268221771;42,17374575511437;180,37333043276166;41,17645144817865;
1;00:01:00;'00:01:00;41,814674985024865;;;52,15919787549142;41,697602743902436;180,1118359248971;42,42561894818779;
2;00:02:00;'00:02:00;42,20182176498251;;;51,62072968049074;43,197888230814556;180,42724406221788;41,92337924736454;
3;00:03:00;'00:03:00;41,05525068481232;;;53,15077784569459;42,62946667400208;179,74484793241663;43,3758290044435;
4;00:04:00;'00:04:00;42,76415849815492;;;51,01568758656945;41,98505725613216;180,28358934318118;43,051616651689905;
5;00:05:00;'00:05:00;40,9629166666886;;;51,92045304759033;42,93179762330218;181,2361607311492;42,45378947371805;
6;00:06:00;'00:06:00;47,917340591232765;;;51,208392014322335;41,885068064882816;115,95482376987314;41,74797079890331;
7;00:07:00;'00:07:00;42,13606667174091;;;51,854772150390055;41,945382821638646;42,823410979167704;43,18245108861593;
8;00:08:00;'00:08:00;41,89147033043607;;;51,62491173839562;42,11679879763364;42,722304458696875;41,96393128318918;
9;00:09:00;'00:09:00;42,36615377315509;;;51,693732736550324;42,13188557394956;42,27326778496879;42,764609904695156;
10;00:10:00;'00:10:00;42,35704249878608;;;51,675236644974206;42,12174419249728;42,26928839768683;42,96453001142148;
11;00:11:00;'00:11:00;42,69734322162531;;;51,20878849144084;43,6183079894342;41,14755071573993;41,95651440009732;
12;00:12:00;'00:12:00;43,608953938791316;;;53,52126586816981;41,57460949899582;43,89911960267746;42,72127277210835;
13;00:13:00;'00:13:00;41,50940784153831;;;50,78707292983165;43,25553783060077;42,0052526936843;41,000436946265395;
14;00:14:00;'00:14:00;42,775205037347;;;52,83931530577048;41,92874699751583;42,586636471631756;42,27376910452038;
15;00:15:00;'00:15:00;42,40990338500009;;;52,56948106542458;41,30732486256305;42,02650277693476;41,35129572439319;
16;00:16:00;'00:16:00;41,362056118947685;;;53,17196223295597;41,52544463191779;41,25981400240157;46,83812133010312;
17;00:17:00;'00:17:00;42,527452956655694;;;52,224273618374376;42,203449133790265;43,2166715225243;42,55327118369231;
18;00:18:00;'00:18:00;42,43628374621499;;;52,127080598677296;75,94566291630883;41,009791489718566;42,016668110958776;
