Device name;Usage sum in this simulation [kWh];Usage sum in this simulation linear extrapolated to 1 year [kWh];Comparison Value from the device entry [kWh];Percentage of the comparison value [1 = 100%];Device Category;
Bathroom Light (60W);0,30099999999999993;54,93249999999999;0;0;(no category);
Bathroom Mirror Light 100W (Conventional);0,49886586574412534;91,04302049830288;0;0;(no category);
Children Room Light Device (20W);0,19566666666666663;35,70916666666666;0;0;(no category);
Living Room Light (60W);1,2989999999999997;237,06749999999994;0;0;(no category);
Bedroom Light (200W);2,063333333333333;376,5583333333333;0;0;(no category);
Kitchen Light (20W);0,05866666666666666;10,706666666666665;0;0;(no category);
Electric Kettle / Petra WK288 1.5L;0;0;0;0;Kitchen equipment / Electric kettle;
CD/DVD Player / Philips DVDR 725 H;0,2562084007914124;46,75803314443276;0;0;Education and Entertainment equipment / Hifi devices / CD/DVD Player;
Phillips 32-9615;1,2164785682737418;222,00733870995788;0;0;Education and Entertainment equipment / Entertainment device / Television set;
SAT Receiver / Kathrein UFS913;0,1462115072924225;26,683600080867105;0;0;Education and Entertainment equipment / Entertainment device / SAT-Receiver;
Egg Cooker / Russell Hobbs 14048-56 Stylo;0,10606262876556931;19,356429749716398;0;0;Kitchen equipment / Egg cooker;
Moulinex electronic 833;0,13489499741836958;24,618337028852448;0;0;Kitchen equipment / Juicer;
Kitchen radio / AEG KRC 4323 CD;0,04779084337757458;8,721828916407361;0;0;Education and Entertainment equipment / Hifi devices / Kitchen radio;
Single Stove Plate;2,2280161754504104;406,6129520196999;0;0;Kitchen equipment / Kitchen stove / Kitchen stove front left;
Coffee Machine / Braun KF 580E;0,5983927825669664;109,20668281847136;0;0;Kitchen equipment / Coffee equipment / Coffee machine;
Food Slicer / DOMO Schneidemaschine DO521S;0,010722399519364996;1,9568379122841117;0;0;Kitchen equipment / Food slicer;
Toaster / Tefal Vario;0,10422422572540983;19,020921194887293;0;0;Kitchen equipment / Toaster;
Extractor Hood / Miele DA 429-4;0;0;0;0;Kitchen equipment / Extractor hood / Cabinet mounted;
Kitchen Stove / Bauknecht Heko 750 PT Kitchen stove left hind - full power;0;0;0;0;Kitchen equipment / Kitchen stove / Kitchen stove hind left;
Microwave / Panasonic NN-CD757W;0;0;0;0;Kitchen equipment / Microwave;
Miele H 5241 B;0,8122487432444553;148,23539564211308;0;0;Kitchen equipment / Baking oven / Normal sized Baking oven;
Miele DA 61;0,150460378357255;27,45901905019904;0;0;Kitchen equipment / Extractor hood / Wall mounted;
Kitchen Stove / Bauknecht Heko 750 PT Kitchen-stove right hind;0,581645133274717;106,15023682263585;0;0;Kitchen equipment / Kitchen stove / Kitchen stove hind right;
Laptop Sony Vaio SVE151G11M;0,3402487208398903;62,095391553279974;0;0;Computers and Components / Computer / Laptop;
Washing Machine / Bosch WFS 8000;0,13352959896964178;24,369151811959625;0;0;Appliances / Washing machine;
Hair Dryer / Braun Satin Pro 2200 Ion Care;0,759310727361687;138,57420774350788;0;0;Bath devices / Hair dryer;
LED Lamp Globe E 14 Ambient 3W matt;0;0;0;0;Light;
Vacuum Cleaner FiF;0;0;0;0;Appliances / Vacuum cleaner / Canister vacuum cleaner;
CD/DVD Player / Philips DVDR 725 H;0,12167204082032693;22,205147449709663;0;0;Education and Entertainment equipment / Hifi devices / CD/DVD Player;
SAT Receiver / Kathrein UFS913;0,1490045899084057;27,19333765828404;0;0;Education and Entertainment equipment / Entertainment device / SAT-Receiver;
Phillips 32-9615;0,35882429669489696;65,48543414681869;0;0;Education and Entertainment equipment / Entertainment device / Television set;
Yamaha RX-V667;1,4411911590046136;263,017386518342;0;0;(no category);
Liebherr CBP 4056-20A;2,9511794928286323;538,5902574412254;0;0;(no category);
Kitchen radio / AEG KRC 4323 CD;0,15751620153998894;28,74670678104798;0;0;Education and Entertainment equipment / Hifi devices / Kitchen radio;
Microwave / Panasonic NN-CD757W;2,874651929774867;524,6239771839132;0;0;Kitchen equipment / Microwave;
Electric Tooth Brush / Phillips HX9332;0,24050182268266612;43,89158263958657;0;0;(no category);
Phone Siemens Gigaset C320;0,33338567389017226;60,84288548495644;0;0;(no category);
Laptop Sony Vaio SVE151G11M;0,2862161935283854;52,23445531893034;0;0;Computers and Components / Computer / Laptop;
Router / AVM FRITZ! Box Fon WLAN 7390;0,962142456235907;175,59099826305302;0;0;(no category);
Sums;21,91926422054854;4000,265720250108;0
