Electricity.Time;Time span;Bathroom Light (20W) [Watt];Bathroom Mirror Light 10 W (LED) [Watt];Kitchen Light (20W) [Watt];Living Room Light (Energy Saving Lamp, 20W) [Watt];Bedroom Light (20W) [Watt];Egg Cooker / Russell Hobbs 14048-56 Stylo [Watt];Juicer / Moulinex Vitafruit [Watt];Kitchen radio / AEG KRC 4323 CD [Watt];Single Stove Plate [Watt];Nespresso Coffee Machine, Single Cup [Watt];Food Slicer / DOMO Schneidemaschine DO521S [Watt];Toaster Salco MT 400 [Watt];Electric Kettle / Petra WK288 1.5L [Watt];PC / Acer 8400 [Watt];PC Monitor / Fujitsu Siemens Scaleoview D19-1 [Watt];Epson Stylus Color 860 [Watt];TASKalfa 180 [Watt];Canon CanoScan LIDE 110 [Watt];External Harddrive Iomega 3.5" [Watt];Miele DA 61 [Watt];Kitchen Stove / Bauknecht Heko 750 PT Kitchen-stove right hind [Watt];Christopeit Treadmill TM 2 Pro [Watt];Hedge Trimmer / Bosch AHS 550-24 ST [Watt];Atika LH 2500 G [Watt];Lawn Mower / Sabo 32-EL [Watt];Hair Dryer Braun Silencio 1250 [Watt];Laptop Sony Vaio SVE151G11M [Watt];Energy Saving Lamp / EL-REF 11 E27 [Watt];CD/DVD Player / Philips DVDR 725 H [Watt];TV Medion MD20123_DE_A [Watt];SAT Receiver / Kathrein UFS913 [Watt];Blender Vitamix Moulinex [Watt];AFK BM-2N [Watt];Miele DG 1450 [Watt];Handmixer / Phillips Robust HR 1581 [Watt];Clatronic MS 3249 Milk Foamer [Watt];Dishwasher NEFF SD6P1F (2011) [Watt];Dryer / Miele T 8626 WP [Watt];Steam Iron / Phillips GC 4410 [Watt];Washing Machine / Bosch WAE 28143 [Watt];Sony PlayStation 3 [Watt];Canister vacuum cleaner / Siemens VS 06 G 1831 [Watt];Siemens Kl 20 LA 65 (A+) [Watt];Router O2 Box 6431 [Watt];Phone Siemens Gigaset C320 [Watt];Electric Toothbrush Dondodent Professional Clean [Watt];Electric Razor Braun Cruzer 5 [Watt];
0;00:00:00;0;0;0;0;0;0;0;0,8347853883689742;0;0;0;0;0;1,0384530177344757;0,8169057387290076;0,15639290150925353;1,6914057868849774;0;0;0;0;0;0;0;0;0;1,7668517252933782;0;0,6570884455223733;0,18876416401975044;0,8399218216001287;0;0;0;0;0;0;0;0;0;3,053530411811287;0;0;6,11708049180328;2,72044196721312;0,16089737704918;0,926795163934426;
1;00:01:00;0;0;0;0;0;0;0;0,8740711438526805;0;0;0;0;0;1,0434681548782396;0,8282727803626523;0,15660757374243706;1,705086350604785;0;0;0;0;0;0;0;0;0;1,7905935017522454;0;0,68481530800032;0,1891744745164321;0,8523619948511677;0;0;0;0;0;0;0;0;0;3,0691303265989234;0;0;6,11708049180328;2,72044196721312;0,16089737704918;0,926795163934426;
2;00:02:00;0;0;0;0;0;0;0;0,8759710576999842;0;0;0;0;0;1,0473847199536448;0,8343733236747753;0,15726283173065986;1,764533199099192;0;0;0;0;0;0;0;0;0;1,8420682717385863;0;0,7039861978376003;0,189194656201338;0,8607525746615731;0;0;0;0;0;0;0;0;0;3,156982574983202;0;0;6,11708049180328;2,72044196721312;0,16089737704918;0,926795163934426;
3;00:03:00;0;0;0;0;0;0;0;0,9036493671564739;0;0;0;0;0;1,0510551595847695;0,8392161740754013;0,16263356431663561;1,7733006057085905;0;0;0;0;0;0;0;0;0;1,9130535002378646;0;0,7081059765129749;0,19119309776926602;0,896988951829086;0;0;0;0;0;0;0;0;0;3,1639358309928802;0;0;6,11708049180328;2,72044196721312;0,16089737704918;0,926795163934426;
4;00:04:00;0;0;0;0;0;0;0;0,9236565596696893;0;0;0;0;0;1,0648441026808055;0,8597904145417711;0,16394936485619604;1,7755245636129369;0;0;0;0;0;0;0;0;0;1,9253467446152348;0;0,7099422477539775;0,19195957381283285;0,8995821145754633;0;0;0;0;0;0;0;0;0;3,167063037137848;0;0;6,11708049180328;2,72044196721312;0,16089737704918;0,926795163934426;
5;00:05:00;0;0;0;0;0;0;0;0,940504056588545;0;0;0;0;0;1,0790150043655993;0,8662268362979614;0,16438876695540405;1,7789249501308935;0;0;0;0;0;0;0;0;0;1,9411735350155783;0;0,7149105668268458;0,19212053778382707;0,905742619680284;0;0;0;0;0;0;0;0;0;3,1952740760107936;0;0;6,11708049180328;2,72044196721312;0,16089737704918;0,926795163934426;
6;00:06:00;0;0;0;0;0;0;0;0,9523094894676;0;0;0;0;0;1,0914293807897237;0,8705269587802632;0,16486070277106732;1,788916425218574;0;0;0;0;0;0;0;0;0;1,9427859218515227;0;0,7347558747231256;0,1927637538361774;0,9099205627799176;0;0;0;0;0;0;0;0;0;3,2201413399656387;0;0;6,11708049180328;2,72044196721312;0,16089737704918;0,926795163934426;
7;00:07:00;0;0;0;0;0;0;0;0,9525767155136042;0;0;0;0;0;1,1053691002360335;0,8717527336403458;0,16577634587083198;1,8008348957674187;0;0;0;0;0;0;0;0;0;1,9639524871552632;0;0,738136908012391;0,1951359477345955;0,928632892739762;0;0;0;0;0;0;0;0;0;3,2343306818789483;0;0;6,11708049180328;2,72044196721312;0,16089737704918;0,926795163934426;
8;00:08:00;0;0;0;0;0;0;0;0,955407264207576;0;0;0;0;0;1,1137848336682756;0,8724977689552489;0,16942492462614314;1,8049663588220464;0;0;0;0;0;0;0;0;0;1,9649498104064154;0;0,7426575947432191;0,1955508075395253;0,9305276114214409;0;0;0;0;0;0;0;0;0;3,243215728110733;0;0;6,11708049180328;2,72044196721312;0,16089737704918;0,926795163934426;
9;00:09:00;0;0;0;0;0;0;0;0,956918667402355;0;0;0;0;0;1,1253355117624058;0,8804948700777036;0,1707067180786944;1,8081810502381868;0;0;0;0;0;0;0;0;0;1,9718132610420995;0;0,7513038453095502;0,19593348209955327;0,9362059453971835;0;0;0;0;0;0;0;0;0;3,246748169231314;0;0;6,11708049180328;2,72044196721312;0,16089737704918;0,926795163934426;
