Electricity.Time;Time span;Kitchen Light (100W) [Watt];Living Room Light (Energy Saving Lamp, 20W) [Watt];Bathroom Light (100W) [Watt];Bathroom Mirror Light 10 W (LED) [Watt];Bedroom Light (60W) [Watt];Children Room Light (200W) [Watt];Children Room Light Device (20W) [Watt];Egg Cooker / Russell Hobbs 14048-56 Stylo [Watt];Juicer / Moulinex Vitafruit [Watt];Kitchen radio / AEG KRC 4323 CD [Watt];Kitchen Stove / Bauknecht Heko 750 PT Kitchen stove front left [Watt];Coffee Machine / Braun Impression KF 600 [Watt];Food Slicer / DOMO Schneidemaschine DO521S [Watt];Toaster Salco MT 400 [Watt];PC / Acer 8400 [Watt];PC Monitor / Fujitsu Siemens Scaleoview D19-1 [Watt];Epson Stylus Color 860 [Watt];TASKalfa 180 [Watt];Canon CanoScan LIDE 110 [Watt];External Harddrive Iomega 3.5" [Watt];Laptop / ACER BT.00603.043 Replacement laptop battery [Watt];Electric Kettle / Phillips Essential HD 4685/90 Schwarz [Watt];Fancy Ceiling Lights with at least 3 Bulbs [Watt];CD/DVD Player / Phillips HDR3810/31 [Watt];Panasonic TX-P58V10E [Watt];SAT Receiver / Kathrein UFS913 [Watt];Miele H 5241 B [Watt];Handmixer / Phillips Robust HR 1581 [Watt];Kitchen Stove / Bauknecht Heko 750 PT Kitchen stove front right- full power [Watt];Microwave / Panasonic NN-V 359 W Inverter [Watt];Extractor Hood / Miele DA 429-4 [Watt];Miele DA 61 [Watt];Deep Fryer / DeLonghi F 28311.W Rotofritteuse [Watt];Ricecooker / Tristar RK-6112 [Watt];Steam Cooker / Phillips HD9140 [Watt];Kitchen Stove / Bauknecht Heko 750 PT Kitchen-stove right hind [Watt];Braun Multiquick 3 MR 300 Soup [Watt];Kitchen Stove / Bauknecht Heko 750 PT Kitchen stove left hind- semi aktiv [Watt];Fondue / Unold 48746 Asia [Watt];Dishwashers / Bosch SGI 4662 Silence Comfort [Watt];Dryer / Miele T 8626 WP [Watt];Washing Machine Samsung P1405J [Watt];Home Cinema System / Samsung HT-D5550 [Watt];Hifi System / Sharp XL-HF300PH [Watt];AEG NM 2701 Premium [Watt];Hair Dryer Babyliss 2000 [Watt];Canister Vacuum Cleaner / Siemens Z6.0 VSZ61260 [Watt];TV Medion MD20123_DE_A [Watt];Microsoft Xbox 360 [Watt];TV / Phillips Goya 9770 VT [Watt];Liebherr CBP 4056-20A [Watt];Router O2 Box 6431 [Watt];Electric Razor Braun Cruzer 5 [Watt];Electric Tooth Brush / Phillips HX9332 [Watt];Phone Siemens Gigaset C320 [Watt];Yamaha RX-V667 [Watt];Liebherr GP 2756-20A [Watt];
0;00:00:00;0;0;0;0;0;0;0;0;0;0,8011294083379603;0;0;0;0;0,9860318745659665;0,697002008371441;0,1575398819907843;1,4828496995743803;0;0;4,397996564261129;0;0;0,46546902239506777;7,314520711725021;3,1789798654650268;0;0;0;12,248552666310795;0;0;0;0;0;0;0;0;0;0;0;0;1,1751503180934688;1,8732112231015567;0;0;0;0,1658686029268297;2,2322438738830503;1,6235294962570752;0;6,11708049180328;0,926795163934426;1,2345678696433158;2,72044196721312;7,948122830621205;0;
1;00:01:00;0;0;0;0;0;0;0;0;0;0,8671967391542228;0;0;0;0;1,0066468931864545;0,7785873367939267;0,1620458258575996;1,7075450602766087;0;0;4,555361318023476;0;0;0,47809407267124104;7,339814429023144;3,2202819585084663;0;0;0;14,39444053292844;0;0;0;0;0;0;0;0;0;0;0;0;1,222597797563966;1,9710815342101307;0;0;0;0,18338748761950494;2,3462841902160774;1,6418127638484379;0;6,11708049180328;0,926795163934426;1,3103065574179147;2,72044196721312;8,055893286302124;0;
2;00:02:00;0;0;0;0;0;0;0;0;0;0,8733565225770397;0;0;0;0;1,0326330770184404;0,8229250664836305;0,1632408108583789;1,7279592426705737;0;0;4,577297087465565;0;0;0,5219340572499134;7,364854646728074;3,3038615899968815;0;0;0;14,50336994367847;0;0;0;0;0;0;0;0;0;0;0;0;1,2603523126514122;1,9931171665661718;0;0;0;0,18892305950533939;2,3522741305722974;1,6496866912322268;0;6,11708049180328;0,926795163934426;1,3357013397827413;2,72044196721312;8,149949221274062;0;
3;00:03:00;0;0;0;0;0;0;0;0;0;0,8891336166555162;0;0;0;0;1,0356416666132253;0,8284842574153937;0,16420122867287953;1,7660140501798585;0;0;4,680980002416871;0;0;0,5445822171388307;7,496156288572216;3,3154594723374853;0;0;0;14,820679714942171;0;0;0;0;0;0;0;0;0;0;0;0;1,3648050385786794;2,005933037811926;0;0;0;0,19395255871596637;2,358337547711862;1,6545987583033277;0;6,11708049180328;0,926795163934426;1,3475591099606683;2,72044196721312;8,21679752062662;0;
4;00:04:00;0;0;0;0;0;0;0;0;0;0,8927354097248416;0;0;0;0;1,0408672435066666;0,8344263994218608;0,16448751155738847;1,773481239695266;0;0;4,7340216165876114;0;0;0,5456097070073361;7,55024445700803;3,319017926930176;0;0;0;14,948424964965833;0;0;0;0;0;0;0;0;0;0;0;0;1,3760982910070774;2,040747381388118;0;0;0;0,19511457374283345;2,4016899323447287;1,6749933442015699;0;6,11708049180328;0,926795163934426;1,3630913487142895;2,72044196721312;8,24026347460333;0;
5;00:05:00;0;0;0;0;0;0;0;0;0;0,9032398921101841;0;0;0;0;1,0475190736695554;0,8381950633651342;0,1647317421339251;1,782190571269657;0;0;4,782545376128974;0;0;0,5457374927400034;7,580663344598001;3,3499533917960633;0;0;0;14,978616251356417;0;0;0;0;0;0;0;0;0;0;0;0;1,3874132625702909;2,045802217231104;0;0;0;0,19545478847657;2,4017461216062252;1,7256033415012455;0;6,11708049180328;0,926795163934426;1,3723027557992111;2,72044196721312;8,555136254609508;0;
6;00:06:00;0;0;0;0;0;0;0;0;0;0,9050208301691574;0;0;0;0;1,0537350786247168;0,8452626908642304;0,16482864952647924;1,7871994326122633;0;0;4,854568470500044;0;0;0,5517315345663821;7,631103172632802;3,3508096774344214;0;0;0;15,058952604971005;0;0;0;0;0;0;0;0;0;0;0;0;1,3972882337277823;2,051687971821046;0;0;0;0,1984513693851073;2,40260304029474;1,728095942146143;0;6,11708049180328;0,926795163934426;1,3729467445915615;2,72044196721312;8,570698852758515;0;
7;00:07:00;0;0;0;0;0;0;0;0;0;0,9064458195279119;0;0;0;0;1,056621475621273;0,8677866215990844;0,16494328022695914;1,7933720166012856;0;0;4,877358588192605;0;0;0,5521015044472877;7,649948192741059;3,3604262997446552;0;0;0;15,164566455779212;0;0;0;0;0;0;0;0;0;0;0;0;1,436972627746012;2,0552290246012475;0;0;0;0,20136317878759075;2,422628224067445;1,730602491129026;0;6,11708049180328;0,926795163934426;1,3989585313153414;2,72044196721312;8,587466954116717;0;
8;00:08:00;0;0;0;0;0;0;0;0;0;0,9228396233287254;0;0;0;0;1,0594238749879743;0,8760504275774829;0,16646859246042586;1,7968617359499872;0;0;4,9283718757256985;0;0;0,5536276095795164;7,699249745612118;3,383087560171468;0;0;0;15,292291156537372;0;0;0;0;0;0;0;0;0;0;0;0;1,4488458015768713;2,059055542809737;0;0;0;0,20207960253123042;2,4287128761482424;1,7356939762328814;0;6,11708049180328;0,926795163934426;1,4002773527612182;2,72044196721312;8,5917746269979;0;
9;00:09:00;0;0;0;0;0;0;0;0;0;0,9247921919041003;0;0;0;0;1,0743283012887204;0,8828917018305931;0,16932649790706322;1,8031961576387414;0;0;4,937500777557951;0;0;0,5543790634710531;7,738926947541916;3,391782890933376;0;0;0;15,325669376411428;0;0;0;0;0;0;0;0;0;0;0;0;1,4648915476889663;2,0635259093484986;0;0;0;0,20218123553925235;2,4341436797496745;1,7394205450018612;0;6,11708049180328;0,926795163934426;1,405130061831826;2,72044196721312;8,600197401997367;0;
10;00:10:00;0;0;0;0;0;0;0;0;0;0,9249493874242658;0;0;0;0;1,0774817733390076;0,8845159716866411;0,16973691720348255;1,8051899093158223;0;0;4,950541257421405;0;0;0,554396157811825;7,746147675898892;3,395465595537398;0;0;0;15,375896286413672;0;0;0;0;0;0;0;0;0;0;0;0;1,4650930002872729;2,0708075348224932;0;0;0;0,20281246754088966;2,440687867229821;1,7710860904788832;0;6,11708049180328;0,926795163934426;1,4063350539454933;2,72044196721312;8,615824815104496;0;
11;00:11:00;0;0;0;0;0;0;0;0;0;0,9320293957788235;0;0;0;0;1,091344956638083;0,8865693189092512;0,1698412529808144;1,8127110683658176;0;0;4,964864588853129;0;0;0,5597413240604969;7,821479136582933;3,4006829689825695;0;0;0;15,482116762385147;0;0;0;0;0;0;0;0;0;0;0;0;1,4825208327662236;2,078965484811726;0;0;0;0,20376085850292053;2,471513471199359;1,7792750456006685;0;6,11708049180328;0,926795163934426;1,4092266544976164;2,72044196721312;8,624925339241805;0;
12;00:12:00;0;0;0;0;0;0;0;0;0;0,9342166591264697;0;0;0;0;1,0990368890335422;0,8885497980704875;0,1705500210416829;1,8164858808099835;0;0;4,984518837617564;0;0;0,5602170592681894;7,827362943576459;3,41489946654082;0;0;0;15,4911579734272;0;0;0;0;0;0;0;0;0;0;0;0;1,4940656850064227;2,0874082737774815;0;0;0;0,20532261283831602;2,4973945906233355;1,7829486934116765;0;6,11708049180328;0,926795163934426;1,4130918266916905;2,72044196721312;8,685250268616524;0;
13;00:13:00;0;0;0;0;0;0;0;0;0;0,9360681429386893;0;0;0;0;1,1038009226215315;0,8915204573299338;0,1708291624077588;1,8182400562790502;0;0;4,991848341485941;0;0;0,561862062417491;7,837402337382424;3,416605182796215;0;0;0;15,508109287856225;0;0;0;0;0;0;0;0;0;0;0;0;1,4951850368684416;2,111086797201155;0;0;0;0,20540423216670542;2,5146270182944983;1,7971083073946288;0;6,11708049180328;0,926795163934426;1,4141222522766785;2,72044196721312;8,741116315334237;0;
