Device name;Usage sum in this simulation [kWh];Usage sum in this simulation linear extrapolated to 1 year [kWh];Comparison Value from the device entry [kWh];Percentage of the comparison value [1 = 100%];Device Category;
Bathroom Light (60W);0,09893391565883819;18,05543960773797;0;0;(no category);
Bathroom Mirror Light 100W (Conventional);0,16396928068638691;29,924393725265613;0;0;(no category);
Children Room Light Device (20W);0,06431252324666357;11,737035492516103;0;0;(no category);
Living Room Light (60W);0,42696065262735056;77,92031910449147;0;0;(no category);
Bedroom Light (200W);0,6781848703523992;123,76873883931285;0;0;(no category);
Kitchen Light (20W);0,019282800837160042;3,519111152781708;0;0;(no category);
Electric Kettle / Petra WK288 1.5L;0;0;0;0;Kitchen equipment / Electric kettle;
CD/DVD Player / Philips DVDR 725 H;0,08421162895343295;15,368622284001514;33;0,46571582678792467;Education and Entertainment equipment / Hifi devices / CD/DVD Player;
Phillips 32-9615;0,39983716968231947;72,97028346702331;139;0,5249660681080813;Education and Entertainment equipment / Entertainment device / Television set;
SAT Receiver / Kathrein UFS913;0,04805739844126276;8,770475215530453;31;0,28291855533969207;Education and Entertainment equipment / Entertainment device / SAT-Receiver;
Egg Cooker / Russell Hobbs 14048-56 Stylo;0,03486110022872912;6,362150791743064;9;0,7069056435270071;Kitchen equipment / Egg cooker;
Moulinex electronic 833;0,044337841519561896;8,091656077320046;0;0;Kitchen equipment / Juicer;
Kitchen radio / AEG KRC 4323 CD;0,015708090591301318;2,8667265329124905;4;0,7166816332281226;Education and Entertainment equipment / Hifi devices / Kitchen radio;
Single Stove Plate;-0,04330537455846995;-7,903230856920766;0;0;Kitchen equipment / Kitchen stove / Kitchen stove front left;
Coffee Machine / Braun KF 580E;0,19668219628351352;35,89450082174122;17;2,1114412248083068;Kitchen equipment / Coffee equipment / Coffee machine;
Food Slicer / DOMO Schneidemaschine DO521S;0,003524282291392755;0,6431815181791778;1;0,6431815181791778;Kitchen equipment / Food slicer;
Toaster / Tefal Vario;-0,0009227536639344257;-0,16840254366803267;0;0;Kitchen equipment / Toaster;
Extractor Hood / Miele DA 429-4;0;0;16;0;Kitchen equipment / Extractor hood / Cabinet mounted;
Kitchen Stove / Bauknecht Heko 750 PT Kitchen stove left hind - full power;0;0;0;0;Kitchen equipment / Kitchen stove / Kitchen stove hind left;
Microwave / Panasonic NN-CD757W;0;0;46;0;Kitchen equipment / Microwave;
Miele H 5241 B;0,26697325135596006;48,72261837246271;104;0,46848671511983375;Kitchen equipment / Baking oven / Normal sized Baking oven;
Miele DA 61;0,04945393482522758;9,025343105604033;16;0,5640839441002521;Kitchen equipment / Extractor hood / Wall mounted;
Kitchen Stove / Bauknecht Heko 750 PT Kitchen-stove right hind;0,1911775101620409;34,889895604572466;0;0;Kitchen equipment / Kitchen stove / Kitchen stove hind right;
Laptop Sony Vaio SVE151G11M;-0,4095527983016391;-74,74338569004914;0;0;Computers and Components / Computer / Laptop;
Washing Machine / Bosch WFS 8000;0,33193404266391796;60,577962786165024;184;0,32922805862046206;Appliances / Washing machine;
Hair Dryer / Braun Satin Pro 2200 Ion Care;0,24957336697558805;45,547139473044815;54;0,8434655457971262;Bath devices / Hair dryer;
LED Lamp Globe E 14 Ambient 3W matt;0;0;13;0;Light;
Vacuum Cleaner FiF;0;0;0;0;Appliances / Vacuum cleaner / Canister vacuum cleaner;
CD/DVD Player / Philips DVDR 725 H;0,039991665862315465;7,298479019872572;0;0;Education and Entertainment equipment / Hifi devices / CD/DVD Player;
SAT Receiver / Kathrein UFS913;0,0489754403015877;8,938017855039755;0;0;Education and Entertainment equipment / Entertainment device / SAT-Receiver;
Phillips 32-9615;0,11793984287559756;21,524021324796554;0;0;Education and Entertainment equipment / Entertainment device / Television set;
Yamaha RX-V667;0,4736966264891211;86,4496343342646;0;0;(no category);
Liebherr CBP 4056-20A;0,9700057908225937;177,02605682512336;0;0;(no category);
Kitchen radio / AEG KRC 4323 CD;0,05177307175434483;9,44858559516793;0;0;Education and Entertainment equipment / Hifi devices / Kitchen radio;
Microwave / Panasonic NN-CD757W;0,944852397238742;172,43556249607042;0;0;Kitchen equipment / Microwave;
Electric Tooth Brush / Phillips HX9332;0,07904912638233762;14,426465564776615;0;0;(no category);
Phone Siemens Gigaset C320;0,4107254275398873;74,95739052602943;0;0;(no category);
Laptop Sony Vaio SVE151G11M;0,01020333333333451;1,862108333333548;0;0;Computers and Components / Computer / Laptop;
Router / AVM FRITZ! Box Fon WLAN 7390;0,31624093228249384;57,71397014155512;0;0;(no category);
Sums;6,377648585741358;1163,9208668977979;667
