Device name;Usage sum in this simulation [kWh];Usage sum in this simulation linear extrapolated to 1 year [kWh];Comparison Value from the device entry [kWh];Percentage of the comparison value [1 = 100%];Device Category;Energieagentur.NRW Tags;
Living Room Light (60W);2,2249999999999996;406,06249999999994;0;0;(no category);Light;
Kitchen Light (20W);0,06333333333333332;11,558333333333332;0;0;(no category);Light;
Bathroom Light (100W);0,26499999999999996;48,36249999999999;0;0;(no category);Light;
Bathroom Mirror Light 100W (Conventional);0,21675718637227562;39,5581865129403;0;0;(no category);Light;
Bedroom Light (200W);3,2599999999999993;594,9499999999999;0;0;(no category);Light;
Children Room Light (200W);1,7066666666666663;311,4666666666666;0;0;(no category);Light;
Children Room Light (100W);0;0;0;0;(no category);Light;
Children Room Light (100W);0;0;0;0;(no category);Light;
Bread Baking Machine Unold 6595;0,30417709651666663;55,51232011429166;0;0;Kitchen equipment / Breadmaker;Cooking;
Toaster / Bosch TAT8SL1;0,37337213184365947;68,14041406146785;7;9,734344865923978;Kitchen equipment / Toaster;Cooking;
Kitchen Stove / Bauknecht Heko 750 PT Kitchen stove front left;15,973653609525707;2915,1917837384417;160;18,21994864836526;Kitchen equipment / Kitchen stove / Kitchen stove front left;Cooking;
Electric Kettle / Phillips Essential HD 4685/90 Schwarz;2,3710413383505595;432,7150442489771;30;14,423834808299237;Kitchen equipment / Electric kettle;Cooking;
Miele DG 1450;3,1300031701319164;571,2255785490747;62;9,213315783049593;Kitchen equipment / Baking oven / Normal sized Baking oven;Cooking;
Handmixer / Phillips Robust HR 1581;0,03851690349289119;7,0293348874526425;1;7,0293348874526425;Kitchen equipment / Handmixer;Cooking;
PC / Acer 8400;0,14630362366436492;26,700411318746596;61;0,43771166096305897;Computers and Components / Computer / PC;Office;
PC Monitor / Fujitsu Siemens Scaleoview D19-1;0,18749585643923725;34,2179938001608;72;0,4752499138911222;Computers and Components / Monitor / TFT display;Office;
Epson Stylus S20;0,008279901058699309;1,511081943212624;30;0,05036939810708747;Computers and Components / Printer / Ink jet printer;Office;
TASKalfa 180;0,43221203215268905;78,87869586786576;29;2,7199550299264055;Computers and Components / Computer component / Photocopier;Office;
Canon CanoScan LIDE 110;0,0003586937795698225;0,06546161477149261;4;0,016365403692873152;Computers and Components / Computer component / Scanner;Office;
External Harddrive Iomega 3.5";0,029239601631511007;5,336227297750758;0;0;Computers and Components / Computer component / External Harddrives;Office;
Kitchen Stove / Bauknecht Heko 750 PT Kitchen stove front right-semi aktiv;0,8103285708591967;147,8849641818034;0;0;Kitchen equipment / Kitchen stove / Kitchen stove front right;Cooking;
Microwave / Panasonic NN 5259;0;0;46;0;Kitchen equipment / Microwave;Cooking;
Miele DA 249-2;0,35852739495579716;65,43124957943299;16;4,089453098714562;Kitchen equipment / Extractor hood / Cabinet mounted;Cooking;
Miele DA 61;0;0;16;0;Kitchen equipment / Extractor hood / Wall mounted;Cooking;
Deep Fryer / DeLonghi F 28311.W Rotofritteuse;0;0;100;0;Kitchen equipment / Deep Fryer;Cooking;
Ricecooker / Tristar RK-6112;0;0;20;0;Kitchen equipment / Rice Cooker;Cooking;
Steam Cooker / Phillips HD9140;0;0;30;0;Kitchen equipment / Steam cooker;Cooking;
Kitchen radio / AEG KRC 4323 CD;0,03244499772477059;5,921212084770632;4;1,480303021192658;Education and Entertainment equipment / Hifi devices / Kitchen radio;TV/Audio;
Kitchen Stove / Bauknecht Heko 750 PT Kitchen-stove right hind;1,311102591481232;239,27622294532483;0;0;Kitchen equipment / Kitchen stove / Kitchen stove hind right;Cooking;
Braun Multiquick 3 MR 300 Soup;0,00843146301535796;1,5387420003028276;2;0,7693710001514138;Kitchen equipment / Electric whisks / Immersion blender;Cooking;
Kitchen Stove / Bauknecht Heko 750 PT Kitchen stove left hind - full power;0,32243426866199515;58,84425403081411;0;0;Kitchen equipment / Kitchen stove / Kitchen stove hind left;Cooking;
Fondue / Unold 48746 Asia;0;0;7;0;Kitchen equipment / Fondue;Cooking;
Dishwashers / Bosch SGI 58M02 EU;2,6349809843607597;480,8840296458386;242;1,9871240894456141;Kitchen equipment / Dishwashers;Dish washing;
Hedge Trimmer / Bosch AHS 550-24 ST;0;0;1;0;Tools / Garden devices / Hedge trimmer;Other;
Atika LH 2500 G;0;0;30;0;Tools / Garden devices / Garden Shredder;Other;
Lawn Mower / Sabo 32-EL;0;0;127;0;Tools / Garden devices / Lawn mower;Other;
Laptop Siemens Amilio from 2005;1,5177671667333457;276,9925079288356;0;0;Computers and Components / Computer / Laptop;Office;
Coffee Machine / Braun KF 580E;0,21571932947030253;39,368777628330214;17;2,3158104487253066;Kitchen equipment / Coffee equipment / Coffee machine;Cooking;
Electric Kettle / Phillips Essential HD 4685/90 Schwarz;0,15566367327230474;28,408620372195614;30;0,9469540124065204;Kitchen equipment / Electric kettle;Cooking;
Washing Machine / Bosch WOL 2450;1,5617141301199753;285,0128287468955;184;1,5489827649287797;Appliances / Washing machine;Washing;
CD/DVD Player / Philips DVDR 725 H;0,463068454796939;84,50999300044137;33;2,5609088788012535;Education and Entertainment equipment / Hifi devices / CD/DVD Player;TV/Audio;
Home Cinema System / Samsung HT-D5550;0,9080158392765922;165,7128906679781;440;0,37662020606358654;Education and Entertainment equipment / Hifi devices / Home cinema system;TV/Audio;
TV / Phillips Goya 9770 VT;3,6549128595391482;667,0215968658946;139;4,798716524215069;Education and Entertainment equipment / Entertainment device / Television set;TV/Audio;
SAT Receiver / Kathrein UFS913;0,3865541142086383;70,54612584307648;31;2,275681478808919;Education and Entertainment equipment / Entertainment device / SAT-Receiver;TV/Audio;
Panasonic Hifi System (unknown type);0,4105726010666703;74,92949969466733;0;0;Education and Entertainment equipment / Hifi devices / Hifi- System;TV/Audio;
Hair Dryer Babyliss 2000;1,4733390447;268,88437565775;0;0;Bath devices / Hair dryer;Washing;
Fancy Ceiling Lights with at least 3 Bulbs;0;0;0;0;Light;Light;
