Timestep;Time span;Sum [VA]
0;00:00:00;4700,579443872872
1;00:01:00;4450,865681234363
2;00:02:00;4302,93634482131
3;00:03:00;4146,9960798425445
4;00:04:00;3963,6557012391827
5;00:05:00;3769,6988947450523
6;00:06:00;3758,080044357131
7;00:07:00;3749,05923261949
8;00:08:00;3732,55512733625
9;00:09:00;3729,3310612958917
10;00:10:00;3720,438532934234
11;00:11:00;3589,1341287634646
12;00:12:00;3550,6828268569802
13;00:13:00;3508,9378716679175
14;00:14:00;3493,219380296896
15;00:15:00;3479,3052616306536
16;00:16:00;3455,746552871847
17;00:17:00;3440,7228596248888
18;00:18:00;3421,6065680769484
19;00:19:00;3405,9444464288213
20;00:20:00;3402,1890112312253
21;00:21:00;3364,9864507529896
22;00:22:00;3361,7650981324527
23;00:23:00;3334,00618914996
24;00:24:00;3333,9933791900457
25;00:25:00;3307,503082776703
26;00:26:00;3291,1903314992865
27;00:27:00;3280,8968087309827
28;00:28:00;3267,205078794927
29;00:29:00;3207,7810246924423
30;00:30:00;3187,3091461570584
31;00:31:00;3152,852194072095
32;00:32:00;3132,2835898393496
33;00:33:00;3082,5882722253195
34;00:34:00;3068,171181736432
35;00:35:00;3016,9139984289604
36;00:36:00;3005,6436508180445
37;00:37:00;2976,878842705735
38;00:38:00;2947,8270657120556
39;00:39:00;2947,3491156213804
40;00:40:00;2927,2381969298876
41;00:41:00;2852,970944365568
42;00:42:00;2834,926342706585
43;00:43:00;2819,681987924986
44;00:44:00;2805,7216127357337
45;00:45:00;2780,0732206149096
46;00:46:00;2769,2993317387077
47;00:47:00;2764,357033661036
48;00:48:00;2755,5547038828886
49;00:49:00;2731,554038798273
50;00:50:00;2724,2347156544474
51;00:51:00;2719,7573890643425
52;00:52:00;2692,685293229033
53;00:53:00;2676,498684871661
54;00:54:00;2650,6178001193857
55;00:55:00;2645,534079599859
56;00:56:00;2628,7356759370264
57;00:57:00;2625,9794643902665
58;00:58:00;2617,5052207900144
59;00:59:00;2606,625478034128
60;01:00:00;2566,8299385359933
61;01:01:00;2548,8762292965275
62;01:02:00;2509,4342943499814
63;01:03:00;2504,6921850005897
64;01:04:00;2498,078787712455
65;01:05:00;2491,083871268203
66;01:06:00;2482,20672006593
67;01:07:00;2478,5562846846856
68;01:08:00;2477,5853014340682
69;01:09:00;2458,7387024823024
70;01:10:00;2458,2679094914097
71;01:11:00;2432,2484681148176
72;01:12:00;2427,295590138078
73;01:13:00;2418,883310461188
74;01:14:00;2414,996490925716
75;01:15:00;2394,031503419158
76;01:16:00;2375,792775714663
77;01:17:00;2370,949861864982
78;01:18:00;2364,633009343984
79;01:19:00;2337,890656895707
80;01:20:00;2337,674524476089
81;01:21:00;2329,54962197234
82;01:22:00;2312,5567892237295
83;01:23:00;2303,10444288805
84;01:24:00;2296,7690553971192
85;01:25:00;2291,087752104511
86;01:26:00;2277,6517383038304
87;01:27:00;2209,3831625799617
88;01:28:00;2159,1637366190303
89;01:29:00;2132,267127645635
90;01:30:00;2103,218381402321
91;01:31:00;2095,5884696904086
92;01:32:00;2076,1878094683716
93;01:33:00;2049,965234546148
94;01:34:00;2048,3450989553357
95;01:35:00;2013,0788807462698
96;01:36:00;1991,0440276052032
97;01:37:00;1985,8576626175313
98;01:38:00;1967,4133121237742
99;01:39:00;1950,8737864992956
100;01:40:00;1932,2083898815988
101;01:41:00;1914,2383441567922
102;01:42:00;1905,707730718724
103;01:43:00;1871,8636585442866
104;01:44:00;1868,6593583173358
105;01:45:00;1859,700821916009
106;01:46:00;1856,9976207832183
107;01:47:00;1854,0957785699602
108;01:48:00;1844,1170879750075
109;01:49:00;1839,4182104036115
110;01:50:00;1833,2534505177425
111;01:51:00;1804,444609734262
112;01:52:00;1800,9167225718816
113;01:53:00;1779,7429675384749
114;01:54:00;1777,4358437869453
115;01:55:00;1769,0716529827478
116;01:56:00;1737,7701604349827
117;01:57:00;1691,9574840649786
118;01:58:00;1683,521376601001
119;01:59:00;1683,2864075454381
120;02:00:00;1678,0691581978897
121;02:01:00;1644,8175590156789
122;02:02:00;1637,947012395153
123;02:03:00;1636,0664985518908
124;02:04:00;1635,651777971533
125;02:05:00;1632,6650235656234
126;02:06:00;1631,9961782157538
127;02:07:00;1626,9808216805393
128;02:08:00;1625,466201067775
129;02:09:00;1624,990040368879
130;02:10:00;1613,1366393057165
131;02:11:00;1605,0600223091094
132;02:12:00;1602,8877200698473
133;02:13:00;1600,2518494492037
134;02:14:00;1598,1799024862457
135;02:15:00;1598,0255498261618
136;02:16:00;1596,6573547863884
137;02:17:00;1586,6462046311924
138;02:18:00;1581,007294840403
139;02:19:00;1573,725732074728
140;02:20:00;1571,876195340093
141;02:21:00;1557,0837805193805
142;02:22:00;1556,378828950278
143;02:23:00;1556,1207201133968
144;02:24:00;1550,5826106902784
145;02:25:00;1537,2393196453693
146;02:26:00;1532,3917665097358
147;02:27:00;1531,7190677526276
148;02:28:00;1530,3222875950335
149;02:29:00;1523,1522033209405
150;02:30:00;1518,1465849795663
151;02:31:00;1517,208475597628
152;02:32:00;1398,40670841284
153;02:33:00;1397,3908681262976
154;02:34:00;1393,994881810396
155;02:35:00;1301,9360797698246
156;02:36:00;1027,7208744447332
157;02:37:00;1009,3323687403506
158;02:38:00;1007,5956409002114
159;02:39:00;1006,8034250828534
160;02:40:00;1003,1756292383806
161;02:41:00;909,8148140812434
162;02:42:00;882,9681379819101
163;02:43:00;877,9802530473639
164;02:44:00;875,5255239180057
165;02:45:00;874,0391849698024
166;02:46:00;835,7817852181552
167;02:47:00;819,0025913178761
168;02:48:00;818,3002817993417
169;02:49:00;818,2409587611498
170;02:50:00;817,1116999647664
171;02:51:00;816,6608351050196
172;02:52:00;815,3258388042254
173;02:53:00;814,3640690204018
174;02:54:00;813,1595406292637
175;02:55:00;812,1385252464712
176;02:56:00;811,0458898568514
177;02:57:00;798,131257152704
178;02:58:00;793,5824846667693
179;02:59:00;790,9311902093746
180;03:00:00;784,3190220625349
181;03:01:00;732,3851795003666
182;03:02:00;727,8696803982958
183;03:03:00;702,381709761818
184;03:04:00;697,9661926036274
185;03:05:00;691,4075142913002
186;03:06:00;684,1977777797916
187;03:07:00;684,1967326162581
188;03:08:00;666,2763965654088
189;03:09:00;664,6019899872607
190;03:10:00;655,3743150936493
191;03:11:00;654,8619926702496
192;03:12:00;653,0908205995272
193;03:13:00;651,4585071929396
194;03:14:00;649,598379161631
195;03:15:00;649,4522615848135
196;03:16:00;648,9507006610205
197;03:17:00;645,8889849144977
198;03:18:00;643,1901019717847
199;03:19:00;639,8499791471125
200;03:20:00;633,9589052141594
201;03:21:00;627,7861901505179
202;03:22:00;627,1833060955258
203;03:23:00;624,6699216760534
204;03:24:00;623,085103603255
205;03:25:00;617,2211192297134
206;03:26:00;611,6823760290413
207;03:27:00;607,1435499619791
208;03:28:00;604,391888496877
209;03:29:00;603,2935215862537
210;03:30:00;603,144302327759
211;03:31:00;601,4536234462394
212;03:32:00;598,7952656637483
213;03:33:00;598,7560571568647
214;03:34:00;598,6671135347144
215;03:35:00;597,5153431603293
216;03:36:00;595,4631821900962
217;03:37:00;595,3119561359197
218;03:38:00;594,904976789711
219;03:39:00;594,5270115928289
220;03:40:00;593,6943499825788
221;03:41:00;592,2445545362885
222;03:42:00;591,9018140775102
223;03:43:00;591,788883651964
224;03:44:00;589,6997370387205
225;03:45:00;589,0470421212434
226;03:46:00;588,8657988253402
227;03:47:00;588,3105193267686
228;03:48:00;587,2815570508525
229;03:49:00;585,9474400640067
230;03:50:00;585,215069050269
231;03:51:00;584,4787694971158
232;03:52:00;582,8858807391948
233;03:53:00;582,8368515994928
234;03:54:00;582,0129970741904
