Timestep;Time span;Sum [VA]
0;00:00:00;9253,245923957324
1;00:01:00;9079,192474295352
2;00:02:00;9058,751621402746
3;00:03:00;8870,82552129284
4;00:04:00;8672,85783221613
5;00:05:00;8632,777148016316
6;00:06:00;8598,78363127792
7;00:07:00;8511,320835105485
8;00:08:00;8509,58140465447
9;00:09:00;8508,647773774039
10;00:10:00;8444,437154612413
11;00:11:00;8440,140873040693
12;00:12:00;8421,25484261739
13;00:13:00;8391,756287558772
14;00:14:00;8372,368427653322
15;00:15:00;8336,83583327736
16;00:16:00;8314,594801679483
17;00:17:00;8277,53581001558
18;00:18:00;8266,248339652624
19;00:19:00;8262,08707337161
20;00:20:00;8256,705387496575
21;00:21:00;8255,345355291784
22;00:22:00;8245,078100696386
23;00:23:00;8217,496933870394
24;00:24:00;8209,133852883002
25;00:25:00;8195,057307752515
26;00:26:00;8153,40302428759
27;00:27:00;8142,824535435314
28;00:28:00;8129,112555641232
29;00:29:00;8117,842420561361
30;00:30:00;8112,4565795227045
31;00:31:00;8100,573907885904
32;00:32:00;7943,953271918502
33;00:33:00;7922,982976495577
34;00:34:00;7874,510574254864
35;00:35:00;7866,281374958722
36;00:36:00;7837,106868518845
37;00:37:00;7828,988409894496
38;00:38:00;7799,925787291255
39;00:39:00;7773,323175651727
40;00:40:00;7746,311153356867
41;00:41:00;7726,874150700394
42;00:42:00;7709,217098089953
43;00:43:00;7695,018304014551
44;00:44:00;7681,87275963267
45;00:45:00;7585,504952607434
46;00:46:00;7535,6172032044615
47;00:47:00;7533,436139919804
48;00:48:00;7492,739317879956
49;00:49:00;7487,688987980661
50;00:50:00;7384,200445876987
51;00:51:00;7369,018138625988
52;00:52:00;7257,951670696022
53;00:53:00;7242,820697021351
54;00:54:00;7232,588274447389
55;00:55:00;7114,772117838622
56;00:56:00;7041,444574168239
57;00:57:00;6929,398679536891
58;00:58:00;6909,828797579866
59;00:59:00;5753,874292822952
60;01:00:00;5405,657428774814
61;01:01:00;5362,0763089760285
62;01:02:00;5281,591471162849
63;01:03:00;5236,217064513938
64;01:04:00;5235,57800455374
65;01:05:00;5101,394292006931
66;01:06:00;5077,819152764265
67;01:07:00;5074,337568329338
68;01:08:00;5066,940624863177
69;01:09:00;5050,513181676092
70;01:10:00;4917,166952425725
71;01:11:00;4892,757095488334
72;01:12:00;4810,134434531421
73;01:13:00;4809,290340544089
74;01:14:00;4801,0809700302
75;01:15:00;4787,848311063907
76;01:16:00;4726,802290440213
77;01:17:00;4712,447081555438
78;01:18:00;4690,863746455771
79;01:19:00;4659,876902949775
80;01:20:00;4615,932136607642
81;01:21:00;4590,013947160404
82;01:22:00;4578,550754508447
83;01:23:00;4576,074437693939
84;01:24:00;4570,139216432003
85;01:25:00;4548,465685005846
86;01:26:00;4540,035461346501
87;01:27:00;4516,0820058521085
88;01:28:00;4513,787926249787
89;01:29:00;4485,035997674207
90;01:30:00;4442,7376860095055
91;01:31:00;4434,781249909415
92;01:32:00;4424,8275037852145
93;01:33:00;4424,426150574354
94;01:34:00;4420,422705868144
95;01:35:00;4409,109916250245
96;01:36:00;4407,997006825665
97;01:37:00;4384,507020753289
98;01:38:00;4347,133125756452
99;01:39:00;4340,261581516746
100;01:40:00;4336,398365198767
101;01:41:00;4331,080909938227
102;01:42:00;4330,255262985258
103;01:43:00;4311,741623326175
104;01:44:00;4308,434783262098
105;01:45:00;4304,619464333855
106;01:46:00;4297,798450088674
107;01:47:00;4270,488459500726
108;01:48:00;4265,671659139496
109;01:49:00;4264,779674049688
110;01:50:00;4250,052416895917
111;01:51:00;4225,706636355711
112;01:52:00;4224,841126924482
113;01:53:00;4220,790313733634
114;01:54:00;4219,7277678091095
115;01:55:00;4219,241920386804
116;01:56:00;4213,756470344739
117;01:57:00;4209,814584886317
118;01:58:00;4207,2384841975345
119;01:59:00;4200,952986306401
120;02:00:00;4200,660205321679
121;02:01:00;4196,006554511801
122;02:02:00;4187,178731478211
123;02:03:00;4185,39584488934
124;02:04:00;4172,061303613642
125;02:05:00;4161,772069957852
126;02:06:00;4161,652322111883
127;02:07:00;4144,165483663395
128;02:08:00;4113,3618222740815
129;02:09:00;4095,6766717774212
130;02:10:00;4095,6716796702403
131;02:11:00;4094,3149189946716
132;02:12:00;4091,4269579372385
133;02:13:00;4089,0612341218157
134;02:14:00;4088,5904685859987
135;02:15:00;4067,449539910771
136;02:16:00;4033,9542910986747
137;02:17:00;4033,758790266294
138;02:18:00;4030,694633750236
139;02:19:00;4024,1893553064524
140;02:20:00;4023,273062151039
141;02:21:00;4023,04356575956
142;02:22:00;4010,409700151921
143;02:23:00;4006,954681106672
144;02:24:00;4004,3035913684926
145;02:25:00;4003,7872545123155
146;02:26:00;3994,6939550228094
147;02:27:00;3991,775280739435
148;02:28:00;3971,8991090597497
149;02:29:00;3970,372000907465
150;02:30:00;3964,083845913522
151;02:31:00;3940,161563671665
152;02:32:00;3938,0654642411337
153;02:33:00;3936,2490941339606
154;02:34:00;3922,3760710402275
155;02:35:00;3919,8255845160315
156;02:36:00;3914,1558798546175
157;02:37:00;3914,073738106186
158;02:38:00;3903,8970827375965
159;02:39:00;3892,427052785383
160;02:40:00;3882,4169581615097
161;02:41:00;3867,198303967073
162;02:42:00;3866,794821384022
163;02:43:00;3857,424036876731
164;02:44:00;3846,0376654666793
165;02:45:00;3843,935421934568
166;02:46:00;3838,200232254626
167;02:47:00;3832,2536776105476
168;02:48:00;3823,1614992711093
169;02:49:00;3792,975593243383
170;02:50:00;3785,8119625714203
171;02:51:00;3776,9494498037525
172;02:52:00;3764,364903150269
173;02:53:00;3758,4320943460807
174;02:54:00;3747,9799232862574
175;02:55:00;3733,227933850553
176;02:56:00;3714,3763238638076
177;02:57:00;3710,3817320565845
178;02:58:00;3704,88149619896
179;02:59:00;3703,7875638101023
180;03:00:00;3698,103361951664
181;03:01:00;3677,9362058361476
182;03:02:00;3677,8751170661076
183;03:03:00;3659,996954902669
184;03:04:00;3657,6386727205286
185;03:05:00;3646,6823455496788
186;03:06:00;3646,022285321829
187;03:07:00;3643,4970099220614
188;03:08:00;3640,1245936476917
189;03:09:00;3633,915499690531
190;03:10:00;3626,526873034039
191;03:11:00;3615,4275265327865
192;03:12:00;3579,186672005952
193;03:13:00;3562,999147498569
194;03:14:00;3561,765728111259
195;03:15:00;3560,1402407880287
196;03:16:00;3543,421465318968
197;03:17:00;3542,9892127556222
198;03:18:00;3542,915268747868
199;03:19:00;3542,5567435506064
200;03:20:00;3540,9504438015447
201;03:21:00;3538,3300892754787
202;03:22:00;3532,139999226525
203;03:23:00;3529,2267204037253
204;03:24:00;3525,4617714367296
205;03:25:00;3523,917409763
206;03:26:00;3512,043276890911
207;03:27:00;3504,7246122489996
208;03:28:00;3497,0758177566686
209;03:29:00;3479,9611947900585
210;03:30:00;3479,689555623895
211;03:31:00;3477,470955508276
212;03:32:00;3472,298082533699
213;03:33:00;3464,8019787991143
214;03:34:00;3463,898405323281
215;03:35:00;3447,152328895974
216;03:36:00;3436,4023316240323
217;03:37:00;3434,2112396022217
218;03:38:00;3429,8829419572767
219;03:39:00;3426,99983775724
220;03:40:00;3424,153037562666
221;03:41:00;3420,6071105312008
222;03:42:00;3414,443209217795
223;03:43:00;3405,9171616222698
224;03:44:00;3400,83521034123
225;03:45:00;3382,0669702419445
226;03:46:00;3376,578509142291
227;03:47:00;3375,420439358568
228;03:48:00;3374,454441357859
229;03:49:00;3373,560612921324
230;03:50:00;3368,3482240703156
231;03:51:00;3360,623324654645
232;03:52:00;3360,0474021811933
233;03:53:00;3359,284874216855
234;03:54:00;3344,5728869672225
235;03:55:00;3320,213009971141
236;03:56:00;3316,32117193062
237;03:57:00;3309,1468284286234
