Reactive.Time;Time span;Bedroom Light (200W) [var];Living Room Light (Energy Saving Lamp, 20W) [var];Kitchen Light (60W) [var];Bathroom Light (200W) [var];Bathroom Mirror Light 30W (CFL) [var];Children Room Light Device (20W) [var];Bread Baking Machine Unold 6595 [var];Toaster Salco MT 400 [var];Single Stove Plate [var];Electric Kettle / Petra WK288 1.5L [var];Oven / AEG B 33512-5-M [var];Handmixer / Phillips Robust HR 1581 [var];PC / Acer Aspire T310 [var];PC Monitor / Fujitsu Siemens Scaleoview D19-1 [var];Epson Stylus Color 860 [var];TASKalfa 180 [var];Canon CanoScan LIDE 110 [var];External Harddrive Iomega 3.5" [var];Food Slicer / DOMO Schneidemaschine DO521S [var];Miele DA 61 [var];Kitchen Stove / Bauknecht Heko 750 PT Kitchen-stove right hind [var];Dehumidifier / Trotec TTK 50 S [var];Dryer / Miele T 8626 WP [var];Christopeit Treadmill TM 2 Pro [var];Hedge Trimmer / Bosch AHS 550-24 ST [var];Atika LH 2500 G [var];Lawn Mower / Sabo 32-EL [var];Laptop / ACER BT.00603.043 Replacement laptop battery [var];SAT Receiver / Kathrein UFS913 [var];Steam Iron / Phillips GC 4410 [var];TV / Phillips Goya 9770 VT [var];Washing Machine Samsung P1405J [var];Asviva High End Wellness Massage Seat [var];CD/DVD Player / Phillips HDR3810/31 [var];Home Cinema System / Samsung HT-D5550 [var];Digitalpiano / Kawai CN-23 [var];Hifi System / Sharp XL-HF300PH [var];Hair Dryer / Braun Satin Pro 2200 Ion Care [var];LED Lamp Globe E 14 Ambient 3W matt [var];Nintendo Wii [var];Microsoft Xbox 360 [var];Egg Cooker / Russell Hobbs 14048-56 Stylo [var];Kitchen radio / AEG KRC 4323 CD [var];Nespresso Coffee Machine, Single Cup [var];Moulinex electronic 833 [var];Dishwasher NEFF SD6P1F (2011) [var];Canister vacuum cleaner / Siemens VS 06 G 1831 [var];Liebherr CBNPes 3956 [var];Router O2 Box 6431 [var];Electric Tooth Brush / Phillips HX9332 [var];Phone Siemens Gigaset C320 [var];Smartphone Samung S4 [var];Electric Razor / Phillips PT860/16 Razor PowerTouch Plus [var];
0;00:00:00;0;0;0;0;-15,690998585487966;0;0;-39,9916053442623;-25,7309901639344;-48,9389545245902;0;0;0,6227546774300923;0,27136593179011803;0,05241491315564802;0,5339818099457854;0;0;0;0;0;0;0;0;0;0;0;1,5596065777688064;0,28969034472423794;0;0,4991261703249566;0;0;0,14848111347333437;0,41465694443048184;0;0,5984497251617601;0;0;0,4036668568588755;0,6426334020994562;0;0,2947021783920707;0;0;-171,672098360656;0;0;-9,95073016393443;0,4028457549373202;3,33918672131147;0;0,043877276490775656;
1;00:01:00;0;0;0;0;-13,132917080572142;0;0;-39,9916053442623;-25,7309901639344;-48,9389545245902;0;0;0,6445864359125396;0,2717679257688212;0,052993049650696115;0,5424397071355506;0;0;0;0;0;0;0;0;0;0;0;1,5754174170625523;0,29071039846675606;0;0,5375774193494954;0;0;0,16474279387048194;0,4550997798877782;0;0,6302690212092632;0;0;0,40723188133927807;0,7573513979168097;0;0,29765058731435245;0;0;-171,672098360656;0;0;-9,95073016393443;0,41395063669741256;3,33918672131147;0;0,0453334993902456;
2;00:02:00;0;0;0;0;-12,686253000985628;0;0;-39,9916053442623;-25,7309901639344;-48,9389545245902;0;0;0,6472671046071165;0,2722678133019905;0,053163356055782034;0,5490875956475183;0;0;0;0;0;0;0;0;0;0;0;1,6095027702966231;0,2932791918435453;0;0,5533361094507807;0;0;0,1705342615722731;0,46141898456562797;0;0,6375929770828588;0;0;0,4088836122953317;0,7718876601366848;0;0,29775599652939255;0;0;-160,234491803279;0;0;-9,95073016393443;0,4333320974520821;3,33918672131147;0;0,045369199336711415;
3;00:03:00;0;0;0;0;-12,33398309184301;0;0;-39,9916053442623;-25,4035836065574;-48,9389545245902;0;0;0,6646418797262287;0,2723722910225014;0,054463176638750194;0,5544602620649052;0;0;0;0;0;0;0;0;0;0;0;1,617483381580536;0,2945155837379721;0;0,5547794947125922;0;0;0,17128131580517378;0,4687833446636005;0;0,651116818444143;0;0;0,43053173082830015;0,7871629961539908;0;0,3001160124711725;0;0;-160,234491803279;0;0;-9,95073016393443;0,44622159942733797;3,33918672131147;0;0,04720014362761538;
4;00:04:00;0;0;0;0;-11,267290419320748;0;0;-39,9916053442623;-25,4035836065574;-48,9389545245902;0;0;0,6654248651541393;0,2747102819789568;0,054928443718451486;0,573106998976201;0;0;0;0;0;0;0;0;0;0;0;1,6269978073680103;0,3000427804880034;0;0,5567389683113136;0;0;0,1744481220083183;0,47473485491008804;0;0,6594272925836436;0;0;0,43321316932220544;0,7917243907478642;0;0,30160486142977677;0;0;-160,193459016393;0;0;-9,95073016393443;0,45629637801343925;3,33918672131147;0;0,04721793415658169;
5;00:05:00;0;0;0;0;-10,461785773229128;0;0;-39,9916053442623;-25,4035836065574;-48,9389545245902;0;0;0,6761922828329281;0,2760266259619067;0,05551321285051684;0,581547123865431;0;0;0;0;0;0;0;0;0;0;0;1,6296329241111702;0,303716323602157;0;0,5674719687337818;0;0;0,17543946257091297;0,48116109058366413;0;0,6624752679113084;0;0;0,4338517274131621;0,7997331340385584;0;0,30392105097178784;0;0;-160,193459016393;0;0;-9,95073016393443;0,4604533169107401;3,33918672131147;0;0,04740927961260938;
6;00:06:00;0;0;0;0;-8,793070564541226;0;0;-39,9916053442623;-25,4035836065574;-48,9389545245902;0;0;0,6837939404688858;0,27904929637509274;0,05564950602340857;0,5820211221754132;0;0;0;0;0;0;0;0;0;0;0;1,645717088868077;0,30603965586797416;0;0,5787075724802605;0;0;0,17596865994165029;0,48148799626669264;0;0,6765055801562012;0;0;0,43692743491462405;0,8136940966434393;0;0,30422201734078824;0;0;-159,999114754098;0;0;-9,95073016393443;0,46150874764439803;3,33918672131147;0;0,04822991928048506;
7;00:07:00;0;0;0;0;-7,833868154390205;0;0;-39,9916053442623;-25,4035836065574;-48,9389545245902;0;0;0,6860564853007507;0,2799042633065143;0,05566210903384307;0,5837394319568912;0;0;0;0;0;0;0;0;0;0;0;1,646693112282985;0,30795051865803763;0;0,5878616946007721;0;0;0,17616596339028726;0,4841181325856436;0;0,6804153105480893;0;0;0,4383191867545444;0,8188641029097934;0;0,3057880672812981;0;0;-159,999114754098;0;0;-9,95073016393443;0,46206176554738787;3,33918672131147;0;0,04834477023521205;
8;00:08:00;0;0;0;0;-7,560879395536623;0;0;-39,9916053442623;-25,4035836065574;-48,9389545245902;0;0;0,6888452907345708;0,2822593250471967;0,05574654923778014;0,5845073092443464;0;0;0;0;0;0;0;0;0;0;0;1,6614486226885437;0,30829024011432377;0;0,5890120778576402;0;0;0,17672132734233278;0,48845287090159967;0;0,680642634213649;0;0;0,4436221712819743;0,821879762003569;0;0,30755331905165706;0;0;-159,786;0;0;-9,95073016393443;0,46268384428740683;3,33918672131147;0;0,048383714902734666;
9;00:09:00;0;0;0;0;-7,310766037224793;0;0;-38,8099229508197;-25,4035836065574;-44,9918409836066;0;0;0,6985501020518464;0,2891584237697174;0,05595299761230689;0,5867521488598864;0;0;0;0;0;0;0;0;0;0;0;1,6622172029794806;0,31100367499902815;0;0,5899799951149638;0;0;0,1787145067597904;0,4889255567081347;0;0,6833034320123652;0;0;0,4488867017785553;0,8255518688484411;0;0,3112844494191892;0;0;-159,786;0;0;-9,95073016393443;0,4649786107264866;3,33918672131147;0;0,04843111642098977;
