Reactive.Time;Time span;Bathroom Light (20W) [var];Bathroom Mirror Light 10 W (LED) [var];Kitchen Light (20W) [var];Cellar Light (20W) [var];Living Room Light (Energy Saving Lamp, 20W) [var];Bedroom Light (20W) [var];Children Room Light Device (20W) [var];AFK BM-2N [var];Eye Glass Cleaner Grundig UC 5020 [var];Clatronic MS 3249 Milk Foamer [var];Nespresso Coffee Machine, Single Cup [var];AEG PN 2200 RX 4935365097 [var];Hand-held Circular Saw / Bosch PKS 46 [var];Skil 4270 [var];Polishing Machine / Flex L 602 VR [var];Dishwasher NEFF SD6P1F (2011) [var];Christopeit Treadmill TM 2 Pro [var];Lawn Mower / Sabo 32-EL [var];Digitalpiano / Kawai CN-23 [var];Lamp Ikea V1017 Jansjo [var];AEG SB 2E 650 R [var];Cordless Screwdriver / Bosch PSR 18 LI-2 [var];Electric Kettle / Petra WK288 1.5L [var];Energy Saving Lamp / EL-REF 11 E27 [var];CD/DVD Player / Philips DVDR 725 H [var];TV Medion MD20123_DE_A [var];SAT Receiver / Kathrein UFS913 [var];Egg Cooker / Russell Hobbs 14048-56 Stylo [var];Juicer / Moulinex Vitafruit [var];Kitchen radio / AEG KRC 4323 CD [var];Single Stove Plate [var];Food Slicer / DOMO Schneidemaschine DO521S [var];Toaster Salco MT 400 [var];PC / Acer 8400 [var];PC Monitor / Fujitsu Siemens Scaleoview D19-1 [var];Epson Stylus Color 860 [var];TASKalfa 180 [var];Canon CanoScan LIDE 110 [var];TFT Monitor Samsung S27C750P [var];Active Speaker Trust Tytan 2.1 [var];Gaming Computer [var];Cell Phone Samsung Charging [var];Miele DG 1450 [var];Handmixer / Phillips Robust HR 1581 [var];Westinghouse Fanaway [var];Kitchen Stove / Bauknecht Heko 750 PT Kitchen stove front right- full power [var];Kitchen Stove / Bauknecht Heko 750 PT Kitchen stove left hind - full power [var];Kitchen Stove / Bauknecht Heko 750 PT Kitchen-stove right hind [var];Microwave / Panasonic NN 5259 [var];Kitchen Machine Bosch UM4VE2B [var];Extractor Hood / Miele DA 429-4 [var];Miele DA 61 [var];Deep Fryer / DeLonghi F 28311.W Rotofritteuse [var];Ricecooker / Tristar RK-6112 [var];Steam Cooker / Phillips HD9140 [var];Immersion Blender Noah Hit Top [var];Fondue / Unold 48746 Asia [var];Bauknecht GTE 260 [var];Dryer / Miele T 8626 WP [var];Electronic Hometrainer / Kettler Satura E [var];Hair Dryer Braun Silencio 1250 [var];Laptop Sony Vaio SVE151G11M [var];Steam Iron / Phillips GC 4410 [var];Washing Machine / Bosch WAE 28143 [var];Phone Siemens Gigaset C320 [var];Canister vacuum cleaner / Siemens VS 06 G 1831 [var];External Harddrive Iomega 3.5" [var];Nintendo Wii [var];Siemens Kl 20 LA 65 (A+) [var];Electric Razor Braun Cruzer 5 [var];Electric Toothbrush Dondodent Professional Clean [var];Samsung CLP-315W [var];Fax / Phillips Faxjet 525 Primo (IPF525) [var];Microsoft Xbox 360 [var];Yamaha RX-V667 [var];Router O2 Box 6431 [var];
0;00:00:00;0;0;0;0;0;0;0;0;0;0;-21,6467368852459;0;0;0;0;-171,672098360656;0;0;0;-3,85185426229508;0;1,205908614738886;-48,9389545245902;0;0,2057878607150741;-95,8399;0,6623268295390711;0;0;0,25882231475497325;-25,7309901639344;0;-39,9916053442623;0,7987824864558806;0,6014214613111466;0,050091569795441306;0,5520640479541129;0;0,6300382190777861;-16,1370245901639;1,2725078217805916;-15,52252;0;0;0;0;0;0;2,4526412967659565;0;0;0;0;0;0;0;0;0;0;0,8416782165738247;-20,4813249016393;-25,7462983606557;0;0;3,37518672131147;0;0;0,37751665531285755;0;-0,227673278688525;-4,17003360655738;3,0617314582182775;1,0038975883908168;0,7711119709643584;2,481434940142469;-19,90146032786886;
1;00:01:00;0;0;0;0;0;0;0;0;0;0;-21,6467368852459;0;0;0;0;-171,672098360656;0;0;0;-3,85051442622951;0;1,2326999825659606;-44,9918409836066;0;0,2129930144144857;-95,6238573770492;0,6736689134435141;0;0;0,2695970480480361;-25,7309901639344;0;-39,9916053442623;0,8063893910920312;0,6245708766948379;0,05281903808193901;0,5648287198711819;0;0,6304043959094514;-16,0785573770492;1,2731825665081704;-15,40730409836066;0;0;0;0;0;0;2,499692804739681;0;0;0;0;0;0;0;0;0;0;0,8603035236885017;-20,4813249016393;-25,7462983606557;0;0;3,37518672131147;0;0;0,4334137594103458;0;-0,227673278688525;-4,17003360655738;3,0649513420016605;1,119481970215213;0,7913162413753941;2,507142349928434;-19,88752442622951;
2;00:02:00;0;0;0;0;0;0;0;0;0;0;-21,6467368852459;0;0;0;0;-171,672098360656;0;0;0;-3,84826163934426;0;1,2815834466871867;-44,9918409836066;0;0,2294373937204271;-94,93479344262289;0,6796880637952637;0;0;0,29614514751441945;-25,7309901639344;0;-39,9916053442623;0,8218053632565483;0,6247908110737654;0,05289429794580375;0,5649185040942944;0;0,6308010938573962;-16,0746426229508;1,2745558234707435;-15,3243524590164;0;0;0;0;0;0;2,599368966071808;0;0;0;0;0;0;0;0;0;0;0,8656191186212835;-20,4813249016393;-25,7462983606557;0;0;3,38316901639344;0;0;0,4364839349445874;0;-0,227673278688525;-4,17003360655738;3,088472116566035;1,1236532437766948;0,7995435418512122;2,6859591359072104;-19,88496885245902;
3;00:03:00;0;0;0;0;0;0;0;0;0;0;-21,6467368852459;0;0;0;0;-171,672098360656;0;0;0;-3,84525819672131;0;1,3324237134804218;-44,9918409836066;0;0,2416879363796335;-94,2656344262295;0,6801530533811145;0;0;0,29845032930812965;-25,7309901639344;0;-39,9916053442623;0,823604475987179;0,6319076437062556;0,05311600989587728;0,5673386162457834;0;0,6328832909032872;-16,0736016393443;1,275056065583005;-15,28054360655738;0;0;0;0;0;0;2,6231282684282116;0;0;0;0;0;0;0;0;0;0;0,8809815400589213;-20,4813249016393;-25,7462983606557;0;0;3,39010213114754;0;0;0,44265859366453714;0;-0,227673278688525;-4,17003360655738;3,1516151756702326;1,128721878973288;0,8111877760696665;2,688162491301441;-19,88496885245902;
4;00:04:00;0;0;0;0;0;0;0;0;0;0;-21,6467368852459;0;0;0;0;-171,672098360656;0;0;0;-3,83866672131148;0;1,3451213175001007;-44,9918409836066;0;0,24750435419853822;-82,4146550163934;0,6875916737270806;0;0;0,3017963171450446;-25,7309901639344;0;-39,9916053442623;0,8240409744444632;0,6369426859396143;0,053344920115479484;0,5701262209702109;0;0,6343515390647869;-16,0707885245902;1,2766278493393317;-15,26319770491804;0;0;0;0;0;0;2,6288402998514466;0;0;0;0;0;0;0;0;0;0;0,8904733185791437;-17,0260885245902;-25,7462983606557;0;0;3,39010213114754;0;0;0,445074732212032;0;-0,227673278688525;-4,17003360655738;3,1619468629770866;1,1300649368851732;0,813413405930874;2,7086880011984746;-19,88496885245902;
5;00:05:00;0;0;0;0;0;0;0;0;0;0;-21,6467368852459;0;0;0;0;-160,234491803279;0;0;0;-3,83626065573771;0;1,3522654459753216;-44,9918409836066;0;0,25025106790440554;-49,963193442623;0,6907011458377728;0;0;0,30238150430514243;-25,7309901639344;0;-39,9916053442623;0,826799444615798;0,6464362048203611;0,053661132377910134;0,5705408854265808;0;0,6352530648321025;-16,0698327868853;1,27700564647561;-15,23402983606558;0;0;0;0;0;0;2,649200367470048;0;0;0;0;0;0;0;0;0;0;0,8975036828478807;-17,0260885245902;-25,7462983606557;0;0;3,39010213114754;0;0;0,4487926469952919;0;-0,227673278688525;-4,17003360655738;3,2056855507948465;1,150227326721209;0,8162904799116968;2,712734825381745;-19,87358852459016;
6;00:06:00;0;0;0;0;0;0;0;0;0;0;-21,6467368852459;0;0;0;0;-160,234491803279;0;0;0;-3,83626065573771;0;1,357973640387591;-44,8028016393443;0;0,25059311590306826;-49,963193442623;0,6925173034198759;0;0;0,3025890469263079;-25,7309901639344;0;-38,8099229508197;0,8293967438781178;0,6472232390999483;0,05468980941796874;0,5729926712908828;0;0,6352831705154024;-16,0650967213115;1,277409884642372;-15,21367147540984;0;0;0;0;0;0;2,6799737941581934;0;0;0;0;0;0;0;0;0;0;0,9024238965445835;-16,9780360655738;-25,7462983606557;0;0;3,39396655737705;0;0;0,45307896147428806;0;-0,227673278688525;-4,17003360655738;3,21684753830169;1,156288490992305;0,8170347793896535;2,7206933032667724;-19,87103295081967;
7;00:07:00;0;0;0;0;0;0;0;0;0;0;-21,6467368852459;0;0;0;0;-160,234491803279;0;0;0;-3,82678885245902;0;1,3692240238245004;-44,8028016393443;0;0,25306821548666686;-49,963193442623;0,6937090568704269;0;0;0,30477755125328826;-25,7309901639344;0;-38,8099229508197;0,8316831897159929;0,651758518367274;0,05486229325632494;0,579901993771304;0;0,6404522475654874;-16,0648573770492;1,2774408055058966;-15,20371508196722;0;0;0;0;0;0;2,7075937703436774;0;0;0;0;0;0;0;0;0;0;0,9068558150840781;-16,9780360655738;-25,7462983606557;0;0;3,39396655737705;0;0;0,4545884651348103;0;-0,227673278688525;-4,17003360655738;3,233988546880072;1,1668785865495288;0,8208713745182907;2,7488978383052336;-19,87103295081967;
8;00:08:00;0;0;0;0;0;0;0;0;0;0;-21,6467368852459;0;0;0;0;-160,193459016393;0;0;0;-3,82244032786885;0;1,3731585528622219;-44,8028016393443;0;0,25309941797690305;-49,963193442623;0,6976697724654959;0;0;0,30671460242142057;-25,7309901639344;0;-38,8099229508197;0,8329869980823663;0,6539960798705209;0,055254258112596655;0,5818214170170648;0;0,6415803014566629;-16,0452114754098;1,27756619672231;-15,17337295081968;0;0;0;0;0;0;2,708680414570925;0;0;0;0;0;0;0;0;0;0;0,9094087031345252;-16,9780360655738;-25,7462983606557;0;0;3,39482901639344;0;0;0,45510127866304534;0;-0,227673278688525;-4,17003360655738;3,2447417325745467;1,1679852967802837;0,8386425068417613;2,772531098354967;-19,87103295081967;
9;00:09:00;0;0;0;0;0;0;0;0;0;0;-21,6467368852459;0;0;0;0;-160,193459016393;0;0;0;-3,81803508196721;0;1,3742221262388725;-44,8028016393443;0;0,25411489909713975;-49,963193442623;0,7018200381342404;0;0;0,307737972052595;-25,7309901639344;0;-38,8099229508197;0,8379125572982193;0,6586539970589709;0,05556054997589222;0,5864202351329403;0;0,6448310933631503;-16,040668852459;1,2776358835995296;-15,14898081967213;0;0;0;0;0;0;2,7124254456934227;0;0;0;0;0;0;0;0;0;0;0,9095989247362122;-16,9780360655738;-25,7462983606557;0;0;3,39482901639344;0;0;0,45711307617426084;0;-0,227673278688525;-4,17003360655738;3,2606845197859156;1,1730308956672013;0,8460743004770869;2,7789164646600653;-19,87103295081967;
